dataset,cpd_algo,forecast_algo,min_segment,delta,window_days,result_dir,raw_n_detected,residual_n_detected,raw_n_true,residual_n_true,raw_tp,residual_tp,raw_tn,residual_tn,raw_fp,residual_fp,raw_fn,residual_fn,raw_tp_rate,residual_tp_rate,raw_fp_rate,residual_fp_rate,raw_precision,residual_precision,raw_recall,residual_recall,raw_f1_score,residual_f1_score,raw_gmean,residual_gmean,raw_covering,residual_covering,raw_rand_index,residual_rand_index
ASHRAE901_RestaurantSitDown_STD2019,cpmMS,HybridLRXGB,28,7,28,/home/mdeschietere/serenity/ECOS2026/results/raw/ASHRAE901_RestaurantSitDown_STD2019/cpd_cpmMS_ms28_d7_w28/forecast_HybridLRXGB,0.0,0.0,4.0,4.0,0.0,0.0,361.0,361.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3423302724672588,0.3423302724672588
ASHRAE901_RestaurantSitDown_STD2019,cpmMS,Lasso,28,7,28,/home/mdeschietere/serenity/ECOS2026/results/raw/ASHRAE901_RestaurantSitDown_STD2019/cpd_cpmMS_ms28_d7_w28/forecast_Lasso,0.0,0.0,4.0,4.0,0.0,0.0,361.0,361.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3423302724672588,0.3423302724672588
ASHRAE901_RestaurantSitDown_STD2019,cpmMS,HybridLassoMLP,28,7,28,/home/mdeschietere/serenity/ECOS2026/results/raw/ASHRAE901_RestaurantSitDown_STD2019/cpd_cpmMS_ms28_d7_w28/forecast_HybridLassoMLP,0.0,0.0,4.0,4.0,0.0,0.0,361.0,361.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3423302724672588,0.3423302724672588
ASHRAE901_RestaurantSitDown_STD2019,cpmMS,MLP,28,7,28,/home/mdeschietere/serenity/ECOS2026/results/raw/ASHRAE901_RestaurantSitDown_STD2019/cpd_cpmMS_ms28_d7_w28/forecast_MLP,0.0,0.0,4.0,4.0,0.0,0.0,361.0,361.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3423302724672588,0.3423302724672588
ASHRAE901_RestaurantSitDown_STD2019,cpmMS,LR,28,7,28,/home/mdeschietere/serenity/ECOS2026/results/raw/ASHRAE901_RestaurantSitDown_STD2019/cpd_cpmMS_ms28_d7_w28/forecast_LR,0.0,0.0,4.0,4.0,0.0,0.0,361.0,361.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3423302724672588,0.3423302724672588
ASHRAE901_RestaurantSitDown_STD2019,cpmMS,LSVR,28,7,28,/home/mdeschietere/serenity/ECOS2026/results/raw/ASHRAE901_RestaurantSitDown_STD2019/cpd_cpmMS_ms28_d7_w28/forecast_LSVR,0.0,0.0,4.0,4.0,0.0,0.0,361.0,361.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3423302724672588,0.3423302724672588
ASHRAE901_RestaurantSitDown_STD2019,cpmMS,XGB,28,7,28,/home/mdeschietere/serenity/ECOS2026/results/raw/ASHRAE901_RestaurantSitDown_STD2019/cpd_cpmMS_ms28_d7_w28/forecast_XGB,0.0,0.0,4.0,4.0,0.0,0.0,361.0,361.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3423302724672588,0.3423302724672588
ASHRAE901_RestaurantSitDown_STD2019,cpmMS,SGD,28,7,28,/home/mdeschietere/serenity/ECOS2026/results/raw/ASHRAE901_RestaurantSitDown_STD2019/cpd_cpmMS_ms28_d7_w28/forecast_SGD,0.0,0.0,4.0,4.0,0.0,0.0,361.0,361.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3423302724672588,0.3423302724672588
ASHRAE901_RestaurantSitDown_STD2019,cpmMS,SARIMAX,28,7,28,/home/mdeschietere/serenity/ECOS2026/results/raw/ASHRAE901_RestaurantSitDown_STD2019/cpd_cpmMS_ms28_d7_w28/forecast_SARIMAX,0.0,0.0,4.0,4.0,0.0,0.0,361.0,361.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3423302724672588,0.3423302724672588
ASHRAE901_RestaurantSitDown_STD2019,cpmMS,SVR,28,7,28,/home/mdeschietere/serenity/ECOS2026/results/raw/ASHRAE901_RestaurantSitDown_STD2019/cpd_cpmMS_ms28_d7_w28/forecast_SVR,0.0,0.0,4.0,4.0,0.0,0.0,361.0,361.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3423302724672588,0.3423302724672588
