scope,rank_by,rank_mode,n_total_combinations,n_valid_comparisons,n_missing,n_residual_better,n_raw_better,n_tie,residual_win_rate
GLOBAL,covering,max,3276,3276,0,474,472,2330,0.1446886446886447
CPD_ALGO::Binseg,covering,max,252,252,0,101,125,26,0.4007936507936508
CPD_ALGO::BottomUp,covering,max,252,252,0,51,75,126,0.20238095238095238
CPD_ALGO::CUSUM,covering,max,252,252,0,0,0,252,0.0
CPD_ALGO::EWMA,covering,max,252,252,0,0,0,252,0.0
CPD_ALGO::KernelCPD,covering,max,252,252,0,81,124,47,0.32142857142857145
CPD_ALGO::Pelt,covering,max,252,252,0,117,88,47,0.4642857142857143
CPD_ALGO::TwoSample,covering,max,252,252,0,0,0,252,0.0
CPD_ALGO::Window,covering,max,252,252,0,124,60,68,0.49206349206349204
CPD_ALGO::cpm1B,covering,max,252,252,0,0,0,252,0.0
CPD_ALGO::cpm1S,covering,max,252,252,0,0,0,252,0.0
CPD_ALGO::cpmMS,covering,max,252,252,0,0,0,252,0.0
CPD_ALGO::sbs,covering,max,252,252,0,0,0,252,0.0
CPD_ALGO::wbs,covering,max,252,252,0,0,0,252,0.0
