dataset,forecast_algo,rmse,mae,mape,source_dir,selected_lags,param_trend_order,param_fourier_order,param_use_weekly,param_xgb_depth,param_xgb_n_estimators,param_xgb_lr,param_alpha,param_lasso_alpha,param_mlp_hidden,param_mlp_lr,param_hidden_layer_sizes,param_C,param_max_depth,param_n_estimators,param_learning_rate,param_eta0,param_kernel,param_n_neighbors,param_knn_neighbors
ASHRAE901_ApartmentMidRise_STD2019,ARIMA,180119724.7836208,145687608.10322127,0.3213991864425541,ECOS2026/results/ASHRAE901_ApartmentMidRise_STD2019/cpd_Binseg_ms28_d1_w28/forecast_ARIMA,"1,2,3",3,10,False,,,,,,,,,,,,,,,,
ASHRAE901_ApartmentMidRise_STD2019,HybridKNNMLP,178429291.2247953,144908284.4664065,0.3074618622046483,ECOS2026/results/ASHRAE901_ApartmentMidRise_STD2019/cpd_Binseg_ms28_d1_w28/forecast_HybridKNNMLP,"1,2,3",3,10,False,,,,,,"64,32,128,64",0.001,,,,,,,,,7.0
ASHRAE901_ApartmentMidRise_STD2019,HybridLRXGB,2470845569.793547,2033494021.1248765,4.141574032821706,ECOS2026/results/ASHRAE901_ApartmentMidRise_STD2019/cpd_Binseg_ms28_d1_w28/forecast_HybridLRXGB,"1,2,3",3,10,False,5.0,200.0,0.1,,,,,,,,,,,,,
ASHRAE901_ApartmentMidRise_STD2019,HybridLassoMLP,2446889910.984173,2009715612.5735412,4.102235160915261,ECOS2026/results/ASHRAE901_ApartmentMidRise_STD2019/cpd_Binseg_ms28_d1_w28/forecast_HybridLassoMLP,"1,2,3",3,10,False,,,,,10.0,"64,32,128,64",0.01,,,,,,,,,
ASHRAE901_ApartmentMidRise_STD2019,HybridLassoXGB,2421048199.1877403,1990100465.1703389,4.056891216141864,ECOS2026/results/ASHRAE901_ApartmentMidRise_STD2019/cpd_Binseg_ms28_d1_w28/forecast_HybridLassoXGB,"1,2,3",3,10,False,5.0,200.0,0.1,,10.0,,,,,,,,,,,
ASHRAE901_ApartmentMidRise_STD2019,KNN,109183024.44894071,81559117.03547405,0.14974140501415614,ECOS2026/results/ASHRAE901_ApartmentMidRise_STD2019/cpd_Binseg_ms28_d1_w28/forecast_KNN,"1,2,3",3,10,False,,,,,,,,,,,,,,,10.0,
ASHRAE901_ApartmentMidRise_STD2019,LR,454276717.97749776,382080828.02162147,0.7776559823524253,ECOS2026/results/ASHRAE901_ApartmentMidRise_STD2019/cpd_Binseg_ms28_d1_w28/forecast_LR,"1,2,3",3,10,False,,,,,,,,,,,,,,,,
ASHRAE901_ApartmentMidRise_STD2019,LSVR,749998414.0256293,731526254.9973228,0.9988628050153718,ECOS2026/results/ASHRAE901_ApartmentMidRise_STD2019/cpd_Binseg_ms28_d1_w28/forecast_LSVR,"1,2,3",3,10,False,,,,,,,,,1000.0,,,,,,,
ASHRAE901_ApartmentMidRise_STD2019,Lasso,453935596.7369609,381789561.7656532,0.7770768299548704,ECOS2026/results/ASHRAE901_ApartmentMidRise_STD2019/cpd_Binseg_ms28_d1_w28/forecast_Lasso,"1,2,3",3,10,False,,,,1000.0,,,,,,,,,,,,
ASHRAE901_ApartmentMidRise_STD2019,MLP,270523797.6515155,236407811.76854345,0.4975562395951373,ECOS2026/results/ASHRAE901_ApartmentMidRise_STD2019/cpd_Binseg_ms28_d1_w28/forecast_MLP,"1,2,3",3,10,False,,,,,,,,"100,100,50,100,50,25,200,100",,,,,,,,
ASHRAE901_ApartmentMidRise_STD2019,SARIMAX,180119724.7836208,145687608.10322127,0.3213991864425541,ECOS2026/results/ASHRAE901_ApartmentMidRise_STD2019/cpd_Binseg_ms28_d1_w28/forecast_SARIMAX,"1,2,3",3,10,False,,,,,,,,,,,,,,,,
ASHRAE901_ApartmentMidRise_STD2019,SGD,59701578.40320703,39411656.33401505,0.0738724352264127,ECOS2026/results/ASHRAE901_ApartmentMidRise_STD2019/cpd_Binseg_ms28_d1_w28/forecast_SGD,"1,2,3",3,10,False,,,,,,,,,,,,invscaling,0.1,,,
ASHRAE901_ApartmentMidRise_STD2019,SVR,189757643.89854676,148420118.1932865,0.3104525294558426,ECOS2026/results/ASHRAE901_ApartmentMidRise_STD2019/cpd_Binseg_ms28_d1_w28/forecast_SVR,"1,2,3",3,10,False,,,,,,,,,1000.0,,,,,linear,,
ASHRAE901_ApartmentMidRise_STD2019,XGB,39617088.29965214,21017468.000013713,0.0480171558105859,ECOS2026/results/ASHRAE901_ApartmentMidRise_STD2019/cpd_Binseg_ms28_d1_w28/forecast_XGB,"1,2,3",3,10,False,,,,,,,,,,2.0,500.0,0.2,,,,
ASHRAE901_OfficeSmall_STD2019,ARIMA,384743435.55005515,287689272.01663244,0.8503673579711057,ECOS2026/results/ASHRAE901_OfficeSmall_STD2019/cpd_Binseg_ms28_d1_w28/forecast_ARIMA,"1,2,3,4,5,6,7,8,12,13,14,15,18,19",7,5,True,,,,,,,,,,,,,,,,
ASHRAE901_OfficeSmall_STD2019,HybridKNNMLP,440103518.5918516,341722631.0210684,1.1003602254424558,ECOS2026/results/ASHRAE901_OfficeSmall_STD2019/cpd_Binseg_ms28_d1_w28/forecast_HybridKNNMLP,"1,2,3,4,5,6,7,8,12,13,14,15,18,19",7,5,True,,,,,,"64,32,128,64",0.01,,,,,,,,,5.0
ASHRAE901_OfficeSmall_STD2019,HybridLRXGB,275308344.4586976,228747753.74321854,0.6388531811598794,ECOS2026/results/ASHRAE901_OfficeSmall_STD2019/cpd_Binseg_ms28_d1_w28/forecast_HybridLRXGB,"1,2,3,4,5,6,7,8,12,13,14,15,18,19",7,5,True,5.0,200.0,0.2,,,,,,,,,,,,,
ASHRAE901_OfficeSmall_STD2019,HybridLassoMLP,376016471.28647506,287248965.79964954,0.9185508565017225,ECOS2026/results/ASHRAE901_OfficeSmall_STD2019/cpd_Binseg_ms28_d1_w28/forecast_HybridLassoMLP,"1,2,3,4,5,6,7,8,12,13,14,15,18,19",7,5,True,,,,,10.0,"64,32,128,64",0.01,,,,,,,,,
ASHRAE901_OfficeSmall_STD2019,HybridLassoXGB,342403515.7782839,266782576.9143321,0.8279804302924854,ECOS2026/results/ASHRAE901_OfficeSmall_STD2019/cpd_Binseg_ms28_d1_w28/forecast_HybridLassoXGB,"1,2,3,4,5,6,7,8,12,13,14,15,18,19",7,5,True,5.0,100.0,0.2,,10.0,,,,,,,,,,,
