dataset,forecast_algo,n_duplicates,n_unique_signatures,is_consistent,chosen_source_dir
ASHRAE901_ApartmentMidRise_STD2019,ARIMA,39,1,True,ECOS2026/results/ASHRAE901_ApartmentMidRise_STD2019/cpd_Binseg_ms28_d1_w28/forecast_ARIMA
ASHRAE901_ApartmentMidRise_STD2019,HybridKNNMLP,39,1,True,ECOS2026/results/ASHRAE901_ApartmentMidRise_STD2019/cpd_Binseg_ms28_d1_w28/forecast_HybridKNNMLP
ASHRAE901_ApartmentMidRise_STD2019,HybridLRXGB,39,1,True,ECOS2026/results/ASHRAE901_ApartmentMidRise_STD2019/cpd_Binseg_ms28_d1_w28/forecast_HybridLRXGB
ASHRAE901_ApartmentMidRise_STD2019,HybridLassoMLP,39,1,True,ECOS2026/results/ASHRAE901_ApartmentMidRise_STD2019/cpd_Binseg_ms28_d1_w28/forecast_HybridLassoMLP
ASHRAE901_ApartmentMidRise_STD2019,HybridLassoXGB,39,1,True,ECOS2026/results/ASHRAE901_ApartmentMidRise_STD2019/cpd_Binseg_ms28_d1_w28/forecast_HybridLassoXGB
ASHRAE901_ApartmentMidRise_STD2019,KNN,39,1,True,ECOS2026/results/ASHRAE901_ApartmentMidRise_STD2019/cpd_Binseg_ms28_d1_w28/forecast_KNN
ASHRAE901_ApartmentMidRise_STD2019,LR,39,1,True,ECOS2026/results/ASHRAE901_ApartmentMidRise_STD2019/cpd_Binseg_ms28_d1_w28/forecast_LR
ASHRAE901_ApartmentMidRise_STD2019,LSVR,39,1,True,ECOS2026/results/ASHRAE901_ApartmentMidRise_STD2019/cpd_Binseg_ms28_d1_w28/forecast_LSVR
ASHRAE901_ApartmentMidRise_STD2019,Lasso,39,1,True,ECOS2026/results/ASHRAE901_ApartmentMidRise_STD2019/cpd_Binseg_ms28_d1_w28/forecast_Lasso
ASHRAE901_ApartmentMidRise_STD2019,MLP,39,1,True,ECOS2026/results/ASHRAE901_ApartmentMidRise_STD2019/cpd_Binseg_ms28_d1_w28/forecast_MLP
ASHRAE901_ApartmentMidRise_STD2019,SARIMAX,39,1,True,ECOS2026/results/ASHRAE901_ApartmentMidRise_STD2019/cpd_Binseg_ms28_d1_w28/forecast_SARIMAX
ASHRAE901_ApartmentMidRise_STD2019,SGD,39,1,True,ECOS2026/results/ASHRAE901_ApartmentMidRise_STD2019/cpd_Binseg_ms28_d1_w28/forecast_SGD
ASHRAE901_ApartmentMidRise_STD2019,SVR,39,1,True,ECOS2026/results/ASHRAE901_ApartmentMidRise_STD2019/cpd_Binseg_ms28_d1_w28/forecast_SVR
ASHRAE901_ApartmentMidRise_STD2019,XGB,39,1,True,ECOS2026/results/ASHRAE901_ApartmentMidRise_STD2019/cpd_Binseg_ms28_d1_w28/forecast_XGB
ASHRAE901_OfficeSmall_STD2019,ARIMA,39,1,True,ECOS2026/results/ASHRAE901_OfficeSmall_STD2019/cpd_Binseg_ms28_d1_w28/forecast_ARIMA
ASHRAE901_OfficeSmall_STD2019,HybridKNNMLP,39,1,True,ECOS2026/results/ASHRAE901_OfficeSmall_STD2019/cpd_Binseg_ms28_d1_w28/forecast_HybridKNNMLP
ASHRAE901_OfficeSmall_STD2019,HybridLRXGB,39,1,True,ECOS2026/results/ASHRAE901_OfficeSmall_STD2019/cpd_Binseg_ms28_d1_w28/forecast_HybridLRXGB
ASHRAE901_OfficeSmall_STD2019,HybridLassoMLP,39,1,True,ECOS2026/results/ASHRAE901_OfficeSmall_STD2019/cpd_Binseg_ms28_d1_w28/forecast_HybridLassoMLP
ASHRAE901_OfficeSmall_STD2019,HybridLassoXGB,39,1,True,ECOS2026/results/ASHRAE901_OfficeSmall_STD2019/cpd_Binseg_ms28_d1_w28/forecast_HybridLassoXGB
ASHRAE901_OfficeSmall_STD2019,KNN,39,1,True,ECOS2026/results/ASHRAE901_OfficeSmall_STD2019/cpd_Binseg_ms28_d1_w28/forecast_KNN
ASHRAE901_OfficeSmall_STD2019,LR,39,1,True,ECOS2026/results/ASHRAE901_OfficeSmall_STD2019/cpd_Binseg_ms28_d1_w28/forecast_LR
ASHRAE901_OfficeSmall_STD2019,LSVR,39,1,True,ECOS2026/results/ASHRAE901_OfficeSmall_STD2019/cpd_Binseg_ms28_d1_w28/forecast_LSVR
ASHRAE901_OfficeSmall_STD2019,Lasso,39,1,True,ECOS2026/results/ASHRAE901_OfficeSmall_STD2019/cpd_Binseg_ms28_d1_w28/forecast_Lasso
ASHRAE901_OfficeSmall_STD2019,MLP,39,1,True,ECOS2026/results/ASHRAE901_OfficeSmall_STD2019/cpd_Binseg_ms28_d1_w28/forecast_MLP
ASHRAE901_OfficeSmall_STD2019,SARIMAX,39,1,True,ECOS2026/results/ASHRAE901_OfficeSmall_STD2019/cpd_Binseg_ms28_d1_w28/forecast_SARIMAX
ASHRAE901_OfficeSmall_STD2019,SGD,39,1,True,ECOS2026/results/ASHRAE901_OfficeSmall_STD2019/cpd_Binseg_ms28_d1_w28/forecast_SGD
ASHRAE901_OfficeSmall_STD2019,SVR,39,1,True,ECOS2026/results/ASHRAE901_OfficeSmall_STD2019/cpd_Binseg_ms28_d1_w28/forecast_SVR
ASHRAE901_OfficeSmall_STD2019,XGB,39,1,True,ECOS2026/results/ASHRAE901_OfficeSmall_STD2019/cpd_Binseg_ms28_d1_w28/forecast_XGB
ASHRAE901_RestaurantSitDown_STD2019,ARIMA,39,1,True,ECOS2026/results/ASHRAE901_RestaurantSitDown_STD2019/cpd_Binseg_ms28_d1_w28/forecast_ARIMA
ASHRAE901_RestaurantSitDown_STD2019,HybridKNNMLP,39,1,True,ECOS2026/results/ASHRAE901_RestaurantSitDown_STD2019/cpd_Binseg_ms28_d1_w28/forecast_HybridKNNMLP
ASHRAE901_RestaurantSitDown_STD2019,HybridLRXGB,39,1,True,ECOS2026/results/ASHRAE901_RestaurantSitDown_STD2019/cpd_Binseg_ms28_d1_w28/forecast_HybridLRXGB
ASHRAE901_RestaurantSitDown_STD2019,HybridLassoMLP,39,1,True,ECOS2026/results/ASHRAE901_RestaurantSitDown_STD2019/cpd_Binseg_ms28_d1_w28/forecast_HybridLassoMLP
ASHRAE901_RestaurantSitDown_STD2019,HybridLassoXGB,39,1,True,ECOS2026/results/ASHRAE901_RestaurantSitDown_STD2019/cpd_Binseg_ms28_d1_w28/forecast_HybridLassoXGB
ASHRAE901_RestaurantSitDown_STD2019,KNN,39,1,True,ECOS2026/results/ASHRAE901_RestaurantSitDown_STD2019/cpd_Binseg_ms28_d1_w28/forecast_KNN
ASHRAE901_RestaurantSitDown_STD2019,LR,39,1,True,ECOS2026/results/ASHRAE901_RestaurantSitDown_STD2019/cpd_Binseg_ms28_d1_w28/forecast_LR
ASHRAE901_RestaurantSitDown_STD2019,LSVR,39,1,True,ECOS2026/results/ASHRAE901_RestaurantSitDown_STD2019/cpd_Binseg_ms28_d1_w28/forecast_LSVR
ASHRAE901_RestaurantSitDown_STD2019,Lasso,39,1,True,ECOS2026/results/ASHRAE901_RestaurantSitDown_STD2019/cpd_Binseg_ms28_d1_w28/forecast_Lasso
