cpd_algo,forecast_algo,n_forecast_driven_better,n_tie,n_raw_better,n_missing
Binseg,ARIMA,0,1,2,0
Binseg,HybridKNNMLP,0,0,3,0
Binseg,HybridLRXGB,2,0,1,0
Binseg,HybridLassoMLP,2,0,1,0
Binseg,HybridLassoXGB,2,0,1,0
Binseg,KNN,2,0,1,0
Binseg,LR,1,0,2,0
Binseg,LSVR,0,3,0,0
Binseg,Lasso,1,0,2,0
Binseg,MLP,0,2,1,0
Binseg,SARIMAX,0,1,2,0
Binseg,SGD,2,0,1,0
Binseg,SVR,2,0,1,0
Binseg,XGB,3,0,0,0
BottomUp,ARIMA,1,0,2,0
BottomUp,HybridKNNMLP,1,0,2,0
BottomUp,HybridLRXGB,1,0,2,0
BottomUp,HybridLassoMLP,1,0,2,0
BottomUp,HybridLassoXGB,1,0,2,0
BottomUp,KNN,0,0,3,0
BottomUp,LR,2,0,1,0
BottomUp,LSVR,0,3,0,0
BottomUp,Lasso,2,0,1,0
BottomUp,MLP,0,2,1,0
BottomUp,SARIMAX,1,0,2,0
BottomUp,SGD,0,0,3,0
BottomUp,SVR,1,1,1,0
BottomUp,XGB,0,0,3,0
KernelCPD,ARIMA,0,1,2,0
KernelCPD,HybridKNNMLP,1,1,1,0
KernelCPD,HybridLRXGB,1,0,2,0
KernelCPD,HybridLassoMLP,1,0,2,0
KernelCPD,HybridLassoXGB,1,0,2,0
KernelCPD,KNN,2,0,1,0
KernelCPD,LR,1,0,2,0
KernelCPD,LSVR,0,3,0,0
KernelCPD,Lasso,1,0,2,0
KernelCPD,MLP,0,2,1,0
KernelCPD,SARIMAX,0,1,2,0
KernelCPD,SGD,1,0,2,0
KernelCPD,SVR,0,1,2,0
KernelCPD,XGB,2,0,1,0
Pelt,ARIMA,0,0,3,0
Pelt,HybridKNNMLP,0,1,2,0
Pelt,HybridLRXGB,2,0,1,0
Pelt,HybridLassoMLP,2,0,1,0
Pelt,HybridLassoXGB,2,0,1,0
Pelt,KNN,2,0,1,0
Pelt,LR,1,0,2,0
Pelt,LSVR,0,3,0,0
Pelt,Lasso,1,0,2,0
Pelt,MLP,0,2,1,0
Pelt,SARIMAX,0,0,3,0
Pelt,SGD,2,0,1,0
Pelt,SVR,2,0,1,0
Pelt,XGB,3,0,0,0
Window,ARIMA,1,1,1,0
Window,HybridKNNMLP,1,1,1,0
Window,HybridLRXGB,2,0,1,0
Window,HybridLassoMLP,3,0,0,0
Window,HybridLassoXGB,2,0,1,0
Window,KNN,2,0,1,0
Window,LR,2,1,0,0
Window,LSVR,0,3,0,0
Window,Lasso,2,1,0,0
Window,MLP,0,2,1,0
Window,SARIMAX,1,1,1,0
Window,SGD,0,1,2,0
Window,SVR,1,2,0,0
Window,XGB,1,1,1,0
