,actual,predicted,residual
2004-01-01,858720153.2574874,772959453.0821847,85760700.17530274
2004-01-02,865783687.1572607,790727523.589249,75056163.56801164
2004-01-03,865698156.9937929,798699493.62195,66998663.37184286
2004-01-04,891995608.3739465,827787719.3215059,64207889.05244064
2004-01-05,909810169.7337964,839785591.6409601,70024578.09283626
2004-01-06,886001201.7686785,836112339.3465093,49888862.42216921
2004-01-07,880503296.141177,841876276.1871914,38627019.95398569
2004-01-08,868737098.1792393,830790318.7615303,37946779.41770899
2004-01-09,853033954.5654507,821770106.8025349,31263847.76291573
2004-01-10,851187058.2493521,827521527.8953623,23665530.35398984
2004-01-11,852940261.4974062,832822638.6133288,20117622.88407743
2004-01-12,862287837.1515176,844386879.3508886,17900957.80062902
2004-01-13,866783489.7938726,846250100.5749582,20533389.21891439
2004-01-14,872808272.3648714,857590065.7446088,15218206.620262623
2004-01-15,868622990.2651188,860814929.6777066,7808060.587412238
2004-01-16,868600021.7915026,860878942.0859159,7721079.705586672
2004-01-17,863436867.0765098,861337614.5423607,2099252.53414917
2004-01-18,861011543.948744,861877678.6176347,866134.6688905954
2004-01-19,850989296.6870497,853460386.4627784,2471089.7757287025
2004-01-20,855045408.108259,855050323.1074871,4914.99922811985
2004-01-21,844925553.3612447,848362315.8954161,3436762.534171462
2004-01-22,842408544.2434207,848187285.319579,5778741.076158285
2004-01-23,847246303.0344374,853186815.338601,5940512.304163575
2004-01-24,842608758.3093147,851556761.8287491,8948003.519434333
2004-01-25,842079157.569773,852917831.6730756,10838674.103302598
2004-01-26,843970438.7230405,856563926.5943884,12593487.871347904
2004-01-27,846850113.149921,860056926.1565865,13206813.006665587
2004-01-28,849498707.1062138,864348456.9343408,14849749.828127027
2004-01-29,856264406.3766056,869266134.3797415,13001728.00313592
2004-01-30,857274663.3370149,872532447.8573035,15257784.520288587
2004-01-31,864344366.5353298,898226762.111617,33882395.57628715
2004-02-01,871615054.4420761,904454170.9033693,32839116.46129322
2004-02-02,868994816.4370197,911323409.842317,42328593.40529728
2004-02-03,869774806.036416,912281819.3886164,42507013.35220039
2004-02-04,878618739.5409737,923505546.5225085,44886806.98153484
2004-02-05,893105610.2379124,938942683.1109647,45837072.87305224
2004-02-06,895118522.7310277,945815225.9426912,50696703.211663485
2004-02-07,887180030.0183536,945189047.6957825,58009017.67742896
2004-02-08,875430313.7518412,939958913.0737413,64528599.32190013
2004-02-09,864817465.7702888,935962874.6384495,71145408.86816072
2004-02-10,863903787.5934181,939706780.8115004,75802993.21808231
2004-02-11,868979827.8496568,950788632.0438856,81808804.19422877
2004-02-12,885617916.478688,967809749.6826361,82191833.20394814
2004-02-13,862537824.1617174,959675295.0058278,97137470.84411037
2004-02-14,850869806.2988585,954419387.1902407,103549580.89138222
2004-02-15,845726643.7043855,955604729.947369,109878086.24298346
2004-02-16,839475978.0891511,955275750.6689008,115799772.5797497
2004-02-17,835811012.1635911,954079647.8655475,118268635.70195639
2004-02-18,826009461.6019111,953614049.9617265,127604588.35981548
2004-02-19,826957277.3022454,962790931.0372089,135833653.73496354
2004-02-20,837671971.3787119,978847856.4246215,141175885.04590952
2004-02-21,834810171.536834,981926269.8646053,147116098.3277713
2004-02-22,833929652.4004372,988116409.6418284,154186757.24139118
2004-02-23,834153001.8444077,996845128.4179639,162692126.57355618
2004-02-24,839308490.5204017,1004511209.2330183,165202718.71261656
2004-02-25,827683762.3326604,1001428367.6750153,173744605.3423549
2004-02-26,821918099.5724512,1002208432.9966458,180290333.42419457
2004-02-27,819500683.3851075,1004212008.7127656,184711325.32765806
2004-02-28,827156023.3750123,1015565728.005557,188409704.63054466
2004-03-01,840493364.0861684,1031218807.5192112,190725443.43304276
2004-03-02,838428724.9532058,1038527660.6495513,200098935.69634545
2004-03-03,824985051.0744101,1034283571.1945733,209298520.1201632
2004-03-04,856476452.1403294,1065184743.374915,208708291.23458564
2004-03-05,849631323.2564832,1056899950.3688649,207268627.1123817
2004-03-06,828622924.327293,1048245671.2800163,219622746.95272326
2004-03-07,820213006.7524499,1044985719.3951114,224772712.64266157
2004-03-08,812203498.3801547,1045360576.4078821,233157078.02772737
2004-03-09,812113892.6905224,1048429808.6386431,236315915.9481207
2004-03-10,813954693.3316066,1058747201.2357172,244792507.90411055
2004-03-11,828004942.2113585,1074518508.4012094,246513566.1898508
2004-03-12,838730106.3634367,1087576798.8041835,248846692.44074678
2004-03-13,864864823.9989067,1115693024.0483217,250828200.049415
2004-03-14,868967775.3951467,1122329528.0579386,253361752.66279185
2004-03-15,871236013.819838,1132866808.6609554,261630794.84111738
2004-03-16,811354444.0020504,1084548065.59023,273193621.5881796
2004-03-17,799165494.1085587,1077953815.6532454,278788321.5446868
2004-03-18,839279042.3528844,1121179899.5987496,281900857.2458652
2004-03-19,859207698.7418607,1143523685.151764,284315986.40990317
2004-03-20,832454776.7464341,1129739092.981238,297284316.2348038
2004-03-21,827134054.0756072,1135053059.8360624,307919005.76045525
2004-03-22,825606045.363282,1138235936.3780503,312629891.01476836
2004-03-23,817921824.3153135,1142126258.1832595,324204433.867946
