,actual,predicted,residual
2004-01-01,858720153.2574874,602400834.1851146,256319319.0723728
2004-01-02,865783687.1572607,614021443.2564436,251762243.90081704
2004-01-03,865698156.9937929,627485157.0927293,238212999.90106356
2004-01-04,891995608.3739465,642456349.030474,249539259.3434726
2004-01-05,909810169.7337964,654659580.8279603,255150588.9058361
2004-01-06,886001201.7686785,658628983.0302509,227372218.73842764
2004-01-07,880503296.141177,667324225.9852706,213179070.15590644
2004-01-08,868737098.1792393,678942082.6077348,189795015.57150447
2004-01-09,853033954.5654507,690305142.1403584,162728812.42509222
2004-01-10,851187058.2493521,706053110.4804829,145133947.76886916
2004-01-11,852940261.4974062,718140804.3514787,134799457.14592755
2004-01-12,862287837.1515176,737876490.0256515,124411347.12586617
2004-01-13,866783489.7938726,749178384.1321217,117605105.66175091
2004-01-14,872808272.3648714,765226933.5510552,107581338.81381619
2004-01-15,868622990.2651188,775345293.9430327,93277696.3220861
2004-01-16,868600021.7915026,782486548.9611369,86113472.83036566
2004-01-17,863436867.0765098,789467804.5604999,73969062.51600993
2004-01-18,861011543.948744,803010643.5546881,58000900.39405596
2004-01-19,850989296.6870497,820270185.9351966,30719110.75185311
2004-01-20,855045408.108259,845196539.0902082,9848869.01805079
2004-01-21,844925553.3612447,865157749.4296207,20232196.068376064
2004-01-22,842408544.2434207,884985768.8109406,42577224.5675199
2004-01-23,847246303.0344374,904116351.8097966,56870048.775359154
2004-01-24,842608758.3093147,921977006.8995167,79368248.59020197
2004-01-25,842079157.569773,937174032.1561885,95094874.58641553
2004-01-26,843970438.7230405,958105228.2483402,114134789.52529979
2004-01-27,846850113.149921,976717283.3333002,129867170.18337929
2004-01-28,849498707.1062138,991409690.9154689,141910983.80925512
2004-01-29,856264406.3766056,1006187773.2398021,149923366.8631965
2004-01-30,857274663.3370149,1021952217.5227983,164677554.1857834
2004-01-31,864344366.5353298,1034577540.7489173,170233174.21358752
2004-02-01,871615054.4420761,1049613533.9704556,177998479.52837956
2004-02-02,868994816.4370197,1062863600.2312741,193868783.79425442
