,actual,predicted,residual
2004-01-01,858720153.2574874,793007703.2493494,65712450.00813806
2004-01-02,865783687.1572607,797180644.6365409,68603042.52071977
2004-01-03,865698156.9937929,812407491.5258998,53290665.46789312
2004-01-04,891995608.3739465,811398499.6720833,80597108.70186329
2004-01-05,909810169.7337964,797728832.2804612,112081337.45333517
2004-01-06,886001201.7686785,803714115.9698311,82287085.79884744
2004-01-07,880503296.141177,806531134.910976,73972161.230201
2004-01-08,868737098.1792393,799030538.5917864,69706559.58745289
2004-01-09,853033954.5654507,789733920.090514,63300034.47493672
2004-01-10,851187058.2493521,791190416.9522442,59996641.297107935
2004-01-11,852940261.4974062,797327923.7719857,55612337.725420594
2004-01-12,862287837.1515176,791294422.7728834,70993414.37863421
2004-01-13,866783489.7938726,795626567.0085288,71156922.78534377
2004-01-14,872808272.3648714,799431068.4497496,73377203.9151218
2004-01-15,868622990.2651188,799968902.2839968,68654087.98112202
2004-01-16,868600021.7915026,798016507.8360344,70583513.95546818
2004-01-17,863436867.0765098,804738725.6565444,58698141.41996539
2004-01-18,861011543.948744,801662498.6134092,59349045.3353349
2004-01-19,850989296.6870497,793351449.9955075,57637846.69154227
2004-01-20,855045408.108259,790706343.7758235,64339064.33243549
2004-01-21,844925553.3612447,789782728.2001604,55142825.161084294
2004-01-22,842408544.2434207,789134157.030209,53274387.213211775
2004-01-23,847246303.0344374,788296391.1034001,58949911.93103731
2004-01-24,842608758.3093147,795500214.9180605,47108543.39125419
2004-01-25,842079157.569773,795214257.7098783,46864899.85989463
2004-01-26,843970438.7230405,787294882.2619224,56675556.4611181
2004-01-27,846850113.149921,785908037.2461863,60942075.903734684
2004-01-28,849498707.1062138,785062618.2998751,64436088.80633867
2004-01-29,856264406.3766056,786280631.0981963,69983775.27840936
2004-01-30,857274663.3370149,787156622.8780981,70118040.45891678
2004-01-31,864344366.5353298,796096298.7407285,68248067.79460132
2004-02-01,871615054.4420761,795816497.9310919,75798556.51098418
2004-02-02,868994816.4370197,789362635.2732816,79632181.16373813
2004-02-03,869774806.036416,789977510.3674992,79797295.66891682
2004-02-04,878618739.5409737,788788853.6012474,89829885.93972623
2004-02-05,893105610.2379124,788080907.5266608,105024702.71125162
2004-02-06,895118522.7310277,789648810.78977,105469711.94125772
2004-02-07,887180030.0183536,801141912.9878417,86038117.03051186
2004-02-08,875430313.7518412,800911381.31255,74518932.43929124
2004-02-09,864817465.7702888,788739078.6770232,76078387.09326565
2004-02-10,863903787.5934181,782281093.342125,81622694.25129306
2004-02-11,868979827.8496568,781284961.9900819,87694865.85957491
2004-02-12,885617916.478688,785164787.0545056,100453129.42418242
2004-02-13,862537824.1617174,790946767.9709628,71591056.19075465
2004-02-14,850869806.2988585,802319788.256853,48550018.04200554
2004-02-15,845726643.7043855,793999046.958237,51727596.74614847
2004-02-16,839475978.0891511,776495186.920044,62980791.1691072
2004-02-17,835811012.1635911,771003187.4099617,64807824.753629446
2004-02-18,826009461.6019111,775887407.8587558,50122053.74315524
2004-02-19,826957277.3022454,775224729.3664417,51732547.93580365
2004-02-20,837671971.3787119,771056808.7757703,66615162.60294163
2004-02-21,834810171.536834,784923680.6226244,49886490.914209604
2004-02-22,833929652.4004372,788427745.8580574,45501906.542379856
2004-02-23,834153001.8444077,775299362.461725,58853639.38268268
2004-02-24,839308490.5204017,772132766.7219837,67175723.79841805
2004-02-25,827683762.3326604,769325488.3447516,58358273.98790884
2004-02-26,821918099.5724512,770646321.3838447,51271778.1886065
2004-02-27,819500683.3851075,765986063.403468,53514619.981639504
2004-02-28,827156023.3750123,775626839.3028085,51529184.072203755
2004-03-01,840493364.0861684,758692726.8003833,81800637.28578508
2004-03-02,838428724.9532058,763853214.6691804,74575510.28402543
2004-03-03,824985051.0744101,770150374.3661702,54834676.70823991
2004-03-04,856476452.1403294,769121813.2932767,87354638.8470527
2004-03-05,849631323.2564832,760958299.5318903,88673023.72459292
2004-03-06,828622924.327293,783747499.812193,44875424.5151
2004-03-07,820213006.7524499,786129469.4047545,34083537.34769535
2004-03-08,812203498.3801547,759000219.947931,53203278.43222368
2004-03-09,812113892.6905224,743714945.5534339,68398947.13708854
2004-03-10,813954693.3316066,744312114.0651481,69642579.26645851
2004-03-11,828004942.2113585,748484668.9498062,79520273.26155233
2004-03-12,838730106.3634367,752334046.3026665,86396060.06077015
2004-03-13,864864823.9989067,780966931.9171791,83897892.08172762
2004-03-14,868967775.3951467,786503031.4901428,82464743.9050039
2004-03-15,871236013.819838,770089811.808616,101146202.011222
2004-03-16,811354444.0020504,766403790.4055381,44950653.59651232
2004-03-17,799165494.1085587,755018354.1327949,44147139.9757638
2004-03-18,839279042.3528844,730241119.2107655,109037923.14211893
2004-03-19,859207698.7418607,729878623.6983469,129329075.0435139
2004-03-20,832454776.7464341,760536594.1273084,71918182.61912572
2004-03-21,827134054.0756072,792703242.1978819,34430811.87772524
2004-03-22,825606045.363282,756815538.3778647,68790506.98541725
2004-03-23,817921824.3153135,734783232.352583,83138591.96273041
2004-03-24,829097064.3501723,735035188.1219016,94061876.22827065
2004-03-25,819371837.1381056,748355340.0927634,71016497.0453422
2004-03-26,800442128.5579915,750707823.9381149,49734304.61987662
2004-03-27,821475549.8477352,767934274.4671311,53541275.38060403
2004-03-28,826562010.5719123,760607358.6410644,65954651.93084788
2004-03-29,819903665.8735129,738715719.6289277,81187946.24458516
2004-03-30,801704290.5929735,748375341.2667122,53328949.32626128
2004-03-31,790323316.5525987,746279905.8201729,44043410.73242581
2004-04-01,802156708.0827649,729339045.3506433,72817662.73212159
2004-04-02,830456644.6368163,724676360.9519463,105780283.68487
2004-04-03,828568182.4662069,755371985.8125713,73196196.65363562
2004-04-04,807096552.805006,775410742.8888638,31685809.916142225
2004-04-05,800165244.087318,748480163.5076618,51685080.579656124
2004-04-06,787850188.0364573,732252824.6204098,55597363.416047454
2004-04-07,781952298.268309,722048467.422185,59903830.84612405
2004-04-08,779459773.7362834,720240844.7881318,59218928.94815159
2004-04-09,780305853.0830024,722173635.9881542,58132217.094848275
2004-04-10,788726199.683499,745316878.2255274,43409321.45797157
2004-04-11,788349724.0228008,752008275.1337843,36341448.88901651
2004-04-12,780537110.0602252,730472316.6097788,50064793.45044649
2004-04-13,778948526.5259771,733191787.3494626,45756739.17651451
2004-04-14,789750855.3897928,729110086.2157398,60640769.17405295
2004-04-15,811660465.3893559,724411691.2739574,87248774.11539853
2004-04-16,812796732.003164,721959539.5246322,90837192.47853184
2004-04-17,797411293.395707,762292020.2902211,35119273.105485916
2004-04-18,774730645.2542695,764550811.487692,10179833.766577482
2004-04-19,769407919.1962941,719245083.6097213,50162835.58657277
2004-04-20,768508816.6238917,711077069.0489107,57431747.574980974
2004-04-21,763067962.2266545,709906633.9566965,53161328.26995802
2004-04-22,777863189.5327858,711013602.217286,66849587.31549978
2004-04-23,790789363.6876299,712715875.4423487,78073488.24528122
2004-04-24,784189892.2849256,742656187.8023794,41533704.48254621
2004-04-25,777733156.4365263,751290909.8279537,26442246.608572602
2004-04-26,771563457.4147178,719043313.233528,52520144.181189775
2004-04-27,762475034.0613967,712096526.3456526,50378507.71574414
2004-04-28,759757314.0935763,707902386.3762429,51854927.717333436
2004-04-29,763277560.1052377,706506359.0084655,56771201.096772194
2004-04-30,768587986.5510697,706506213.4959792,62081773.05509055
2004-05-01,766991270.5587773,731219186.0092803,35772084.54949701
2004-05-02,770348203.3687922,736376905.8595439,33971297.50924826
2004-05-03,763473880.9268711,712516923.6405544,50956957.28631663
2004-05-04,759760668.2143514,711157013.3576386,48603654.85671282
2004-05-05,756396935.2749995,708491617.4537468,47905317.8212527
2004-05-06,791022297.6126983,706030351.4099044,84991946.20279396
2004-05-07,770823920.2140512,703109453.431285,67714466.78276622
2004-05-08,746521766.554877,735906425.0617296,10615341.493147492
2004-05-09,759558108.3522285,736662366.090277,22895742.261951566
2004-05-10,792163617.3292631,701572643.146886,90590974.1823771
2004-05-11,743884592.0492774,698115167.8956562,45769424.1536212
2004-05-12,743527914.6883943,704439757.8036857,39088156.88470864
2004-05-13,756465592.7839468,703215090.0695838,53250502.71436298
2004-05-14,744967615.4715494,698285031.5577013,46682583.91384804
2004-05-15,766500721.2921691,706521448.4621775,59979272.82999158
2004-05-16,820494885.7560527,722235742.8209383,98259142.93511438
2004-05-17,839097952.0076756,701382694.155204,137715257.8524716
2004-05-18,798975701.8206024,710112701.163086,88863000.65751636
2004-05-19,737121778.0080491,719526897.2029289,17594880.80512023
2004-05-20,750618585.9495122,699929052.3848715,50689533.56464076
2004-05-21,760626951.6211877,683658504.3457149,76968447.27547276
2004-05-22,730130262.8488452,682926526.7021683,47203736.1466769
2004-05-23,743247656.7714498,698451733.1886725,44795923.58277726
2004-05-24,768414410.8484421,694958186.5976253,73456224.25081682
2004-05-25,748782330.2968974,692903848.222483,55878482.07441437
2004-05-26,730826587.9631053,693940668.5122625,36885919.45084286
2004-05-27,730829146.3122128,696446624.0157628,34382522.29645002
2004-05-28,735970465.9272147,691303903.2189324,44666562.70828235
2004-05-29,728736875.1592885,696648740.3246956,32088134.83459294
2004-05-30,748231648.7912728,704378996.198489,43852652.59278381
2004-05-31,828946869.4934925,690661330.355075,138285539.13841748
2004-06-01,857948708.5916612,693455018.2211545,164493690.37050676
2004-06-02,809949982.9892017,711327809.2742672,98622173.71493447
2004-06-03,819260780.2465074,721688440.5332628,97572339.71324456
2004-06-04,877778297.480732,702806859.571661,174971437.90907097
2004-06-05,886938819.6492877,691900808.8373852,195038010.81190252
2004-06-06,939132292.1286525,714899539.3356596,224232752.79299283
2004-06-07,917425938.8125504,733393769.2087185,184032169.6038319
2004-06-08,868971435.1852137,731458361.8973306,137513073.28788304
2004-06-09,803648372.304169,711697533.4967804,91950838.80738866
2004-06-10,811943174.2135998,695088299.431252,116854874.7823478
2004-06-11,860739635.8357787,687141879.3791194,173597756.45665932
2004-06-12,913075583.189412,709240274.0347323,203835309.15467966
2004-06-13,951768594.9713472,752210970.998082,199557623.97326517
2004-06-14,1006718099.268327,745134755.4444163,261583343.8239107
2004-06-15,920908683.463894,739985427.0832578,180923256.38063622
2004-06-16,904149091.2422231,730882087.1179644,173267004.12425876
2004-06-17,893063403.0065799,703012236.8949931,190051166.1115868
2004-06-18,891136727.9450858,708278605.0645094,182858122.88057637
2004-06-19,896941581.9804716,748009935.6826712,148931646.29780042
2004-06-20,862497367.2909838,777007970.5547338,85489396.73625004
2004-06-21,859584602.1483215,743309870.8714578,116274731.2768637
2004-06-22,854012222.3019335,740457647.6893353,113554574.61259818
2004-06-23,866522908.3345007,735093259.9367304,131429648.39777029
2004-06-24,913733112.232923,740922979.3509439,172810132.8819791
2004-06-25,974175259.4067208,757855488.2502967,216319771.15642405
2004-06-26,1002186798.7904404,804043627.0194589,198143171.77098155
2004-06-27,975226346.403993,814738560.4139205,160487785.9900725
2004-06-28,943295995.153996,776956729.1384147,166339266.01558125
2004-06-29,940715392.9564712,746155310.9697893,194560081.98668194
2004-06-30,991352645.4599552,731096639.6202611,260256005.83969414
2004-07-01,634322410.223261,750843118.6724803,116520708.44921935
2004-07-02,589818022.9744946,646307701.4466277,56489678.47213316
2004-07-03,549962066.1697768,621540648.5905007,71578582.42072392
2004-07-04,555340096.6987548,617529035.8459152,62188939.14716041
2004-07-05,553758663.7728673,629233554.2670764,75474890.49420905
2004-07-06,583218939.5773854,667068874.572957,83849934.99557161
2004-07-07,612767379.5356433,685880905.3747494,73113525.83910608
2004-07-08,605264074.5209768,634965597.2007928,29701522.679816008
2004-07-09,602316787.6142395,635931578.4717703,33614790.85753083
2004-07-10,616354929.2446774,637985790.1090108,21630860.86433339
2004-07-11,593742485.2251409,639153139.2337033,45410654.00856233
2004-07-12,610479864.3472388,642950209.1024828,32470344.755244017
2004-07-13,595708588.9838531,646074865.1077292,50366276.123876095
2004-07-14,618473195.3828759,646547471.2838366,28074275.900960684
2004-07-15,662038388.5103791,646784409.3684766,15253979.141902447
