,trend,trend_squared,trend_cubed,trend**4,trend**5,"cos(1,freq=YE-DEC)","sin(2,freq=YE-DEC)","cos(2,freq=YE-DEC)","sin(3,freq=YE-DEC)","cos(3,freq=YE-DEC)","sin(4,freq=YE-DEC)","cos(4,freq=YE-DEC)","sin(5,freq=YE-DEC)","cos(5,freq=YE-DEC)","sin(6,freq=YE-DEC)","cos(6,freq=YE-DEC)","sin(7,freq=YE-DEC)","cos(7,freq=YE-DEC)","sin(8,freq=YE-DEC)","cos(8,freq=YE-DEC)",lag_2,lag_3,lag_4,lag_5,rolling_mean_7,rolling_mean_14,rolling_mean_30,rolling_std_7,rolling_min_7,rolling_max_7,is_weekend,is_holiday
2004-01-01,731.0,534361.0,390617891.0,285541678321.0,208730966852651.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,856047801.1652905,858277508.9909049,871507417.6191039,871516847.2865117,869506250.715677,890409974.4853895,873594771.1493304,9338601.85737611,856047801.1652905,882716211.5182365,0,0
2004-01-02,732.0,535824.0,392223168.0,287107358976.0,210162586770432.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,871561847.9383488,856047801.1652905,858277508.9909049,871507417.6191039,866078242.392713,890567138.3625927,874398151.5246552,7987855.933015962,856047801.1652905,874916120.4913435,0,0
2004-01-03,733.0,537289.0,393832837.0,288679469521.0,211602051158893.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,858720153.2574874,871561847.9383488,856047801.1652905,858277508.9909049,864773609.0592725,887204957.8155919,875486904.0344609,6986883.556554413,856047801.1652905,871561847.9383488,1,0
2004-01-04,734.0,538756.0,395446904.0,290258027536.0,213049392211424.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,865783687.1572607,858720153.2574874,871561847.9383488,856047801.1652905,863942367.5888842,882361897.6315489,876354555.427014,6369799.073444973,856047801.1652905,871561847.9383488,1,0
2004-01-05,735.0,540225.0,397065375.0,291843050625.0,214504642209375.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,865698156.9937929,865783687.1572607,858720153.2574874,871561847.9383488,866869251.9824331,879639415.9739516,877651858.1373566,12337164.802801903,856047801.1652905,891995608.3739465,0,0
2004-01-06,736.0,541696.0,398688256.0,293434556416.0,215967833522176.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,891995608.3739465,865698156.9937929,865783687.1572607,858720153.2574874,874231060.659989,878775958.1158243,879091363.2211188,19595767.369899835,856047801.1652905,909810169.7337964,0,0
2004-01-07,737.0,543169.0,400315553.0,295032562561.0,217438998607457.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,909810169.7337964,891995608.3739465,865698156.9937929,865783687.1572607,878510117.8890445,876582478.7607678,879552090.5629292,18182856.272560935,858720153.2574874,909810169.7337964,0,0
2004-01-08,738.0,544644.0,401947272.0,296637086736.0,218918170011168.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,886001201.7686785,909810169.7337964,891995608.3739465,865698156.9937929,879787467.6323057,874646859.1739913,879945957.6607724,17925635.83736264,858720153.2574874,909810169.7337964,0,0
2004-01-09,739.0,546121.0,403583419.0,298248146641.0,220405380367699.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,880503296.141177,886001201.7686785,909810169.7337964,891995608.3739465,881218459.7639844,873648351.0783488,879613326.6495816,16288622.213873776,865698156.9937929,909810169.7337964,0,0
2004-01-10,740.0,547600.0,405224000.0,299865760000.0,221900662400000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,868737098.1792393,880503296.141177,886001201.7686785,909810169.7337964,879397069.393726,872085339.2264993,878788318.5460315,18818550.995655846,853033954.5654507,909810169.7337964,1,0
