,actual,predicted,residual
2004-01-01,858720153.2574874,880305431.5782726,21585278.320785165
2004-01-02,865783687.1572607,882939582.4405719,17155895.283311248
2004-01-03,865698156.9937929,875670836.8505212,9972679.856728315
2004-01-04,891995608.3739465,879109346.1425493,12886262.231397271
2004-01-05,909810169.7337964,886523175.9169687,23286993.816827655
2004-01-06,886001201.7686785,904148781.7614664,18147579.992787838
2004-01-07,880503296.141177,905430257.7386057,24926961.59742868
2004-01-08,868737098.1792393,894926220.1506747,26189121.971435428
2004-01-09,853033954.5654507,891787668.5326446,38753713.96719396
2004-01-10,851187058.2493521,874458734.0868626,23271675.837510467
2004-01-11,852940261.4974062,878809606.229866,25869344.732459784
2004-01-12,862287837.1515176,887115909.9978342,24828072.846316576
2004-01-13,866783489.7938726,884623600.7833068,17840110.989434242
2004-01-14,872808272.3648714,889669636.6932126,16861364.328341246
2004-01-15,868622990.2651188,887623809.2107188,19000818.945599914
2004-01-16,868600021.7915026,887249618.17206,18649596.380557418
2004-01-17,863436867.0765098,877887526.7741874,14450659.697677612
2004-01-18,861011543.948744,878425871.9826276,17414328.03388357
2004-01-19,850989296.6870497,885274478.8129557,34285182.12590599
2004-01-20,855045408.108259,881000196.8381428,25954788.72988379
2004-01-21,844925553.3612447,878591388.6094209,33665835.24817622
2004-01-22,842408544.2434207,877301363.986353,34892819.74293232
2004-01-23,847246303.0344374,873045035.2684101,25798732.23397267
2004-01-24,842608758.3093147,869065569.0886426,26456810.77932787
2004-01-25,842079157.569773,868738506.9296297,26659349.359856725
2004-01-26,843970438.7230405,872697342.5428476,28726903.81980717
2004-01-27,846850113.149921,873419539.8489972,26569426.699076295
2004-01-28,849498707.1062138,870623214.4936483,21124507.387434483
2004-01-29,856264406.3766056,873615785.923233,17351379.546627402
2004-01-30,857274663.3370149,876560036.0308694,19285372.69385445
2004-01-31,864344366.5353298,872745965.8306334,8401599.295303583
2004-02-01,871615054.4420761,873991823.1198341,2376768.6777579784
2004-02-02,868994816.4370197,883851994.0722272,14857177.635207534
2004-02-03,869774806.036416,885236582.2028764,15461776.166460395
2004-02-04,878618739.5409737,884944681.7889935,6325942.2480198145
2004-02-05,893105610.2379124,889326844.8888662,3778765.3490462303
2004-02-06,895118522.7310277,895710629.3189714,592106.5879436731
2004-02-07,887180030.0183536,899620902.3640479,12440872.345694304
2004-02-08,875430313.7518412,900408309.6489552,24977995.89711404
2004-02-09,864817465.7702888,899624133.4704446,34806667.700155735
2004-02-10,863903787.5934181,891281826.5778476,27378038.98442948
2004-02-11,868979827.8496568,890200693.3579845,21220865.508327723
2004-02-12,885617916.478688,895058464.0446036,9440547.565915585
2004-02-13,862537824.1617174,901129007.772306,38591183.61058855
2004-02-14,850869806.2988585,898518573.859442,47648767.56058347
2004-02-15,845726643.7043855,881992017.3125771,36265373.60819161
2004-02-16,839475978.0891511,880919928.8175156,41443950.72836447
2004-02-17,835811012.1635911,874366393.1131563,38555380.94956517
2004-02-18,826009461.6019111,878869411.2010317,52859949.59912062
2004-02-19,826957277.3022454,876321838.5234373,49364561.22119188
2004-02-20,837671971.3787119,868033909.5743477,30361938.195635796
2004-02-21,834810171.536834,863207408.4120893,28397236.875255346
2004-02-22,833929652.4004372,866133080.9269998,32203428.52656257
2004-02-23,834153001.8444077,869892791.3025314,35739789.458123684
2004-02-24,839308490.5204017,868445305.6506952,29136815.13029349
2004-02-25,827683762.3326604,866583262.4272547,38899500.09459424
2004-02-26,821918099.5724512,869723406.3839177,47805306.811466455
2004-02-27,819500683.3851075,863786951.433566,44286268.04845846
2004-02-28,827156023.3750123,856650031.4267708,29494008.051758528
2004-03-01,840493364.0861684,861465467.4148632,20972103.32869482
2004-03-02,838428724.9532058,868763148.2915872,30334423.33838141
2004-03-03,824985051.0744101,873211039.5443064,48225988.46989632
2004-03-04,856476452.1403294,869886901.0528524,13410448.912523031
2004-03-05,849631323.2564832,868941556.3418036,19310233.085320354
2004-03-06,828622924.327293,871394061.5831841,42771137.255891085
2004-03-07,820213006.7524499,869732005.674526,49518998.922076106
2004-03-08,812203498.3801547,868957296.2386862,56753797.858531475
2004-03-09,812113892.6905224,855502509.2920458,43388616.6015234
2004-03-10,813954693.3316066,857492036.9486142,43537343.61700761
2004-03-11,828004942.2113585,865506386.4751441,37501444.2637856
2004-03-12,838730106.3634367,866332150.863798,27602044.500361323
2004-03-13,864864823.9989067,863609972.5887772,1254851.4101295471
2004-03-14,868967775.3951467,872633347.0238681,3665571.6287213564
2004-03-15,871236013.819838,884073930.8212638,12837917.001425743
2004-03-16,811354444.0020504,879255079.4560004,67900635.45395005
2004-03-17,799165494.1085587,873069728.4639522,73904234.35539353
2004-03-18,839279042.3528844,842427223.1637278,3148180.8108433485
2004-03-19,859207698.7418607,848624340.110441,10583358.631419778
2004-03-20,832454776.7464341,862052130.544996,29597353.79856193
2004-03-21,827134054.0756072,879094713.8965775,51960659.8209703
2004-03-22,825606045.363282,872606294.4978595,47000249.13457751
2004-03-23,817921824.3153135,856192873.7601066,38271049.444793105
2004-03-24,829097064.3501723,853654092.9073157,24557028.55714345
2004-03-25,819371837.1381056,872076623.3000058,52704786.16190016
2004-03-26,800442128.5579915,877230782.8394511,76788654.28145957
2004-03-27,821475549.8477352,850490430.2509483,29014880.403213143
2004-03-28,826562010.5719123,847724422.3537416,21162411.781829357
2004-03-29,819903665.8735129,859227569.5673217,39323903.693808794
2004-03-30,801704290.5929735,862226348.5883977,60522057.99542427
2004-03-31,790323316.5525987,862956765.75503,72633449.20243132
2004-04-01,802156708.0827649,844821265.7644229,42664557.68165803
2004-04-02,830456644.6368163,843425770.0275793,12969125.390763044
2004-04-03,828568182.4662069,849951722.3415492,21383539.87534225
2004-04-04,807096552.805006,862380378.9966218,55283826.19161582
2004-04-05,800165244.087318,864072618.204998,63907374.11768007
2004-04-06,787850188.0364573,851947807.7805814,64097619.744124055
2004-04-07,781952298.268309,843429141.4313349,61476843.163025856
2004-04-08,779459773.7362834,841084101.7602841,61624328.024000645
2004-04-09,780305853.0830024,846816563.5435952,66510710.46059275
2004-04-10,788726199.683499,842713066.308085,53986866.624585986
2004-04-11,788349724.0228008,840404466.6885544,52054742.6657536
2004-04-12,780537110.0602252,847074648.0906765,66537538.0304513
2004-04-13,778948526.5259771,842268428.8707569,63319902.34477973
2004-04-14,789750855.3897928,838468854.3821572,48717998.99236441
2004-04-15,811660465.3893559,837247880.5122124,25587415.122856498
2004-04-16,812796732.003164,848837669.7117474,36040937.708583355
2004-04-17,797411293.395707,852433220.8378354,55021927.44212842
2004-04-18,774730645.2542695,849289127.4473282,74558482.19305873
2004-04-19,769407919.1962941,842049399.0547645,72641479.85847044
2004-04-20,768508816.6238917,828813618.6687425,60304802.044850826
2004-04-21,763067962.2266545,831378462.411424,68310500.18476951
2004-04-22,777863189.5327858,834928086.2011166,57064896.66833079
2004-04-23,790789363.6876299,839875048.0893447,49085684.4017148
2004-04-24,784189892.2849256,836109298.8260993,51919406.5411737
2004-04-25,777733156.4365263,835601738.7532741,57868582.316747785
2004-04-26,771563457.4147178,837736117.3444346,66172659.929716825
2004-04-27,762475034.0613967,831618089.1002563,69143055.0388596
2004-04-28,759757314.0935763,827190451.931468,67433137.8378917
2004-04-29,763277560.1052377,827187821.5917859,63910261.486548185
2004-04-30,768587986.5510697,830214039.7160625,61626053.16499281
2004-05-01,766991270.5587773,826878872.8723364,59887602.313559055
2004-05-02,770348203.3687922,828535118.8280563,58186915.45926416
2004-05-03,763473880.9268711,830986411.7033516,67512530.77648056
2004-05-04,759760668.2143514,829813717.7263345,70053049.51198304
2004-05-05,756396935.2749995,826088571.7263703,69691636.45137084
2004-05-06,791022297.6126983,824784145.6854094,33761848.07271111
2004-05-07,770823920.2140512,831441268.7253475,60617348.51129627
2004-05-08,746521766.554877,838609084.0021961,92087317.44731903
2004-05-09,759558108.3522285,823776286.3065847,64218177.95435619
2004-05-10,792163617.3292631,823726691.7778088,31563074.448545694
2004-05-11,743884592.0492774,824221947.2198029,80337355.17052543
2004-05-12,743527914.6883943,836947516.9215152,93419602.23312092
2004-05-13,756465592.7839468,825288603.1700655,68823010.38611877
2004-05-14,744967615.4715494,824683009.2506886,79715393.77913916
2004-05-15,766500721.2921691,816397095.236039,49896373.94386995
2004-05-16,820494885.7560527,827594032.562611,7099146.806558251
2004-05-17,839097952.0076756,849596074.0351855,10498122.027509809
2004-05-18,798975701.8206024,864316049.2314706,65340347.41086817
2004-05-19,737121778.0080491,865014667.0878987,127892889.0798496
2004-05-20,750618585.9495122,836915706.83731,86297120.88779771
2004-05-21,760626951.6211877,809695458.7720182,49068507.15083051
2004-05-22,730130262.8488452,817485718.4887532,87355455.63990796
2004-05-23,743247656.7714498,831004534.8517483,87756878.08029854
2004-05-24,768414410.8484421,841330978.0125387,72916567.1640966
2004-05-25,748782330.2968974,831071361.9913651,82289031.69446766
2004-05-26,730826587.9631053,824923198.4289979,94096610.46589255
2004-05-27,730829146.3122128,824075924.503798,93246778.19158518
2004-05-28,735970465.9272147,815710607.8570197,79740141.92980492
2004-05-29,728736875.1592885,806851355.5153236,78114480.35603511
2004-05-30,748231648.7912728,815634352.1652948,67402703.374022
2004-05-31,828946869.4934925,824614242.9401829,4332626.55330956
2004-06-01,857948708.5916612,850040363.7765338,7908344.815127373
2004-06-02,809949982.9892017,879861859.2080456,69911876.21884394
2004-06-03,819260780.2465074,878926374.3743631,59665594.12785566
2004-06-04,877778297.480732,853607498.5148752,24170798.96585679
2004-06-05,886938819.6492877,844150116.5898271,42788703.05946064
2004-06-06,939132292.1286525,873872938.9144411,65259353.214211345
2004-06-07,917425938.8125504,941375460.9807851,23949522.168234706
2004-06-08,868971435.1852137,950040749.0551586,81069313.86994493
2004-06-09,803648372.304169,918642204.6437732,114993832.33960414
2004-06-10,811943174.2135998,899126189.6778371,87183015.46423733
2004-06-11,860739635.8357787,876990558.7416643,16250922.905885577
2004-06-12,913075583.189412,896127821.5651493,16947761.62426269
2004-06-13,951768594.9713472,930597312.9140337,21171282.05731356
2004-06-14,1006718099.268327,965730140.1932497,40987959.075077295
