,actual,predicted,residual
2004-01-01,858720153.2574874,879686690.7105474,20966537.45306003
2004-01-02,865783687.1572607,882268226.9029576,16484539.745696902
2004-01-03,865698156.9937929,874933433.0141498,9235276.020356894
2004-01-04,891995608.3739465,877353044.9447,14642563.429246545
2004-01-05,909810169.7337964,885042445.3477372,24767724.386059165
2004-01-06,886001201.7686785,901932477.6177094,15931275.849030852
2004-01-07,880503296.141177,903676593.2567382,23173297.115561128
2004-01-08,868737098.1792393,893561496.39094,24824398.211700678
2004-01-09,853033954.5654507,888878670.3573766,35844715.79192591
2004-01-10,851187058.2493521,871697691.2429979,20510632.993645787
2004-01-11,852940261.4974062,875740506.0724132,22800244.57500696
2004-01-12,862287837.1515176,883981729.6156795,21693892.464161873
2004-01-13,866783489.7938726,881998451.5209445,15214961.727071881
2004-01-14,872808272.3648714,887293442.0922363,14485169.727364898
2004-01-15,868622990.2651188,885588687.0677947,16965696.802675843
2004-01-16,868600021.7915026,885230608.4040462,16630586.612543583
2004-01-17,863436867.0765098,875512540.7813113,12075673.70480144
2004-01-18,861011543.948744,875777870.875345,14766326.926600933
2004-01-19,850989296.6870497,882602979.215548,31613682.528498292
2004-01-20,855045408.108259,878397953.8438418,23352545.73558283
2004-01-21,844925553.3612447,875811758.7028528,30886205.341608167
2004-01-22,842408544.2434207,874322825.85979,31914281.616369247
2004-01-23,847246303.0344374,870362682.1016746,23116379.06723714
2004-01-24,842608758.3093147,865551147.7903808,22942389.481066108
2004-01-25,842079157.569773,865160382.2748715,23081224.70509851
2004-01-26,843970438.7230405,869948450.0356859,25978011.312645435
2004-01-27,846850113.149921,870364117.5254303,23514004.37550938
2004-01-28,849498707.1062138,867560048.3430419,18061341.23682809
2004-01-29,856264406.3766056,870412946.1521091,14148539.775503516
2004-01-30,857274663.3370149,873207691.751366,15933028.414351106
2004-01-31,864344366.5353298,868694924.1217698,4350557.586439967
2004-02-01,871615054.4420761,870006516.0197446,1608538.4223314524
2004-02-02,868994816.4370197,880095242.4071517,11100425.970131993
2004-02-03,869774806.036416,881522553.1536558,11747747.117239714
2004-02-04,878618739.5409737,881370013.76602,2751274.2250463963
2004-02-05,893105610.2379124,885273977.617853,7831632.620059371
2004-02-06,895118522.7310277,891601399.2330565,3517123.497971177
2004-02-07,887180030.0183536,894852240.8332613,7672210.81490767
2004-02-08,875430313.7518412,895965700.803119,20535387.051277757
2004-02-09,864817465.7702888,895816438.4665254,30998972.69623661
2004-02-10,863903787.5934181,887519973.9781653,23616186.384747148
2004-02-11,868979827.8496568,886219722.525667,17239894.67601013
2004-02-12,885617916.478688,890863348.8648943,5245432.386206269
