,actual,predicted,residual
2004-01-01,858720153.2574874,861962386.0315146,3242232.7740272284
2004-01-02,865783687.1572607,861962386.0315146,3821301.1257460117
2004-01-03,865698156.9937929,861962386.0315146,3735770.962278247
2004-01-04,891995608.3739465,861962386.0315146,30033222.342431903
2004-01-05,909810169.7337964,861962386.0315146,47847783.70228171
2004-01-06,886001201.7686785,861962386.0315146,24038815.7371639
2004-01-07,880503296.141177,861962386.0315146,18540910.109662414
2004-01-08,868737098.1792393,861962386.0315146,6774712.147724628
2004-01-09,853033954.5654507,861962386.0315146,8928431.466063976
2004-01-10,851187058.2493521,861962386.0315146,10775327.782162547
2004-01-11,852940261.4974062,861962386.0315146,9022124.5341084
2004-01-12,862287837.1515176,861962386.0315146,325451.120002985
2004-01-13,866783489.7938726,861962386.0315146,4821103.76235795
2004-01-14,872808272.3648714,861962386.0315146,10845886.333356738
2004-01-15,868622990.2651188,861962386.0315146,6660604.233604193
2004-01-16,868600021.7915026,861962386.0315146,6637635.75998795
2004-01-17,863436867.0765098,861962386.0315146,1474481.0449951887
2004-01-18,861011543.948744,861962386.0315146,950842.082770586
2004-01-19,850989296.6870497,861962386.0315146,10973089.344464898
2004-01-20,855045408.108259,861962386.0315146,6916977.923255682
2004-01-21,844925553.3612447,861962386.0315146,17036832.670269966
2004-01-22,842408544.2434207,861962386.0315146,19553841.788093925
2004-01-23,847246303.0344374,861962386.0315146,14716082.997077227
2004-01-24,842608758.3093147,861962386.0315146,19353627.722199917
2004-01-25,842079157.569773,861962386.0315146,19883228.461741686
2004-01-26,843970438.7230405,861962386.0315146,17991947.308474183
2004-01-27,846850113.149921,861962386.0315146,15112272.881593704
2004-01-28,849498707.1062138,861962386.0315146,12463678.925300837
2004-01-29,856264406.3766056,861962386.0315146,5697979.654909015
2004-01-30,857274663.3370149,861962386.0315146,4687722.694499731
2004-01-31,864344366.5353298,861962386.0315146,2381980.503815174
2004-02-01,871615054.4420761,861962386.0315146,9652668.410561442
2004-02-02,868994816.4370197,861962386.0315146,7032430.405505061
2004-02-03,869774806.036416,861962386.0315146,7812420.004901409
2004-02-04,878618739.5409737,861962386.0315146,16656353.509459019
2004-02-05,893105610.2379124,861962386.0315146,31143224.20639777
2004-02-06,895118522.7310277,861962386.0315146,33156136.699513078
2004-02-07,887180030.0183536,861962386.0315146,25217643.986838937
2004-02-08,875430313.7518412,861962386.0315146,13467927.720326543
2004-02-09,864817465.7702888,861962386.0315146,2855079.7387741804
2004-02-10,863903787.5934181,861962386.0315146,1941401.5619034767
2004-02-11,868979827.8496568,861962386.0315146,7017441.818142176
2004-02-12,885617916.478688,861962386.0315146,23655530.447173357
2004-02-13,862537824.1617174,861962386.0315146,575438.1302027702
2004-02-14,850869806.2988585,861962386.0315146,11092579.732656121
2004-02-15,845726643.7043855,861962386.0315146,16235742.327129126
2004-02-16,839475978.0891511,861962386.0315146,22486407.9423635
2004-02-17,835811012.1635911,861962386.0315146,26151373.8679235
2004-02-18,826009461.6019111,861962386.0315146,35952924.42960358
2004-02-19,826957277.3022454,861962386.0315146,35005108.729269266
2004-02-20,837671971.3787119,861962386.0315146,24290414.652802706
2004-02-21,834810171.536834,861962386.0315146,27152214.494680643
2004-02-22,833929652.4004372,861962386.0315146,28032733.63107741
2004-02-23,834153001.8444077,861962386.0315146,27809384.187106967
2004-02-24,839308490.5204017,861962386.0315146,22653895.51111293
2004-02-25,827683762.3326604,861962386.0315146,34278623.69885421
2004-02-26,821918099.5724512,861962386.0315146,40044286.45906341
2004-02-27,819500683.3851075,861962386.0315146,42461702.64640713
2004-02-28,827156023.3750123,861962386.0315146,34806362.656502366
2004-03-01,840493364.0861684,861962386.0315146,21469021.945346236
2004-03-02,838428724.9532058,861962386.0315146,23533661.07830882
2004-03-03,824985051.0744101,861962386.0315146,36977334.95710456
2004-03-04,856476452.1403294,861962386.0315146,5485933.891185284
2004-03-05,849631323.2564832,861962386.0315146,12331062.775031447
2004-03-06,828622924.327293,861962386.0315146,33339461.704221606
2004-03-07,820213006.7524499,861962386.0315146,41749379.279064775
2004-03-08,812203498.3801547,861962386.0315146,49758887.651359916
2004-03-09,812113892.6905224,861962386.0315146,49848493.34099221
2004-03-10,813954693.3316066,861962386.0315146,48007692.69990802
2004-03-11,828004942.2113585,861962386.0315146,33957443.8201561
2004-03-12,838730106.3634367,861962386.0315146,23232279.668077946
2004-03-13,864864823.9989067,861962386.0315146,2902437.967392087
2004-03-14,868967775.3951467,861962386.0315146,7005389.363632083
2004-03-15,871236013.819838,861962386.0315146,9273627.788323402
2004-03-16,811354444.0020504,861962386.0315146,50607942.029464245
2004-03-17,799165494.1085587,861962386.0315146,62796891.92295599
2004-03-18,839279042.3528844,861962386.0315146,22683343.678630233
2004-03-19,859207698.7418607,861962386.0315146,2754687.2896538973
2004-03-20,832454776.7464341,861962386.0315146,29507609.285080552
2004-03-21,827134054.0756072,861962386.0315146,34828331.955907464
2004-03-22,825606045.363282,861962386.0315146,36356340.66823268
2004-03-23,817921824.3153135,861962386.0315146,44040561.716201186
2004-03-24,829097064.3501723,861962386.0315146,32865321.681342363
2004-03-25,819371837.1381056,861962386.0315146,42590548.893409014
2004-03-26,800442128.5579915,861962386.0315146,61520257.47352314
2004-03-27,821475549.8477352,861962386.0315146,40486836.18377948
2004-03-28,826562010.5719123,861962386.0315146,35400375.459602356
2004-03-29,819903665.8735129,861962386.0315146,42058720.15800178
