,actual,predicted,residual
2004-01-01,858720153.2574874,824898206.2685696,33821946.98891783
2004-01-02,865783687.1572607,842746408.1243658,23037279.03289485
2004-01-03,865698156.9937929,864318091.8737457,1380065.1200472116
2004-01-04,891995608.3739465,891255147.8125519,740460.5613946915
2004-01-05,909810169.7337964,915371078.7611501,5560909.027353764
2004-01-06,886001201.7686785,931099863.9618906,45098662.19321203
2004-01-07,880503296.141177,950838991.3051151,70335695.16393805
2004-01-08,868737098.1792393,970666356.3875222,101929258.20828295
2004-01-09,853033954.5654507,991496640.72314,138462686.15768933
2004-01-10,851187058.2493521,1019888744.8451185,168701686.59576643
2004-01-11,852940261.4974062,1044787817.679733,191847556.1823268
2004-01-12,862287837.1515176,1073950191.8739421,211662354.7224245
2004-01-13,866783489.7938726,1098822510.9267309,232039021.13285828
2004-01-14,872808272.3648714,1123269650.0338721,250461377.66900074
2004-01-15,868622990.2651188,1143759238.4321775,275136248.1670587
2004-01-16,868600021.7915026,1164450083.9080663,295850062.1165637
2004-01-17,863436867.0765098,1184547178.4071362,321110311.33062637
2004-01-18,861011543.948744,1209158757.2269433,348147213.2781992
2004-01-19,850989296.6870497,1238318231.7417948,387328935.0547451
2004-01-20,855045408.108259,1274468281.4861972,419422873.3779383
2004-01-21,844925553.3612447,1305801930.9569545,460876377.5957098
2004-01-22,842408544.2434207,1339901548.2923348,497493004.0489141
2004-01-23,847246303.0344374,1373471140.5080194,526224837.473582
2004-01-24,842608758.3093147,1403277536.345808,560668778.0364933
2004-01-25,842079157.569773,1434284475.2330093,592205317.6632364
2004-01-26,843970438.7230405,1465373549.444312,621403110.7212716
2004-01-27,846850113.149921,1496402752.7211566,649552639.5712357
2004-01-28,849498707.1062138,1526756596.4633715,677257889.3571577
2004-01-29,856264406.3766056,1557025351.6445765,700760945.2679709
2004-01-30,857274663.3370149,1585844350.829825,728569687.49281
2004-01-31,864344366.5353298,1612507249.154746,748162882.6194162
2004-02-01,871615054.4420761,1639914707.7136023,768299653.2715262
2004-02-02,868994816.4370197,1666497401.0941646,797502584.6571449
2004-02-03,869774806.036416,1690637538.8048658,820862732.7684498
2004-02-04,878618739.5409737,1717505394.9500096,838886655.4090359
2004-02-05,893105610.2379124,1743830199.2174182,850724588.9795058
2004-02-06,895118522.7310277,1768644478.0404558,873525955.3094281
2004-02-07,887180030.0183536,1786379346.421719,899199316.4033655
2004-02-08,875430313.7518412,1808260315.6011858,932830001.8493446
2004-02-09,864817465.7702888,1835374637.9631715,970557172.1928827
2004-02-10,863903787.5934181,1865631334.5439796,1001727546.9505615
2004-02-11,868979827.8496568,1896347627.102548,1027367799.2528911
2004-02-12,885617916.478688,1928301955.4538703,1042684038.9751823
2004-02-13,862537824.1617174,1960835690.006999,1098297865.8452816
2004-02-14,850869806.2988585,1994596214.291622,1143726407.9927635
2004-02-15,845726643.7043855,2035519399.6519942,1189792755.9476087
2004-02-16,839475978.0891511,2076616547.8530328,1237140569.7638817
2004-02-17,835811012.1635911,2118040695.7513053,1282229683.5877142
2004-02-18,826009461.6019111,2160291345.2155766,1334281883.6136656
2004-02-19,826957277.3022454,2208514743.4783955,1381557466.17615
2004-02-20,837671971.3787119,2254181641.4453306,1416509670.0666187
2004-02-21,834810171.536834,2298239946.7101,1463429775.1732662
2004-02-22,833929652.4004372,2342970436.935153,1509040784.5347157
2004-02-23,834153001.8444077,2385529398.256134,1551376396.4117265
2004-02-24,839308490.5204017,2426634554.8206844,1587326064.3002827
2004-02-25,827683762.3326604,2467188867.877866,1639505105.5452054
2004-02-26,821918099.5724512,2510869717.682034,1688951618.109583
2004-02-27,819500683.3851075,2558052087.542499,1738551404.1573915
2004-02-28,827156023.3750123,2603281497.723827,1776125474.3488145
2004-03-01,840493364.0861684,2649564368.579834,1809071004.4936657
2004-03-02,838428724.9532058,2690741638.705016,1852312913.7518103
2004-03-03,824985051.0744101,2731510437.0719824,1906525385.9975724
2004-03-04,856476452.1403294,2776283850.9796715,1919807398.839342
2004-03-05,849631323.2564832,2813563512.703493,1963932189.44701
2004-03-06,828622924.327293,2851605984.49946,2022983060.1721673
2004-03-07,820213006.7524499,2894641565.445972,2074428558.693522
2004-03-08,812203498.3801547,2943050852.2404466,2130847353.860292
2004-03-09,812113892.6905224,2994887200.5231237,2182773307.8326015
2004-03-10,813954693.3316066,3045948773.9597673,2231994080.6281605
2004-03-11,828004942.2113585,3096806876.9518166,2268801934.740458
2004-03-12,838730106.3634367,3149095414.2650633,2310365307.9016266
2004-03-13,864864823.9989067,3192471781.064517,2327606957.0656104
2004-03-14,868967775.3951467,3231355697.172123,2362387921.776976
2004-03-15,871236013.819838,3265052465.7347918,2393816451.9149537
2004-03-16,811354444.0020504,3300736018.644059,2489381574.642009
2004-03-17,799165494.1085587,3350393128.2508698,2551227634.142311
2004-03-18,839279042.3528844,3403749468.612729,2564470426.259845
2004-03-19,859207698.7418607,3457870702.4878845,2598663003.7460237
2004-03-20,832454776.7464341,3506191829.214471,2673737052.4680367
2004-03-21,827134054.0756072,3558437819.703498,2731303765.6278906
2004-03-22,825606045.363282,3611387606.7176456,2785781561.3543634
2004-03-23,817921824.3153135,3664911299.8657255,2846989475.550412
2004-03-24,829097064.3501723,3717799877.362261,2888702813.012089
2004-03-25,819371837.1381056,3765237595.3679676,2945865758.229862
2004-03-26,800442128.5579915,3819962494.505246,3019520365.9472547
2004-03-27,821475549.8477352,3879155952.3693123,3057680402.521577
2004-03-28,826562010.5719123,3937482751.4712105,3110920740.899298
2004-03-29,819903665.8735129,3997930079.123213,3178026413.2497
2004-03-30,801704290.5929735,4058022651.1699867,3256318360.577013
2004-03-31,790323316.5525987,4111449847.3191805,3321126530.7665815
2004-04-01,802156708.0827649,4171649413.527709,3369492705.4449444
2004-04-02,830456644.6368163,4235361734.8236523,3404905090.1868362
2004-04-03,828568182.4662069,4293523795.1125355,3464955612.6463284
2004-04-04,807096552.805006,4350599944.15358,3543503391.3485737
2004-04-05,800165244.087318,4412526903.18718,3612361659.0998616
2004-04-06,787850188.0364573,4473195309.178758,3685345121.1423006
2004-04-07,781952298.268309,4536131776.542331,3754179478.2740216
2004-04-08,779459773.7362834,4604255254.607462,3824795480.8711786
2004-04-09,780305853.0830024,4670421666.02261,3890115812.939607
2004-04-10,788726199.683499,4740569948.554252,3951843748.870753
2004-04-11,788349724.0228008,4808941357.23617,4020591633.213369
2004-04-12,780537110.0602252,4879733090.270316,4099195980.2100906
2004-04-13,778948526.5259771,4947688014.641392,4168739488.1154146
2004-04-14,789750855.3897928,5016340016.085342,4226589160.6955495
2004-04-15,811660465.3893559,5081816846.096234,4270156380.7068787
2004-04-16,812796732.003164,5145560539.206589,4332763807.203424
2004-04-17,797411293.395707,5204519675.756434,4407108382.360727
2004-04-18,774730645.2542695,5271401804.419287,4496671159.165017
2004-04-19,769407919.1962941,5342930600.542289,4573522681.345995
2004-04-20,768508816.6238917,5415472132.172799,4646963315.548907
2004-04-21,763067962.2266545,5487812400.172219,4724744437.945564
2004-04-22,777863189.5327858,5562725419.294171,4784862229.761386
2004-04-23,790789363.6876299,5640211527.36905,4849422163.68142
2004-04-24,784189892.2849256,5709599497.201723,4925409604.916798
2004-04-25,777733156.4365263,5781043621.01999,5003310464.583464
2004-04-26,771563457.4147178,5851581023.643988,5080017566.22927
2004-04-27,762475034.0613967,5923961112.724105,5161486078.662708
2004-04-28,759757314.0935763,5998675882.391051,5238918568.297475
2004-04-29,763277560.1052377,6077277960.048197,5314000399.942959
2004-04-30,768587986.5510697,6157183360.740524,5388595374.189455
2004-05-01,766991270.5587773,6237562678.342074,5470571407.783297
2004-05-02,770348203.3687922,6317264183.397458,5546915980.028666
2004-05-03,763473880.9268711,6394172490.144812,5630698609.21794
2004-05-04,759760668.2143514,6472502724.579618,5712742056.365267
2004-05-05,756396935.2749995,6549827447.054561,5793430511.779561
2004-05-06,791022297.6126983,6629344877.48096,5838322579.868261
2004-05-07,770823920.2140512,6705309761.122192,5934485840.908141
2004-05-08,746521766.554877,6784803002.195279,6038281235.640402
