,actual,predicted,residual
2004-01-01,858720153.2574874,846979630.5968583,11740522.660629153
2004-01-02,865783687.1572607,858902825.5518925,6880861.605368137
2004-01-03,865698156.9937929,864370101.0439322,1328055.949860692
2004-01-04,891995608.3739465,894418954.36706,2423345.9931133986
2004-01-05,909810169.7337964,915385465.7395527,5575296.005756378
2004-01-06,886001201.7686785,899003454.3102238,13002252.541545272
2004-01-07,880503296.141177,898929628.1647007,18426332.02352369
2004-01-08,868737098.1792393,891372365.3317845,22635267.152545214
2004-01-09,853033954.5654507,883304578.7897484,30270624.224297762
2004-01-10,851187058.2493521,886088420.4726832,34901362.223331094
2004-01-11,852940261.4974062,893946767.2767699,41006505.77936363
2004-01-12,862287837.1515176,907912830.0666611,45624992.91514349
2004-01-13,866783489.7938726,918190203.6817677,51406713.88789511
2004-01-14,872808272.3648714,930129561.8800766,57321289.515205264
2004-01-15,868622990.2651188,932946347.4069912,64323357.141872406
2004-01-16,868600021.7915026,938179807.376632,69579785.58512938
2004-01-17,863436867.0765098,939769816.1531756,76332949.07666576
2004-01-18,861011543.948744,942744344.5446532,81732800.59590912
2004-01-19,850989296.6870497,939364832.1217988,88375535.434749
2004-01-20,855045408.108259,949665318.2243626,94619910.11610365
2004-01-21,844925553.3612447,945988748.7174046,101063195.35615993
2004-01-22,842408544.2434207,952178328.4976609,109769784.25424016
2004-01-23,847246303.0344374,961385979.49982,114139676.46538258
2004-01-24,842608758.3093147,963715284.702883,121106526.39356828
2004-01-25,842079157.569773,970347120.1364462,128267962.56667328
2004-01-26,843970438.7230405,979281596.8870537,135311158.16401327
2004-01-27,846850113.149921,989107037.1045105,142256923.9545896
2004-01-28,849498707.1062138,999470936.0081952,149972228.90198135
2004-01-29,856264406.3766056,1012308623.8933842,156044217.5167786
2004-01-30,857274663.3370149,1020061180.1375706,162786516.8005557
2004-01-31,864344366.5353298,1050266128.2068007,185921761.67147088
2004-02-01,871615054.4420761,1063581240.6619608,191966186.21988475
2004-02-02,868994816.4370197,1069692553.1651318,200697736.7281121
2004-02-03,869774806.036416,1077648472.4859078,207873666.44949174
2004-02-04,878618739.5409737,1093556909.5076954,214938169.96672177
2004-02-05,893105610.2379124,1115952834.234052,222847223.99613953
2004-02-06,895118522.7310277,1125857827.7949898,230739305.0639621
2004-02-07,887180030.0183536,1126796742.4533274,239616712.43497384
2004-02-08,875430313.7518412,1122808715.6109717,247378401.8591305
2004-02-09,864817465.7702888,1120153251.815263,255335786.0449742
2004-02-10,863903787.5934181,1127906962.7653115,264003175.17189336
2004-02-11,868979827.8496568,1141313699.3182766,272333871.4686198
2004-02-12,885617916.478688,1166154685.4957154,280536769.0170274
2004-02-13,862537824.1617174,1152170663.4899018,289632839.32818437
2004-02-14,850869806.2988585,1149256519.7951396,298386713.496281
2004-02-15,845726643.7043855,1152851239.339081,307124595.63469553
2004-02-16,839475978.0891511,1155205878.9890625,315729900.8999114
2004-02-17,835811012.1635911,1160495493.8084233,324684481.64483213
2004-02-18,826009461.6019111,1160556878.1878064,334547416.5858953
2004-02-19,826957277.3022454,1170596181.4764988,343638904.17425346
2004-02-20,837671971.3787119,1190517789.238746,352845817.860034
2004-02-21,834810171.536834,1196823604.2600806,362013432.7232466
2004-02-22,833929652.4004372,1205645985.5536234,371716333.1531862
2004-02-23,834153001.8444077,1215875575.3664181,381722573.52201045
2004-02-24,839308490.5204017,1230183565.1857712,390875074.6653695
2004-02-25,827683762.3326604,1229109541.745536,401425779.41287565
2004-02-26,821918099.5724512,1233949488.032447,412031388.45999587
2004-02-27,819500683.3851075,1241336034.2924569,421835350.90734935
2004-02-28,827156023.3750123,1259332653.0370429,432176629.6620306
2004-03-01,840493364.0861684,1282381735.7995179,441888371.71334946
2004-03-02,838428724.9532058,1291242770.8913777,452814045.93817186
2004-03-03,824985051.0744101,1288471158.408601,463486107.33419096
2004-03-04,856476452.1403294,1330062941.7379792,473586489.5976498
2004-03-05,849631323.2564832,1333489074.813434,483857751.5569507
2004-03-06,828622924.327293,1324488243.3723414,495865319.04504836
2004-03-07,820213006.7524499,1327714747.4618437,507501740.70939386
2004-03-08,812203498.3801547,1330706539.4451802,518503041.06502545
2004-03-09,812113892.6905224,1342055156.5080159,529941263.81749344
