,actual,predicted,residual
2004-01-01,858720153.2574874,803607582.6622901,55112570.59519732
2004-01-02,865783687.1572607,810847959.6838554,54935727.47340524
2004-01-03,865698156.9937929,810509838.8568839,55188318.13690901
2004-01-04,891995608.3739465,813331221.4165229,78664386.95742369
2004-01-05,909810169.7337964,816875862.1079516,92934307.62584472
2004-01-06,886001201.7686785,825196454.2401643,60804747.528514266
2004-01-07,880503296.141177,831251066.3347678,49252229.80640924
2004-01-08,868737098.1792393,825540031.7979782,43197066.38126111
2004-01-09,853033954.5654507,824425671.5292258,28608283.036224842
2004-01-10,851187058.2493521,825516746.4698328,25670311.77951932
2004-01-11,852940261.4974062,826310262.6432257,26629998.854180574
2004-01-12,862287837.1515176,830795743.2998565,31492093.851661086
2004-01-13,866783489.7938726,835985118.1915059,30798371.602366686
2004-01-14,872808272.3648714,841996564.488586,30811707.876285434
2004-01-15,868622990.2651188,845552233.1270394,23070757.138079405
2004-01-16,868600021.7915026,848817099.825216,19782921.96628654
2004-01-17,863436867.0765098,849514495.3262482,13922371.750261664
2004-01-18,861011543.948744,851866507.3864864,9145036.562257648
2004-01-19,850989296.6870497,854498609.5545727,3509312.867522955
2004-01-20,855045408.108259,857257641.8314497,2212233.7231907845
2004-01-21,844925553.3612447,858838078.9031774,13912525.541932702
2004-01-22,842408544.2434207,863604879.7795529,21196335.536132216
2004-01-23,847246303.0344374,865839982.3090587,18593679.27462125
2004-01-24,842608758.3093147,868594774.6776929,25986016.368378162
2004-01-25,842079157.569773,874126715.4632176,32047557.893444657
2004-01-26,843970438.7230405,877410169.9730514,33439731.250010967
2004-01-27,846850113.149921,880505000.391194,33654887.241273046
2004-01-28,849498707.1062138,884588251.9882185,35089544.88200474
2004-01-29,856264406.3766056,888988256.4104719,32723850.033866286
2004-01-30,857274663.3370149,892979042.4292911,35704379.092276216
2004-01-31,864344366.5353298,897329501.2718735,32985134.736543655
2004-02-01,871615054.4420761,900729888.9860324,29114834.54395628
2004-02-02,868994816.4370197,905507668.1750625,36512851.73804283
2004-02-03,869774806.036416,910306676.5724488,40531870.536032796
2004-02-04,878618739.5409737,912631782.004028,34013042.4630543
2004-02-05,893105610.2379124,915927900.6411691,22822290.403256655
2004-02-06,895118522.7310277,921930190.1972663,26811667.466238618
2004-02-07,887180030.0183536,928629858.0651642,41449828.04681063
2004-02-08,875430313.7518412,931944826.4388617,56514512.68702054
2004-02-09,864817465.7702888,932536791.8033004,67719326.03301156
2004-02-10,863903787.5934181,932856770.872961,68952983.27954292
2004-02-11,868979827.8496568,935114507.2322341,66134679.3825773
2004-02-12,885617916.478688,940603772.9583862,54985856.47969818
2004-02-13,862537824.1617174,947603614.8527352,85065790.69101775
2004-02-14,850869806.2988585,955889572.6904706,105019766.39161205
2004-02-15,845726643.7043855,954153410.4534214,108426766.74903584
2004-02-16,839475978.0891511,954438113.2832913,114962135.1941402
2004-02-17,835811012.1635911,959205061.9337305,123394049.77013934
2004-02-18,826009461.6019111,964355100.9600995,138345639.3581884
2004-02-19,826957277.3022454,969098274.0492895,142140996.7470441
2004-02-20,837671971.3787119,972031379.7283394,134359408.3496275
2004-02-21,834810171.536834,977146800.3883781,142336628.85154414
2004-02-22,833929652.4004372,985353294.7353073,151423642.3348701
2004-02-23,834153001.8444077,989718723.2414567,155565721.39704907
2004-02-24,839308490.5204017,993093911.3282373,153785420.80783558
2004-02-25,827683762.3326604,997679651.0433346,169995888.71067417
2004-02-26,821918099.5724512,1003886752.1483235,181968652.5758723
2004-02-27,819500683.3851075,1005852338.5753148,186351655.19020724
2004-02-28,827156023.3750123,1008732762.4390142,181576739.06400192
2004-03-01,840493364.0861684,1014501152.9976671,174007788.91149867
2004-03-02,838428724.9532058,1022305507.172283,183876782.21907723
2004-03-03,824985051.0744101,1030821323.0897897,205836272.01537967
2004-03-04,856476452.1403294,1034869196.3806794,178392744.24035
2004-03-05,849631323.2564832,1035397927.4212037,185766604.16472054
2004-03-06,828622924.327293,1047259219.1537292,218636294.82643616
2004-03-07,820213006.7524499,1052189648.1869899,231976641.43454003
2004-03-08,812203498.3801547,1050487557.9182355,238284059.5380808
2004-03-09,812113892.6905224,1053455533.619629,241341640.9291066
2004-03-10,813954693.3316066,1059758338.5289568,245803645.19735014
2004-03-11,828004942.2113585,1067154765.5692587,239149823.35790014
2004-03-12,838730106.3634367,1074611312.9931357,235881206.629699
2004-03-13,864864823.9989067,1083368108.2801185,218503284.28121173
2004-03-14,868967775.3951467,1091396225.8207278,222428450.4255811
2004-03-15,871236013.819838,1101304878.3079336,230068864.48809552
2004-03-16,811354444.0020504,1105618357.5303574,294263913.52830696
2004-03-17,799165494.1085587,1109394209.9888957,310228715.880337
2004-03-18,839279042.3528844,1098961609.0174148,259682566.6645304
2004-03-19,859207698.7418607,1102084007.5753055,242876308.8334447
2004-03-20,832454776.7464341,1122825716.1183884,290370939.3719543
2004-03-21,827134054.0756072,1137204307.9408429,310070253.8652357
2004-03-22,825606045.363282,1134132719.672113,308526674.308831
2004-03-23,817921824.3153135,1135814520.7927132,317892696.4773997
2004-03-24,829097064.3501723,1143522761.7639618,314425697.4137895
2004-03-25,819371837.1381056,1150012278.653643,330640441.51553726
2004-03-26,800442128.5579915,1159457376.4110663,359015247.8530748
2004-03-27,821475549.8477352,1163263737.9292686,341788188.08153343
2004-03-28,826562010.5719123,1164536993.499877,337974982.9279647
2004-03-29,819903665.8735129,1176825441.0314043,356921775.1578914
2004-03-30,801704290.5929735,1186590647.8955345,384886357.30256104
2004-03-31,790323316.5525987,1190228558.3737414,399905241.8211427
2004-04-01,802156708.0827649,1191241291.7151754,389084583.6324105
2004-04-02,830456644.6368163,1196130972.4559643,365674327.81914806
2004-04-03,828568182.4662069,1207401668.931973,378833486.4657661
2004-04-04,807096552.805006,1222528045.098513,415431492.29350686
2004-04-05,800165244.087318,1228520538.9919932,428355294.90467525
2004-04-06,787850188.0364573,1227311055.5449898,439460867.5085325
2004-04-07,781952298.268309,1231816248.0654893,449863949.7971803
2004-04-08,779459773.7362834,1238246524.5227084,458786750.786425
2004-04-09,780305853.0830024,1245748547.8358982,465442694.7528957
2004-04-10,788726199.683499,1254205591.162476,465479391.4789771
2004-04-11,788349724.0228008,1262745099.428155,474395375.40535414
2004-04-12,780537110.0602252,1272974813.5326273,492437703.4724021
2004-04-13,778948526.5259771,1280213643.2231996,501265116.6972225
2004-04-14,789750855.3897928,1285246499.7278411,495495644.33804834
2004-04-15,811660465.3893559,1292291743.0466816,480631277.65732574
2004-04-16,812796732.003164,1303476220.2963161,490679488.2931521
2004-04-17,797411293.395707,1315839797.6302345,518428504.23452747
2004-04-18,774730645.2542695,1322566867.5569057,547836222.3026363
2004-04-19,769407919.1962941,1324490067.332927,555082148.1366329
2004-04-20,768508816.6238917,1326037780.7733643,557528964.1494726
2004-04-21,763067962.2266545,1334579827.772685,571511865.5460305
2004-04-22,777863189.5327858,1345456027.5804152,567592838.0476295
2004-04-23,790789363.6876299,1354344304.294187,563554940.6065571
2004-04-24,784189892.2849256,1365946976.3152194,581757084.0302938
2004-04-25,777733156.4365263,1377623608.0442,599890451.6076736
2004-04-26,771563457.4147178,1383222695.91637,611659238.5016521
2004-04-27,762475034.0613967,1388286539.030977,625811504.9695803
2004-04-28,759757314.0935763,1395492558.372404,635735244.2788278
2004-04-29,763277560.1052377,1402893427.1851065,639615867.0798688
