,actual,predicted,residual
2004-01-01,858720153.2574874,866579112.9152511,7858959.65776372
2004-01-02,865783687.1572607,871020275.9776946,5236588.820433974
2004-01-03,865698156.9937929,864759562.6822662,938594.3115266562
2004-01-04,891995608.3739465,865410388.90718,26585219.466766596
2004-01-05,909810169.7337964,870046711.8715026,39763457.86229372
2004-01-06,886001201.7686785,880553321.1483994,5447880.620279193
2004-01-07,880503296.141177,886807277.6219497,6303981.4807726145
2004-01-08,868737098.1792393,878028531.7023829,9291433.52314365
2004-01-09,853033954.5654507,874906835.0853239,21872880.51987326
2004-01-10,851187058.2493521,865409182.5302665,14222124.280914426
2004-01-11,852940261.4974062,861257528.1861384,8317266.688732147
2004-01-12,862287837.1515176,863548893.9822904,1261056.8307727575
2004-01-13,866783489.7938726,863303850.1666371,3479639.627235532
2004-01-14,872808272.3648714,867092059.1819724,5716213.182898998
2004-01-15,868622990.2651188,867820903.2740054,802086.9911134243
2004-01-16,868600021.7915026,869125229.0486478,525207.2571451664
2004-01-17,863436867.0765098,864655714.7435021,1218847.6669923067
2004-01-18,861011543.948744,864933031.5326598,3921487.5839157104
2004-01-19,850989296.6870497,867755433.7575647,16766137.070514917
2004-01-20,855045408.108259,863632043.6200433,8586635.511784315
2004-01-21,844925553.3612447,859970418.4138023,15044865.052557588
2004-01-22,842408544.2434207,858458852.5343181,16050308.29089737
2004-01-23,847246303.0344374,854605160.4109323,7358857.3764948845
2004-01-24,842608758.3093147,850264110.5269008,7655352.2175860405
2004-01-25,842079157.569773,851383631.8423047,9304474.272531748
2004-01-26,843970438.7230405,852662268.9096041,8691830.186563611
2004-01-27,846850113.149921,852008728.6552275,5158615.5053066015
2004-01-28,849498707.1062138,851537020.5899464,2038313.4837325811
2004-01-29,856264406.3766056,852814587.316591,3449819.0600146055
2004-01-30,857274663.3370149,854307568.0063767,2967095.3306381702
2004-01-31,864344366.5353298,853124068.3530908,11220298.182239056
2004-02-01,871615054.4420761,854259784.7827569,17355269.659319162
2004-02-02,868994816.4370197,860401007.3106152,8593809.126404524
2004-02-03,869774806.036416,863480657.3559768,6294148.680439234
2004-02-04,878618739.5409737,863472218.4227492,15146521.118224502
2004-02-05,893105610.2379124,865889244.9343405,27216365.30357194
2004-02-06,895118522.7310277,871126587.5856701,23991935.14535761
2004-02-07,887180030.0183536,875633291.5950413,11546738.423312306
2004-02-08,875430313.7518412,877821216.5536443,2390902.801803112
2004-02-09,864817465.7702888,877359429.2761726,12541963.505883813
2004-02-10,863903787.5934181,871911450.0537319,8007662.460313797
2004-02-11,868979827.8496568,868818145.4428371,161682.4068197012
2004-02-12,885617916.478688,869797367.9426516,15820548.536036372
2004-02-13,862537824.1617174,873400949.836968,10863125.67525053
2004-02-14,850869806.2988585,874828617.3119633,23958811.013104796
2004-02-15,845726643.7043855,864298086.2055464,18571442.50116086
2004-02-16,839475978.0891511,859735238.221684,20259260.132532835
2004-02-17,835811012.1635911,855956801.4055145,20145789.241923332
2004-02-18,826009461.6019111,854361557.9799616,28352096.378050566
2004-02-19,826957277.3022454,850720072.0745556,23762794.772310257
2004-02-20,837671971.3787119,844723293.130495,7051321.751783013
2004-02-21,834810171.536834,840927290.2817874,6117118.744953394
2004-02-22,833929652.4004372,844008086.2226157,10078433.822178483
2004-02-23,834153001.8444077,845524187.4547205,11371185.61031282
2004-02-24,839308490.5204017,843955335.2968804,4646844.776478648
2004-02-25,827683762.3326604,843482826.6067055,15799064.27404511
2004-02-26,821918099.5724512,845180766.4408181,23262666.868366838
2004-02-27,819500683.3851075,839749345.565026,20248662.179918528
2004-02-28,827156023.3750123,833148712.8770243,5992689.502012014
2004-03-01,840493364.0861684,835281635.9650865,5211728.121081948
2004-03-02,838428724.9532058,838788279.3400644,359554.3868585825
2004-03-03,824985051.0744101,843350356.7045286,18365305.63011849
2004-03-04,856476452.1403294,842099469.001133,14376983.139196396
2004-03-05,849631323.2564832,838704470.4405266,10926852.815956593
2004-03-06,828622924.327293,845139290.361303,16516366.034009933
2004-03-07,820213006.7524499,845665759.7492697,25452752.996819854
2004-03-08,812203498.3801547,839207384.893563,27003886.513408303
2004-03-09,812113892.6905224,831660955.71881,19547063.02828753
2004-03-10,813954693.3316066,829779773.7585884,15825080.426981807
2004-03-11,828004942.2113585,830870152.1183995,2865209.9070409536
2004-03-12,838730106.3634367,831973479.9301175,6756626.433319211
2004-03-13,864864823.9989067,832969726.5804745,31895097.418432236
2004-03-14,868967775.3951467,839275656.2449652,29692119.150181532
2004-03-15,871236013.819838,849853971.517343,21382042.302495003
2004-03-16,811354444.0020504,851184222.1786766,39829778.176626205
2004-03-17,799165494.1085587,848818163.2256106,49652669.11705196
2004-03-18,839279042.3528844,825071751.3818482,14207290.971036196
2004-03-19,859207698.7418607,820791529.3747936,38416169.3670671
2004-03-20,832454776.7464341,834434045.27072,1979268.5242859125
2004-03-21,827134054.0756072,845463573.3317338,18329519.256126642
2004-03-22,825606045.363282,838445540.2609085,12839494.89762652
2004-03-23,817921824.3153135,831331839.9295973,13410015.6142838
2004-03-24,829097064.3501723,831654153.9133818,2557089.5632095337
2004-03-25,819371837.1381056,837004022.4003094,17632185.262203813
2004-03-26,800442128.5579915,840240656.2198868,39798527.661895275
2004-03-27,821475549.8477352,827033120.8919256,5557571.044190407
2004-03-28,826562010.5719123,820202438.5392976,6359572.032614708
2004-03-29,819903665.8735129,828856545.8797499,8952880.00623703
2004-03-30,801704290.5929735,832049202.4396524,30344911.846678972
2004-03-31,790323316.5525987,829071564.9791133,38748248.426514626
2004-04-01,802156708.0827649,818009542.7392321,15852834.6564672
2004-04-02,830456644.6368163,813823598.2065463,16633046.430269957
2004-04-03,828568182.4662069,816830260.9070457,11737921.559161186
2004-04-04,807096552.805006,827363260.3026127,20266707.497606635
2004-04-05,800165244.087318,829323453.1349106,29158209.04759264
2004-04-06,787850188.0364573,819435163.7445844,31584975.70812714
2004-04-07,781952298.268309,813911279.134043,31958980.86573398
2004-04-08,779459773.7362834,809640143.944437,30180370.208153605
2004-04-09,780305853.0830024,807865675.7921562,27559822.70915377
2004-04-10,788726199.683499,804668509.053566,15942309.370067
2004-04-11,788349724.0228008,803478971.0395099,15129247.01670909
2004-04-12,780537110.0602252,808297553.1508318,27760443.09060657
2004-04-13,778948526.5259771,806261820.5853881,27313294.05941093
2004-04-14,789750855.3897928,802481460.1351972,12730604.745404363
2004-04-15,811660465.3893559,801257633.8985313,10402831.49082458
2004-04-16,812796732.003164,807738189.4282124,5058542.574951649
2004-04-17,797411293.395707,812468796.8244138,15057503.428706765
2004-04-18,774730645.2542695,812121351.5301026,37390706.27583313
2004-04-19,769407919.1962941,806057533.9320288,36649614.7357347
2004-04-20,768508816.6238917,795432731.6669735,26923915.04308176
2004-04-21,763067962.2266545,793604484.0598992,30536521.83324468
