,actual,predicted,residual
2004-01-01,858720153.2574874,891511300.0,32791142.742512584
2004-01-02,865783687.1572607,899516400.0,33732728.84273934
2004-01-03,865698156.9937929,890542100.0,24843923.00620711
2004-01-04,891995608.3739465,899516400.0,7520807.6260534525
2004-01-05,909810169.7337964,899272700.0,10537465.733796358
2004-01-06,886001201.7686785,899272700.0,13271502.231321454
2004-01-07,880503296.141177,905790460.0,25287167.85882294
2004-01-08,868737098.1792393,888758460.0,20021365.820760727
2004-01-09,853033954.5654507,873373760.0,20339805.43454933
2004-01-10,851187058.2493521,873373760.0,22186701.750647902
2004-01-11,852940261.4974062,875157400.0,22217114.502593756
2004-01-12,862287837.1515176,876126600.0,13838754.84848237
2004-01-13,866783489.7938726,904768060.0,37984574.206127405
2004-01-14,872808272.3648714,899516400.0,26708143.635128617
2004-01-15,868622990.2651188,899516400.0,30893425.734881163
2004-01-16,868600021.7915026,899272700.0,30672682.208497405
2004-01-17,863436867.0765098,890542100.0,27105212.923490167
2004-01-18,861011543.948744,890542100.0,29530536.05125594
2004-01-19,850989296.6870497,890542100.0,39552783.31295025
2004-01-20,855045408.108259,899272700.0,44227295.89174104
2004-01-21,844925553.3612447,891511300.0,46585742.63875532
2004-01-22,842408544.2434207,904768060.0,62359519.75657928
2004-01-23,847246303.0344374,858955000.0,11708704.965562582
2004-01-24,842608758.3093147,873876000.0,31267209.690685272
2004-01-25,842079157.569773,873876000.0,31796810.43022704
2004-01-26,843970438.7230405,873876000.0,29905529.27695954
2004-01-27,846850113.149921,873876000.0,27025854.85007906
2004-01-28,849498707.1062138,873876000.0,24377260.893786192
2004-01-29,856264406.3766056,873876000.0,17611561.62339437
2004-01-30,857274663.3370149,873876000.0,16601304.662985086
2004-01-31,864344366.5353298,873876000.0,9531601.464670181
2004-02-01,871615054.4420761,858955000.0,12660046.442076087
2004-02-02,868994816.4370197,866960100.0,2034688.4370197058
2004-02-03,869774806.036416,894936060.0,25161257.963583946
2004-02-04,878618739.5409737,890542100.0,11923340.459026337
2004-02-05,893105610.2379124,890542100.0,2563530.2379124165
2004-02-06,895118522.7310277,890542100.0,4576442.731027722
2004-02-07,887180030.0183536,890542100.0,3362049.9816464186
2004-02-08,875430313.7518412,890542100.0,15111766.248158813
2004-02-09,864817465.7702888,873373760.0,8556294.229711175
2004-02-10,863903787.5934181,873373760.0,9469972.406581879
2004-02-11,868979827.8496568,873373760.0,4393932.15034318
2004-02-12,885617916.478688,883888000.0,1729916.4786880016
2004-02-13,862537824.1617174,883888000.0,21350175.838282585
2004-02-14,850869806.2988585,890542100.0,39672273.70114148
2004-02-15,845726643.7043855,890542100.0,44815436.29561448
2004-02-16,839475978.0891511,885147300.0,45671349.910848856
2004-02-17,835811012.1635911,889383360.0,53572347.83640885
2004-02-18,826009461.6019111,873876000.0,47866506.39808893
2004-02-19,826957277.3022454,857707500.0,30750242.69775462
2004-02-20,837671971.3787119,857707500.0,20035548.62128806
2004-02-21,834810171.536834,857707500.0,22897348.463166
2004-02-22,833929652.4004372,857707500.0,23777867.599562764
2004-02-23,834153001.8444077,857707500.0,23554518.155592322
2004-02-24,839308490.5204017,839901300.0,592821.4795982838
2004-02-25,827683762.3326604,857707500.0,30023757.667339563
2004-02-26,821918099.5724512,857707500.0,35789420.427548766
2004-02-27,819500683.3851075,857707500.0,38206836.61489248
2004-02-28,827156023.3750123,857707500.0,30551496.62498772
2004-03-01,840493364.0861684,857707500.0,17214155.91383159
2004-03-02,838428724.9532058,857707500.0,19278795.046794176
2004-03-03,824985051.0744101,857707500.0,32722468.92558992
2004-03-04,856476452.1403294,857707500.0,1231067.859670639
2004-03-05,849631323.2564832,857707500.0,8076196.743516803
2004-03-06,828622924.327293,853859140.0,25236211.67270696
2004-03-07,820213006.7524499,838938200.0,18725169.24755013
2004-03-08,812203498.3801547,852194940.0,39991445.61984527
2004-03-09,812113892.6905224,853859140.0,41745243.30947757
2004-03-10,813954693.3316066,853859140.0,39904442.66839337
2004-03-11,828004942.2113585,853859140.0,25854193.788641453
2004-03-12,838730106.3634367,853859140.0,15129029.636563301
2004-03-13,864864823.9989067,836052900.0,28811895.99890673
2004-03-14,868967775.3951467,853859140.0,15108639.395146728
2004-03-15,871236013.819838,861864260.0,9371757.819838047
2004-03-16,811354444.0020504,842362940.0,31008499.9979496
2004-03-17,799165494.1085587,833632300.0,34466825.891441345
2004-03-18,839279042.3528844,833632300.0,5646722.352884412
2004-03-19,859207698.7418607,853859140.0,5348562.741860747
