,actual,predicted,residual
2004-01-01,858720153.2574874,865760450.0744913,7040296.817003846
2004-01-02,865783687.1572607,865882796.9479473,99109.79068660736
2004-01-03,865698156.9937929,865790256.9188586,92099.92506575584
2004-01-04,891995608.3739465,865677109.5570807,26318498.8168658
2004-01-05,909810169.7337964,865855805.2624758,43954364.47132051
2004-01-06,886001201.7686785,866018894.20153,19982307.567148566
2004-01-07,880503296.141177,865884639.4142884,14618656.726888657
2004-01-08,868737098.1792393,865452547.5013323,3284550.67790699
2004-01-09,853033954.5654507,865312511.6256113,12278557.060160637
2004-01-10,851187058.2493521,865446839.1067357,14259780.857383609
2004-01-11,852940261.4974062,865607947.5486147,12667686.051208496
2004-01-12,862287837.1515176,865819112.5285436,3531275.377025962
2004-01-13,866783489.7938726,865849641.1809816,933848.6128909588
2004-01-14,872808272.3648714,865885081.2127659,6923191.152105451
2004-01-15,868622990.2651188,865773355.9910487,2849634.2740701437
2004-01-16,868600021.7915026,865661263.0539473,2938758.7375552654
2004-01-17,863436867.0765098,865542252.8765177,2105385.80000782
2004-01-18,861011543.948744,865486056.8998797,4474512.951135635
2004-01-19,850989296.6870497,865517225.1085122,14527928.421462417
2004-01-20,855045408.108259,865493574.3069034,10448166.1986444
2004-01-21,844925553.3612447,865532175.2005163,20606621.839271665
2004-01-22,842408544.2434207,865569828.6095814,23161284.36616063
2004-01-23,847246303.0344374,865621185.301969,18374882.267531633
2004-01-24,842608758.3093147,865620579.7285819,23011821.419267178
2004-01-25,842079157.569773,865711592.1494062,23632434.579633236
2004-01-26,843970438.7230405,865684387.4001396,21713948.67709911
2004-01-27,846850113.149921,865655978.1366353,18805864.986714363
2004-01-28,849498707.1062138,865625262.8723432,16126555.766129375
2004-01-29,856264406.3766056,865649134.4108787,9384728.034273028
2004-01-30,857274663.3370149,865667782.3051832,8393118.968168259
2004-01-31,864344366.5353298,865639116.8147786,1294750.2794487476
2004-02-01,871615054.4420761,865622757.9815378,5992296.460538268
2004-02-02,868994816.4370197,865622820.6826749,3371995.754344821
2004-02-03,869774806.036416,865589994.1795083,4184811.8569077253
2004-02-04,878618739.5409737,865488658.8685224,13130080.672451258
2004-02-05,893105610.2379124,865502248.6794183,27603361.55849409
2004-02-06,895118522.7310277,865659500.7460579,29459021.984969854
2004-02-07,887180030.0183536,865720186.2199763,21459843.798377275
2004-02-08,875430313.7518412,865593865.006993,9836448.744848132
2004-02-09,864817465.7702888,865399447.796985,581982.0266962051
2004-02-10,863903787.5934181,865340843.3108677,1437055.7174495459
2004-02-11,868979827.8496568,865466248.3350831,3513579.5145736933
2004-02-12,885617916.478688,865682387.4895031,19935528.989184856
2004-02-13,862537824.1617174,865856795.5526019,3318971.3908845186
2004-02-14,850869806.2988585,865843016.274876,14973209.976017475
2004-02-15,845726643.7043855,865585571.3401546,19858927.63576913
2004-02-16,839475978.0891511,865461776.754691,25985798.66553986
2004-02-17,835811012.1635911,865664037.4020593,29853025.23846817
2004-02-18,826009461.6019111,865852911.0218918,39843449.419980764
2004-02-19,826957277.3022454,865903444.3567894,38946167.05454397
2004-02-20,837671971.3787119,865773049.2156587,28101077.836946726
2004-02-21,834810171.536834,865763590.4269376,30953418.89010358
2004-02-22,833929652.4004372,865824762.8586342,31895110.458196998
2004-02-23,834153001.8444077,865716652.2918164,31563650.447408676
2004-02-24,839308490.5204017,865584306.7966219,26275816.276220202
2004-02-25,827683762.3326604,865583491.0363275,37899728.703667045
2004-02-26,821918099.5724512,865594554.4958194,43676454.923368216
2004-02-27,819500683.3851075,865495097.3893437,45994414.00423622
2004-02-28,827156023.3750123,865462436.3369862,38306412.961973906
2004-03-01,840493364.0861684,865580579.844799,25087215.758630633
2004-03-02,838428724.9532058,865720381.0932192,27291656.140013337
2004-03-03,824985051.0744101,865755118.1847596,40770067.110349536
2004-03-04,856476452.1403294,865600935.7670896,9124483.626760244
2004-03-05,849631323.2564832,865562886.8893881,15931563.632904887
2004-03-06,828622924.327293,865690956.5814447,37068032.2541517
2004-03-07,820213006.7524499,865677617.1349734,45464610.38252354
2004-03-08,812203498.3801547,865367898.8260208,53164400.44586611
2004-03-09,812113892.6905224,865392023.8687884,53278131.17826593
2004-03-10,813954693.3316066,865661529.1457428,51706835.81413615
2004-03-11,828004942.2113585,865858017.498194,37853075.28683543
2004-03-12,838730106.3634367,865909720.7819121,27179614.41847539
2004-03-13,864864823.9989067,865882111.5288732,1017287.5299664736
2004-03-14,868967775.3951467,866041957.4551481,2925817.9399986267
2004-03-15,871236013.819838,865959883.6757799,5276130.144058108
2004-03-16,811354444.0020504,865711301.3418107,54356857.3397603
2004-03-17,799165494.1085587,865368912.0993739,66203417.99081528
2004-03-18,839279042.3528844,865049800.5826768,25770758.229792356
2004-03-19,859207698.7418607,865297139.9530815,6089441.211220741
2004-03-20,832454776.7464341,866070312.1118333,33615535.36539924
2004-03-21,827134054.0756072,866186470.5128522,39052416.43724501
2004-03-22,825606045.363282,865669462.373687,40063417.01040506
2004-03-23,817921824.3153135,865355293.6543136,47433469.339000106
2004-03-24,829097064.3501723,865594854.9047042,36497790.55453193
2004-03-25,819371837.1381056,865814278.756136,46442441.61803031
2004-03-26,800442128.5579915,865907730.3484915,65465601.790500045
2004-03-27,821475549.8477352,865624708.0923789,44149158.24464369
2004-03-28,826562010.5719123,865498974.6575348,38936964.08562255
2004-03-29,819903665.8735129,865682382.8863745,45778717.01286161
2004-03-30,801704290.5929735,865783833.3806965,64079542.787723064
2004-03-31,790323316.5525987,865591702.7228917,75268386.17029297
2004-04-01,802156708.0827649,865405502.7977992,63248794.715034366
2004-04-02,830456644.6368163,865513085.2176312,35056440.58081496
2004-04-03,828568182.4662069,865830601.9108018,37262419.44459486
2004-04-04,807096552.805006,866009791.8050432,58913239.00003719
2004-04-05,800165244.087318,865757004.1604201,65591760.07310212
2004-04-06,787850188.0364573,865373662.580728,77523474.54427075
2004-04-07,781952298.268309,865378326.076411,83426027.80810201
2004-04-08,779459773.7362834,865578139.9318407,86118366.19555724
2004-04-09,780305853.0830024,865755822.9706203,85449969.88761783
2004-04-10,788726199.683499,865896543.8529919,77170344.16949296
2004-04-11,788349724.0228008,865828136.8427684,77478412.81996763
2004-04-12,780537110.0602252,865809739.6983094,85272629.63808417
2004-04-13,778948526.5259771,865662406.9599352,86713880.43395805
2004-04-14,789750855.3897928,865548862.4135624,75798007.02376962
2004-04-15,811660465.3893559,865578938.6795558,53918473.290199876
2004-04-16,812796732.003164,865866594.3346486,53069862.331484556
2004-04-17,797411293.395707,865907935.0013634,68496641.60565639
2004-04-18,774730645.2542695,865673660.4514431,90943015.1971736
2004-04-19,769407919.1962941,865345827.2671025,95937908.07080841
2004-04-20,768508816.6238917,865265973.2753085,96757156.65141678
2004-04-21,763067962.2266545,865528977.8998387,102461015.67318416
2004-04-22,777863189.5327858,865821837.7829885,87958648.25020278
2004-04-23,790789363.6876299,865932726.5810817,75143362.89345181
2004-04-24,784189892.2849256,865903143.1788648,81713250.89393926
2004-04-25,777733156.4365263,865854543.1290065,88121386.6924802
2004-04-26,771563457.4147178,865632867.595935,94069410.1812172
2004-04-27,762475034.0613967,865467441.40637,102992407.34497333
2004-04-28,759757314.0935763,865511673.2582375,105754359.16466117
2004-04-29,763277560.1052377,865595542.8031685,102317982.69793081
2004-04-30,768587986.5510697,865704298.0938795,97116311.54280972
