,actual,predicted,residual
2004-01-01,858720153.2574874,874348937.6470187,15628784.389531255
2004-01-02,865783687.1572607,876830155.0113192,11046467.854058504
2004-01-03,865698156.9937929,872509008.3054714,6810851.311678529
2004-01-04,891995608.3739465,876665830.3313749,15329778.042571664
2004-01-05,909810169.7337964,879734320.7745382,30075848.9592582
2004-01-06,886001201.7686785,902767108.7335045,16765906.964825988
2004-01-07,880503296.141177,904312027.4713917,23808731.33021462
2004-01-08,868737098.1792393,890024122.562149,21287024.382909775
2004-01-09,853033954.5654507,885838352.7103863,32804398.144935608
2004-01-10,851187058.2493521,876655150.9909725,25468092.74162042
2004-01-11,852940261.4974062,882145523.4350324,29205261.937626123
2004-01-12,862287837.1515176,885102260.0906708,22814422.939153194
2004-01-13,866783489.7938726,881519014.1431992,14735524.34932661
2004-01-14,872808272.3648714,887600324.6294117,14792052.264540315
2004-01-15,868622990.2651188,884460517.443403,15837527.178284168
2004-01-16,868600021.7915026,883756751.1621203,15156729.370617747
2004-01-17,863436867.0765098,879548545.8006747,16111678.724164844
2004-01-18,861011543.948744,881446100.9296565,20434556.980912447
2004-01-19,850989296.6870497,882471867.3085637,31482570.621513963
2004-01-20,855045408.108259,881365875.4488187,26320467.34055972
2004-01-21,844925553.3612447,878888238.0820272,33962684.72078252
2004-01-22,842408544.2434207,879450720.4190342,37042176.17561352
2004-01-23,847246303.0344374,874644984.5417116,27398681.50727415
2004-01-24,842608758.3093147,876582305.5588303,33973547.24951553
2004-01-25,842079157.569773,876625858.8189025,34546701.249129534
2004-01-26,843970438.7230405,875017744.49892,31047305.775879502
2004-01-27,846850113.149921,876470951.1881162,29620838.038195252
2004-01-28,849498707.1062138,873981678.375104,24482971.268890142
2004-01-29,856264406.3766056,878257440.1013854,21993033.724779725
2004-01-30,857274663.3370149,882723891.5981867,25449228.261171818
2004-01-31,864344366.5353298,885028970.1609042,20684603.62557435
2004-02-01,871615054.4420761,887781262.9283843,16166208.486308217
2004-02-02,868994816.4370197,894780160.5656612,25785344.128641486
2004-02-03,869774806.036416,897265604.9324055,27490798.895989418
2004-02-04,878618739.5409737,897876134.8905008,19257395.34952712
2004-02-05,893105610.2379124,903799097.4246111,10693487.186698675
2004-02-06,895118522.7310277,914128769.4139788,19010246.682951093
2004-02-07,887180030.0183536,924515739.0386412,37335709.02028763
2004-02-08,875430313.7518412,924688726.184789,49258412.432947755
2004-02-09,864817465.7702888,917704208.7536602,52886742.98337138
