,actual,predicted,residual
2004-01-01,858720153.2574874,906996559.8307081,48276406.57322073
2004-01-02,865783687.1572607,912013697.000245,46230009.84298432
2004-01-03,865698156.9937929,908056428.4847101,42358271.490917206
2004-01-04,891995608.3739465,914087514.2555923,22091905.8816458
2004-01-05,909810169.7337964,919172463.8969207,9362294.163124323
2004-01-06,886001201.7686785,939580231.4369193,53579029.668240786
2004-01-07,880503296.141177,942407054.9020623,61903758.76088524
2004-01-08,868737098.1792393,931356267.2362784,62619169.05703914
2004-01-09,853033954.5654507,929761450.1246178,76727495.55916715
2004-01-10,851187058.2493521,919118551.107561,67931492.8582089
2004-01-11,852940261.4974062,926640513.4855248,73700251.98811853
2004-01-12,862287837.1515176,934510528.3375393,72222691.18602169
2004-01-13,866783489.7938726,936078057.7761095,69294567.98223686
2004-01-14,872808272.3648714,943519278.7523116,70711006.3874402
2004-01-15,868622990.2651188,943414837.461758,74791847.19663918
2004-01-16,868600021.7915026,944214856.6209008,75614834.82939816
2004-01-17,863436867.0765098,938989236.2665178,75552369.19000793
2004-01-18,861011543.948744,942200166.7773794,81188622.82863533
2004-01-19,850989296.6870497,948492773.8117573,97503477.12470758
2004-01-20,855045408.108259,948685330.7139374,93639922.60567844
2004-01-21,844925553.3612447,948431897.1526035,103506343.79135883
2004-01-22,842408544.2434207,950964560.5002469,108556016.25682616
2004-01-23,847246303.0344374,948269132.7311296,101022829.69669223
2004-01-24,842608758.3093147,949375427.3274572,106766669.01814246
2004-01-25,842079157.569773,951344684.1461862,109265526.57641327
2004-01-26,843970438.7230405,955453205.4209949,111482766.69795442
2004-01-27,846850113.149921,958635397.8277531,111785284.67783213
2004-01-28,849498707.1062138,959338641.4344486,109839934.32823479
2004-01-29,856264406.3766056,965055016.0532218,108790609.67661619
2004-01-30,857274663.3370149,970191860.0018548,112917196.66483986
2004-01-31,864344366.5353298,971274967.2847656,106930600.74943578
2004-02-01,871615054.4420761,974601818.911148,102986764.46907187
2004-02-02,868994816.4370197,984765668.3127416,115770851.87572193
2004-02-03,869774806.036416,988871998.7954947,119097192.75907862
2004-02-04,878618739.5409737,991099346.204502,112480606.66352832
2004-02-05,893105610.2379124,997190639.4731327,104085029.23522031
2004-02-06,895118522.7310277,1005777998.6020099,110659475.87098217
2004-02-07,887180030.0183536,1014312361.0851232,127132331.0667696
2004-02-08,875430313.7518412,1016353797.7044083,140923483.9525671
2004-02-09,864817465.7702888,1014725244.1794647,149907778.40917587
2004-02-10,863903787.5934181,1009283670.8382591,145379883.24484098
2004-02-11,868979827.8496568,1011664792.6673801,142684964.81772327
2004-02-12,885617916.478688,1020258893.7450234,134640977.26633537
