,actual,predicted,residual
2004-01-01,519660949.88290125,515534551.66032207,4126398.222579181
2004-01-02,2035484509.5487893,1213193038.3538177,822291471.1949716
2004-01-03,1331113556.9023976,-70416986.07088077,1401530542.9732785
2004-01-04,1032863850.1179976,-441713150.3649641,1474577000.4829617
2004-01-05,889684235.343816,-166585196.29685223,1056269431.6406683
2004-01-06,1550721830.645814,516409605.49110436,1034312225.1547096
2004-01-07,1978078403.3191895,332998991.3824314,1645079411.936758
2004-01-08,1529060186.139428,-670183324.8789726,2199243511.0184007
2004-01-09,1428702924.241322,-853276578.8506862,2281979503.092008
2004-01-10,1155515672.07182,-1044121712.0462483,2199637384.118068
2004-01-11,812988220.7043414,-1145801153.8400846,1958789374.544426
2004-01-12,875226910.4478683,-651717487.5200146,1526944397.967883
2004-01-13,1230271484.69892,104363998.954247,1125907485.744673
2004-01-14,1585388589.004526,434330657.2246386,1151057931.7798872
2004-01-15,1655921225.4002826,1999675.5765166283,1653921549.823766
2004-01-16,1701038333.4259558,-309379258.0488256,2010417591.4747815
2004-01-17,1167081991.7711277,-714246091.8780893,1881328083.6492171
2004-01-18,750935610.7239636,-917795328.8467616,1668730939.5707252
2004-01-19,410682314.8157652,-574896136.1660658,985578450.9818311
2004-01-20,742834956.7797323,507205898.0290035,235629058.75072885
2004-01-21,1074314077.5643706,1371344490.1694505,297030412.6050799
2004-01-22,1509292829.2604046,1803710327.4116452,294417498.1512406
2004-01-23,1460768443.168835,1628963155.5087895,168194712.3399546
2004-01-24,1117879941.9450102,1140026604.3809617,22146662.43595147
2004-01-25,767867808.8433838,783153111.7497312,15285302.906347394
2004-01-26,773805559.1418608,754348756.1134379,19456803.02842295
2004-01-27,1129735844.4177651,750713129.7890862,379022714.6286789
2004-01-28,1462902673.244586,765730281.1837859,697172392.0608001
2004-01-29,1444730914.1971707,732524136.4941673,712206777.7030034
2004-01-30,1531137929.3309028,716868238.6770959,814269690.6538069
2004-01-31,1209514112.4784005,296344584.3463465,913169528.132054
2004-02-01,874277108.603504,-16689721.763979673,890966830.3674836
2004-02-02,914851053.3752066,73688067.2606101,841162986.1145965
2004-02-03,1387312912.8830075,160489467.7859553,1226823445.097052
2004-02-04,2101848692.946232,40274911.604167104,2061573781.3420649
2004-02-05,2242887711.804078,-581428081.4657885,2824315793.2698665
2004-02-06,2086492347.117551,-1270310191.1025567,3356802538.220108
2004-02-07,1367637046.209478,-2118921101.0839515,3486558147.2934294
2004-02-08,980257227.3703496,-2367392633.850444,3347649861.2207937
2004-02-09,1008421909.1433812,-2130263987.6112075,3138685896.7545886
2004-02-10,1373032684.3123157,-1666671761.1162558,3039704445.4285717
2004-02-11,1945826108.2152004,-1192340143.3112907,3138166251.526491
2004-02-12,1684500779.2839882,-1271767956.9080772,2956268736.1920652
2004-02-13,1655172115.4114692,-1199236988.0572586,2854409103.468728
2004-02-14,1180370607.2163908,-1589242053.1390862,2769612660.3554773
2004-02-15,795589267.8807478,-1654029121.6579828,2449618389.5387306
2004-02-16,426729764.8157652,-1198675299.748507,1625405064.5642722
2004-02-17,781773997.158657,-60287809.45127261,842061806.6099296
2004-02-18,1078357030.9178183,855641299.0725205,222715731.8452978
2004-02-19,1406377297.4661944,1395257932.238082,11119365.22811246
2004-02-20,1506029510.5700777,1473952708.5672686,32076802.002809048
2004-02-21,1131642124.4885027,971641560.8898771,160000563.59862566
2004-02-22,763049662.6784681,626367411.122133,136682251.5563351
2004-02-23,789892301.7635626,614261269.0486122,175631032.71495032
2004-02-24,1129856987.653697,632396036.2247553,497460951.4289417
2004-02-25,1463922471.7826347,725232310.033803,738690161.7488317
2004-02-26,1447970138.2768347,685522393.0580543,762447745.2187804
2004-02-27,1428764907.318199,642972191.0433338,785792716.2748652
2004-02-28,1096142005.863825,318120306.36419046,778021699.4996346
2004-03-01,786993893.7749121,226204408.6993494,560789485.0755627
2004-03-02,810993945.3811642,317823579.7788893,493170365.6022749
2004-03-03,1116098507.192355,552877052.84036,563221454.3519949
2004-03-04,1963879353.7831776,698169898.199765,1265709455.5834126
2004-03-05,1665339031.3036673,114405896.53336453,1550933134.7703028
2004-03-06,1442292278.5586946,-181666120.2638477,1623958398.8225422
2004-03-07,1079375888.1138787,-416389837.7233733,1495765725.8372521
2004-03-08,714984089.6203965,-463854975.96885955,1178839065.589256
2004-03-09,737452087.0200745,-163058877.66773498,900510964.6878095
2004-03-10,1065515367.977764,366069307.25774,699446060.720024
2004-03-11,1428148809.9090257,896874303.4357185,531274506.47330713
2004-03-12,1446920886.442793,883312937.6935004,563607948.7492925
2004-03-13,1486192999.707217,657499812.5169339,828693187.1902831
2004-03-14,1125271385.8638735,263044992.50682807,862226393.3570454
2004-03-15,747732951.2295306,83879314.31187761,663853636.917653
2004-03-16,725595760.4183949,172280837.6284405,553314922.7899544
2004-03-17,1052805415.261574,551611769.6931,501193645.56847405
2004-03-18,1573392386.581014,916170501.5860673,657221884.9949466
2004-03-19,1729911758.9365864,806498165.8049889,923413593.1315975
2004-03-20,1717242728.1426022,357958199.5639349,1359284528.5786672
2004-03-21,1223505373.778655,-237467400.84640157,1460972774.6250567
2004-03-22,783783610.665254,-474676138.33578885,1258459749.0010428
2004-03-23,795100109.4301406,-340730682.9835509,1135830792.4136915
2004-03-24,1484593564.548841,8482321.618829846,1476111242.9300113
2004-03-25,1683941428.4392362,-68062449.4006437,1752003877.83988
2004-03-26,1407872327.4767804,-165803519.66567647,1573675847.142457
2004-03-27,1502704790.597061,-91038331.6076945,1593743122.2047553
2004-03-28,1197370790.7023313,-390727694.68310535,1588098485.3854365
2004-03-29,808027104.536495,-565353700.8714966,1373380805.4079914
2004-03-30,777253423.0812907,-391050812.0362781,1168304235.117569
2004-03-31,1078898391.1956644,144848185.65138483,934050205.5442796
2004-04-01,1497021788.554387,518010170.33425313,979011618.220134
2004-04-02,1835411119.0433664,419263577.0358561,1416147542.0075102
2004-04-03,1767312934.308555,-10002302.191592693,1777315236.5001476
2004-04-04,1158948745.5000153,-535403863.23061645,1694352608.7306318
2004-04-05,761475957.9026804,-682606451.9893502,1444082409.8920307
2004-04-06,758975346.2078259,-513839629.14739573,1272814975.3552217
2004-04-07,1040748058.7781808,-13541143.188246965,1054289201.9664278
2004-04-08,1361263407.832331,481828231.5435116,879435176.2888193
2004-04-09,1395033523.1127777,687267869.3138161,707765653.7989616
2004-04-10,1375955776.3830884,663024993.507818,712930782.8752704
2004-04-11,1066866382.1854328,393127882.8619398,673738499.323493
2004-04-12,727818374.697053,290567376.87509394,437250997.821959
2004-04-13,704764991.3862303,441311565.216702,263453426.16952837
2004-04-14,1072518663.900944,781849886.6642636,290668777.2366804
2004-04-15,1585474592.398996,943436610.5808276,642037981.8181685
2004-04-16,1679490644.1622465,761748384.3810979,917742259.7811486
2004-04-17,1574675885.6936686,428914214.65898836,1145761671.0346804
2004-04-18,1032749518.0304576,-9850650.143005848,1042600168.1734635
2004-04-19,704737615.7705668,-71997175.53801072,776734791.3085775
2004-04-20,699111590.5255846,125792048.27224982,573319542.2533348
2004-04-21,1036877159.8141234,584788299.4016793,452088860.4124441
2004-04-22,1425569971.6370077,964619253.9895608,460950717.6474469
2004-04-23,1548243188.9183729,996214714.1062796,552028474.8120933
2004-04-24,1437151817.4691174,725144278.4666934,712007539.002424
2004-04-25,1070073000.673687,363173561.52814376,706899439.1455432
2004-04-26,711380247.9880528,215672459.01421916,495707788.9738337
2004-04-27,694498243.4729867,338612949.0671991,355885294.4057876
2004-04-28,1017311884.9221194,715816296.9783704,301495587.94374895
2004-04-29,1328794224.1180222,1042777047.38214,286017176.73588216
2004-04-30,1352224665.5209198,1175796428.1082022,176428237.41271758
2004-05-01,550507699.845112,1091056219.4697554,540548519.6246434
2004-05-02,-29869572.957769163,1731942912.3382201,1761812485.2959893
2004-05-03,-370925975.2906956,2896097679.6527143,3267023654.94341
2004-05-04,-75297396.12233807,4190802191.2360005,4266099587.358339
2004-05-05,310299014.2185716,5158123830.539699,4847824816.321127
2004-05-06,461363969.5166705,5872383678.023657,5411019708.506987
2004-05-07,515673857.3097983,6349244654.003061,5833570796.693263
2004-05-08,427649551.549488,6159602666.495718,5731953114.94623
2004-05-09,-89347998.51807526,5902060241.738909,5991408240.256984
2004-05-10,-365668222.9784782,6084494172.200008,6450162395.178487
2004-05-11,215746830.9964845,6559020798.393995,6343273967.397511
2004-05-12,563639881.6400805,6611225823.468543,6047585941.828463
2004-05-13,522365602.17812735,6613247742.149456,6090882139.971329
2004-05-14,583523212.4599929,6766831659.1525755,6183308446.692583
2004-05-15,357729075.83913887,6528113664.462723,6170384588.623584
2004-05-16,10702718.808141464,6172561180.732735,6161858461.924593
2004-05-17,-169570588.65360352,6132339467.568115,6301910056.221719
2004-05-18,116841936.76433492,6423517271.185056,6306675334.420721
