,actual,predicted,residual
2004-01-01,519660949.88290125,1164748994.258977,645088044.3760757
2004-01-02,2035484509.5487893,850734113.6167101,1184750395.9320793
2004-01-03,1331113556.9023976,1405342090.934956,74228534.03255844
2004-01-04,1032863850.1179976,1214638512.2309546,181774662.112957
2004-01-05,889684235.343816,1252468832.4795728,362784597.13575673
2004-01-06,1550721830.645814,1386952077.471417,163769753.174397
2004-01-07,1978078403.3191895,1442746358.7795887,535332044.53960085
2004-01-08,1529060186.139428,1407503368.5345106,121556817.60491729
2004-01-09,1428702924.241322,1774398157.0198188,345695232.77849674
2004-01-10,1155515672.07182,1149561723.2314076,5953948.840412378
2004-01-11,812988220.7043414,1058019258.622151,245031037.9178096
2004-01-12,875226910.4478683,1080625107.4951015,205398197.0472331
2004-01-13,1230271484.69892,1432610732.84374,202339248.14481997
2004-01-14,1585388589.004526,1433970031.819755,151418557.18477082
2004-01-15,1655921225.4002826,1364085013.6334457,291836211.7668369
2004-01-16,1701038333.4259558,1656327335.0823102,44710998.34364557
2004-01-17,1167081991.7711277,1283354374.506164,116272382.73503637
2004-01-18,750935610.7239636,926233468.3914778,175297857.6675142
2004-01-19,410682314.8157652,884378983.3081282,473696668.49236304
2004-01-20,742834956.7797323,1009140262.94135,266305306.16161764
2004-01-21,1074314077.5643706,1267982487.9932685,193668410.42889786
2004-01-22,1509292829.2604046,1339956374.6896148,169336454.5707898
2004-01-23,1460768443.168835,1484860471.553598,24092028.384763002
2004-01-24,1117879941.9450102,1108814045.1719532,9065896.773056984
2004-01-25,767867808.8433838,788385517.040311,20517708.19692719
2004-01-26,773805559.1418608,710377817.899563,63427741.24229789
2004-01-27,1129735844.4177651,1042326564.1686279,87409280.24913728
2004-01-28,1462902673.244586,1375821815.865326,87080857.37926006
2004-01-29,1444730914.1971707,1632655325.4378061,187924411.2406354
2004-01-30,1531137929.3309028,1490029929.326787,41108000.00411582
2004-01-31,1209514112.4784005,1248153220.0302117,38639107.55181122
2004-02-01,874277108.603504,954233352.5754154,79956243.97191143
2004-02-02,914851053.3752066,875778395.5893308,39072657.7858758
2004-02-03,1387312912.8830075,1125008798.3759842,262304114.50702333
2004-02-04,2101848692.946232,1480694162.9102683,621154530.0359638
2004-02-05,2242887711.804078,1944491951.9372826,298395759.86679554
2004-02-06,2086492347.117551,1938260893.7516298,148231453.36592126
2004-02-07,1367637046.209478,1558605997.6212902,190968951.4118123
2004-02-08,980257227.3703496,1091762433.5813904,111505206.21104074
2004-02-09,1008421909.1433812,1089709074.6796756,81287165.53629434
2004-02-10,1373032684.3123157,1421729375.937645,48696691.625329256
2004-02-11,1945826108.2152004,1780161065.9386988,165665042.27650166
2004-02-12,1684500779.2839882,1984627565.9228902,300126786.63890195
2004-02-13,1655172115.4114692,1680734197.1000729,25562081.68860364
2004-02-14,1180370607.2163908,1261791216.5597029,81420609.34331203
2004-02-15,795589267.8807478,961995488.9905611,166406221.10981333
2004-02-16,426729764.8157652,909074902.7764188,482345137.9606536
2004-02-17,781773997.158657,984878484.2164887,203104487.05783176
2004-02-18,1078357030.9178183,1395938872.111578,317581841.1937597
2004-02-19,1406377297.4661944,1415740315.955779,9363018.489584684
2004-02-20,1506029510.5700777,1452005559.9995108,54023950.57056689
2004-02-21,1131642124.4885027,1119070562.0803328,12571562.408169985
2004-02-22,763049662.6784681,812464321.2411155,49414658.56264734
2004-02-23,789892301.7635626,703481769.2726834,86410532.49087918
2004-02-24,1129856987.653697,1097572756.2123868,32284231.441310167
2004-02-25,1463922471.7826347,1415729369.7716966,48193102.01093817
2004-02-26,1447970138.2768347,1587583491.3316808,139613353.05484605
2004-02-27,1428764907.318199,1513822479.4853787,85057572.16717982
2004-02-28,1096142005.863825,1202047416.0585883,105905410.19476318
2004-03-01,786993893.7749121,943235479.8625346,156241586.08762252
2004-03-02,810993945.3811642,852572517.7784823,41578572.397318125
2004-03-03,1116098507.192355,1081789991.2086582,34308515.9836967
2004-03-04,1963879353.7831776,1338495211.7901955,625384141.9929821
2004-03-05,1665339031.3036673,1844787061.5423865,179448030.23871922
2004-03-06,1442292278.5586946,1581930048.139398,139637769.5807035
2004-03-07,1079375888.1138787,1208298348.678618,128922460.56473923
2004-03-08,714984089.6203965,986804731.123176,271820641.5027795
2004-03-09,737452087.0200745,926446082.4965818,188993995.4765073
2004-03-10,1065515367.977764,1202841266.564829,137325898.5870651
2004-03-11,1428148809.9090257,1559182287.5317855,131033477.62275982
2004-03-12,1446920886.442793,1493370663.3603845,46449776.91759157
2004-03-13,1486192999.707217,1322615993.204341,163577006.50287604
2004-03-14,1125271385.8638735,1130567015.7073054,5295629.84343195
2004-03-15,747732951.2295306,898969097.1754092,151236145.94587862
2004-03-16,725595760.4183949,806049027.744727,80453267.32633209
2004-03-17,1052805415.261574,1079683515.591405,26878100.329830885
2004-03-18,1573392386.581014,1437392577.5296874,135999809.0513265
2004-03-19,1729911758.9365864,1573450615.989017,156461142.94756937
2004-03-20,1717242728.1426022,1554909825.2559648,162332902.88663745
2004-03-21,1223505373.778655,1304006077.9603887,80500704.18173361
2004-03-22,783783610.665254,981101597.4028727,197317986.73761868
2004-03-23,795100109.4301406,874824391.1187397,79724281.68859911
2004-03-24,1484593564.548841,1138910643.66869,345682920.88015103
2004-03-25,1683941428.4392362,1634440887.918868,49500540.5203681
2004-03-26,1407872327.4767804,1714611559.8136902,306739232.3369098
2004-03-27,1502704790.597061,1423215866.5657225,79488924.03133845
2004-03-28,1197370790.7023313,1176036136.6285734,21334654.073757887
2004-03-29,808027104.536495,964790327.726053,156763223.18955803
2004-03-30,777253423.0812907,914824246.3139409,137570823.23265016
2004-03-31,1078898391.1956644,1192453028.968323,113554637.77265859
