,actual,predicted,residual
2004-01-01,519660949.88290125,1117016947.8173454,597355997.9344442
2004-01-02,2035484509.5487893,752734818.9079602,1282749690.640829
2004-01-03,1331113556.9023976,1493059953.5251098,161946396.62271214
2004-01-04,1032863850.1179976,1106149299.8630524,73285449.74505472
2004-01-05,889684235.343816,1203537294.3278496,313853058.9840336
2004-01-06,1550721830.645814,1299420608.3347325,251301222.3110814
2004-01-07,1978078403.3191895,1433873669.1684194,544204734.1507702
2004-01-08,1529060186.139428,1263735326.8618727,265324859.27755523
2004-01-09,1428702924.241322,1799398907.6120253,370695983.3707032
2004-01-10,1155515672.07182,1135396603.6616464,20119068.410173655
2004-01-11,812988220.7043414,1005929767.4210505,192941546.71670914
2004-01-12,875226910.4478683,971062735.7519325,95835825.30406415
2004-01-13,1230271484.69892,1378419767.5737877,148148282.87486768
2004-01-14,1585388589.004526,1470670064.2343187,114718524.77020717
2004-01-15,1655921225.4002826,1346048290.1892602,309872935.2110224
2004-01-16,1701038333.4259558,1753152633.8663886,52114300.44043279
2004-01-17,1167081991.7711277,1336020102.31271,168938110.54158235
2004-01-18,750935610.7239636,910684066.8811791,159748456.15721548
2004-01-19,410682314.8157652,816502667.3592803,405820352.54351515
2004-01-20,742834956.7797323,950116845.5673089,207281888.78757656
2004-01-21,1074314077.5643706,1276559574.2990274,202245496.7346568
2004-01-22,1509292829.2604046,1316121667.4386945,193171161.8217101
2004-01-23,1460768443.168835,1519192106.2154002,58423663.046565294
2004-01-24,1117879941.9450102,1155078720.2064915,37198778.261481285
2004-01-25,767867808.8433838,786554941.3623605,18687132.51897669
2004-01-26,773805559.1418608,631122989.9988024,142682569.14305842
2004-01-27,1129735844.4177651,1003087859.4407811,126647984.97698402
2004-01-28,1462902673.244586,1382707908.2093682,80194765.03521776
2004-01-29,1444730914.1971707,1660959615.4269118,216228701.2297411
2004-01-30,1531137929.3309028,1495971292.2047133,35166637.12618947
2004-01-31,1209514112.4784005,1258582677.1406226,49068564.66222215
2004-02-01,874277108.603504,902279170.3461112,28002061.742607236
2004-02-02,914851053.3752066,770244279.348735,144606774.0264716
2004-02-03,1387312912.8830075,1096255780.952571,291057131.9304366
2004-02-04,2101848692.946232,1512605113.8108144,589243579.1354177
2004-02-05,2242887711.804078,1965947710.3643355,276940001.43974257
2004-02-06,2086492347.117551,1928802815.7792747,157689531.3382764
2004-02-07,1367637046.209478,1560008319.3970623,192371273.1875844
2004-02-08,980257227.3703496,996377780.1454521,16120552.775102496
2004-02-09,1008421909.1433812,956705174.5922372,51716734.551144004
2004-02-10,1373032684.3123157,1338025615.5346951,35007068.777620554
2004-02-11,1945826108.2152004,1784526473.773376,161299634.44182444
2004-02-12,1684500779.2839882,2024809384.739748,340308605.45575976
2004-02-13,1655172115.4114692,1682046972.4744413,26874857.06297207
2004-02-14,1180370607.2163908,1305054107.1783383,124683499.96194744
2004-02-15,795589267.8807478,931316246.0489523,135726978.16820455
2004-02-16,426729764.8157652,850627603.2817262,423897838.46596104
2004-02-17,781773997.158657,941845555.6538814,160071558.49522448
2004-02-18,1078357030.9178183,1451732665.7892952,373375634.8714769
2004-02-19,1406377297.4661944,1437672574.9737992,31295277.507604837
2004-02-20,1506029510.5700777,1504192971.7218294,1836538.8482482433
2004-02-21,1131642124.4885027,1177112940.3626041,45470815.8741014
2004-02-22,763049662.6784681,816203339.5117714,53153676.83330333
2004-02-23,789892301.7635626,637956383.1680369,151935918.59552562
2004-02-24,1129856987.653697,1065089535.5054783,64767452.14821875
2004-02-25,1463922471.7826347,1430481948.2571144,33440523.525520325
2004-02-26,1447970138.2768347,1595546127.7357025,147575989.4588678
2004-02-27,1428764907.318199,1510726927.91669,81962020.59849119
2004-02-28,1096142005.863825,1201297802.0661786,105155796.20235348
2004-03-01,786993893.7749121,840745339.8815264,53751446.10661423
2004-03-02,810993945.3811642,741980265.4765588,69013679.90460539
2004-03-03,1116098507.192355,1043851743.2081125,72246763.98424244
2004-03-04,1963879353.7831776,1347769479.5256166,616109874.257561
2004-03-05,1665339031.3036673,1870780901.3985453,205441870.09487796
2004-03-06,1442292278.5586946,1575076158.3302302,132783879.77153563
2004-03-07,1079375888.1138787,1185449140.4682581,106073252.35437942
2004-03-08,714984089.6203965,852163293.393002,137179203.77260554
2004-03-09,737452087.0200745,785512721.6261405,48060634.60606599
2004-03-10,1065515367.977764,1118166875.359411,52651507.38164699
2004-03-11,1428148809.9090257,1564789856.2227154,136641046.3136897
2004-03-12,1446920886.442793,1504048025.662604,57127139.2198112
2004-03-13,1486192999.707217,1398718077.9767988,87474921.7304182
2004-03-14,1125271385.8638735,1186942478.596482,61671092.73260856
2004-03-15,747732951.2295306,840557200.6728225,92824249.4432919
2004-03-16,725595760.4183949,763274388.9004387,37678628.48204374
2004-03-17,1052805415.261574,1060466160.8872081,7660745.625634074
2004-03-18,1573392386.581014,1490689305.605865,82703080.97514892
2004-03-19,1729911758.9365864,1603460105.4946823,126451653.44190407
2004-03-20,1717242728.1426022,1609298300.0306902,107944428.11191201
2004-03-21,1223505373.778655,1330666542.8290215,107161169.0503664
