,trend,"s(1,7)","s(2,7)","s(3,7)","s(4,7)","s(5,7)","s(6,7)","s(7,7)","sin(1,freq=YE-DEC)","cos(1,freq=YE-DEC)","sin(2,freq=YE-DEC)","cos(2,freq=YE-DEC)",lag_1,lag_2,lag_3,lag_4,lag_5,lag_6,lag_7,lag_8,lag_12,lag_13,lag_14,lag_15,rolling_mean_7,rolling_mean_14,rolling_mean_30,rolling_std_7,rolling_min_7,rolling_max_7,is_weekend,is_holiday
2004-01-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1548661666.8882036,1442777435.3421657,1153613852.5340905,809534439.9590006,809827175.4730768,1187766392.4760418,446350656.5257793,1697236882.8024008,842549815.2479117,1101334860.250172,1468648017.7870014,1474720933.4683318,1056933088.4569082,1166068365.8859227,1211321621.8720524,389917877.7096488,446350656.5257793,1548661666.8882036,0,0
2004-01-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,519660949.88290125,1548661666.8882036,1442777435.3421657,1153613852.5340905,809534439.9590006,809827175.4730768,1187766392.4760418,446350656.5257793,914530935.308818,842549815.2479117,1101334860.250172,1468648017.7870014,1067405987.5079257,1098283575.321344,1180733054.6340075,371326087.94894487,519660949.88290125,1548661666.8882036,0,0
2004-01-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2035484509.5487893,519660949.88290125,1548661666.8882036,1442777435.3421657,1153613852.5340905,809534439.9590006,809827175.4730768,1187766392.4760418,1223661657.184744,914530935.308818,842549815.2479117,1101334860.250172,1188508575.6611753,1165008550.2712452,1200216303.9304128,523979471.81475663,519660949.88290125,2035484509.5487893,1,0
2004-01-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1331113556.9023976,2035484509.5487893,519660949.88290125,1548661666.8882036,1442777435.3421657,1153613852.5340905,809534439.9590006,809827175.4730768,1678463334.6235096,1223661657.184744,914530935.308818,842549815.2479117,1262978058.722507,1199905960.389423,1196189525.6455107,497568014.0734638,519660949.88290125,2035484509.5487893,1,0
2004-01-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1032863850.1179976,1331113556.9023976,2035484509.5487893,519660949.88290125,1548661666.8882036,1442777435.3421657,1153613852.5340905,809534439.9590006,1697236882.8024008,1678463334.6235096,1223661657.184744,914530935.308818,1294882260.1737921,1208358311.4472213,1193415618.8494246,470046072.0125722,519660949.88290125,2035484509.5487893,0,0
2004-01-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,889684235.343816,1032863850.1179976,1331113556.9023976,2035484509.5487893,519660949.88290125,1548661666.8882036,1442777435.3421657,1153613852.5340905,446350656.5257793,1697236882.8024008,1678463334.6235096,1223661657.184744,1257178029.1466103,1184502781.3157265,1196417936.0780764,493277689.1965095,519660949.88290125,2035484509.5487893,0,0
2004-01-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1550721830.645814,889684235.343816,1032863850.1179976,1331113556.9023976,2035484509.5487893,519660949.88290125,1548661666.8882036,1442777435.3421657,1187766392.4760418,446350656.5257793,1697236882.8024008,1678463334.6235096,1272598657.0471313,1175378388.1744626,1220130728.2344756,501662822.59083575,519660949.88290125,2035484509.5487893,0,0
2004-01-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1978078403.3191895,1550721830.645814,889684235.343816,1032863850.1179976,1331113556.9023976,2035484509.5487893,519660949.88290125,1548661666.8882036,809827175.4730768,1187766392.4760418,446350656.5257793,1697236882.8024008,1333943905.108701,1195438496.7828047,1246368638.9667342,563492344.845703,519660949.88290125,2035484509.5487893,0,0
2004-01-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1529060186.139428,1978078403.3191895,1550721830.645814,889684235.343816,1032863850.1179976,1331113556.9023976,2035484509.5487893,519660949.88290125,809534439.9590006,809827175.4730768,1187766392.4760418,446350656.5257793,1478143796.0024903,1272774891.7552083,1240839778.9608545,434856318.8789652,889684235.343816,2035484509.5487893,0,0
2004-01-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1428702924.241322,1529060186.139428,1978078403.3191895,1550721830.645814,889684235.343816,1032863850.1179976,1331113556.9023976,2035484509.5487893,1153613852.5340905,809534439.9590006,809827175.4730768,1187766392.4760418,1391460712.387138,1289984644.0241566,1232007319.403248,359123502.04874504,889684235.343816,1978078403.3191895,1,0
2004-01-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1155515672.07182,1428702924.241322,1529060186.139428,1978078403.3191895,1550721830.645814,889684235.343816,1032863850.1179976,1331113556.9023976,1442777435.3421657,1153613852.5340905,809534439.9590006,809827175.4730768,1366375300.2684839,1314676679.4954953,1219334825.3132985,370009341.30295694,889684235.343816,1978078403.3191895,1,0
