,actual,predicted,residual
2004-01-01,519660949.88290125,1177099821.3812761,657438871.4983749
2004-01-02,2035484509.5487893,863062157.2892085,1172422352.2595806
2004-01-03,1331113556.9023976,1442220018.4489021,111106461.5465045
2004-01-04,1032863850.1179976,1251532702.082892,218668851.9648943
2004-01-05,889684235.343816,1264839820.893805,375155585.549989
2004-01-06,1550721830.645814,1399317710.5712671,151404120.0745468
2004-01-07,1978078403.3191895,1455108963.7036939,522969439.6154957
2004-01-08,1529060186.139428,1419864328.452376,109195857.68705201
2004-01-09,1428702924.241322,1786752958.7731113,358050034.5317893
2004-01-10,1155515672.07182,1186432885.282886,30917213.211066008
2004-01-11,812988220.7043414,1094895047.297439,281906826.5930977
2004-01-12,875226910.4478683,1092987260.3994303,217760349.95156193
2004-01-13,1230271484.69892,1444979035.4719615,214707550.7730415
2004-01-14,1585388589.004526,1446344637.4267645,139043951.5777614
2004-01-15,1655921225.4002826,1376460164.2076797,279461061.1926029
2004-01-16,1701038333.4259558,1668693347.2929502,32344986.13300562
2004-01-17,1167081991.7711277,1320218587.100779,153136595.32965136
2004-01-18,750935610.7239636,963094466.753076,212158856.02911234
2004-01-19,410682314.8157652,896728742.6032654,486046427.7875002
2004-01-20,742834956.7797323,1021515309.8705868,278680353.0908544
2004-01-21,1074314077.5643706,1280369743.9534168,206055666.3890462
2004-01-22,1509292829.2604046,1352339493.0154672,156953336.24493742
2004-01-23,1460768443.168835,1497226885.2671041,36458442.098269224
2004-01-24,1117879941.9450102,1145683567.952486,27803626.007475853
2004-01-25,767867808.8433838,825238887.5084043,57371078.665020466
2004-01-26,773805559.1418608,722711686.1003538,51093873.041507006
2004-01-27,1129735844.4177651,1054688709.5468887,75047134.87087643
2004-01-28,1462902673.244586,1388210543.4608603,74692129.78372574
2004-01-29,1444730914.1971707,1645046970.838592,200316056.64142132
2004-01-30,1531137929.3309028,1502400223.0736704,28737706.257232428
2004-01-31,1209514112.4784005,1285025509.202003,75511396.72360253
