,actual,predicted,residual
2004-01-01,519660949.88290125,1251432112.9235513,731771163.0406501
2004-01-02,2035484509.5487893,1122780216.1508934,912704293.3978958
2004-01-03,1331113556.9023976,1200535636.085439,130577920.81695867
2004-01-04,1032863850.1179976,1410507579.9666867,377643729.8486891
2004-01-05,889684235.343816,1394346762.3889437,504662527.04512763
2004-01-06,1550721830.645814,1360498267.9056044,190223562.74020958
2004-01-07,1978078403.3191895,1713791195.9620833,264287207.3571062
2004-01-08,1529060186.139428,1660730805.565317,131670619.42588902
2004-01-09,1428702924.241322,1696910186.2588668,268207262.01754475
2004-01-10,1155515672.07182,1077117263.6866522,78398408.38516784
2004-01-11,812988220.7043414,966351936.2275618,153363715.52322042
2004-01-12,875226910.4478683,1385469858.4421704,510242947.99430203
2004-01-13,1230271484.69892,1535637852.0541375,305366367.35521746
2004-01-14,1585388589.004526,1628744263.0910764,43355674.086550474
2004-01-15,1655921225.4002826,1494538508.7187653,161382716.68151736
2004-01-16,1701038333.4259558,1556299934.2480528,144738399.17790294
2004-01-17,1167081991.7711277,1376928053.757206,209846061.98607826
2004-01-18,750935610.7239636,998523965.4062858,247588354.68232214
2004-01-19,410682314.8157652,1132488122.9406335,721805808.1248684
2004-01-20,742834956.7797323,972568026.4034493,229733069.62371695
2004-01-21,1074314077.5643706,1312157663.2859075,237843585.72153687
2004-01-22,1509292829.2604046,1525997577.675353,16704748.414948463
2004-01-23,1460768443.168835,1620170807.4171963,159402364.24836135
2004-01-24,1117879941.9450102,1267800587.9190195,149920645.97400928
2004-01-25,767867808.8433838,843606534.4592881,75738725.61590433
2004-01-26,773805559.1418608,838664112.3929415,64858553.25108063
2004-01-27,1129735844.4177651,1172943545.4174385,43207700.99967337
2004-01-28,1462902673.244586,1505070716.0574033,42168042.812817335
2004-01-29,1444730914.1971707,1573675761.499682,128944847.30251122
2004-01-30,1531137929.3309028,1520313937.1147308,10823992.21617198
2004-01-31,1209514112.4784005,1145889215.6704824,63624896.80791807
2004-02-01,874277108.603504,901324524.0247774,27047415.42127347
2004-02-02,914851053.3752066,1045511168.7396235,130660115.36441696
2004-02-03,1387312912.8830075,1256769079.2939777,130543833.58902979
2004-02-04,2101848692.946232,1560096759.8258686,541751933.1203635
2004-02-05,2242887711.804078,1797913608.7733505,444974103.0307276
2004-02-06,2086492347.117551,1831058686.7865348,255433660.3310163
2004-02-07,1367637046.209478,1602069512.2888718,234432466.07939386
2004-02-08,980257227.3703496,1061751767.7622495,81494540.39189982
2004-02-09,1008421909.1433812,1304374548.0253086,295952638.8819274
2004-02-10,1373032684.3123157,1505256695.7294564,132224011.41714072
2004-02-11,1945826108.2152004,1806530079.4086065,139296028.8065939
2004-02-12,1684500779.2839882,1853988148.2200985,169487368.93611026
2004-02-13,1655172115.4114692,1700826371.38849,45654255.97702074
2004-02-14,1180370607.2163908,1290095931.8660154,109725324.64962459
2004-02-15,795589267.8807478,971709489.7794855,176120221.89873767
2004-02-16,426729764.8157652,1197764246.2594345,771034481.4436693
2004-02-17,781773997.158657,934579793.6804196,152805796.5217626
2004-02-18,1078357030.9178183,1251459043.4831479,173102012.56532955
2004-02-19,1406377297.4661944,1446940822.8452556,40563525.37906122
2004-02-20,1506029510.5700777,1566567426.087301,60537915.51722336
2004-02-21,1131642124.4885027,1344669089.7355413,213026965.2470386
2004-02-22,763049662.6784681,878765154.6266782,115715491.94821012
2004-02-23,789892301.7635626,835201714.6805863,45309412.91702378
2004-02-24,1129856987.653697,1196947406.2022693,67090418.5485723
2004-02-25,1463922471.7826347,1524657684.2739205,60735212.4912858
2004-02-26,1447970138.2768347,1578060938.140782,130090799.86394739
2004-02-27,1428764907.318199,1533849420.0946498,105084512.77645087
2004-02-28,1096142005.863825,1104630811.7840345,8488805.920209408
2004-03-01,786993893.7749121,958443468.3173486,171449574.54243648
2004-03-02,810993945.3811642,1002820037.0129017,191826091.63173747
2004-03-03,1116098507.192355,1185859685.621859,69761178.42950416
2004-03-04,1963879353.7831776,1418508447.4556496,545370906.327528
2004-03-05,1665339031.3036673,1739313042.2909095,73974010.98724222
2004-03-06,1442292278.5586946,1633804918.6566863,191512640.0979917
2004-03-07,1079375888.1138787,1190726541.7715347,111350653.65765595
2004-03-08,714984089.6203965,998702545.3604064,283718455.7400099
2004-03-09,737452087.0200745,1211776473.7884471,474324386.76837265
2004-03-10,1065515367.977764,1324479885.7304583,258964517.75269425
2004-03-11,1428148809.9090257,1579386483.1246839,151237673.2156582
2004-03-12,1446920886.442793,1539355719.6387408,92434833.19594789
2004-03-13,1486192999.707217,1438992137.9394238,47200861.76779318
2004-03-14,1125271385.8638735,1083838191.9319768,41433193.93189669
2004-03-15,747732951.2295306,1029576140.210834,281843188.98130345
2004-03-16,725595760.4183949,1092542050.0036118,366946289.5852169
2004-03-17,1052805415.261574,1233958450.1183472,181153034.85677314
2004-03-18,1573392386.581014,1490409638.607437,82982747.97357702
2004-03-19,1729911758.9365864,1568203841.9266093,161707917.0099771
2004-03-20,1717242728.1426022,1593469330.102771,123773398.03983116
2004-03-21,1223505373.778655,1301555681.0344934,78050307.2558384
2004-03-22,783783610.665254,1063280635.7937076,279497025.1284536
2004-03-23,795100109.4301406,1065295306.9712079,270195197.54106724
2004-03-24,1484593564.548841,1284609786.6386423,199983777.9101987
2004-03-25,1683941428.4392362,1675380689.0219715,8560739.4172647
2004-03-26,1407872327.4767804,1692861288.2347834,284988960.758003
2004-03-27,1502704790.597061,1550584926.8100803,47880136.21301937
2004-03-28,1197370790.7023313,1101934367.1563878,95436423.5459435
2004-03-29,808027104.536495,1110889023.1803064,302861918.64381146
2004-03-30,777253423.0812907,1269829793.0745041,492576369.9932134
2004-03-31,1078898391.1956644,1320495688.7368267,241597297.54116225
2004-04-01,1497021788.554387,1447159042.9973128,49862745.55707431
2004-04-02,1835411119.0433664,1534291181.3957913,301119937.64757514
2004-04-03,1767312934.308555,1652440655.9732563,114872278.33529854
2004-04-04,1158948745.5000153,1473923218.745107,314974473.2450917
2004-04-05,761475957.9026804,1045446026.7548751,283970068.85219467
2004-04-06,758975346.2078259,1009006767.817739,250031421.6099131
2004-04-07,1040748058.7781808,1255207615.2814097,214459556.5032289
2004-04-08,1361263407.832331,1609213769.489056,247950361.65672517
2004-04-09,1395033523.1127777,1650784194.7043543,255750671.59157658
2004-04-10,1375955776.3830884,1533141114.590219,157185338.20713067
2004-04-11,1066866382.1854328,1064293481.9491501,2572900.2362827063
2004-04-12,727818374.697053,1011759822.6329641,283941447.9359112
2004-04-13,704764991.3862303,1014409820.0213306,309644828.63510025
2004-04-14,1072518663.900944,1209934546.4081988,137415882.50725484
2004-04-15,1585474592.398996,1432419939.0131009,153054653.38589525
2004-04-16,1679490644.1622465,1585510937.5990548,93979706.56319165
2004-04-17,1574675885.6936686,1594896936.6801462,20221050.986477613
2004-04-18,1032749518.0304576,1243675046.4430757,210925528.41261804
2004-04-19,704737615.7705668,997575912.6838644,292838296.91329753
2004-04-20,699111590.5255846,1014484458.9256042,315372868.40001965
