,actual,predicted,residual
2004-01-01,519660949.88290125,-540381294.0832905,1060042243.9661918
2004-01-02,2035484509.5487893,73464034.0646112,1962020475.484178
2004-01-03,1331113556.9023976,-1222229618.5191784,2553343175.421576
2004-01-04,1032863850.1179976,-1241874804.818015,2274738654.9360127
2004-01-05,889684235.343816,-850601184.1115459,1740285419.4553618
2004-01-06,1550721830.645814,-266852100.52842128,1817573931.1742353
2004-01-07,1978078403.3191895,-559845067.1499048,2537923470.4690943
2004-01-08,1529060186.139428,-1448477674.4241667,2977537860.563595
2004-01-09,1428702924.241322,-1387814061.9068422,2816516986.1481643
2004-01-10,1155515672.07182,-1521848561.023193,2677364233.0950127
2004-01-11,812988220.7043414,-1661177604.6582212,2474165825.3625627
2004-01-12,875226910.4478683,-1173165551.5083013,2048392461.9561696
2004-01-13,1230271484.69892,-576569426.8695554,1806840911.5684752
2004-01-14,1585388589.004526,-383603365.2585808,1968991954.2631068
2004-01-15,1655921225.4002826,-879788746.0028969,2535709971.4031796
2004-01-16,1701038333.4259558,-1066944619.3111073,2767982952.737063
2004-01-17,1167081991.7711277,-1335835756.9725146,2502917748.7436423
2004-01-18,750935610.7239636,-1552798128.502276,2303733739.2262397
2004-01-19,410682314.8157652,-1271163840.6756544,1681846155.4914196
2004-01-20,742834956.7797323,-363494297.65527403,1106329254.4350064
2004-01-21,1074314077.5643706,267624985.10798526,806689092.4563854
2004-01-22,1509292829.2604046,494359942.0065942,1014932887.2538104
2004-01-23,1460768443.168835,263950144.83357382,1196818298.335261
2004-01-24,1117879941.9450102,-160879820.77198446,1278759762.7169948
2004-01-25,767867808.8433838,-539360661.1643804,1307228470.0077643
2004-01-26,773805559.1418608,-555399494.861857,1329205054.003718
2004-01-27,1129735844.4177651,-512287902.2515174,1642023746.6692824
2004-01-28,1462902673.244586,-432376367.29244363,1895279040.5370297
2004-01-29,1444730914.1971707,-357170103.7307204,1801901017.9278913
2004-01-30,1531137929.3309028,-347431205.03262126,1878569134.363524
2004-01-31,1209514112.4784005,-779152188.8574153,1988666301.335816
2004-02-01,874277108.603504,-1092314196.7658005,1966591305.3693044
2004-02-02,914851053.3752066,-996560692.5006148,1911411745.8758214
2004-02-03,1387312912.8830075,-935296030.6257888,2322608943.508796
2004-02-04,2101848692.946232,-968574006.6236626,3070422699.569895
2004-02-05,2242887711.804078,-1308975023.0749645,3551862734.8790426
2004-02-06,2086492347.117551,-1682835903.4990697,3769328250.616621
2004-02-07,1367637046.209478,-2290562895.6698503,3658199941.8793283
2004-02-08,980257227.3703496,-2412154448.7557535,3392411676.1261034
2004-02-09,1008421909.1433812,-2199600641.318355,3208022550.461736
2004-02-10,1373032684.3123157,-1796311375.0123649,3169344059.3246803
2004-02-11,1945826108.2152004,-1433844459.9482536,3379670568.163454
2004-02-12,1684500779.2839882,-1523357714.6412187,3207858493.925207
2004-02-13,1655172115.4114692,-1437015650.6230493,3092187766.0345182
2004-02-14,1180370607.2163908,-1930181298.8412013,3110551906.0575924
2004-02-15,795589267.8807478,-2069171343.8138528,2864760611.6946006
2004-02-16,426729764.8157652,-1674912544.4314709,2101642309.247236
2004-02-17,781773997.158657,-689668548.6946763,1471442545.8533332
2004-02-18,1078357030.9178183,-26811305.96151042,1105168336.8793287
2004-02-19,1406377297.4661944,294887012.0990064,1111490285.367188
2004-02-20,1506029510.5700777,217440891.76419425,1288588618.8058834
2004-02-21,1131642124.4885027,-354708802.700143,1486350927.1886458
2004-02-22,763049662.6784681,-685431099.2199813,1448480761.8984494
2004-02-23,789892301.7635626,-727728409.1542786,1517620710.9178412
2004-02-24,1129856987.653697,-679832501.8427805,1809689489.4964776
2004-02-25,1463922471.7826347,-525909982.8613986,1989832454.6440334
2004-02-26,1447970138.2768347,-509685935.868363,1957656074.1451979
2004-02-27,1428764907.318199,-527167302.54192007,1955932209.8601189
2004-02-28,1096142005.863825,-854914052.2851297,1951056058.1489549
2004-03-01,786993893.7749121,-926960340.5394322,1713954234.3143444
2004-03-02,810993945.3811642,-906678781.3214298,1717672726.702594
2004-03-03,1116098507.192355,-726965771.8906637,1843064279.0830188
2004-03-04,1963879353.7831776,-565510279.0358156,2529389632.818993
2004-03-05,1665339031.3036673,-983205461.3167037,2648544492.620371
2004-03-06,1442292278.5586946,-1036419699.969524,2478711978.5282187
2004-03-07,1079375888.1138787,-1251721050.957512,2331096939.0713906
2004-03-08,714984089.6203965,-1293874300.8989491,2008858390.5193458
2004-03-09,737452087.0200745,-1032505928.4336857,1769958015.4537601
2004-03-10,1065515367.977764,-593659850.6274909,1659175218.605255
2004-03-11,1428148809.9090257,-166417121.7359165,1594565931.6449423
2004-03-12,1446920886.442793,-216236637.08507526,1663157523.5278683
2004-03-13,1486192999.707217,-450611043.88682044,1936804043.5940375
2004-03-14,1125271385.8638735,-832321386.5598699,1957592772.4237432
2004-03-15,747732951.2295306,-957147134.3786217,1704880085.6081524
2004-03-16,725595760.4183949,-849866628.2294666,1575462388.6478615
2004-03-17,1052805415.261574,-508041865.9035164,1560847281.1650906
2004-03-18,1573392386.581014,-160677188.22229207,1734069574.803306
2004-03-19,1729911758.9365864,-308573775.5761992,2038485534.5127854
2004-03-20,1717242728.1426022,-694500860.0318063,2411743588.1744084
2004-03-21,1223505373.778655,-1179382091.0084553,2402887464.7871103
2004-03-22,783783610.665254,-1333555615.4097,2117339226.074954
2004-03-23,795100109.4301406,-1234476887.4810462,2029576996.9111867
2004-03-24,1484593564.548841,-918155787.8555435,2402749352.4043846
2004-03-25,1683941428.4392362,-949491726.8325683,2633433155.2718043
2004-03-26,1407872327.4767804,-939547897.396223,2347420224.8730035
2004-03-27,1502704790.597061,-861876141.2755064,2364580931.872567
2004-03-28,1197370790.7023313,-1220192899.3382173,2417563690.0405483
2004-03-29,808027104.536495,-1389219628.455029,2197246732.9915237
2004-03-30,777253423.0812907,-1226479261.0251617,2003732684.1064525
2004-03-31,1078898391.1956644,-813095273.2974328,1891993664.4930973
2004-04-01,1497021788.554387,-509220675.5522486,2006242464.1066356
2004-04-02,1835411119.0433664,-631526891.5212628,2466938010.564629
2004-04-03,1767312934.308555,-984983187.5192193,2752296121.827774
2004-04-04,1158948745.5000153,-1381084043.9876323,2540032789.4876475
2004-04-05,761475957.9026804,-1435489303.7839036,2196965261.686584
2004-04-06,758975346.2078259,-1287440324.1620994,2046415670.3699253
2004-04-07,1040748058.7781808,-878678809.42885,1919426868.2070308
2004-04-08,1361263407.832331,-468205854.64412296,1829469262.4764538
2004-04-09,1395033523.1127777,-325273399.33166015,1720306922.444438
2004-04-10,1375955776.3830884,-410524370.6331483,1786480147.0162368
2004-04-11,1066866382.1854328,-747236952.5766429,1814103334.7620757
2004-04-12,727818374.697053,-923689877.9778517,1651508252.6749048
2004-04-13,704764991.3862303,-814666699.0514699,1519431690.4377003
2004-04-14,1072518663.900944,-522956069.34618175,1595474733.2471256
2004-04-15,1585474592.398996,-389124584.6176883,1974599177.0166845
2004-04-16,1679490644.1622465,-505227066.84639347,2184717711.00864
2004-04-17,1574675885.6936686,-698418522.0268341,2273094407.720503
2004-04-18,1032749518.0304576,-1026228592.0211474,2058978110.051605
2004-04-19,704737615.7705668,-1077828573.6509738,1782566189.4215407
2004-04-20,699111590.5255846,-946410529.6767865,1645522120.2023711
2004-04-21,1036877159.8141234,-552006920.7611111,1588884080.5752344
2004-04-22,1425569971.6370077,-229863308.97799003,1655433280.6149979
2004-04-23,1548243188.9183729,-201145679.95369756,1749388868.8720703
2004-04-24,1437151817.4691174,-502261021.3129653,1939412838.7820826
2004-04-25,1070073000.673687,-826569311.6078376,1896642312.2815247
2004-04-26,711380247.9880528,-945916713.3897375,1657296961.3777905
2004-04-27,694498243.4729867,-849146628.5446993,1543644872.017686
2004-04-28,1017311884.9221194,-541003613.1292127,1558315498.051332
2004-04-29,1328794224.1180222,-221471535.3161806,1550265759.4342027
2004-04-30,1352224665.5209198,-56872004.51776707,1409096670.0386868
2004-05-01,550507699.845112,-196715863.46147525,747223563.3065872
2004-05-02,-29869572.957769163,279241172.4812918,309110745.4390609
2004-05-03,-370925975.2906956,1058433791.5847245,1429359766.87542
2004-05-04,-75297396.12233807,1938076251.7584312,2013373647.8807693
2004-05-05,310299014.2185716,2584947704.1630225,2274648689.944451
2004-05-06,461363969.5166705,3059862644.1471677,2598498674.630497
2004-05-07,515673857.3097983,3387066599.8630886,2871392742.5532904
2004-05-08,427649551.549488,3000217716.5905333,2572568165.041045
2004-05-09,-89347998.51807526,2651271300.1825156,2740619298.700591
2004-05-10,-365668222.9784782,2791148047.723391,3156816270.701869
2004-05-11,215746830.9964845,3186617873.8571496,2970871042.8606653
2004-05-12,563639881.6400805,3228416210.228164,2664776328.5880837
2004-05-13,522365602.17812735,3320842258.445572,2798476656.2674446
2004-05-14,583523212.4599929,3528656217.0336256,2945133004.5736327
2004-05-15,357729075.83913887,3247625118.6312146,2889896042.7920756
2004-05-16,10702718.808141464,2884977241.7319727,2874274522.9238315
2004-05-17,-169570588.65360352,2878479858.3495398,3048050447.0031433
2004-05-18,116841936.76433492,3148999638.6879206,3032157701.923586
2004-05-19,512384450.97752726,3459162477.940677,2946778026.96315
2004-05-20,582770149.0193644,3429826372.8488207,2847056223.8294563
2004-05-21,544647157.2499895,3418031257.1217456,2873384099.871756
2004-05-22,471287415.4451572,3197578143.1200275,2726290727.6748705
2004-05-23,144286523.52205077,2861396185.5645013,2717109662.0424504
2004-05-24,-295176358.71202403,2847609900.703645,3142786259.4156694
2004-05-25,-312550104.4391705,3437896530.681994,3750446635.1211643
2004-05-26,65382721.99940088,4182558610.2297277,4117175888.2303267
2004-05-27,317625780.1827147,4444100080.527303,4126474300.3445883
2004-05-28,302490490.09774685,4484236444.57941,4181745954.4816628
2004-05-29,637745784.974064,4414817277.942814,3777071492.96875
2004-05-30,190330402.30173495,3807374748.178162,3617044345.876427
2004-05-31,-427279435.93717,3691222452.7401147,4118501888.6772847
2004-06-01,-25441948.2610625,4125067665.9484,4150509614.2094626
2004-06-02,589810304.6931571,4184889992.64298,3595079687.949823
2004-06-03,607505592.7067904,3929835568.55376,3322329975.8469696
2004-06-04,539957811.8724275,3903640885.396765,3363683073.524338
2004-06-05,406413437.9940038,3860392656.248957,3453979218.2549534
2004-06-06,39986646.85495183,3622944418.835789,3582957771.9808373
2004-06-07,-441843490.5809229,3521899562.4961624,3963743053.0770855
2004-06-08,20706099.763999168,3971648997.689151,3950942897.925152
2004-06-09,430575629.5848047,4175533917.072289,3744958287.4874845
2004-06-10,419075054.5336651,4151659863.8532333,3732584809.319568
2004-06-11,386577127.8444991,4131957188.0853295,3745380060.2408304
2004-06-12,621574494.6321484,4039608550.0297947,3418034055.3976464
2004-06-13,203821532.1985426,3573033351.761938,3369211819.5633955
2004-06-14,-369449936.1341051,3324118311.8597074,3693568247.9938126
2004-06-15,-20609735.78407207,3730236661.483641,3750846397.267713
2004-06-16,537844804.6147567,4074455359.8743954,3536610555.259639
2004-06-17,554221624.6070676,3976423859.709933,3422202235.102865
2004-06-18,512241746.8423356,3925877498.7497272,3413635751.9073915
2004-06-19,556592569.0875195,3833961056.981619,3277368487.894099
2004-06-20,61947257.65002013,3423202509.85897,3361255252.20895
2004-06-21,-178730643.62819225,3342364284.857898,3521094928.4860907
2004-06-22,67334540.34959309,3543531854.753402,3476197314.403809
2004-06-23,448047430.8752458,3852239364.086925,3404191933.2116795
2004-06-24,452959110.37233657,3810328302.9043036,3357369192.531967
2004-06-25,534492971.0536746,3799685148.8051004,3265192177.7514257
2004-06-26,508704885.85690254,3634802716.152215,3126097830.2953124
2004-06-27,107135482.6907006,3295805311.899007,3188669829.2083063
2004-06-28,-441951630.2852824,3219428849.3952007,3661380479.680483
2004-06-29,200472740.40190384,3856613997.808396,3656141257.406492
2004-06-30,568366462.0872988,3888469504.4724646,3320103042.3851657
2004-07-01,1123008983.3559551,3797712613.4186134,2674703630.0626583
2004-07-02,1066881129.352672,3384018186.247653,2317137056.894981
2004-07-03,1012055065.051322,2973771121.7769823,1961716056.7256603
2004-07-04,638983006.9898634,2342162322.0424595,1703179315.052596
2004-07-05,1054639164.222724,1868412012.3843694,813772848.1616454
2004-07-06,664174103.8412467,1077491743.3987234,413317639.55747664
2004-07-07,1113349299.950388,1341362943.5290794,228013643.57869148
2004-07-08,1095927964.0793393,1159786296.919396,63858332.84005666
2004-07-09,1098314124.1016695,1112151522.2821934,13837398.180523872
2004-07-10,1094352338.986199,950207799.4376106,144144539.54858828
2004-07-11,1064887307.3924488,638283886.1645044,426603421.2279444
2004-07-12,1112188741.7297423,318305140.7954668,793883600.9342755
2004-07-13,1065908776.157174,-10086704.539547801,1075995480.6967218
2004-07-14,1092021484.5788696,-56766505.71900666,1148787990.2978764
2004-07-15,1152899031.6762009,34592026.009685874,1118307005.6665149
2004-07-16,1184392616.1846175,63584712.04522538,1120807904.1393921
2004-07-17,1172359016.1757598,-191349582.99697983,1363708599.1727395
2004-07-18,1152068185.6968827,-326811855.8539854,1478880041.550868
2004-07-19,1095248217.0125108,-320111835.03650033,1415360052.0490112
2004-07-20,1058862383.8885657,-357746823.6551453,1416609207.543711
2004-07-21,1098976605.5556755,-398485225.2085165,1497461830.764192
2004-07-22,1131913336.107381,-340203553.10755193,1472116889.214933
2004-07-23,1138476751.091697,-338290273.8907076,1476767024.9824047
2004-07-24,1132589261.3453343,-485454706.0642961,1618043967.4096303
2004-07-25,1113229918.072816,-543647769.3811718,1656877687.4539876
2004-07-26,1094763398.7930608,-482811602.9110273,1577575001.7040882
2004-07-27,1089328430.4412932,-519220175.6627089,1608548606.104002
2004-07-28,1037381936.2765446,-561037593.4913164,1598419529.767861
2004-07-29,1044939359.7061971,-569009581.2005049,1613948940.906702
2004-07-30,1077184219.4215455,-540290247.676917,1617474467.0984626
2004-07-31,1067897463.5362946,-626419664.2536043,1694317127.7898989
2004-08-01,1165917087.4454656,-610262615.5656146,1776179703.0110803
2004-08-02,798652669.2221847,-624338315.1790358,1422990984.4012203
2004-08-03,835977198.4287738,-246652386.29906523,1082629584.727839
2004-08-04,1320428140.2970283,-128235265.30652368,1448663405.6035519
2004-08-05,1801897135.5700023,-442263364.03198636,2244160499.601989
2004-08-06,1763732671.472791,-914874321.2837948,2678606992.7565856
2004-08-07,1738723868.39014,-1333766173.0295496,3072490041.4196897
2004-08-08,1275272961.329172,-1715211772.1739182,2990484733.50309
2004-08-09,798236243.7349172,-1667151572.2643814,2465387815.9992986
2004-08-10,853678110.16389,-1375446577.8131685,2229124687.9770584
2004-08-11,1378735167.547207,-1008664334.3141528,2387399501.86136
