,actual,predicted,residual
2004-01-01,519660949.88290125,1248436908.1016662,728775958.218765
2004-01-02,2035484509.5487893,1469470182.4693007,566014327.0794885
2004-01-03,1331113556.9023976,1250793722.9250464,80319833.97735119
2004-01-04,1032863850.1179976,1142011890.88741,109148040.76941228
2004-01-05,889684235.343816,1518102990.2348511,628418754.8910351
2004-01-06,1550721830.645814,1689382590.5095477,138660759.86373377
2004-01-07,1978078403.3191895,1643925055.6790826,334153347.6401069
2004-01-08,1529060186.139428,1688777898.6317868,159717712.49235892
2004-01-09,1428702924.241322,1880107039.4475274,451404115.20620537
2004-01-10,1155515672.07182,987212430.9058797,168303241.16594028
2004-01-11,812988220.7043414,985165325.1155764,172177104.41123497
2004-01-12,875226910.4478683,1603982181.7007215,728755271.2528532
2004-01-13,1230271484.69892,1811410103.7250276,581138619.0261075
2004-01-14,1585388589.004526,1657110072.6465995,71721483.64207363
2004-01-15,1655921225.4002826,1657175114.0692976,1253888.6690149307
2004-01-16,1701038333.4259558,2040925546.6211753,339887213.1952195
2004-01-17,1167081991.7711277,923228860.7443972,243853131.02673054
2004-01-18,750935610.7239636,782208747.2112216,31273136.487257957
2004-01-19,410682314.8157652,1492078013.0001519,1081395698.1843867
2004-01-20,742834956.7797323,1598426387.8842165,855591431.1044842
2004-01-21,1074314077.5643706,1640902935.7244442,566588858.1600735
2004-01-22,1509292829.2604046,1666945863.9880347,157653034.72763014
2004-01-23,1460768443.168835,1940135951.1857424,479367508.01690745
2004-01-24,1117879941.9450102,1050974312.6282042,66905629.31680596
2004-01-25,767867808.8433838,719952739.3989272,47915069.44445658
2004-01-26,773805559.1418608,1338724463.5436177,564918904.4017569
2004-01-27,1129735844.4177651,1634313293.0636926,504577448.6459274
2004-01-28,1462902673.244586,1780677607.388309,317774934.143723
2004-01-29,1444730914.1971707,1874514897.7901452,429783983.5929744
2004-01-30,1531137929.3309028,1825324694.2977772,294186764.96687436
2004-01-31,1209514112.4784005,995701289.2443087,213812823.23409176
2004-02-01,874277108.603504,751509937.8964593,122767170.7070446
2004-02-02,914851053.3752066,1451642213.022627,536791159.6474205
2004-02-03,1387312912.8830075,1702190057.3137755,314877144.430768
2004-02-04,2101848692.946232,1914559064.861365,187289628.084867
2004-02-05,2242887711.804078,2199265682.906548,43622028.89753008
2004-02-06,2086492347.117551,2177155657.2577457,90663310.14019465
2004-02-07,1367637046.209478,1199810974.823665,167826071.385813
2004-02-08,980257227.3703496,881846161.440505,98411065.92984462
2004-02-09,1008421909.1433812,1536090437.896552,527668528.75317085
2004-02-10,1373032684.3123157,1844055211.0147884,471022526.7024727
2004-02-11,1945826108.2152004,1979743663.4728239,33917555.257623434
2004-02-12,1684500779.2839882,2046334198.4172528,361833419.13326454
2004-02-13,1655172115.4114692,1853251800.8392515,198079685.4277823
2004-02-14,1180370607.2163908,1019673686.508123,160696920.7082678
2004-02-15,795589267.8807478,777581839.9522454,18007427.92850244
2004-02-16,426729764.8157652,1475920716.2886639,1049190951.4728987
2004-02-17,781773997.158657,1515106684.3431802,733332687.1845232
2004-02-18,1078357030.9178183,1589388574.464279,511031543.5464606
2004-02-19,1406377297.4661944,1606334601.0439122,199957303.57771778
2004-02-20,1506029510.5700777,1765516326.9137747,259486816.34369707
2004-02-21,1131642124.4885027,907393358.5925453,224248765.89595747
2004-02-22,763049662.6784681,648201039.2088277,114848623.46964037
2004-02-23,789892301.7635626,1332848164.3290231,542955862.5654606
2004-02-24,1129856987.653697,1626273074.9310105,496416087.2773135
2004-02-25,1463922471.7826347,1735570468.012692,271647996.23005724
2004-02-26,1447970138.2768347,1799974427.2138922,352004288.9370575
2004-02-27,1428764907.318199,1771190771.1759346,342425863.85773563
2004-02-28,1096142005.863825,921392502.7162678,174749503.14755726
2004-03-01,786993893.7749121,1125903294.2851667,338909400.5102546
2004-03-02,810993945.3811642,1463069050.1877437,652075104.8065795
2004-03-03,1116098507.192355,1687556546.6022856,571458039.4099307
2004-03-04,1963879353.7831776,1795266156.7246454,168613197.05853224
2004-03-05,1665339031.3036673,2104220013.9471917,438880982.6435244
2004-03-06,1442292278.5586946,1382487737.8358097,59804540.72288489
2004-03-07,1079375888.1138787,933392047.1764815,145983840.93739724
2004-03-08,714984089.6203965,1251028419.112278,536044329.4918815
2004-03-09,737452087.0200745,1496251922.121262,758799835.1011876
2004-03-10,1065515367.977764,1752741067.0789125,687225699.1011485
2004-03-11,1428148809.9090257,1836851521.444297,408702711.5352714
2004-03-12,1446920886.442793,1794496125.4428086,347575239.00001574
