,actual,predicted,residual
2004-01-01,519660949.88290125,916434370.0,396773418.11709875
2004-01-02,2035484509.5487893,1388923300.0,646561245.5487893
2004-01-03,1331113556.9023976,1132762600.0,198350932.90239763
2004-01-04,1032863850.1179976,1046833540.0,13969685.882002354
2004-01-05,889684235.343816,959614850.0,69930612.65618396
2004-01-06,1550721830.645814,1491485700.0,59236134.64581394
2004-01-07,1978078403.3191895,1951013800.0,27064643.31918955
2004-01-08,1529060186.139428,1518579100.0,10481114.1394279
2004-01-09,1428702924.241322,1448411900.0,19708979.75867796
2004-01-10,1155515672.07182,1172829400.0,17313767.92817998
2004-01-11,812988220.7043414,813118200.0,129987.29565858841
2004-01-12,875226910.4478683,1136304400.0,261077473.55213165
2004-01-13,1230271484.69892,1240018300.0,9746819.301079988
2004-01-14,1585388589.004526,1626113300.0,40724690.9954741
2004-01-15,1655921225.4002826,1648621400.0,7299785.400282621
2004-01-16,1701038333.4259558,1701773700.0,735362.5740442276
2004-01-17,1167081991.7711277,1179785300.0,12703352.2288723
2004-01-18,750935610.7239636,837537700.0,86602117.27603638
2004-01-19,410682314.8157652,407380500.0,3301802.815765202
2004-01-20,742834956.7797323,770554430.0,27719475.220267653
2004-01-21,1074314077.5643706,1090908500.0,16594466.435629368
2004-01-22,1509292829.2604046,1482438700.0,26854173.260404587
2004-01-23,1460768443.168835,1481178000.0,20409540.831165075
2004-01-24,1117879941.9450102,1124225900.0,6345978.054989815
2004-01-25,767867808.8433838,754531600.0,13336224.843383789
2004-01-26,773805559.1418608,755553540.0,18252023.141860843
2004-01-27,1129735844.4177651,1141175200.0,11439323.58223486
2004-01-28,1462902673.244586,1462881900.0,20753.244585990906
2004-01-29,1444730914.1971707,1456318700.0,11587805.802829266
2004-01-30,1531137929.3309028,1519975700.0,11162249.330902815
2004-01-31,1209514112.4784005,1172183200.0,37330944.47840047
2004-02-01,874277108.603504,845063900.0,29213236.603503942
2004-02-02,914851053.3752066,867299600.0,47551469.37520659
2004-02-03,1387312912.8830075,1324916100.0,62396816.88300753
2004-02-04,2101848692.946232,1989246200.0,112602484.94623208
2004-02-05,2242887711.804078,2016579300.0,226308383.8040781
2004-02-06,2086492347.117551,1926163800.0,160328507.1175511
2004-02-07,1367637046.209478,1361247100.0,6389942.209477901
2004-02-08,980257227.3703496,957057500.0,23199755.370349646
2004-02-09,1008421909.1433812,975126200.0,33295701.143381238
2004-02-10,1373032684.3123157,1362416100.0,10616556.312315702
2004-02-11,1945826108.2152004,1875451300.0,70374844.21520042
2004-02-12,1684500779.2839882,1760561200.0,76060372.71601176
2004-02-13,1655172115.4114692,1670561200.0,15389036.588530779
2004-02-14,1180370607.2163908,1246178300.0,65807696.78360915
2004-02-15,795589267.8807478,772078850.0,23510419.880747795
2004-02-16,426729764.8157652,414215550.0,12514212.815765202
2004-02-17,781773997.158657,787906800.0,6132818.841343045
2004-02-18,1078357030.9178183,893824900.0,184532134.9178183
2004-02-19,1406377297.4661944,1427537000.0,21159726.53380561
2004-02-20,1506029510.5700777,1520198100.0,14168633.429922342
2004-02-21,1131642124.4885027,1138758900.0,7116787.511497259
2004-02-22,763049662.6784681,770993150.0,7943489.321531892
2004-02-23,789892301.7635626,767061440.0,22830861.76356256
2004-02-24,1129856987.653697,1141958300.0,12101284.346302986
2004-02-25,1463922471.7826347,1474607000.0,10684504.217365265
2004-02-26,1447970138.2768347,1476696200.0,28726053.723165274
2004-02-27,1428764907.318199,1443031800.0,14266900.68180108
2004-02-28,1096142005.863825,1104198000.0,8056010.136174917
2004-03-01,786993893.7749121,812834800.0,25840922.22508788
2004-03-02,810993945.3811642,812602500.0,1608550.6188358068
2004-03-03,1116098507.192355,1145726000.0,29627444.807645082
2004-03-04,1963879353.7831776,1847170400.0,116708921.78317761
2004-03-05,1665339031.3036673,1688883500.0,23544424.696332693
2004-03-06,1442292278.5586946,1473554700.0,31262409.4413054
2004-03-07,1079375888.1138787,1114182300.0,34806383.88612127
2004-03-08,714984089.6203965,751505700.0,36521638.379603505
2004-03-09,737452087.0200745,662970050.0,74482039.02007449
2004-03-10,1065515367.977764,1083424100.0,17908760.02223599
2004-03-11,1428148809.9090257,1453409500.0,25260726.09097433
2004-03-12,1446920886.442793,1462050000.0,15129161.557207108
2004-03-13,1486192999.707217,1477950100.0,8242919.707216978
2004-03-14,1125271385.8638735,1161106700.0,35835302.13612652
2004-03-15,747732951.2295306,759317760.0,11584808.770469427
2004-03-16,725595760.4183949,619169700.0,106426032.41839492
2004-03-17,1052805415.261574,1086727600.0,33922136.73842597
2004-03-18,1573392386.581014,1551811300.0,21581058.581013918
2004-03-19,1729911758.9365864,1710557400.0,19354318.93658638
2004-03-20,1717242728.1426022,1718083000.0,840215.8573977947
2004-03-21,1223505373.778655,1235986600.0,12481186.221344948
2004-03-22,783783610.665254,794834300.0,11050693.334746003
2004-03-23,795100109.4301406,785614700.0,9485389.430140615
2004-03-24,1484593564.548841,1323576400.0,161017116.548841
2004-03-25,1683941428.4392362,1694889300.0,10947915.560763836
2004-03-26,1407872327.4767804,1512776600.0,104904248.52321959
2004-03-27,1502704790.597061,1501351000.0,1353750.5970609188
2004-03-28,1197370790.7023313,1182593800.0,14776998.702331305
2004-03-29,808027104.536495,810749060.0,2721951.4635050297
2004-03-30,777253423.0812907,933490400.0,156237008.91870928
2004-03-31,1078898391.1956644,1133558500.0,54660136.804335594
2004-04-01,1497021788.554387,1484748700.0,12273116.554387093
2004-04-02,1835411119.0433664,1788435800.0,46975279.04336643
2004-04-03,1767312934.308555,1770220200.0,2907225.691445112
2004-04-04,1158948745.5000153,1210758400.0,51809654.49998474
2004-04-05,761475957.9026804,778548350.0,17072394.097319603
2004-04-06,758975346.2078259,772889500.0,13914125.7921741
2004-04-07,1040748058.7781808,1159463800.0,118715749.22181916
