,actual,predicted,residual
2004-01-01,519660949.88290125,1234603511.1300476,714942561.2471464
2004-01-02,2035484509.5487893,920607195.3931241,1114877314.1556652
2004-01-03,1331113556.9023976,1372391743.9743605,41278187.07196283
2004-01-04,1032863850.1179976,1247529201.5693069,214665351.4513092
2004-01-05,889684235.343816,1231499352.9035678,341815117.55975175
2004-01-06,1550721830.645814,1353623137.9376466,197098692.7081673
2004-01-07,1978078403.3191895,1427331571.9117103,550746831.4074793
2004-01-08,1529060186.139428,1467064430.101171,61995756.03825688
2004-01-09,1428702924.241322,1790238010.749949,361535086.50862694
2004-01-10,1155515672.07182,1138567584.9193263,16948087.152493715
2004-01-11,812988220.7043414,1052883870.8170637,239895650.11272228
2004-01-12,875226910.4478683,1100735262.196104,225508351.7482357
2004-01-13,1230271484.69892,1468813476.4264703,238541991.72755027
2004-01-14,1585388589.004526,1443211107.5379093,142177481.46661663
2004-01-15,1655921225.4002826,1349080257.0886397,306840968.3116429
2004-01-16,1701038333.4259558,1683998927.231608,17039406.19434786
2004-01-17,1167081991.7711277,1355740864.9933064,188658873.2221787
2004-01-18,750935610.7239636,990677374.4265784,239741763.70261478
2004-01-19,410682314.8157652,892433560.5507485,481751245.73498327
2004-01-20,742834956.7797323,998493694.9346988,255658738.15496647
2004-01-21,1074314077.5643706,1266482708.8464177,192168631.28204703
2004-01-22,1509292829.2604046,1361215861.228887,148076968.0315175
2004-01-23,1460768443.168835,1507125671.9863658,46357228.81753087
2004-01-24,1117879941.9450102,1168114008.872847,50234066.927836895
2004-01-25,767867808.8433838,836675500.740705,68807691.89732122
2004-01-26,773805559.1418608,737206668.9301939,36598890.21166694
2004-01-27,1129735844.4177651,1035714049.3768709,94021795.04089427
2004-01-28,1462902673.244586,1360730096.218007,102172577.0265789
2004-01-29,1444730914.1971707,1611099551.387046,166368637.18987536
2004-01-30,1531137929.3309028,1489224940.832607,41912988.498295784
2004-01-31,1209514112.4784005,1271198841.7851024,61684729.3067019
2004-02-01,874277108.603504,999082600.5999795,124805491.99647558
2004-02-02,914851053.3752066,905671416.9352748,9179636.43993175
2004-02-03,1387312912.8830075,1112264137.607031,275048775.2759764
2004-02-04,2101848692.946232,1445714059.1920962,656134633.7541358
2004-02-05,2242887711.804078,1920522866.769281,322364845.0347972
2004-02-06,2086492347.117551,1944789291.276513,141703055.841038
2004-02-07,1367637046.209478,1575470174.1403408,207833127.9308629
2004-02-08,980257227.3703496,1111709759.8731716,131452532.50282192
2004-02-09,1008421909.1433812,1083802537.4894278,75380628.34604657
2004-02-10,1373032684.3123157,1409572919.449014,36540235.136698246
2004-02-11,1945826108.2152004,1759554683.3899884,186271424.825212
2004-02-12,1684500779.2839882,1965937453.0250168,281436673.74102855
