,actual,predicted,residual
2004-01-01,519660949.88290125,1241187020.7980683,721526070.9151671
2004-01-02,2035484509.5487893,1235912747.433197,799571762.1155922
2004-01-03,1331113556.9023976,1262816120.99129,68297435.91110754
2004-01-04,1032863850.1179976,1070115134.2886746,37251284.17067695
2004-01-05,889684235.343816,1269783486.2873628,380099250.9435468
2004-01-06,1550721830.645814,1416331453.5158136,134390377.13000035
2004-01-07,1978078403.3191895,1499725161.7015247,478353241.6176648
2004-01-08,1529060186.139428,1074070515.243289,454989670.8961389
2004-01-09,1428702924.241322,1418287192.366282,10415731.875040054
2004-01-10,1155515672.07182,1185115854.7878175,29600182.715997458
2004-01-11,812988220.7043414,1042531952.8195636,229543732.11522222
2004-01-12,875226910.4478683,1072885798.4998565,197658888.05198812
2004-01-13,1230271484.69892,1446162406.209159,215890921.5102389
2004-01-14,1585388589.004526,1496566008.39806,88822580.60646582
2004-01-15,1655921225.4002826,1472611406.8235316,183309818.576751
2004-01-16,1701038333.4259558,1480681163.1254232,220357170.30053258
2004-01-17,1167081991.7711277,1258520783.8072581,91438792.03613043
2004-01-18,750935610.7239636,973122912.6559465,222187301.93198287
2004-01-19,410682314.8157652,974258492.7687887,563576177.9530234
2004-01-20,742834956.7797323,1316023690.527019,573188733.7472867
2004-01-21,1074314077.5643706,1553001933.0421767,478687855.4778061
2004-01-22,1509292829.2604046,1588510871.4514685,79218042.19106388
2004-01-23,1460768443.168835,1558094345.0548599,97325901.88602495
2004-01-24,1117879941.9450102,1400085129.4610436,282205187.5160334
2004-01-25,767867808.8433838,1107726736.972303,339858928.1289191
2004-01-26,773805559.1418608,959824247.6065315,186018688.46467066
2004-01-27,1129735844.4177651,1174658451.3096457,44922606.89188051
2004-01-28,1462902673.244586,1437082995.3308709,25819677.913715124
2004-01-29,1444730914.1971707,1542772114.652334,98041200.45516324
2004-01-30,1531137929.3309028,1480510928.424962,50627000.90594077
2004-01-31,1209514112.4784005,1312083744.1255825,102569631.64718199
2004-02-01,874277108.603504,1029042197.0924575,154765088.4889536
2004-02-02,914851053.3752066,970670147.6131892,55819094.23798263
2004-02-03,1387312912.8830075,1133930266.4755461,253382646.4074614
2004-02-04,2101848692.946232,1422432966.7282007,679415726.2180314
2004-02-05,2242887711.804078,1505770272.1621866,737117439.6418915
2004-02-06,2086492347.117551,1479401256.156248,607091090.961303
2004-02-07,1367637046.209478,1255814759.0133095,111822287.19616842
2004-02-08,980257227.3703496,919039478.7963364,61217748.57401323
2004-02-09,1008421909.1433812,871067420.2269499,137354488.9164313
2004-02-10,1373032684.3123157,1188614648.7135458,184418035.5987699
2004-02-11,1945826108.2152004,1509421013.288421,436405094.9267795
