,actual,predicted,residual
2004-01-01,519660949.88290125,824962976.0920601,305302026.20915884
2004-01-02,2035484509.5487893,2100252544.09206,64768034.54327083
2004-01-03,1331113556.9023976,1223227833.0694497,107885723.83294797
2004-01-04,1032863850.1179976,1202610897.0694497,169747046.95145202
2004-01-05,889684235.343816,1534232960.09206,644548724.748244
2004-01-06,1550721830.645814,1791080576.09206,240358745.44624615
2004-01-07,1978078403.3191895,2042113376.09206,64034972.77287054
2004-01-08,1529060186.139428,1724753760.09206,195693573.9526322
2004-01-09,1428702924.241322,1663445368.09206,234742443.85073805
2004-01-10,1155515672.07182,831902033.0694497,323613639.00237036
2004-01-11,812988220.7043414,962961265.0694497,149973044.36510825
2004-01-12,875226910.4478683,1393031344.09206,517804433.64419174
2004-01-13,1230271484.69892,1592989902.09206,362718417.3931401
2004-01-14,1585388589.004526,1759779200.09206,174390611.0875342
2004-01-15,1655921225.4002826,1802238912.09206,146317686.69177747
2004-01-16,1701038333.4259558,1837934752.09206,136896418.66610432
2004-01-17,1167081991.7711277,980792097.0694497,186289894.70167804
2004-01-18,750935610.7239636,1010675409.0694497,259739798.34548604
2004-01-19,410682314.8157652,1097456256.09206,686773941.276295
2004-01-20,742834956.7797323,1140665952.09206,397830995.31232774
2004-01-21,1074314077.5643706,1331514880.09206,257200802.52768946
2004-01-22,1509292829.2604046,1679783632.09206,170490802.8316555
2004-01-23,1460768443.168835,1650233112.09206,189464668.92322516
2004-01-24,1117879941.9450102,833750833.0694497,284129108.8755605
2004-01-25,767867808.8433838,932193121.0694497,164325312.22606587
2004-01-26,773805559.1418608,1323937536.09206,550131976.9501992
2004-01-27,1129735844.4177651,1420136880.09206,290401035.67429495
2004-01-28,1462902673.244586,1711103160.09206,248200486.8474741
2004-01-29,1444730914.1971707,1654979584.09206,210248669.89488935
2004-01-30,1531137929.3309028,1657139600.09206,126001670.76115727
2004-01-31,1209514112.4784005,722856561.0694497,486657551.4089508
2004-02-01,874277108.603504,980338817.0694497,106061708.46594572
2004-02-02,914851053.3752066,1383844160.09206,468993106.7168535
2004-02-03,1387312912.8830075,1670451176.09206,283138263.20905256
2004-02-04,2101848692.946232,2207658528.09206,105809835.14582801
2004-02-05,2242887711.804078,2438982176.09206,196094464.287982
2004-02-06,2086492347.117551,2169477920.09206,82985572.974509
2004-02-07,1367637046.209478,1040622457.0694497,327014589.14002824
2004-02-08,980257227.3703496,1075338001.0694497,95080773.69910002
2004-02-09,1008421909.1433812,1543865036.09206,535443126.94867885
2004-02-10,1373032684.3123157,1755348912.09206,382316227.7797444
2004-02-11,1945826108.2152004,2064999264.09206,119173155.87685966
2004-02-12,1684500779.2839882,1911471520.09206,226970740.80807185
2004-02-13,1655172115.4114692,1792816832.09206,137644716.68059087
2004-02-14,1180370607.2163908,828793297.0694497,351577310.1469412
2004-02-15,795589267.8807478,814348721.0694497,18759453.188701868
2004-02-16,426729764.8157652,1004922912.0920601,578193147.276295
2004-02-17,781773997.158657,1216830752.09206,435056754.93340313
2004-02-18,1078357030.9178183,1243639648.09206,165282617.17424178
2004-02-19,1406377297.4661944,1572863342.09206,166486044.6258657
2004-02-20,1506029510.5700777,1662007328.09206,155977817.52198243
2004-02-21,1131642124.4885027,724047473.0694497,407594651.4190531
2004-02-22,763049662.6784681,899908257.0694497,136858594.39098155
2004-02-23,789892301.7635626,1343338656.09206,553446354.3284975
2004-02-24,1129856987.653697,1487018328.09206,357161340.4383631
2004-02-25,1463922471.7826347,1708088952.09206,244166480.30942535
2004-02-26,1447970138.2768347,1712279040.09206,264308901.81522536
2004-02-27,1428764907.318199,1587127198.09206,158362290.77386117
2004-02-28,1096142005.863825,753674417.0694497,342467588.7943754
2004-03-01,786993893.7749121,1542390712.09206,755396818.317148
2004-03-02,810993945.3811642,1389436096.09206,578442150.7108959
2004-03-03,1116098507.192355,1551348820.09206,435250312.8997052
2004-03-04,1963879353.7831776,2008322656.09206,44443302.308882475
2004-03-05,1665339031.3036673,1864054048.09206,198715016.78839278
2004-03-06,1442292278.5586946,1079260201.0694497,363032077.48924494
2004-03-07,1079375888.1138787,800754705.0694497,278621183.04442906
2004-03-08,714984089.6203965,1459499952.09206,744515862.4716636
2004-03-09,737452087.0200745,1288475104.09206,551023017.0719856
2004-03-10,1065515367.977764,1484257936.09206,418742568.1142961
2004-03-11,1428148809.9090257,1724103360.09206,295954550.1830344
2004-03-12,1446920886.442793,1653879792.09206,206958905.6492672
2004-03-13,1486192999.707217,1145668611.0694497,340524388.6377673
2004-03-14,1125271385.8638735,840649265.0694497,284622120.7944238
2004-03-15,747732951.2295306,1557762570.09206,810029618.8625295
2004-03-16,725595760.4183949,1372766160.09206,647170399.6736652
2004-03-17,1052805415.261574,1507278888.09206,454473472.83048606
2004-03-18,1573392386.581014,1879414080.09206,306021693.5110462
2004-03-19,1729911758.9365864,1924530656.09206,194618897.1554737
2004-03-20,1717242728.1426022,1381926433.0694497,335316295.07315254
2004-03-21,1223505373.778655,918534385.0694497,304970988.7092054
2004-03-22,783783610.665254,1490379096.09206,706595485.4268061
2004-03-23,795100109.4301406,1361912160.09206,566812050.6619195
2004-03-24,1484593564.548841,1803414432.09206,318820867.5432191
2004-03-25,1683941428.4392362,1897346144.09206,213404715.65282393
2004-03-26,1407872327.4767804,1668178912.09206,260306584.61527967
2004-03-27,1502704790.597061,1195437129.0694497,307267661.52761126
2004-03-28,1197370790.7023313,909381633.0694497,287989157.63288164
2004-03-29,808027104.536495,1516447800.09206,708420695.5555651
2004-03-30,777253423.0812907,1434099200.09206,656845777.0107694
2004-03-31,1078898391.1956644,1634249688.09206,555351296.8963957
2004-04-01,1497021788.554387,1845261120.09206,348239331.537673
2004-04-02,1835411119.0433664,1963982752.09206,128571633.04869366
2004-04-03,1767312934.308555,1406978225.0694497,360334709.2391052
2004-04-04,1158948745.5000153,938371633.0694497,220577112.4305656
2004-04-05,761475957.9026804,1470153216.09206,708677258.1893797
2004-04-06,758975346.2078259,1344125296.09206,585149949.8842342
2004-04-07,1040748058.7781808,1505197216.09206,464449157.31387925
2004-04-08,1361263407.832331,1651802064.09206,290538656.25972915
2004-04-09,1395033523.1127777,1670306312.09206,275272788.9792824
2004-04-10,1375955776.3830884,1068213153.0694497,307742623.3136387
2004-04-11,1066866382.1854328,744887729.0694497,321978653.1159831
2004-04-12,727818374.697053,1502215256.09206,774396881.3950071
2004-04-13,704764991.3862303,1347923504.09206,643158512.7058297
2004-04-14,1072518663.900944,1567457534.09206,494938870.1911161
2004-04-15,1585474592.398996,1910611840.09206,325137247.693064
2004-04-16,1679490644.1622465,1868122752.09206,188632107.92981362
2004-04-17,1574675885.6936686,1302702129.0694497,271973756.62421894
2004-04-18,1032749518.0304576,767457009.0694497,265292508.96100795
2004-04-19,704737615.7705668,1468476392.09206,763738776.3214933
2004-04-20,699111590.5255846,1359192672.09206,660081081.5664755
2004-04-21,1036877159.8141234,1583670972.09206,546793812.2779367
2004-04-22,1425569971.6370077,1781447344.09206,355877372.4550524
2004-04-23,1548243188.9183729,1778131728.09206,229888539.17368722
2004-04-24,1437151817.4691174,1170747709.0694497,266404108.39966774
2004-04-25,1070073000.673687,844479281.0694497,225593719.60423732
2004-04-26,711380247.9880528,1559045798.09206,847665550.1040072
2004-04-27,694498243.4729867,1392873328.09206,698375084.6190734
2004-04-28,1017311884.9221194,1588091955.09206,570780070.1699407
2004-04-29,1328794224.1180222,1827321520.09206,498527295.9740379
2004-04-30,1352224665.5209198,1710154440.09206,357929774.5711403
2004-05-01,550507699.845112,1179614553.0694497,629106853.2243377
2004-05-02,-29869572.957769163,1027207225.0694497,1057076798.0272188
2004-05-03,-370925975.2906956,1294905888.09206,1665831863.3827558
2004-05-04,-75297396.12233807,1410557936.09206,1485855332.2143981
2004-05-05,310299014.2185716,1386120128.09206,1075821113.8734884
2004-05-06,461363969.5166705,1342508576.09206,881144606.5753896
2004-05-07,515673857.3097983,1252189440.09206,736515582.7822618
2004-05-08,427649551.549488,560309073.0694497,132659521.51996166
2004-05-09,-89347998.51807526,640517841.0694497,729865839.5875249
2004-05-10,-365668222.9784782,1047872832.0920601,1413541055.0705383
2004-05-11,215746830.9964845,1094037536.09206,878290705.0955756
2004-05-12,563639881.6400805,1166972064.09206,603332182.4519796
2004-05-13,522365602.17812735,1185539648.09206,663174045.9139328
2004-05-14,583523212.4599929,1188816384.09206,605293171.6320672
2004-05-15,357729075.83913887,827492017.0694497,469762941.2303108
2004-05-16,10702718.808141464,544373969.0694497,533671250.2613082
2004-05-17,-169570588.65360352,1149644896.09206,1319215484.7456636
2004-05-18,116841936.76433492,1210832064.09206,1093990127.3277252
2004-05-19,512384450.97752726,1258028896.09206,745644445.1145328
2004-05-20,582770149.0193644,1245159392.09206,662389243.0726957
2004-05-21,544647157.2499895,1357195952.09206,812548794.8420706
2004-05-22,471287415.4451572,736713489.0694497,265426073.6242925
2004-05-23,144286523.52205077,600524849.0694497,456238325.5473989
2004-05-24,-295176358.71202403,1134317888.09206,1429494246.804084
2004-05-25,-312550104.4391705,1307411232.09206,1619961336.5312304
2004-05-26,65382721.99940088,1351435728.09206,1286053006.0926592
2004-05-27,317625780.1827147,1356565840.09206,1038940059.9093454
2004-05-28,302490490.09774685,1288809760.09206,986319269.9943132
2004-05-29,637745784.974064,780025457.0694497,142279672.09538567
2004-05-30,190330402.30173495,734131569.0694497,543801166.7677147
2004-05-31,-427279435.93717,938042336.0920601,1365321772.02923
2004-06-01,-25441948.2610625,1076229856.09206,1101671804.3531225
2004-06-02,589810304.6931571,1183226016.09206,593415711.398903
2004-06-03,607505592.7067904,1264081152.09206,656575559.3852696
2004-06-04,539957811.8724275,1365736832.09206,825779020.2196326
2004-06-05,406413437.9940038,901167553.0694497,494754115.0754459
2004-06-06,39986646.85495183,553608785.0694497,513622138.2144978
2004-06-07,-441843490.5809229,958407456.0920601,1400250946.672983
2004-06-08,20706099.763999168,1262150816.09206,1241444716.3280609
2004-06-09,430575629.5848047,1235553088.09206,804977458.5072553
2004-06-10,419075054.5336651,1256940288.09206,837865233.5583949
2004-06-11,386577127.8444991,1303765344.09206,917188216.247561
2004-06-12,621574494.6321484,709401521.0694497,87827026.43730128
2004-06-13,203821532.1985426,580608593.0694497,376787060.87090707
2004-06-14,-369449936.1341051,902370784.0920601,1271820720.2261653
2004-06-15,-20609735.78407207,1265454272.09206,1286064007.8761322
2004-06-16,537844804.6147567,1371387312.09206,833542507.4773034
2004-06-17,554221624.6070676,1236449120.09206,682227495.4849925
2004-06-18,512241746.8423356,1315667488.09206,803425741.2497245
2004-06-19,556592569.0875195,808610385.0694497,252017815.98193014
2004-06-20,61947257.65002013,539558865.0694497,477611607.41942954
2004-06-21,-178730643.62819225,1061161984.0920601,1239892627.7202523
2004-06-22,67334540.34959309,1273333024.09206,1205998483.742467
2004-06-23,448047430.8752458,1257705760.09206,809658329.2168143
2004-06-24,452959110.37233657,1264950304.09206,811991193.7197235
2004-06-25,534492971.0536746,1319902416.09206,785409445.0383855
2004-06-26,508704885.85690254,709482961.0694497,200778075.21254712
2004-06-27,107135482.6907006,598947345.0694497,491811862.3787491
2004-06-28,-441951630.2852824,932591072.0920601,1374542702.3773425
2004-06-29,200472740.40190384,1348641136.09206,1148168395.6901562
2004-06-30,568366462.0872988,1329805696.09206,761439234.0047613
2004-07-01,1123008983.3559551,1251507744.09206,128498760.73610497
2004-07-02,1066881129.352672,1834095264.09206,767214134.7393881
2004-07-03,1012055065.051322,1188580073.0694497,176525008.01812768
2004-07-04,638983006.9898634,1113045588.5694497,474062581.57958627
2004-07-05,1054639164.222724,1546935328.09206,492296163.8693361
2004-07-06,664174103.8412467,1736952752.09206,1072778648.2508134
2004-07-07,1113349299.950388,1692616992.09206,579267692.1416721
2004-07-08,1095927964.0793393,1815743104.09206,719815140.0127208
2004-07-09,1098314124.1016695,1726685552.09206,628371427.9903905
2004-07-10,1094352338.986199,1233257377.0694497,138905038.08325076
2004-07-11,1064887307.3924488,1205184385.0694497,140297077.67700088
2004-07-12,1112188741.7297423,1670236744.09206,558048002.3623178
2004-07-13,1065908776.157174,1697018376.09206,631109599.9348861
2004-07-14,1092021484.5788696,1659099640.09206,567078155.5131905
2004-07-15,1152899031.6762009,1715269024.09206,562369992.4158592
2004-07-16,1184392616.1846175,1782538768.09206,598146151.9074426
2004-07-17,1172359016.1757598,1371374785.0694497,199015768.89368987
2004-07-18,1152068185.6968827,1164891965.0694497,12823779.372566938
2004-07-19,1095248217.0125108,1650996544.09206,555748327.0795493
2004-07-20,1058862383.8885657,1607810266.09206,548947882.2034944
2004-07-21,1098976605.5556755,1643406356.09206,544429750.5363846
2004-07-22,1131913336.107381,1738013200.09206,606099863.984679
2004-07-23,1138476751.091697,1671281624.09206,532804873.0003631
2004-07-24,1132589261.3453343,1238292105.0694497,105702843.72411537
2004-07-25,1113229918.072816,1201764409.0694497,88534490.99663377
2004-07-26,1094763398.7930608,1615802648.09206,521039249.2989993
2004-07-27,1089328430.4412932,1668943464.09206,579615033.6507668
2004-07-28,1037381936.2765446,1734624000.09206,697242063.8155155
2004-07-29,1044939359.7061971,1626621584.09206,581682224.385863
2004-07-30,1077184219.4215455,1553959790.09206,476775570.6705146
2004-07-31,1067897463.5362946,1115506331.6944497,47608868.15815508
2004-08-01,1165917087.4454656,1143523521.0694497,22393566.3760159
2004-08-02,798652669.2221847,1654029776.09206,855377106.8698754
2004-08-03,835977198.4287738,1533363248.09206,697386049.6632863
2004-08-04,1320428140.2970283,1508980416.09206,188552275.7950318
2004-08-05,1801897135.5700023,1858920448.09206,57023312.52205777
2004-08-06,1763732671.472791,1961789088.09206,198056416.61926913
2004-08-07,1738723868.39014,1367408737.0694497,371315131.3206904
2004-08-08,1275272961.329172,1281116465.0694497,5843503.740277767
2004-08-09,798236243.7349172,1615814888.09206,817578644.3571429
2004-08-10,853678110.16389,1691350864.09206,837672753.9281701
2004-08-11,1378735167.547207,1984474144.09206,605738976.544853
2004-08-12,1712148111.5537686,1963299744.09206,251151632.53829145
2004-08-13,1620787678.700169,2004272640.09206,383484961.391891
2004-08-14,1758383806.8859503,1486940881.0694497,271442925.81650066
2004-08-15,1229442245.689602,1281667297.0694497,52225051.379847765
2004-08-16,865336334.9966699,1542654688.09206,677318353.0953902
2004-08-17,841451977.802977,1672628584.09206,831176606.2890831
2004-08-18,1363387807.1944704,2100224384.09206,736836576.8975897
2004-08-19,1793325532.2212815,2205484192.09206,412158659.87077856
2004-08-20,1770372195.6999166,2176091360.09206,405719164.3921435
2004-08-21,1725831820.6713684,1725145681.0694497,686139.6019186974
2004-08-22,1233685971.13283,1234312473.0694497,626501.9366197586
2004-08-23,787157919.5170401,1507333112.09206,720175192.57502
2004-08-24,816246762.0667478,1681189520.09206,864942758.0253123
2004-08-25,1309226976.1217048,2140881824.09206,831654847.9703553
2004-08-26,1816811067.7806685,2296893280.09206,480082212.3113916
2004-08-27,1682966994.6934884,2227903072.09206,544936077.3985717
2004-08-28,1671374929.3932626,1651353041.0694497,20021888.32381296
2004-08-29,1238849938.8340058,1193903041.0694497,44946897.76455617
2004-08-30,803855493.2111206,1528305476.09206,724449982.8809395
2004-08-31,853737589.019331,1707596328.09206,853858739.0727291
2004-09-01,813205343.0912106,1782959664.09206,969754321.0008495
2004-09-02,1328074588.094468,1912039872.09206,583965283.997592
2004-09-03,1765337138.567268,2121591008.09206,356253869.5247922
2004-09-04,1770153484.190141,1709440017.0694497,60713467.1206913
2004-09-05,1248082054.1768453,1227057169.0694497,21024885.10739565
2004-09-06,828921155.5494965,1518609052.09206,689687896.5425636
2004-09-07,366903410.1836336,1255301280.09206,888397869.9084265
2004-09-08,1377152059.5716343,1985500704.09206,608348644.5204258
2004-09-09,1866414652.3400364,2244253088.09206,377838435.7520237
2004-09-10,1825974107.1163688,2263938080.09206,437963972.9756913
2004-09-11,1766370697.1299615,1643303761.0694497,123066936.06051183
2004-09-12,1302986622.0681703,1218252025.0694497,84734596.99872065
2004-09-13,829194215.0771314,1609367158.09206,780172943.0149287
2004-09-14,852440076.0192899,1643220012.09206,790779936.0727702
2004-09-15,1258415923.466213,1982664096.09206,724248172.6258471
2004-09-16,1681918417.9186106,2129853600.09206,447935182.1734495
2004-09-17,1697236698.7063713,2119205216.09206,421968517.3856888
2004-09-18,1707581389.7524002,1587590353.0694497,119991036.6829505
2004-09-19,1200165641.7065136,1065784349.0694497,134381292.63706398
2004-09-20,785149342.2803496,1566268056.09206,781118713.8117105
2004-09-21,796402727.825864,1579266662.71706,782863934.8911961
2004-09-22,1116981303.132545,1845299136.09206,728317832.9595151
2004-09-23,1561031444.6527605,2004224032.09206,443192587.4392996
2004-09-24,1567175801.6908512,1921722592.09206,354546790.4012089
2004-09-25,1587866953.6189086,1396719857.0694497,191147096.54945898
2004-09-26,1241093724.5137205,1043259305.0694497,197834419.44427085
2004-09-27,795000072.4985584,1494542896.09206,699542823.5935017
2004-09-28,858734067.9529163,1501934248.09206,643200180.1391438
2004-09-29,1314275114.551358,1816705088.09206,502429973.5407021
2004-09-30,1679967596.0974813,2017309216.09206,337341619.99457884
2004-10-01,1601408534.715619,1958976480.09206,357567945.376441
2004-10-02,1457947278.9764576,1287583521.0694497,170363757.90700793
2004-10-03,1135063755.6608608,967987393.0694497,167076362.5914111
2004-10-04,768567065.4841048,1572065888.09206,803498822.6079553
2004-10-05,757590271.5384141,1458363960.09206,700773688.553646
2004-10-06,1156262128.4963465,1751450912.09206,595188783.5957136
2004-10-07,1615690332.885186,1954659424.09206,338969091.20687413
2004-10-08,1610087986.4177008,1895797504.09206,285709517.6743593
2004-10-09,1603528150.9105322,1350917153.0694497,252610997.84108257
2004-10-10,1222706671.2055955,965725377.0694497,256981294.13614583
2004-10-11,812222468.6165342,1562354032.09206,750131563.4755259
2004-10-12,401357328.96075815,1196878304.09206,795520975.1313019
2004-10-13,803256958.0892774,1278668064.09206,475411106.0027827
2004-10-14,1172560521.9134712,1578730030.71706,406169508.80358887
2004-10-15,1537370961.082387,1765108736.09206,227737775.00967312
