,actual,predicted,residual
2004-01-01,519660949.88290125,1006018356.5665113,486357406.68361
2004-01-02,2035484509.5487893,1470339098.1669576,565145411.3818316
2004-01-03,1331113556.9023976,983589302.6161838,347524254.2862139
2004-01-04,1032863850.1179976,883977576.6786662,148886273.4393314
2004-01-05,889684235.343816,1065637313.4706656,175953078.12684953
2004-01-06,1550721830.645814,1407923583.5623,142798247.08351398
2004-01-07,1978078403.3191895,1691800579.0318654,286277824.2873242
2004-01-08,1529060186.139428,1638804536.0261497,109744349.88672185
2004-01-09,1428702924.241322,1374447388.17055,54255536.07077193
2004-01-10,1155515672.07182,1172085628.8348672,16569956.763047218
2004-01-11,812988220.7043414,801388918.8219457,11599301.882395744
2004-01-12,875226910.4478683,848403753.844649,26823156.60321939
2004-01-13,1230271484.69892,1219016753.503005,11254731.195914984
2004-01-14,1585388589.004526,1610116155.56474,24727566.560214043
2004-01-15,1655921225.4002826,1525854348.4371357,130066876.96314692
2004-01-16,1701038333.4259558,1303429227.5114908,397609105.91446495
2004-01-17,1167081991.7711277,1191364267.9101045,24282276.138976812
2004-01-18,750935610.7239636,787270249.5208942,36334638.79693055
2004-01-19,410682314.8157652,700132367.42129,289450052.60552484
2004-01-20,742834956.7797323,974414658.1468815,231579701.3671491
2004-01-21,1074314077.5643706,1202712669.103391,128398591.5390203
2004-01-22,1509292829.2604046,1488313139.2394207,20979690.020983934
2004-01-23,1460768443.168835,1502073933.2777393,41305490.10890436
2004-01-24,1117879941.9450102,1122626267.105911,4746325.160900831
2004-01-25,767867808.8433838,763656614.865498,4211193.977885842
2004-01-26,773805559.1418608,772597468.0929769,1208091.048883915
2004-01-27,1129735844.4177651,1155301700.4731016,25565856.055336475
2004-01-28,1462902673.244586,1519972818.6736357,57070145.42904973
2004-01-29,1444730914.1971707,1455492129.6373394,10761215.44016862
2004-01-30,1531137929.3309028,1462889247.9891002,68248681.3418026
2004-01-31,1209514112.4784005,1171723410.2735422,37790702.2048583
2004-02-01,874277108.603504,845182703.6606401,29094404.942863822
2004-02-02,914851053.3752066,937114473.8516531,22263420.47644651
2004-02-03,1387312912.8830075,1234690083.7371356,152622829.14587188
2004-02-04,2101848692.946232,2055858913.225214,45989779.721018076
2004-02-05,2242887711.804078,2050371484.9706078,192516226.83347034
2004-02-06,2086492347.117551,1871758990.9312656,214733356.1862855
2004-02-07,1367637046.209478,1341997856.363102,25639189.846375942
2004-02-08,980257227.3703496,922137192.4746785,58120034.89567113
2004-02-09,1008421909.1433812,956840642.8168842,51581266.32649708
2004-02-10,1373032684.3123157,1374933512.0572796,1900827.7449638844
2004-02-11,1945826108.2152004,1895667647.9166691,50158460.298531294
2004-02-12,1684500779.2839882,1717658992.0495548,33158212.765566587
2004-02-13,1655172115.4114692,1692146456.9359324,36974341.52446318
2004-02-14,1180370607.2163908,905595309.4645133,274775297.75187755
2004-02-15,795589267.8807478,792778818.4261786,2810449.4545692205
2004-02-16,426729764.8157652,569065706.2169538,142335941.40118855
