,actual,predicted,residual
2004-01-01,519660949.88290125,824963008.2079678,305302058.3250665
2004-01-02,2035484509.5487893,2100252448.2079678,64767938.659178495
2004-01-03,1331113556.9023976,1223227834.1972382,107885722.70515943
2004-01-04,1032863850.1179976,1202610906.1972382,169747056.07924056
2004-01-05,889684235.343816,1534232904.2079678,644548668.8641517
2004-01-06,1550721830.645814,1791080576.2079678,240358745.56215382
2004-01-07,1978078403.3191895,2042113376.2079678,64034972.88877821
2004-01-08,1529060186.139428,1724753744.2079678,195693558.06853986
2004-01-09,1428702924.241322,1663445360.2079678,234742435.96664572
2004-01-10,1155515672.07182,831902018.1972382,323613653.8745818
2004-01-11,812988220.7043414,962961314.1972382,149973093.4928968
2004-01-12,875226910.4478683,1393031312.2079678,517804401.7600994
2004-01-13,1230271484.69892,1592989888.2079678,362718403.50904775
2004-01-14,1585388589.004526,1759779120.2079678,174390531.20344186
2004-01-15,1655921225.4002826,1802238896.2079678,146317670.80768514
2004-01-16,1701038333.4259558,1837934624.2079678,136896290.782012
2004-01-17,1167081991.7711277,980792098.1972382,186289893.5738895
2004-01-18,750935610.7239636,1010675410.1972382,259739799.4732746
2004-01-19,410682314.8157652,1097456224.2079678,686773909.3922026
2004-01-20,742834956.7797323,1140665856.2079678,397830899.4282354
2004-01-21,1074314077.5643706,1331514816.2079678,257200738.64359713
2004-01-22,1509292829.2604046,1679783592.2079678,170490762.94756317
2004-01-23,1460768443.168835,1650233088.2079678,189464645.03913283
2004-01-24,1117879941.9450102,833750882.1972382,284129059.747772
2004-01-25,767867808.8433838,932193090.1972382,164325281.35385442
2004-01-26,773805559.1418608,1323937472.2079678,550131913.0661069
2004-01-27,1129735844.4177651,1420136832.2079678,290400987.7902026
2004-01-28,1462902673.244586,1711103168.2079678,248200494.96338177
2004-01-29,1444730914.1971707,1654979608.2079678,210248694.01079702
2004-01-30,1531137929.3309028,1657139608.2079678,126001678.87706494
2004-01-31,1209514112.4784005,722856642.1972382,486657470.28116226
2004-02-01,874277108.603504,980338818.1972382,106061709.59373426
2004-02-02,914851053.3752066,1383844128.2079678,468993074.83276117
2004-02-03,1387312912.8830075,1670451136.2079678,283138223.32496023
2004-02-04,2101848692.946232,2207658432.2079678,105809739.26173568
