,actual,predicted,residual
2004-01-01,519660949.88290125,1146573370.0868373,626912420.2039361
2004-01-02,2035484509.5487893,735235143.7964578,1300249365.7523315
2004-01-03,1331113556.9023976,1516128790.8559337,185015233.95353603
2004-01-04,1032863850.1179976,1128185560.391534,95321710.27353644
2004-01-05,889684235.343816,1243447943.8960578,353763708.5522418
2004-01-06,1550721830.645814,1292897811.5825386,257824019.06327534
2004-01-07,1978078403.3191895,1455186947.9898176,522891455.3293719
2004-01-08,1529060186.139428,1299278583.037125,229781603.1023028
2004-01-09,1428702924.241322,1795803211.4023762,367100287.16105413
2004-01-10,1155515672.07182,1146226346.4687974,9289325.603022575
2004-01-11,812988220.7043414,1038242818.46032,225254597.75597858
2004-01-12,875226910.4478683,1021186227.3762754,145959316.92840707
2004-01-13,1230271484.69892,1385942229.9266005,155670745.22768044
2004-01-14,1585388589.004526,1431294494.581609,154094094.4229169
2004-01-15,1655921225.4002826,1335638047.6222224,320283177.7780602
2004-01-16,1701038333.4259558,1764127726.832757,63089393.406801224
2004-01-17,1167081991.7711277,1304995191.6990135,137913199.92788577
2004-01-18,750935610.7239636,908872694.2248207,157937083.5008571
2004-01-19,410682314.8157652,829981223.4374446,419298908.62167937
2004-01-20,742834956.7797323,959967111.3715001,217132154.5917678
2004-01-21,1074314077.5643706,1253986059.292003,179671981.72763228
2004-01-22,1509292829.2604046,1277519827.6816876,231773001.578717
2004-01-23,1460768443.168835,1500123282.7114997,39354839.54266477
2004-01-24,1117879941.9450102,1135288146.446136,17408204.501125813
2004-01-25,767867808.8433838,794888763.7150804,27020954.87169659
2004-01-26,773805559.1418608,664361922.4103954,109443636.73146546
2004-01-27,1129735844.4177651,1016220756.1843737,113515088.2333914
2004-01-28,1462902673.244586,1369631961.516409,93270711.72817707
2004-01-29,1444730914.1971707,1626745396.9597096,182014482.7625389
2004-01-30,1531137929.3309028,1470348727.9394834,60789201.39141941
2004-01-31,1209514112.4784005,1246087468.2426622,36573355.76426172
2004-02-01,874277108.603504,918928610.3459545,44651501.742450595
2004-02-02,914851053.3752066,807892220.4781353,106958832.89707124
2004-02-03,1387312912.8830075,1111312070.019459,276000842.8635485
2004-02-04,2101848692.946232,1512960283.1462107,588888409.8000214
2004-02-05,2242887711.804078,1981086274.6699023,261801437.13417578
2004-02-06,2086492347.117551,1927784031.8093088,158708315.30824232
2004-02-07,1367637046.209478,1565760194.020542,198123147.811064
2004-02-08,980257227.3703496,1027284570.4739609,47027343.10361123
2004-02-09,1008421909.1433812,1010909800.9234601,2487891.780078888
2004-02-10,1373032684.3123157,1363736932.1557455,9295752.156570196
2004-02-11,1945826108.2152004,1771883187.413599,173942920.8016014
2004-02-12,1684500779.2839882,2000340046.336072,315839267.05208373
2004-02-13,1655172115.4114692,1671895581.7591124,16723466.347643137
2004-02-14,1180370607.2163908,1308330759.2554238,127960152.03903294
2004-02-15,795589267.8807478,943333388.0954124,147744120.21466458
2004-02-16,426729764.8157652,881787215.199338,455057450.38357276
2004-02-17,781773997.158657,939586027.3667327,157812030.20807576
2004-02-18,1078357030.9178183,1419561408.2548304,341204377.33701205
2004-02-19,1406377297.4661944,1397716559.4586163,8660738.007578135
2004-02-20,1506029510.5700777,1463703971.9908063,42325538.57927132
2004-02-21,1131642124.4885027,1136586604.4028907,4944479.914387941
2004-02-22,763049662.6784681,817714439.3070408,54664776.6285727
