,actual,predicted,residual
2004-01-01,5993965688.671612,6082808276.1434355,88842587.47182369
2004-01-02,6259854194.927212,6171437778.228635,88416416.69857693
2004-01-03,6234348351.75412,6197941394.465073,36406957.28904724
2004-01-04,6286336314.428033,6202053661.711856,84282652.71617699
2004-01-05,6390902562.325302,6250126131.322133,140776431.00316906
2004-01-06,6221367578.839319,6212099114.925728,9268463.913591385
2004-01-07,6330253784.422298,6309070547.895627,21183236.52667141
2004-01-08,6175416146.272665,6344449976.113903,169033829.84123802
2004-01-09,6138597699.174996,6274845210.476474,136247511.30147743
2004-01-10,6178997404.534876,6174664102.511525,4333302.023350716
2004-01-11,6131483590.641596,6146295189.695939,14811599.054343224
2004-01-12,6176190623.728474,6213886083.225499,37695459.49702549
2004-01-13,6168804279.271225,6213886083.225499,45081803.95427418
2004-01-14,6296663346.676799,6213886083.225499,82777263.45129967
2004-01-15,6269667168.30983,6253218714.90146,16448453.408370018
2004-01-16,6299151820.074097,6222805920.767662,76345899.30643463
2004-01-17,6184515615.297072,6184436680.978827,78934.31824493408
2004-01-18,6061268204.891695,6149043451.980919,87775247.08922386
2004-01-19,5984767315.530044,6042958599.691562,58191284.1615181
2004-01-20,6150330936.1958885,6132888899.041462,17442037.154426575
2004-01-21,6068415875.404315,6155907578.898448,87491703.494133
2004-01-22,6189131991.206904,6187131069.728435,2000921.4784698486
2004-01-23,6244292130.364824,6254664085.082219,10371954.717394829
2004-01-24,6145548763.221241,6349962699.903428,204413936.68218708
2004-01-25,6062808341.905727,6322382559.464924,259574217.55919647
2004-01-26,6063826597.814371,6058394645.005722,5431952.808649063
2004-01-27,6107313746.764681,6192755086.2149935,85441339.45031261
2004-01-28,6166499559.446898,6129462872.757808,37036686.68909073
2004-01-29,6181016724.267024,6103614262.116033,77402462.15099144
2004-01-30,6224715252.723651,6240504927.293241,15789674.569589615
2004-01-31,6226011097.623251,6221483644.366239,4527453.257012367
2004-02-01,6212428737.852217,6201531797.174994,10896940.677222252
2004-02-02,6179737915.820549,6190634856.497772,10896940.677223206
2004-02-03,6192007806.475299,6187917842.923717,4089963.5515823364
2004-02-04,6295297740.890493,6260867762.752095,34429978.13839817
2004-02-05,6351886959.782066,6348914295.230449,2972664.5516176224
2004-02-06,6342968966.127212,6345941630.67883,2972664.551618576
2004-02-07,6251707807.639154,6282128193.801841,30420386.162686348
