,trend,trend_squared,"sin(1,freq=YE-DEC)","cos(1,freq=YE-DEC)","sin(2,freq=YE-DEC)","cos(2,freq=YE-DEC)",lag_1,lag_2,lag_3,lag_4,lag_5,lag_6,lag_7,lag_9,lag_10,lag_21,lag_22,rolling_mean_7,rolling_mean_14,rolling_mean_30,rolling_std_7,rolling_min_7,rolling_max_7,is_weekend,is_holiday
2004-01-01,731.0,534361.0,0.0,1.0,0.0,1.0,6240122356.924144,6173305015.752708,6095354395.095793,6064875175.464053,6123705056.647616,6152213631.740867,6034623806.6354885,6475205054.443758,6428966891.034522,6221250800.628522,6318246150.531903,6126314205.465811,6266073002.739008,6234783337.135156,69496298.50093925,6034623806.6354885,6240122356.924144,0,0
2004-01-02,732.0,535824.0,0.01716632975470737,0.9998526477050269,0.034327600513243496,0.9994106342455052,5993965688.671612,6240122356.924144,6173305015.752708,6095354395.095793,6064875175.464053,6123705056.647616,6152213631.740867,6365539460.949116,6475205054.443758,6184397213.819705,6221250800.628522,6120505902.899542,6247081261.7554865,6222899907.621461,79426338.03409865,5993965688.671612,6240122356.924144,0,0
2004-01-03,733.0,537289.0,0.034327600513243496,0.9994106342455052,0.06861473800213404,0.9976432316860063,6259854194.927212,5993965688.671612,6240122356.924144,6173305015.752708,6095354395.095793,6064875175.464053,6123705056.647616,6034623806.6354885,6365539460.949116,6090363991.380509,6184397213.819705,6135883126.211877,6233344442.2328205,6224606975.408645,95401443.46061459,5993965688.671612,6259854194.927212,1,0
2004-01-04,734.0,538756.0,0.05147875477034654,0.9986740898848305,0.10282099713736041,0.9946998756145891,6234348351.75412,6259854194.927212,5993965688.671612,6240122356.924144,6173305015.752708,6095354395.095793,6064875175.464053,6152213631.740867,6034623806.6354885,6072054241.772322,6090363991.380509,6151689311.227092,6219815455.985007,6222469289.479372,101985995.24431396,5993965688.671612,6259854194.927212,1,0
2004-01-05,735.0,540225.0,0.06861473800213404,0.9976432316860063,0.13690605792347524,0.990584035457797,6286336314.428033,6234348351.75412,6259854194.927212,5993965688.671612,6240122356.924144,6173305015.752708,6095354395.095793,6123705056.647616,6152213631.740867,6124167880.464248,6072054241.772322,6183326616.793374,6209172528.17636,6225098337.194675,104875757.39423749,5993965688.671612,6286336314.428033,0,0
2004-01-06,736.0,541696.0,0.08573050015569435,0.9963183634476755,0.17082974322534417,0.985300562686109,6390902562.325302,6286336314.428033,6234348351.75412,6259854194.927212,5993965688.671612,6240122356.924144,6173305015.752708,6064875175.464053,6123705056.647616,6199653430.645514,6124167880.464248,6225547783.540446,6206453647.554274,6231821509.481314,121698959.08673292,5993965688.671612,6390902562.325302,0,0
2004-01-07,737.0,543169.0,0.10282099713736041,0.9946998756145891,0.20455206612620083,0.9788556850953578,6221367578.839319,6390902562.325302,6286336314.428033,6234348351.75412,6259854194.927212,5993965688.671612,6240122356.924144,6095354395.095793,6064875175.464053,6186130608.989199,6199653430.645514,6232413863.981392,6188322399.296814,6232782981.004916,119597927.62811205,5993965688.671612,6390902562.325302,0,0
2004-01-08,738.0,544644.0,0.11988119229922722,0.99278824516254,0.2380332770614856,0.9712569994658314,6330253784.422298,6221367578.839319,6390902562.325302,6286336314.428033,6234348351.75412,6259854194.927212,5993965688.671612,6173305015.752708,6095354395.095793,6259850062.440918,6186130608.989199,6245289782.195414,6185801993.830611,6237876626.1694975,125282806.77271035,5993965688.671612,6390902562.325302,0,0
2004-01-09,739.0,546121.0,0.13690605792347524,0.990584035457797,0.27123391067291003,0.9625134626077081,6175416146.272665,6330253784.422298,6221367578.839319,6390902562.325302,6286336314.428033,6234348351.75412,6259854194.927212,6240122356.924144,6173305015.752708,6452169668.244522,6259850062.440918,6271211276.138421,6195858589.518982,6233791032.607286,72099177.19240558,6175416146.272665,6390902562.325302,0,0
2004-01-10,740.0,547600.0,0.15389057670406178,0.9880878960910772,0.30411483232751785,0.9526353808033825,6138597699.174996,6175416146.272665,6330253784.422298,6221367578.839319,6390902562.325302,6286336314.428033,6234348351.75412,5993965688.671612,6240122356.924144,6423754159.223516,6452169668.244522,6253888919.602391,6194886022.907133,6227802750.89539,88078258.15773003,6138597699.174996,6390902562.325302,1,0
2004-01-11,741.0,549081.0,0.17082974322534417,0.985300562686109,0.33663728424691025,0.9416343976591259,6178997404.534876,6138597699.174996,6175416146.272665,6330253784.422298,6221367578.839319,6390902562.325302,6286336314.428033,6259854194.927212,5993965688.671612,6435337303.749091,6423754159.223516,6245981641.428213,6198835476.327652,6226394304.358934,92498565.08887646,6138597699.174996,6390902562.325302,1,0
2004-01-12,742.0,550564.0,0.18771856543719873,0.9822228566828407,0.36876293119226017,0.9295234803804003,6131483590.641596,6178997404.534876,6138597699.174996,6175416146.272665,6330253784.422298,6221367578.839319,6390902562.325302,6234348351.75412,6259854194.927212,6428966891.034522,6435337303.749091,6223859823.744436,6203593220.268906,6224630516.919664,99491697.75964521,6131483590.641596,6390902562.325302,0,0
2004-01-13,743.0,552049.0,0.20455206612620083,0.9788556850953578,0.4004539056512665,0.9163169044870048,6176190623.728474,6131483590.641596,6178997404.534876,6138597699.174996,6175416146.272665,6330253784.422298,6221367578.839319,6286336314.428033,6234348351.75412,6475205054.443758,6428966891.034522,6193186689.659175,6209367236.599811,6227491404.664597,67298805.80151401,6131483590.641596,6330253784.422298,0,0
2004-01-14,744.0,553536.0,0.2213252843824325,0.9752000402445825,0.43167285247378373,0.9020302369860708,6168804279.271225,6176190623.728474,6131483590.641596,6178997404.534876,6138597699.174996,6175416146.272665,6330253784.422298,6390902562.325302,6286336314.428033,6365539460.949116,6475205054.443758,6185677646.863733,6209045755.422563,6230716405.91456,66558764.673627354,6131483590.641596,6330253784.422298,0,0
2004-01-15,745.0,555025.0,0.2380332770614856,0.9712569994658314,0.4623829729035149,0.88668031802274,6296663346.676799,6168804279.271225,6176190623.728474,6131483590.641596,6178997404.534876,6138597699.174996,6175416146.272665,6221367578.839319,6390902562.325302,6034623806.6354885,6365539460.949116,6180879012.90009,6213084397.547751,6236466254.788312,54520321.4797006,6131483590.641596,6296663346.676799,0,0
2004-01-16,746.0,556516.0,0.2546711202412287,0.9670277247913204,0.4925480679538643,0.8702852410301553,6269667168.30983,6296663346.676799,6168804279.271225,6176190623.728474,6131483590.641596,6178997404.534876,6138597699.174996,6330253784.422298,6221367578.839319,6152213631.740867,6034623806.6354885,6194343444.619685,6232777360.379052,6238800046.043789,63795571.82131714,6131483590.641596,6296663346.676799,0,0
2004-01-17,747.0,558009.0,0.27123391067291003,0.9625134626077081,0.5221325810768248,0.8528643314021597,6299151820.074097,6269667168.30983,6296663346.676799,6168804279.271225,6176190623.728474,6131483590.641596,6178997404.534876,6175416146.272665,6330253784.422298,6123705056.647616,6152213631.740867,6217279747.60527,6235584333.603831,6242567419.746618,69057873.52133918,6131483590.641596,6299151820.074097,1,0
2004-01-18,748.0,559504.0,0.28771676722616696,0.9577155432887803,0.5511016400746,0.8344381237138473,6184515615.297072,6299151820.074097,6269667168.30983,6296663346.676799,6168804279.271225,6176190623.728474,6131483590.641596,6138597699.174996,6175416146.272665,6064875175.464053,6123705056.647616,6218068063.428442,6232024852.428328,6240056271.508491,68577863.11172868,6131483590.641596,6299151820.074097,1,0
2004-01-19,749.0,561001.0,0.30411483232751785,0.9526353808033825,0.5794210982045637,0.8150283375168114,6061268204.891695,6184515615.297072,6299151820.074097,6269667168.30983,6296663346.676799,6168804279.271225,6176190623.728474,6178997404.534876,6138597699.174996,6095354395.095793,6064875175.464053,6208037294.035599,6215948558.8900175,6227026222.7300625,86219245.9381963,6061268204.891695,6299151820.074097,0,0
2004-01-20,750.0,562500.0,0.3204232733919112,0.9472744722987169,0.6070575744291004,0.794657851737625,5984767315.530044,6061268204.891695,6184515615.297072,6299151820.074097,6269667168.30983,6296663346.676799,6168804279.271225,6131483590.641596,6178997404.534876,6173305015.752708,6095354395.095793,6180691107.150108,6186938898.404641,6212393327.94028,121245704.77127193,5984767315.530044,6299151820.074097,0,0
