,actual,predicted,residual
2004-01-01,5993965688.671612,6140587758.595171,146622069.9235592
2004-01-02,6259854194.927212,6139821147.377494,120033047.5497179
2004-01-03,6234348351.75412,6140769030.770269,93579320.98385048
2004-01-04,6286336314.428033,6140025033.336753,146311281.09127998
2004-01-05,6390902562.325302,6141623033.410098,249279528.91520405
2004-01-06,6221367578.839319,6141343439.516649,80024139.32266998
2004-01-07,6330253784.422298,6140749943.666201,189503840.7560978
2004-01-08,6175416146.272665,6141060755.183017,34355391.08964825
2004-01-09,6138597699.174996,6140938107.205173,2340408.0301761627
2004-01-10,6178997404.534876,6142041255.625319,36956148.90955734
2004-01-11,6131483590.641596,6141855295.049605,10371704.40800953
2004-01-12,6176190623.728474,6143327453.6407385,32863170.087735176
2004-01-13,6168804279.271225,6141939667.05844,26864612.212784767
2004-01-14,6296663346.676799,6141529697.4087715,155133649.2680273
2004-01-15,6269667168.30983,6140197767.850123,129469400.4597063
2004-01-16,6299151820.074097,6139655069.103585,159496750.97051144
2004-01-17,6184515615.297072,6140067347.333234,44448267.96383858
2004-01-18,6061268204.891695,6138751875.611946,77483670.72025108
2004-01-19,5984767315.530044,6139944362.630624,155177047.10058022
2004-01-20,6150330936.1958885,6141626616.03858,8704320.157308578
2004-01-21,6068415875.404315,6144360819.866049,75944944.46173382
2004-01-22,6189131991.206904,6142373041.219049,46758949.98785496
2004-01-23,6244292130.364824,6143382200.180275,100909930.18454933
2004-01-24,6145548763.221241,6141401148.991659,4147614.229581833
2004-01-25,6062808341.905727,6140692341.477361,77883999.57163334
2004-01-26,6063826597.814371,6140025292.488652,76198694.67428112
2004-01-27,6107313746.764681,6140244944.8635645,32931198.09888363
2004-01-28,6166499559.446898,6141319479.999346,25180079.44755268
2004-01-29,6181016724.267024,6141377197.832184,39639526.4348402
2004-01-30,6224715252.723651,6141118665.173084,83596587.55056667
2004-01-31,6226011097.623251,6140250393.69567,85760703.92758083
2004-02-01,6212428737.852217,6139716230.547322,72712507.30489445
2004-02-02,6179737915.820549,6140179856.10524,39558059.71530914
2004-02-03,6192007806.475299,6139669666.733011,52338139.742287636
2004-02-04,6295297740.890493,6140292856.443444,155004884.44704914
2004-02-05,6351886959.782066,6140734528.185589,211152431.5964775
2004-02-06,6342968966.127212,6141234139.702173,201734826.42503834
2004-02-07,6251707807.639154,6140350516.968898,111357290.67025661
2004-02-08,6192931075.52553,6139516932.586653,53414142.938877106
2004-02-09,6176300470.969833,6139512116.942864,36788354.026968956
2004-02-10,6171824439.37201,6140808679.207449,31015760.16456127
2004-02-11,6332909039.614058,6141520251.597815,191388788.01624298
2004-02-12,6376450262.902951,6142779919.269119,233670343.63383198
2004-02-13,6231851553.917412,6141973508.127236,89878045.79017544
2004-02-14,6165707018.996024,6139608710.46021,26098308.535814285
2004-02-15,6087770482.707513,6138836928.976258,51066446.26874542
2004-02-16,6005534558.248277,6140370409.62524,134835851.37696362
2004-02-17,5975719013.700056,6142237444.543904,166518430.84384823
2004-02-18,6139203253.662503,6143570156.034249,4366902.371746063
2004-02-19,6149812259.941755,6144191359.428079,5620900.513676643
2004-02-20,6164397894.986798,6142652085.80463,21745809.182168007
2004-02-21,6127229569.879347,6141609885.508654,14380315.629306793
2004-02-22,6049856824.427459,6140015720.5387335,90158896.11127472
2004-02-23,6048548995.297069,6139619018.366676,91070023.06960773
2004-02-24,6062474098.463258,6140171467.892823,77697369.42956543
2004-02-25,6110944529.413261,6141277930.102713,30333400.689451218
2004-02-26,6140073286.889982,6141566464.432006,1493177.5420236588
2004-02-27,6114616209.832123,6141092009.526751,26475799.69462776
2004-02-28,6142985804.262413,6140274911.32336,2710892.939052582
2004-03-01,6118006751.61039,6139778496.028268,21771744.41787815
2004-03-02,6083762069.704111,6139868364.977001,56106295.27289009
2004-03-03,6051622082.132672,6139892813.047951,88270730.91527843
2004-03-04,6318700423.746484,6140642994.923152,178057428.82333183
2004-03-05,6216359204.18019,6142469713.773567,73889490.40662289
2004-03-06,6112114009.16647,6140615761.011641,28501751.845170975
2004-03-07,6075524610.3412285,6139791478.990456,64266868.64922714
2004-03-08,6009062633.382134,6138953770.466083,129891137.08394814
2004-03-09,6015332439.342977,6140597933.280557,125265493.93758011
2004-03-10,6039394100.5161295,6141236021.2743225,101841920.75819302
2004-03-11,6191126035.986131,6143112879.991892,48013155.99423885
2004-03-12,6248399764.578035,6142454106.710873,105945657.8671627
2004-03-13,6566459775.879663,6141092998.042919,425366777.8367443
2004-03-14,6645334024.900165,6142582449.128888,502751575.7712765
2004-03-15,6267046117.823627,6142340662.514272,124705455.30935574
2004-03-16,6005006133.258927,6140105472.302394,135099339.04346657
2004-03-17,6031352529.035318,6139419100.583796,108066571.54847717
2004-03-18,6215400009.119784,6142466496.952438,72933512.167346
2004-03-19,6261857375.067138,6146724918.259424,115132456.80771351
2004-03-20,6163860697.067641,6147172996.150012,16687700.917629242
2004-03-21,6125116392.506098,6144117465.525177,19001073.01907921
2004-03-22,6033453146.9489975,6140488635.9844265,107035489.035429
2004-03-23,5990627722.277635,6140117879.493024,149490157.21538925
2004-03-24,6106985281.550695,6141539784.207158,34554502.65646267
2004-03-25,6119435961.209353,6143483927.890158,24047966.680804253
2004-03-26,6064913031.040537,6142134034.2708845,77221003.23034763
2004-03-27,6174389540.606424,6140226259.224404,34163281.38202
2004-03-28,6164143208.132985,6140331287.489822,23811920.643162727
2004-03-29,6075872485.057958,6140047822.159991,64175337.102033615
2004-03-30,5984097948.351603,6139565231.165718,155467282.81411552
2004-03-31,6115517211.506519,6139691186.411825,24173974.905305862
2004-04-01,6158079741.787861,6141705774.133976,16373967.653884888
2004-04-02,6235933461.206382,6141950598.4317,93982862.77468204
2004-04-03,6204538833.797393,6143692039.564914,60846794.232479095
2004-04-04,6086014086.761702,6142051411.808402,56037325.04670048
2004-04-05,5990665263.244081,6139600153.255286,148934890.01120567
2004-04-06,6023387666.902213,6139058978.722494,115671311.82028103
2004-04-07,6266579720.272358,6141513844.501249,125065875.77110863
2004-04-08,6074730440.121133,6143918367.704931,69187927.58379841
2004-04-09,6076550000.189099,6142058062.514632,65508062.32553291
2004-04-10,6063027444.501492,6140592850.289687,77565405.78819561
2004-04-11,6047417497.90594,6139536255.783021,92118757.87708092
2004-04-12,6145372962.653903,6140697306.078111,4675656.575792313
2004-04-13,5987054077.449224,6140679562.486261,153625485.0370369
2004-04-14,6051059633.957104,6141389986.343136,90330352.3860321
2004-04-15,6154070567.045765,6140307822.932728,13762744.11303711
2004-04-16,6185515354.377655,6140680582.6349745,44834771.74268055
2004-04-17,6111724688.965019,6142105436.973499,30380748.008480072
2004-04-18,6132610261.217348,6140054495.341238,7444234.123889923
2004-04-19,6327889337.331057,6140279205.384677,187610131.94637966
2004-04-20,6324213198.732645,6141015426.600284,183197772.1323614
2004-04-21,5995611471.97489,6141215884.821996,145604412.84710598
2004-04-22,6123884495.679019,6140047126.762806,16162631.083786964
2004-04-23,6141563796.521712,6141201677.344593,362119.17711925507
2004-04-24,6078470007.01812,6142346212.791919,63876205.77379894
2004-04-25,6055134577.722668,6142979817.794254,87845240.07158661
2004-04-26,5953105291.282972,6141939677.893693,188834386.61072063
2004-04-27,6123404462.7116585,6141741154.317403,18336691.605744362
2004-04-28,5992082346.253347,6142283416.423925,150201070.170578
2004-04-29,6042844891.786306,6141474823.803845,98629932.01753902
2004-04-30,6061464578.30184,6141766339.384958,80301761.08311844
2004-05-01,6537981365.073288,6139896147.248008,398085217.8252802
2004-05-02,6526787883.158875,6143185129.808056,383602753.3508196
2004-05-03,6484200218.753088,6142117818.313122,342082400.4399662
2004-05-04,7136573140.618746,6142196063.24079,994377077.3779554
2004-05-05,7088807850.056691,6145770405.513202,943037444.5434895
2004-05-06,7428226863.950326,6145153922.236975,1283072941.7133512
2004-05-07,7034975217.007062,6147801919.714277,887173297.2927847
2004-05-08,6553751966.659165,6142734011.38198,411017955.27718544
2004-05-09,6918865745.662054,6142709892.80402,776155852.8580341
2004-05-10,7242238349.138418,6145428001.048829,1096810348.089589
2004-05-11,6490647691.88779,6151969308.552962,338678383.3348274
2004-05-12,6778379566.911927,6145354571.377085,633024995.5348425
2004-05-13,7194672982.330644,6145052717.224004,1049620265.1066399
