,actual,predicted,residual
2004-01-01,5993965688.671612,6300567797.513945,306602108.84233284
2004-01-02,6259854194.927212,6169812694.814064,90041500.11314774
2004-01-03,6234348351.75412,6259140202.859831,24791851.105710983
2004-01-04,6286336314.428033,6235961776.66411,50374537.76392269
2004-01-05,6390902562.325302,6337244948.948929,53657613.37637329
2004-01-06,6221367578.839319,6401621417.02854,180253838.18922043
2004-01-07,6330253784.422298,6268651474.95024,61602309.472058296
2004-01-08,6175416146.272665,6336218387.875744,160802241.60307884
2004-01-09,6138597699.174996,6288027639.130472,149429939.9554758
2004-01-10,6178997404.534876,6178182673.6533575,814730.881518364
2004-01-11,6131483590.641596,6185436092.636315,53952501.994719505
2004-01-12,6176190623.728474,6258433635.261145,82243011.53267097
2004-01-13,6168804279.271225,6286545054.5999975,117740775.32877254
2004-01-14,6296663346.676799,6265372861.504251,31290485.172548294
2004-01-15,6269667168.30983,6348406044.988972,78738876.679142
2004-01-16,6299151820.074097,6367711200.194337,68559380.12024021
2004-01-17,6184515615.297072,6299300407.225659,114784791.92858696
2004-01-18,6061268204.891695,6229843004.052782,168574799.16108704
2004-01-19,5984767315.530044,6223655254.519532,238887938.9894886
2004-01-20,6150330936.1958885,6193367247.301712,43036311.10582352
2004-01-21,6068415875.404315,6280435381.195133,212019505.7908182
2004-01-22,6189131991.206904,6217615620.811925,28483629.605020523
2004-01-23,6244292130.364824,6308252085.660526,63959955.29570198
2004-01-24,6145548763.221241,6248379935.980293,102831172.75905228
2004-01-25,6062808341.905727,6179424728.54909,116616386.643363
2004-01-26,6063826597.814371,6231099988.861608,167273391.04723644
2004-01-27,6107313746.764681,6223749492.20026,116435745.4355793
2004-01-28,6166499559.446898,6281162016.287749,114662456.84085083
2004-01-29,6181016724.267024,6266976274.256881,85959549.98985672
2004-01-30,6224715252.723651,6306178053.311506,81462800.58785534
2004-01-31,6226011097.623251,6235210360.901533,9199263.278282166
2004-02-01,6212428737.852217,6232819412.816563,20390674.964345932
2004-02-02,6179737915.820549,6319966555.426339,140228639.60579014
2004-02-03,6192007806.475299,6299693554.215251,107685747.73995209
2004-02-04,6295297740.890493,6317523261.943153,22225521.05265999
2004-02-05,6351886959.782066,6358471150.283232,6584190.50116539
2004-02-06,6342968966.127212,6392147468.31413,49178502.18691826
2004-02-07,6251707807.639154,6293140613.967823,41432806.328668594
2004-02-08,6192931075.52553,6238088125.128461,45157049.60293102
2004-02-09,6176300470.969833,6298414930.114044,122114459.14421082
2004-02-10,6171824439.37201,6317061620.288564,145237180.9165535
2004-02-11,6332909039.614058,6295103588.051379,37805451.56267834
2004-02-12,6376450262.902951,6407110563.748008,30660300.845056534
2004-02-13,6231851553.917412,6412728058.595791,180876504.67837906
2004-02-14,6165707018.996024,6223876949.192886,58169930.19686222
2004-02-15,6087770482.707513,6195951435.158064,108180952.45055103
2004-02-16,6005534558.248277,6240012544.331014,234477986.08273697
2004-02-17,5975719013.700056,6189095683.073531,213376669.37347507
2004-02-18,6139203253.662503,6179880971.091758,40677717.42925453
2004-02-19,6149812259.941755,6263472700.370945,113660440.42918968
2004-02-20,6164397894.986798,6259092311.320929,94694416.33413029
2004-02-21,6127229569.879347,6180568859.988368,53339290.10902119
2004-02-22,6049856824.427459,6172399179.539526,122542355.11206722
2004-02-23,6048548995.297069,6197868561.980173,149319566.68310452
2004-02-24,6062474098.463258,6203933763.734091,141459665.27083302
2004-02-25,6110944529.413261,6232122626.6597,121178097.24643898
2004-02-26,6140073286.889982,6245938721.796,105865434.9060173
2004-02-27,6114616209.832123,6234121934.952387,119505725.12026405
2004-02-28,6142985804.262413,6136854604.392165,6131199.870247841
2004-03-01,6118006751.61039,6236896572.142563,118889820.53217316
2004-03-02,6083762069.704111,6229168926.515745,145406856.81163406
2004-03-03,6051622082.132672,6213266531.698212,161644449.56553936
2004-03-04,6318700423.746484,6202728000.247133,115972423.49935055
2004-03-05,6216359204.18019,6335424866.604652,119065662.42446232
2004-03-06,6112114009.16647,6179799935.691169,67685926.52469921
2004-03-07,6075524610.3412285,6113796370.290895,38271759.94966698
2004-03-08,6009062633.382134,6192084745.2534275,183022111.87129307
2004-03-09,6015332439.342977,6143635555.416066,128303116.0730896
2004-03-10,6039394100.5161295,6171607339.585342,132213239.06921291
2004-03-11,6191126035.986131,6205304236.471889,14178200.485757828
2004-03-12,6248399764.578035,6275731706.685843,27331942.107808113
2004-03-13,6566459775.879663,6198990218.687895,367469557.19176865
2004-03-14,6645334024.900165,6394149613.335282,251184411.56488228
2004-03-15,6267046117.823627,6532198792.201091,265152674.37746334
2004-03-16,6005006133.258927,6285833017.61643,280826884.35750294
2004-03-17,6031352529.035318,6137353238.154741,106000709.11942291
2004-03-18,6215400009.119784,6166037632.509847,49362376.60993767
2004-03-19,6261857375.067138,6281056511.730953,19199136.6638155
2004-03-20,6163860697.067641,6215083438.742958,51222741.67531681
2004-03-21,6125116392.506098,6151995462.799114,26879070.293016434
2004-03-22,6033453146.9489975,6191665926.73367,158212779.78467274
2004-03-23,5990627722.277635,6161701948.986862,171074226.70922756
2004-03-24,6106985281.550695,6182012174.97006,75026893.41936493
2004-03-25,6119435961.209353,6276276101.931076,156840140.7217226
2004-03-26,6064913031.040537,6223578761.628638,158665730.5881014
2004-03-27,6174389540.606424,6098634961.855518,75754578.75090599
2004-03-28,6164143208.132985,6176640192.762855,12496984.629869461
2004-03-29,6075872485.057958,6263179775.792545,187307290.73458767
2004-03-30,5984097948.351603,6209372702.672123,225274754.3205204
2004-03-31,6115517211.506519,6167480192.910917,51962981.404397964
2004-04-01,6158079741.787861,6253054332.486937,94974590.6990757
2004-04-02,6235933461.206382,6260276946.424865,24343485.21848297
2004-04-03,6204538833.797393,6235495892.710953,30957058.913559914
2004-04-04,6086014086.761702,6195700713.054054,109686626.29235268
2004-04-05,5990665263.244081,6152375602.665758,161710339.4216776
2004-04-06,6023387666.902213,6146154821.983579,122767155.08136559
2004-04-07,6266579720.272358,6211505133.133501,55074587.13885689
2004-04-08,6074730440.121133,6376513350.930131,301782910.8089981
2004-04-09,6076550000.189099,6234647383.489505,158097383.3004055
2004-04-10,6063027444.501492,6134230333.644825,71202889.14333344
2004-04-11,6047417497.90594,6144451038.900765,97033540.99482536
2004-04-12,6145372962.653903,6218917749.90834,73544787.25443745
2004-04-13,5987054077.449224,6310180870.700653,323126793.2514286
2004-04-14,6051059633.957104,6225604995.393294,174545361.4361906
2004-04-15,6154070567.045765,6240623872.852438,86553305.80667305
2004-04-16,6185515354.377655,6292048959.023876,106533604.64622116
2004-04-17,6111724688.965019,6273982113.8496475,162257424.8846283
2004-04-18,6132610261.217348,6207959422.657667,75349161.44031906
2004-04-19,6327889337.331057,6293641086.138495,34248251.19256115
2004-04-20,6324213198.732645,6417435925.932688,93222727.20004272
2004-04-21,5995611471.97489,6443838229.12162,448226757.1467304
2004-04-22,6123884495.679019,6249299640.44529,125415144.76627064
2004-04-23,6141563796.521712,6314468447.189773,172904650.6680603
2004-04-24,6078470007.01812,6250789582.994429,172319575.97630882
2004-04-25,6055134577.722668,6214109458.060783,158974880.3381157
2004-04-26,5953105291.282972,6317716524.812294,364611233.5293217
2004-04-27,6123404462.7116585,6256006378.711561,132601915.99990273
2004-04-28,5992082346.253347,6370433763.879219,378351417.62587166
2004-04-29,6042844891.786306,6280943949.982548,238099058.19624138
2004-04-30,6061464578.30184,6356994915.085157,295530336.78331757
2004-05-01,6537981365.073288,6268103599.371889,269877765.70139885
2004-05-02,6526787883.158875,6545521928.713516,18734045.55464077
2004-05-03,6484200218.753088,6670492723.768922,186292505.01583385
2004-05-04,7136573140.618746,6596436177.81443,540136962.8043156
2004-05-05,7088807850.056691,6993573787.610093,95234062.44659805
2004-05-06,7428226863.950326,6959191735.6792,469035128.2711258
2004-05-07,7034975217.007062,7115303291.957687,80328074.95062542
2004-05-08,6553751966.659165,6868809200.497831,315057233.83866596
2004-05-09,6918865745.662054,6576112701.208548,342753044.45350647
2004-05-10,7242238349.138418,6871993123.492588,370245225.64583015
2004-05-11,6490647691.88779,7083346056.296561,592698364.4087715
2004-05-12,6778379566.911927,6661172258.654008,117207308.25791931
2004-05-13,7194672982.330644,6819857063.291846,374815919.0387974
2004-05-14,6776908986.024627,7161262721.581422,384353735.5567951
2004-05-15,7164240202.321119,6792682390.591,371557811.7301197
2004-05-16,7541844995.361284,7083003326.982433,458841668.37885094
2004-05-17,7533833052.382986,7406186061.129738,127646991.25324821
2004-05-18,7033191292.144311,7363215070.439613,330023778.2953024
2004-05-19,6677076894.641926,7082599178.679702,405522284.037776
2004-05-20,7151202165.842814,6964232440.328758,186969725.5140562
2004-05-21,7139944479.744639,7191486958.175091,51542478.43045139
2004-05-22,6563361946.703555,7128671019.166037,565309072.4624815
2004-05-23,6825326890.884985,6813960999.867795,11365891.01718998
2004-05-24,6962217688.141863,6987290514.214178,25072826.072315216
2004-05-25,6563715919.934348,7157026068.497817,593310148.5634689
2004-05-26,6473480968.916131,6896242283.253196,422761314.33706474
2004-05-27,6670444320.637287,6929925208.316932,259480887.67964458
2004-05-28,6895828339.753514,6980328277.705127,84499937.95161247
2004-05-29,6617018693.982048,6992220785.926999,375202091.94495106
2004-05-30,7081151996.883978,6950435565.923701,130716430.9602766
2004-05-31,7594099372.176272,7320655798.059659,273443574.1166134
2004-06-01,7248048210.802994,7473126882.705435,225078671.90244102
2004-06-02,6792406616.598986,7355900484.741068,563493868.1420822
2004-06-03,7453837526.885305,7147687022.367542,306150504.51776314
2004-06-04,7595766226.150578,7435926644.949554,159839581.2010231
2004-06-05,7641289941.207324,7524301638.042755,116988303.1645689
2004-06-06,8005070815.922657,7506883450.114288,498187365.8083687
2004-06-07,7632770634.7716675,7775517840.0357685,142747205.26410103
2004-06-08,7182626372.98351,7454100561.10134,271474188.1178303
2004-06-09,6718617965.544386,7220493214.933627,501875249.3892412
2004-06-10,6932028383.78977,7125261831.366831,193233447.5770607
2004-06-11,7367205810.486072,7268238213.414171,98967597.07190037
2004-06-12,7957943029.824053,7356621583.773449,601321446.0506039
2004-06-13,8403646961.805017,7836801774.63654,566845187.168477
2004-06-14,8543041745.163214,8143874669.066595,399167076.09661865
2004-06-15,7582683255.901107,8143128561.738704,560445305.8375969
2004-06-16,7427478023.742779,7660559382.938172,233081359.19539356
2004-06-17,7604468493.106719,7609325148.672305,4856655.56558609
2004-06-18,7685622391.872385,7849248031.547126,163625639.6747408
2004-06-19,7787439825.191037,7718692622.887331,68747202.30370617
2004-06-20,7463663895.089267,7844534683.432186,380870788.34291935
2004-06-21,7471545277.457204,7676204673.801472,204659396.34426785
2004-06-22,7231123833.990039,7608481104.514752,377357270.5247135
2004-06-23,7333925520.310214,7501967198.309455,168041677.99924088
2004-06-24,7986025606.217306,7778360220.119482,207665386.0978241
2004-06-25,8280886466.840345,8075318633.1715975,205567833.6687479
2004-06-26,9172839932.376305,8123288396.060134,1049551536.3161707
2004-06-27,8174237725.586072,8640279763.305256,466042037.7191839
2004-06-28,7722644647.152391,8043187555.379759,320542908.2273674
2004-06-29,7908827062.259201,7748113556.326424,160713505.9327774
2004-06-30,8468543359.643361,7916084732.043885,552458627.5994759
2004-07-01,7784098724.464864,8388506592.503725,604407868.0388613
2004-07-02,7465088726.680554,8026632188.8313055,561543462.1507511
2004-07-03,6858214034.603836,7630984866.277439,772770831.673603
2004-07-04,6994989030.546563,7244002844.124702,249013813.5781393
2004-07-05,7044328665.980287,7337055158.042553,292726492.06226635
2004-07-06,7540824378.942903,7527702772.377936,13121606.564966202
2004-07-07,7761668186.154317,7863959340.624393,102291154.47007656
2004-07-08,7762850126.661577,8023265694.820491,260415568.1589136
2004-07-09,7908813669.769744,7926751502.334352,17937832.56460762
2004-07-10,8074189045.651224,8025877324.776741,48311720.87448311
2004-07-11,7490154537.802256,8035826076.852524,545671539.0502682
2004-07-12,7881615218.705442,7814154453.983048,67460764.72239399
2004-07-13,7434093612.558395,8012495203.10475,578401590.5463543
2004-07-14,7889144931.70262,7821408098.955011,67736832.74760818
2004-07-15,8605382961.300589,8032784003.44367,572598957.8569183
2004-07-16,8704817457.461927,8444111582.174015,260705875.28791237
2004-07-17,8754479592.684849,8441719975.644147,312759617.04070187
2004-07-18,8371024477.829691,8296352912.826692,74671565.0029993
2004-07-19,7429634694.708558,8182167844.176747,752533149.4681892
2004-07-20,7358830583.887605,7810855931.744925,452025347.85731983
2004-07-21,7979010268.573563,7730051804.484504,248958464.08905888
2004-07-22,8303296130.1039295,8089926909.987374,213369220.1165552
2004-07-23,8243410856.527213,8264078434.695472,20667578.168258667
2004-07-24,8356977277.850309,8071559552.265476,285417725.58483315
2004-07-25,7974667830.735638,8261170861.862362,286503031.12672424
2004-07-26,7861245107.666903,8106090615.434575,244845507.76767254
2004-07-27,7481753086.318105,8063883501.582724,582130415.2646189
2004-07-28,7134703057.824266,7910573198.154621,775870140.3303547
2004-07-29,7732213914.973088,7596707639.25075,135506275.72233868
2004-07-30,7770291709.192912,7905871389.904999,135579680.71208668
2004-07-31,7676157766.040566,7843032368.241242,166874602.20067596
2004-08-01,7354149376.789645,7729114271.439119,374964894.64947414
2004-08-02,8009873486.2542095,7721777901.0302105,288095585.223999
2004-08-03,8097212798.991492,8042784170.28436,54428628.70713234
2004-08-04,8253819780.756149,8199021431.467791,54798349.28835869
2004-08-05,8220421893.367966,8272737366.278773,52315472.91080761
2004-08-06,8203177953.097567,8190626581.216419,12551371.881147385
2004-08-07,8116063707.632038,7967270904.514333,148792803.11770535
2004-08-08,8008568651.180399,7910877841.465389,97690809.71500969
2004-08-09,7604141709.469838,7986978740.639649,382837031.16981125
2004-08-10,8243037859.495629,7831139363.374055,411898496.1215744
2004-08-11,8551920337.235842,8174415690.909741,377504646.32610035
2004-08-12,7266295854.7645855,8353682452.29245,1087386597.5278645
2004-08-13,7276039075.950111,7496705270.697398,220666194.7472868
2004-08-14,8421871185.086669,7481052047.752544,940819137.3341246
2004-08-15,7739952224.938783,8166483580.366733,426531355.4279499
2004-08-16,8768383646.813404,7893041606.4983635,875342040.3150406
2004-08-17,7566024982.115889,8417408412.640293,851383430.5244045
2004-08-18,8346474224.721916,7815413928.633619,531060296.0882969
2004-08-19,8114879530.747619,8144459537.413206,29580006.665587425
2004-08-20,8166275095.643909,8037957748.537441,128317347.1064682
2004-08-21,7833893228.496514,8010105285.3833885,176212056.8868742
2004-08-22,7471222894.319904,7797646455.314553,326423560.99464893
2004-08-23,7711954676.664268,7572977861.2961035,138976815.36816406
2004-08-24,7670784626.122964,7851924811.997819,181140185.87485504
2004-08-25,8249905156.669191,7668091160.93441,581813995.7347813
2004-08-26,8315683737.07998,8153346026.788904,162337710.2910757
2004-08-27,7675037392.018796,8049507225.488377,374469833.46958065
2004-08-28,7715990759.808301,7625610188.699977,90380571.10832405
2004-08-29,7640639344.100499,7628233262.54656,12406081.553938866
2004-08-30,7741679394.108878,7731223769.597234,10455624.511644363
2004-08-31,8055520951.348517,7873938257.502888,181582693.8456297
2004-09-01,7359762128.504724,7961395658.242533,601633529.7378092
2004-09-02,7885776179.369663,7357728442.85296,528047736.5167036
2004-09-03,7853838026.809852,7729391511.8862,124446514.9236517
2004-09-04,7956539034.712183,7775057431.919329,181481602.7928543
2004-09-05,7450273949.586948,7658502434.59398,208228485.00703144
2004-09-06,7865406620.975893,7595366063.987251,270040556.98864174
2004-09-07,7588396662.413937,7585954855.536428,2441806.8775081635
2004-09-08,8011234766.713759,7660581744.594591,350653022.1191683
2004-09-09,8208370721.226541,7710132945.604497,498237775.6220436
2004-09-10,8316164224.114576,7960187416.679668,355976807.4349079
2004-09-11,7950241101.151725,7754340362.408567,195900738.7431574
2004-09-12,8124068779.249853,7602341326.073444,521727453.17640877
2004-09-13,7735533977.184876,7797912948.999767,62378971.81489086
2004-09-14,7350330650.552108,7627822917.304722,277492266.752614
2004-09-15,7160290877.960591,7310869914.640733,150579036.68014145
2004-09-16,7306228121.614146,7230105500.494356,76122621.11979008
2004-09-17,7520877048.477283,7210095205.374376,310781843.1029062
2004-09-18,7748971090.915041,7352365761.921662,396605328.99337864
2004-09-19,7245562620.627698,7445980394.189471,200417773.5617733
2004-09-20,7098387560.213686,7299528855.38861,201141295.1749239
2004-09-21,6586152265.7659445,7136778487.390905,550626221.6249609
2004-09-22,6603509770.929971,6746743148.787672,143233377.8577013
2004-09-23,7092166284.89068,6904670002.170481,187496282.72019958
2004-09-24,7131373928.428153,7140700141.125044,9326212.696890831
2004-09-25,7184831575.224206,7019758789.695464,165072785.52874184
2004-09-26,7622093698.319035,6981488537.873796,640605160.4452381
2004-09-27,7375939971.6454115,7351702401.768351,24237569.87706089
2004-09-28,7802289771.15806,7183300471.016052,618989300.1420078
2004-09-29,7877849821.651637,7406890187.344035,470959634.3076019
2004-09-30,7149137050.292172,7545438849.341115,396301799.04894257
2004-10-01,6791860808.187704,7026824258.010684,234963449.82297993
2004-10-02,6597534505.242931,6594926426.527479,2608078.715452194
2004-10-03,6570973333.06483,6576283360.017401,5310026.952570915
2004-10-04,6520323147.382205,6630363197.201879,110040049.81967354
2004-10-05,6796635621.073191,6610858655.347938,185776965.7252531
2004-10-06,6744817714.044308,6815309952.728899,70492238.6845913
2004-10-07,7168370041.196892,6761480206.423601,406889834.77329063
2004-10-08,7004736385.677366,6997159344.774599,7577040.902767181
2004-10-09,7087390571.066748,6891680750.613028,195709820.4537201
2004-10-10,7326401853.026792,6805985365.55999,520416487.46680164
2004-10-11,7239996653.29872,7049847212.294454,190149441.00426674
2004-10-12,6451535637.049341,6960614048.376554,509078411.32721233
2004-10-13,6672139789.450279,6509548328.233673,162591461.21660614
2004-10-14,6625546957.448524,6624028432.819879,1518524.628645897
2004-10-15,6586075683.728835,6617157321.948859,31081638.22002411
2004-10-16,6580794785.624418,6457968294.024696,122826491.59972191
2004-10-17,6814602345.608893,6550909899.345761,263692446.2631321
2004-10-18,6803701308.011499,6634119347.942795,169581960.0687046
2004-10-19,6626179668.652975,6686180588.246599,60000919.593624115
2004-10-20,6911933745.60728,6559381191.191683,352552554.41559696
2004-10-21,6621832035.597544,6726138785.930427,104306750.33288288
2004-10-22,6607798040.635656,6537582139.199636,70215901.4360199
2004-10-23,6650199947.102384,6468871584.544995,181328362.5573883
2004-10-24,6619145871.738471,6531620516.759983,87525354.97848797
2004-10-25,6499505565.613021,6567861223.059697,68355657.44667625
2004-10-26,6512837924.994667,6479310216.445996,33527708.54867077
2004-10-27,6599160392.776808,6463433948.504367,135726444.2724409
