,actual,predicted,residual
2004-01-01,5993965688.671612,6178010541.107463,184044852.4358511
2004-01-02,6259854194.927212,6278454673.090293,18600478.16308117
2004-01-03,6234348351.75412,6271136932.197988,36788580.44386768
2004-01-04,6286336314.428033,6241845814.193684,44490500.23434925
2004-01-05,6390902562.325302,6278524830.300978,112377732.02432442
2004-01-06,6221367578.839319,6190296571.594559,31071007.244760513
2004-01-07,6330253784.422298,6146976449.800402,183277334.62189674
2004-01-08,6175416146.272665,6141332184.61152,34083961.66114521
2004-01-09,6138597699.174996,6051713009.170074,86884690.00492191
2004-01-10,6178997404.534876,5970317559.505646,208679845.02923012
2004-01-11,6131483590.641596,5963033030.067133,168450560.5744629
2004-01-12,6176190623.728474,6026920226.630851,149270397.09762287
2004-01-13,6168804279.271225,5992097610.850969,176706668.42025566
2004-01-14,6296663346.676799,6008093209.0578575,288570137.6189413
2004-01-15,6269667168.30983,5972465838.05138,297201330.25844955
2004-01-16,6299151820.074097,5928376966.889927,370774853.18416977
2004-01-17,6184515615.297072,5791741055.134215,392774560.16285706
2004-01-18,6061268204.891695,5724809359.132447,336458845.7592478
2004-01-19,5984767315.530044,5828905223.806541,155862091.72350216
2004-01-20,6150330936.1958885,5911037041.845864,239293894.35002422
2004-01-21,6068415875.404315,5948179843.56215,120236031.842165
2004-01-22,6189131991.206904,5904188466.711645,284943524.4952593
2004-01-23,6244292130.364824,5961157238.592411,283134891.77241325
2004-01-24,6145548763.221241,5813360498.696529,332188264.5247116
2004-01-25,6062808341.905727,5723667981.175599,339140360.7301283
2004-01-26,6063826597.814371,5843443794.799503,220382803.01486778
2004-01-27,6107313746.764681,5772155948.765396,335157797.99928474
2004-01-28,6166499559.446898,5778058680.060539,388440879.3863592
2004-01-29,6181016724.267024,5676906494.218344,504110230.0486803
2004-01-30,6224715252.723651,5630635456.3649435,594079796.3587074
2004-01-31,6226011097.623251,5528759247.032168,697251850.5910826
2004-02-01,6212428737.852217,5437566201.373252,774862536.4789648
2004-02-02,6179737915.820549,5458559482.385176,721178433.4353733
2004-02-03,6192007806.475299,5337643176.036802,854364630.4384966
2004-02-04,6295297740.890493,5298749952.553709,996547788.3367844
2004-02-05,6351886959.782066,5215407556.577835,1136479403.2042313
2004-02-06,6342968966.127212,5097128162.553278,1245840803.5739336
2004-02-07,6251707807.639154,5000395408.081085,1251312399.5580692
2004-02-08,6192931075.52553,4880662388.360548,1312268687.1649818
2004-02-09,6176300470.969833,4872051133.431573,1304249337.5382605
2004-02-10,6171824439.37201,4814419841.288284,1357404598.083726
2004-02-11,6332909039.614058,4704356602.713446,1628552436.9006119
2004-02-12,6376450262.902951,4678308666.874845,1698141596.0281067
2004-02-13,6231851553.917412,4558090929.1546335,1673760624.7627783
2004-02-14,6165707018.996024,4400341641.3928795,1765365377.6031446
2004-02-15,6087770482.707513,4321809353.058133,1765961129.6493797
2004-02-16,6005534558.248277,4389919962.835907,1615614595.4123697
2004-02-17,5975719013.700056,4391882068.642973,1583836945.0570831
2004-02-18,6139203253.662503,4367001087.186907,1772202166.4755964
2004-02-19,6149812259.941755,4408576606.701508,1741235653.2402477
2004-02-20,6164397894.986798,4302419007.236073,1861978887.7507257
2004-02-21,6127229569.879347,4140589910.7376227,1986639659.141724
2004-02-22,6049856824.427459,4067337462.084772,1982519362.3426867
2004-02-23,6048548995.297069,4054518977.7545996,1994030017.542469
2004-02-24,6062474098.463258,4025420764.455303,2037053334.0079546
2004-02-25,6110944529.413261,3970442900.56768,2140501628.8455815
2004-02-26,6140073286.889982,3931660301.7416363,2208412985.148346
