,actual,predicted,residual
2004-01-01,5993965688.671612,6201835803.31051,207870114.6388979
2004-01-02,6259854194.927212,6351747331.29534,91893136.36812782
2004-01-03,6234348351.75412,6299810304.588118,65461952.83399773
2004-01-04,6286336314.428033,6423192563.212425,136856248.78439236
2004-01-05,6390902562.325302,6573698439.246956,182795876.92165375
2004-01-06,6221367578.839319,6389738029.371084,168370450.53176498
2004-01-07,6330253784.422298,6478277022.687517,148023238.26521873
2004-01-08,6175416146.272665,6355339264.348505,179923118.07584
2004-01-09,6138597699.174996,6357604546.4309845,219006847.25598812
2004-01-10,6178997404.534876,6232617550.318055,53620145.78317928
2004-01-11,6131483590.641596,6313381952.303969,181898361.66237354
2004-01-12,6176190623.728474,6401365932.951869,225175309.22339535
2004-01-13,6168804279.271225,6359868913.652449,191064634.38122368
2004-01-14,6296663346.676799,6459089110.373334,162425763.6965351
2004-01-15,6269667168.30983,6434873191.130629,165206022.82079887
2004-01-16,6299151820.074097,6470264877.633016,171113057.55891895
2004-01-17,6184515615.297072,6306476080.360956,121960465.06388378
2004-01-18,6061268204.891695,6255176939.803366,193908734.91167068
2004-01-19,5984767315.530044,6277125691.386301,292358375.85625744
2004-01-20,6150330936.1958885,6345475008.547203,195144072.35131454
2004-01-21,6068415875.404315,6308736038.949894,240320163.54557896
2004-01-22,6189131991.206904,6356084087.377283,166952096.17037868
2004-01-23,6244292130.364824,6405379293.757704,161087163.3928795
2004-01-24,6145548763.221241,6248388166.593002,102839403.37176132
2004-01-25,6062808341.905727,6266264767.516394,203456425.61066628
2004-01-26,6063826597.814371,6347776643.52026,283950045.70588875
2004-01-27,6107313746.764681,6317793866.313124,210480119.54844284
2004-01-28,6166499559.446898,6348050730.806708,181551171.35980988
2004-01-29,6181016724.267024,6383443129.275734,202426405.0087099
2004-01-30,6224715252.723651,6423338000.6521015,198622747.92845058
2004-01-31,6226011097.623251,6419904809.727301,193893712.10404968
2004-02-01,6212428737.852217,6441750906.496771,229322168.64455414
2004-02-02,6179737915.820549,6580776038.692077,401038122.8715277
2004-02-03,6192007806.475299,6542887237.465821,350879430.9905224
2004-02-04,6295297740.890493,6575042691.73583,279744950.8453369
2004-02-05,6351886959.782066,6634858071.236887,282971111.45482063
2004-02-06,6342968966.127212,6618925483.2472315,275956517.1200199
2004-02-07,6251707807.639154,6432835740.769186,181127933.1300316
2004-02-08,6192931075.52553,6413697518.903082,220766443.37755203
2004-02-09,6176300470.969833,6558134072.965793,381833601.9959593
2004-02-10,6171824439.37201,6504991136.824087,333166697.4520769
2004-02-11,6332909039.614058,6579894300.4546385,246985260.84058094
2004-02-12,6376450262.902951,6614628136.284132,238177873.38118076
2004-02-13,6231851553.917412,6501912970.219286,270061416.30187416
2004-02-14,6165707018.996024,6371160568.588646,205453549.5926218
2004-02-15,6087770482.707513,6326995011.927752,239224529.2202387
2004-02-16,6005534558.248277,6392250115.85126,386715557.6029835
2004-02-17,5975719013.700056,6354027142.799449,378308129.0993929
2004-02-18,6139203253.662503,6416071522.488002,276868268.8254986
2004-02-19,6149812259.941755,6415827619.6814785,266015359.7397232
2004-02-20,6164397894.986798,6439757267.32961,275359372.3428116
2004-02-21,6127229569.879347,6314923571.354989,187694001.4756422
2004-02-22,6049856824.427459,6275192450.840295,225335626.41283607
2004-02-23,6048548995.297069,6417101494.175084,368552498.8780155
2004-02-24,6062474098.463258,6397615166.6408205,335141068.1775627
2004-02-25,6110944529.413261,6394819093.454194,283874564.04093266
2004-02-26,6140073286.889982,6411803590.830078,271730303.9400959
2004-02-27,6114616209.832123,6390434544.544104,275818334.7119808
2004-02-28,6142985804.262413,6300744348.286544,157758544.02413082
2004-03-01,6118006751.61039,6429356917.308576,311350165.6981859
2004-03-02,6083762069.704111,6446728455.221204,362966385.5170927
2004-03-03,6051622082.132672,6377090280.262685,325468198.1300125
2004-03-04,6318700423.746484,6560256378.327389,241555954.58090496
2004-03-05,6216359204.18019,6473838128.818472,257478924.63828182
2004-03-06,6112114009.16647,6288287661.976695,176173652.8102255
2004-03-07,6075524610.3412285,6235627002.683998,160102392.34276962
2004-03-08,6009062633.382134,6340878171.40384,331815538.0217056
2004-03-09,6015332439.342977,6379179464.869902,363847025.5269251
2004-03-10,6039394100.5161295,6355492852.546808,316098752.03067875
2004-03-11,6191126035.986131,6447409699.427473,256283663.44134235
2004-03-12,6248399764.578035,6505036712.64991,256636948.07187462
2004-03-13,6566459775.879663,6709851982.227702,143392206.34803867
2004-03-14,6645334024.900165,6786595761.647378,141261736.74721336
