,actual,predicted,residual
2004-01-01,5993965688.671612,6316983525.647437,323017836.9758253
2004-01-02,6259854194.927212,6292482496.911493,32628301.98428154
2004-01-03,6234348351.75412,6220439815.563525,13908536.190594673
2004-01-04,6286336314.428033,6198976748.066036,87359566.36199665
2004-01-05,6390902562.325302,6327042972.5784855,63859589.746816635
2004-01-06,6221367578.839319,6397381530.303621,176013951.46430206
2004-01-07,6330253784.422298,6346317587.53009,16063803.1077919
2004-01-08,6175416146.272665,6357655406.326917,182239260.05425167
2004-01-09,6138597699.174996,6330796346.852209,192198647.67721272
2004-01-10,6178997404.534876,6201981640.903827,22984236.368950844
2004-01-11,6131483590.641596,6174614361.239108,43130770.597512245
2004-01-12,6176190623.728474,6290325555.324096,114134931.59562206
2004-01-13,6168804279.271225,6297961262.300448,129156983.02922344
2004-01-14,6296663346.676799,6312570351.076487,15907004.399687767
2004-01-15,6269667168.30983,6399171782.151272,129504613.84144211
2004-01-16,6299151820.074097,6381768951.609619,82617131.53552246
2004-01-17,6184515615.297072,6282349040.500742,97833425.20366955
2004-01-18,6061268204.891695,6260622172.824388,199353967.93269253
2004-01-19,5984767315.530044,6313620632.063216,328853316.5331726
2004-01-20,6150330936.1958885,6267924741.753197,117593805.5573082
2004-01-21,6068415875.404315,6269825089.37233,201409213.96801472
2004-01-22,6189131991.206904,6275320194.345841,86188203.138937
2004-01-23,6244292130.364824,6292144381.618726,47852251.25390148
2004-01-24,6145548763.221241,6254541142.92386,108992379.7026186
2004-01-25,6062808341.905727,6239196866.422124,176388524.51639652
2004-01-26,6063826597.814371,6325969507.900397,262142910.0860262
2004-01-27,6107313746.764681,6319055469.589041,211741722.8243599
2004-01-28,6166499559.446898,6307834538.4639,141334979.01700115
2004-01-29,6181016724.267024,6308929813.695471,127913089.42844677
2004-01-30,6224715252.723651,6352340467.658712,127625214.93506145
2004-01-31,6226011097.623251,6283224893.51929,57213795.89603901
2004-02-01,6212428737.852217,6289813176.825662,77384438.97344494
2004-02-02,6179737915.820549,6389447298.02515,209709382.2046013
2004-02-03,6192007806.475299,6373611274.261921,181603467.78662205
2004-02-04,6295297740.890493,6362064232.036847,66766491.14635372
2004-02-05,6351886959.782066,6398306879.202123,46419919.42005634
2004-02-06,6342968966.127212,6429301398.469436,86332432.34222412
2004-02-07,6251707807.639154,6361560614.110935,109852806.47178078
2004-02-08,6192931075.52553,6349350957.683942,156419882.15841198
2004-02-09,6176300470.969833,6402342562.127319,226042091.15748596
2004-02-10,6171824439.37201,6355963028.1459255,184138588.7739153
2004-02-11,6332909039.614058,6342020875.055098,9111835.441040039
2004-02-12,6376450262.902951,6392210733.551828,15760470.648877144
2004-02-13,6231851553.917412,6435153938.107273,203302384.1898613
2004-02-14,6165707018.996024,6352406160.758532,186699141.76250744
2004-02-15,6087770482.707513,6338863587.073683,251093104.36616993
2004-02-16,6005534558.248277,6330220074.49624,324685516.24796295
2004-02-17,5975719013.700056,6272677426.060608,296958412.36055183
2004-02-18,6139203253.662503,6238908502.83499,99705249.1724863
2004-02-19,6149812259.941755,6290144800.290623,140332540.34886742
2004-02-20,6164397894.986798,6303240658.301586,138842763.31478786
2004-02-21,6127229569.879347,6300074437.100841,172844867.22149372
2004-02-22,6049856824.427459,6325399950.569821,275543126.1423626
2004-02-23,6048548995.297069,6327225084.845063,278676089.5479946
2004-02-24,6062474098.463258,6304634213.78928,242160115.32602215
2004-02-25,6110944529.413261,6308145337.538856,197200808.12559414
2004-02-26,6140073286.889982,6312531215.142038,172457928.25205612
2004-02-27,6114616209.832123,6310426853.38084,195810643.5487175
2004-02-28,6142985804.262413,6314050366.4409075,171064562.17849445
2004-03-01,6118006751.61039,6332433751.255687,214426999.64529705
2004-03-02,6083762069.704111,6329920698.268292,246158628.56418133
2004-03-03,6051622082.132672,6322974092.535104,271352010.4024315
2004-03-04,6318700423.746484,6302828767.502709,15871656.243774414
2004-03-05,6216359204.18019,6378646961.201878,162287757.0216875
2004-03-06,6112114009.16647,6331131213.856925,219017204.69045544
2004-03-07,6075524610.3412285,6319984092.739031,244459482.39780235
2004-03-08,6009062633.382134,6328677909.739735,319615276.3576002
2004-03-09,6015332439.342977,6282410209.886855,267077770.54387856
2004-03-10,6039394100.5161295,6257292409.411571,217898308.89544106
2004-03-11,6191126035.986131,6269651743.453454,78525707.4673233
2004-03-12,6248399764.578035,6315885208.221908,67485443.64387226
2004-03-13,6566459775.879663,6305706477.276023,260753298.60364056
2004-03-14,6645334024.900165,6537121866.463895,108212158.43626976
