,actual,predicted,residual
2004-01-01,5993965688.671612,6302309794.371454,308344105.69984245
2004-01-02,6259854194.927212,6179862096.350105,79992098.57710648
2004-01-03,6234348351.75412,6200643333.324991,33705018.42912865
2004-01-04,6286336314.428033,6197842640.919853,88493673.50817966
2004-01-05,6390902562.325302,6314892280.998072,76010281.32723045
2004-01-06,6221367578.839319,6372722398.923281,151354820.0839615
2004-01-07,6330253784.422298,6272475066.255767,57778718.16653156
2004-01-08,6175416146.272665,6328709195.52699,153293049.2543249
2004-01-09,6138597699.174996,6287606321.775579,149008622.60058308
2004-01-10,6178997404.534876,6161421126.866124,17576277.668751717
2004-01-11,6131483590.641596,6165047262.757057,33563672.11546135
2004-01-12,6176190623.728474,6252277427.535816,76086803.80734253
2004-01-13,6168804279.271225,6278888615.798855,110084336.52762985
2004-01-14,6296663346.676799,6264205560.691113,32457785.98568535
2004-01-15,6269667168.30983,6330220497.851896,60553329.542066574
2004-01-16,6299151820.074097,6341894975.844623,42743155.77052593
2004-01-17,6184515615.297072,6255785314.296135,71269698.99906254
2004-01-18,6061268204.891695,6193014721.880586,131746516.98889065
2004-01-19,5984767315.530044,6205026306.849016,220258991.3189726
2004-01-20,6150330936.1958885,6164763701.986096,14432765.790207863
2004-01-21,6068415875.404315,6237603103.43472,169187228.03040504
2004-01-22,6189131991.206904,6197889622.459319,8757631.252414703
2004-01-23,6244292130.364824,6266441232.802719,22149102.43789482
2004-01-24,6145548763.221241,6203039076.361724,57490313.1404829
2004-01-25,6062808341.905727,6156508283.47855,93699941.57282257
2004-01-26,6063826597.814371,6213234296.927311,149407699.11293983
2004-01-27,6107313746.764681,6192903128.227125,85589381.4624443
2004-01-28,6166499559.446898,6237859374.067517,71359814.62061882
2004-01-29,6181016724.267024,6237374569.536177,56357845.26915264
2004-01-30,6224715252.723651,6262445133.52826,37729880.8046093
2004-01-31,6226011097.623251,6183023077.234178,42988020.38907337
2004-02-01,6212428737.852217,6188354570.830493,24074167.021723747
2004-02-02,6179737915.820549,6284775208.8699255,105037293.04937649
2004-02-03,6192007806.475299,6264736209.964155,72728403.48885632
2004-02-04,6295297740.890493,6275752112.498035,19545628.392457962
2004-02-05,6351886959.782066,6322642720.953634,29244238.828432083
2004-02-06,6342968966.127212,6361153749.041056,18184782.91384411
2004-02-07,6251707807.639154,6254438039.471654,2730231.832499504
2004-02-08,6192931075.52553,6202909721.427463,9978645.901932716
2004-02-09,6176300470.969833,6268517092.09949,92216621.12965679
2004-02-10,6171824439.37201,6278593394.444379,106768955.07236862
2004-02-11,6332909039.614058,6261486118.140032,71422921.47402573
2004-02-12,6376450262.902951,6351153009.59994,25297253.30301094
2004-02-13,6231851553.917412,6376800560.895684,144949006.97827244
2004-02-14,6165707018.996024,6202900475.51161,37193456.5155859
2004-02-15,6087770482.707513,6162285803.082429,74515320.37491608
2004-02-16,6005534558.248277,6217654757.734735,212120199.48645782
2004-02-17,5975719013.700056,6168945701.896727,193226688.19667053
2004-02-18,6139203253.662503,6143347651.785662,4144398.123158455
2004-02-19,6149812259.941755,6219864666.352482,70052406.41072655
2004-02-20,6164397894.986798,6230720296.100692,66322401.11389351
2004-02-21,6127229569.879347,6139852435.56254,12622865.683193207
2004-02-22,6049856824.427459,6127342626.556128,77485802.12866879
2004-02-23,6048548995.297069,6170549849.389043,122000854.09197426
2004-02-24,6062474098.463258,6170159646.677379,107685548.21412086
2004-02-25,6110944529.413261,6185735041.75411,74790512.34084892
2004-02-26,6140073286.889982,6202414801.356124,62341514.4661417
2004-02-27,6114616209.832123,6203121418.7042,88505208.87207699
2004-02-28,6142985804.262413,6098891500.793915,44094303.46849823
2004-03-01,6118006751.61039,6205421900.21146,87415148.6010704
2004-03-02,6083762069.704111,6199567919.542007,115805849.83789635
2004-03-03,6051622082.132672,6182143309.072167,130521226.93949509
2004-03-04,6318700423.746484,6167609111.5961075,151091312.15037632
2004-03-05,6216359204.18019,6297572950.391852,81213746.21166229
2004-03-06,6112114009.16647,6161472746.016051,49358736.84958172
2004-03-07,6075524610.3412285,6092512325.418597,16987715.077368736
2004-03-08,6009062633.382134,6165517767.796363,156455134.41422844
2004-03-09,6015332439.342977,6128273163.229298,112940723.88632107
2004-03-10,6039394100.5161295,6143074555.866962,103680455.35083294
2004-03-11,6191126035.986131,6158844014.519923,32282021.466207504
2004-03-12,6248399764.578035,6224541901.024922,23857863.553112984
2004-03-13,6566459775.879663,6161209777.982111,405249997.8975525
2004-03-14,6645334024.900165,6346275351.0461855,299058673.8539791
2004-03-15,6267046117.823627,6495190469.188507,228144351.3648796
2004-03-16,6005006133.258927,6292654532.9638605,287648399.70493317
2004-03-17,6031352529.035318,6132582569.543506,101230040.5081873
2004-03-18,6215400009.119784,6141986897.834791,73413111.28499317
2004-03-19,6261857375.067138,6256365173.838618,5492201.22851944
2004-03-20,6163860697.067641,6184354383.081613,20493686.01397133
2004-03-21,6125116392.506098,6134024920.238949,8908527.732851028
2004-03-22,6033453146.9489975,6183284444.254464,149831297.30546665
2004-03-23,5990627722.277635,6170278384.383364,179650662.1057291
2004-03-24,6106985281.550695,6168565662.029153,61580380.47845745
2004-03-25,6119435961.209353,6229077854.385081,109641893.17572784
2004-03-26,6064913031.040537,6203415070.381365,138502039.34082794
2004-03-27,6174389540.606424,6073333195.497246,101056345.10917854
2004-03-28,6164143208.132985,6135563870.87665,28579337.25633526
2004-03-29,6075872485.057958,6238881706.560779,163009221.50282097
2004-03-30,5984097948.351603,6192401730.144466,208303781.79286385
2004-03-31,6115517211.506519,6139801915.554945,24284704.048425674
2004-04-01,6158079741.787861,6208672015.702533,50592273.9146719
2004-04-02,6235933461.206382,6237146024.211389,1212563.0050067902
2004-04-03,6204538833.797393,6201912530.317385,2626303.4800081253
2004-04-04,6086014086.761702,6176832675.531661,90818588.76995945
2004-04-05,5990665263.244081,6171845007.179272,181179743.93519115
2004-04-06,6023387666.902213,6142285722.56244,118898055.66022682
2004-04-07,6266579720.272358,6179234619.406701,87345100.86565685
2004-04-08,6074730440.121133,6321550464.892195,246820024.7710619
2004-04-09,6076550000.189099,6222395530.000074,145845529.81097507
2004-04-10,6063027444.501492,6105904669.555645,42877225.05415344
2004-04-11,6047417497.90594,6116889074.344244,69471576.43830395
2004-04-12,6145372962.653903,6212175119.391859,66802156.73795605
2004-04-13,5987054077.449224,6275480425.812643,288426348.3634186
2004-04-14,6051059633.957104,6194606927.058714,143547293.10161018
2004-04-15,6154070567.045765,6203445787.494691,49375220.44892597
2004-04-16,6185515354.377655,6258913244.226928,73397889.84927273
2004-04-17,6111724688.965019,6224529281.335783,112804592.37076378
2004-04-18,6132610261.217348,6169424218.95619,36813957.73884201
2004-04-19,6327889337.331057,6257333401.110412,70555936.22064495
2004-04-20,6324213198.732645,6378001340.834207,53788142.10156155
2004-04-21,5995611471.97489,6408966260.312366,413354788.3374758
2004-04-22,6123884495.679019,6235746966.550177,111862470.87115765
2004-04-23,6141563796.521712,6269390777.93751,127826981.41579723
2004-04-24,6078470007.01812,6213997508.856281,135527501.83816147
2004-04-25,6055134577.722668,6188903485.955876,133768908.23320866
2004-04-26,5953105291.282972,6270591194.837124,317485903.55415154
2004-04-27,6123404462.7116585,6218740993.069208,95336530.35754967
2004-04-28,5992082346.253347,6320349490.621899,328267144.36855125
2004-04-29,6042844891.786306,6258702720.35988,215857828.57357407
2004-04-30,6061464578.30184,6295926360.319674,234461782.0178337
2004-05-01,6537981365.073288,6200336003.855237,337645361.21805096
2004-05-02,6526787883.158875,6466703670.315391,60084212.84348488
2004-05-03,6484200218.753088,6608004900.243466,123804681.49037838
2004-05-04,7136573140.618746,6538214886.400848,598358254.2178974
2004-05-05,7088807850.056691,6908811688.010889,179996162.04580212
2004-05-06,7428226863.950326,6929323133.578369,498903730.3719568
2004-05-07,7034975217.007062,7099908663.9448,64933446.93773842
2004-05-08,6553751966.659165,6850932542.875188,297180576.2160225
2004-05-09,6918865745.662054,6586575264.529321,332290481.13273335
2004-05-10,7242238349.138418,6867594810.151688,374643538.9867306
2004-05-11,6490647691.88779,7094556765.202299,603909073.3145094
2004-05-12,6778379566.911927,6730457878.0297165,47921688.88221073
2004-05-13,7194672982.330644,6801487331.92693,393185650.4037132
2004-05-14,6776908986.024627,7120725973.228187,343816987.2035599
2004-05-15,7164240202.321119,6859261981.772329,304978220.54879
2004-05-16,7541844995.361284,7042008768.406485,499836226.95479965
2004-05-17,7533833052.382986,7353065415.168116,180767637.21487045
2004-05-18,7033191292.144311,7377720186.184717,344528894.0404062
2004-05-19,6677076894.641926,7132585067.290931,455508172.64900494
2004-05-20,7151202165.842814,6952348782.575383,198853383.26743126
2004-05-21,7139944479.744639,7161277736.42624,21333256.68160057
2004-05-22,6563361946.703555,7148968526.2021055,585606579.4985504
2004-05-23,6825326890.884985,6843526849.612227,18199958.72724247
2004-05-24,6962217688.141863,6986665124.499386,24447436.357522964
2004-05-25,6563715919.934348,7164206020.953251,600490101.0189028
2004-05-26,6473480968.916131,6986365670.838205,512884701.9220743
2004-05-27,6670444320.637287,6931616939.409682,261172618.77239513
2004-05-28,6895828339.753514,6977081905.45486,81253565.70134544
2004-05-29,6617018693.982048,7001796653.65347,384777959.671422
2004-05-30,7081151996.883978,6950025219.706711,131126777.17726707
2004-05-31,7594099372.176272,7257131027.6443405,336968344.5319319
2004-06-01,7248048210.802994,7479782318.967562,231734108.16456795
2004-06-02,6792406616.598986,7404089921.524665,611683304.9256792
2004-06-03,7453837526.885305,7175497028.619506,278340498.2657995
2004-06-04,7595766226.150578,7399749932.698565,196016293.45201302
2004-06-05,7641289941.207324,7507950297.29967,133339643.90765381
2004-06-06,8005070815.922657,7529705294.342555,475365521.58010197
2004-06-07,7632770634.7716675,7791775247.5500145,159004612.77834702
2004-06-08,7182626372.98351,7575644787.811449,393018414.82793903
2004-06-09,6718617965.544386,7369203084.895889,650585119.3515034
2004-06-10,6932028383.78977,7202507811.520873,270479427.73110294
2004-06-11,7367205810.486072,7284322824.196006,82882986.29006577
2004-06-12,7957943029.824053,7380274559.807661,577668470.0163918
2004-06-13,8403646961.805017,7778833853.724063,624813108.0809546
2004-06-14,8543041745.163214,8144032515.748533,399009229.4146805
2004-06-15,7582683255.901107,8181915181.913618,599231926.0125113
2004-06-16,7427478023.742779,7765019108.42867,337541084.68589115
