,actual,predicted,residual
2004-01-01,5993965688.671612,6273946946.905196,279981258.2335844
2004-01-02,6259854194.927212,6139391914.51116,120462280.41605186
2004-01-03,6234348351.75412,6292317842.723905,57969490.96978474
2004-01-04,6286336314.428033,6231541663.3475,54794651.08053303
2004-01-05,6390902562.325302,6329917950.637528,60984611.687773705
2004-01-06,6221367578.839319,6423407526.223941,202039947.38462162
2004-01-07,6330253784.422298,6260835330.229207,69418454.19309139
2004-01-08,6175416146.272665,6338376622.035931,162960475.7632656
2004-01-09,6138597699.174996,6269702394.102002,131104694.92700577
2004-01-10,6178997404.534876,6198401531.865696,19404127.330820084
2004-01-11,6131483590.641596,6199442593.348936,67959002.70734024
2004-01-12,6176190623.728474,6238888636.807726,62698013.07925224
2004-01-13,6168804279.271225,6274717118.6968975,105912839.42567253
2004-01-14,6296663346.676799,6247103948.524819,49559398.15197945
2004-01-15,6269667168.30983,6342576542.289499,72909373.97966957
2004-01-16,6299151820.074097,6341958449.826347,42806629.75225067
2004-01-17,6184515615.297072,6309581350.97553,125065735.67845726
2004-01-18,6061268204.891695,6229654027.362274,168385822.47057915
2004-01-19,5984767315.530044,6196011314.597591,211243999.0675478
2004-01-20,6150330936.1958885,6165289912.511783,14958976.315894127
2004-01-21,6068415875.404315,6264519079.422762,196103204.01844692
2004-01-22,6189131991.206904,6193735626.416559,4603635.209654808
2004-01-23,6244292130.364824,6298940871.213332,54648740.84850788
2004-01-24,6145548763.221241,6248848356.684042,103299593.46280098
2004-01-25,6062808341.905727,6158606648.081969,95798306.17624187
2004-01-26,6063826597.814371,6195851635.199867,132025037.38549614
2004-01-27,6107313746.764681,6192683702.566701,85369955.80202007
2004-01-28,6166499559.446898,6250315964.945823,83816405.49892426
2004-01-29,6181016724.267024,6244241889.923646,63225165.65662193
2004-01-30,6224715252.723651,6291044954.26036,66329701.53670883
2004-01-31,6226011097.623251,6231913670.287252,5902572.664001465
2004-02-01,6212428737.852217,6217244561.196,4815823.343783379
2004-02-02,6179737915.820549,6288562561.03265,108824645.21210098
2004-02-03,6192007806.475299,6275043068.373093,83035261.89779377
2004-02-04,6295297740.890493,6293220110.081417,2077630.8090763092
2004-02-05,6351886959.782066,6340275751.763998,11611208.018068314
2004-02-06,6342968966.127212,6371999268.601282,29030302.47407055
2004-02-07,6251707807.639154,6292460800.991316,40752993.35216141
2004-02-08,6192931075.52553,6230317574.348818,37386498.823287964
2004-02-09,6176300470.969833,6262028378.86602,85727907.89618683
2004-02-10,6171824439.37201,6280870494.011623,109046054.63961315
2004-02-11,6332909039.614058,6265678325.254594,67230714.35946369
2004-02-12,6376450262.902951,6389775093.307604,13324830.404652596
2004-02-13,6231851553.917412,6384082076.385178,152230522.4677658
2004-02-14,6165707018.996024,6206498392.374401,40791373.37837696
2004-02-15,6087770482.707513,6178404901.317187,90634418.60967445
2004-02-16,6005534558.248277,6195281440.948489,189746882.70021248
2004-02-17,5975719013.700056,6145439275.927169,169720262.22711277
2004-02-18,6139203253.662503,6142555082.864552,3351829.2020483017
2004-02-19,6149812259.941755,6244096043.354405,94283783.41265011
2004-02-20,6164397894.986798,6214549640.196921,50151745.21012306
2004-02-21,6127229569.879347,6156349171.891909,29119602.012561798
2004-02-22,6049856824.427459,6148068249.853449,98211425.4259901
2004-02-23,6048548995.297069,6137319460.65357,88770465.35650158
2004-02-24,6062474098.463258,6155754696.225485,93280597.76222706
2004-02-25,6110944529.413261,6190381774.583506,79437245.17024422
2004-02-26,6140073286.889982,6210289433.369553,70216146.47957039
2004-02-27,6114616209.832123,6193570989.175515,78954779.34339237
2004-02-28,6142985804.262413,6115241459.6751995,27744344.587213516
2004-03-01,6118006751.61039,6190229620.623285,72222869.01289558
2004-03-02,6083762069.704111,6181560648.026519,97798578.32240772
2004-03-03,6051622082.132672,6170683573.523961,119061491.39128876
2004-03-04,6318700423.746484,6160399176.121667,158301247.6248169
2004-03-05,6216359204.18019,6313555157.335534,97195953.15534401
2004-03-06,6112114009.16647,6157206083.194944,45092074.02847481
2004-03-07,6075524610.3412285,6097874556.351075,22349946.009846687
2004-03-08,6009062633.382134,6150140128.811782,141077495.42964745
2004-03-09,6015332439.342977,6084215700.033106,68883260.69012928
2004-03-10,6039394100.5161295,6123399378.675904,84005278.15977478
2004-03-11,6191126035.986131,6168690112.418135,22435923.567996025
2004-03-12,6248399764.578035,6240102570.417604,8297194.160430908
2004-03-13,6566459775.879663,6167432657.029854,399027118.84980965
2004-03-14,6645334024.900165,6389590265.449766,255743759.45039845
2004-03-15,6267046117.823627,6479362144.684682,212316026.86105442
2004-03-16,6005006133.258927,6218078431.185332,213072297.92640495
2004-03-17,6031352529.035318,6079698934.825214,48346405.78989601
2004-03-18,6215400009.119784,6109480799.945791,105919209.17399311
2004-03-19,6261857375.067138,6239781955.101781,22075419.965356827
2004-03-20,6163860697.067641,6216722857.636465,52862160.568823814
2004-03-21,6125116392.506098,6160724791.515841,35608399.00974274
2004-03-22,6033453146.9489975,6125060620.89388,91607473.9448824
2004-03-23,5990627722.277635,6069373519.826376,78745797.54874134
2004-03-24,6106985281.550695,6115702651.541896,8717369.991200447
2004-03-25,6119435961.209353,6240927611.156836,121491649.94748211
2004-03-26,6064913031.040537,6182505386.527574,117592355.4870367
2004-03-27,6174389540.606424,6066634652.152977,107754888.45344734
2004-03-28,6164143208.132985,6153207224.752089,10935983.380896568
