,actual,predicted,residual
2004-01-01,5993965688.671612,6300558114.379197,306592425.70758533
2004-01-02,6259854194.927212,6169800857.458578,90053337.46863365
2004-01-03,6234348351.75412,6259135929.73848,24787577.98435974
2004-01-04,6286336314.428033,6235956689.633482,50379624.794550896
2004-01-05,6390902562.325302,6337234844.3632965,53667717.962005615
2004-01-06,6221367578.839319,6401612185.00182,180244606.16250038
2004-01-07,6330253784.422298,6268639938.99403,61613845.42826843
2004-01-08,6175416146.272665,6336207370.628725,160791224.35606003
2004-01-09,6138597699.174996,6288010645.148049,149412945.97305298
2004-01-10,6178997404.534876,6178170581.968235,826822.5666408539
2004-01-11,6131483590.641596,6185423366.37032,53939775.72872448
2004-01-12,6176190623.728474,6258413927.551842,82223303.82336807
2004-01-13,6168804279.271225,6286524202.225294,117719922.95406914
2004-01-14,6296663346.676799,6265351179.027031,31312167.649767876
2004-01-15,6269667168.30983,6348384654.648774,78717486.33894444
2004-01-16,6299151820.074097,6367690481.194891,68538661.1207943
2004-01-17,6184515615.297072,6299286316.135302,114770700.83822918
2004-01-18,6061268204.891695,6229826870.50494,168558665.613245
2004-01-19,5984767315.530044,6223632376.304589,238865060.77454567
2004-01-20,6150330936.1958885,6193343810.237848,43012874.04195976
2004-01-21,6068415875.404315,6280412037.248997,211996161.84468174
2004-01-22,6189131991.206904,6217588175.321226,28456184.11432171
2004-01-23,6244292130.364824,6308224052.078431,63931921.713606834
2004-01-24,6145548763.221241,6248356745.053795,102807981.83255386
2004-01-25,6062808341.905727,6179399785.875267,116591443.96953964
2004-01-26,6063826597.814371,6231067843.066858,167241245.25248718
2004-01-27,6107313746.764681,6223714732.109751,116400985.34506989
2004-01-28,6166499559.446898,6281127500.833655,114627941.3867569
2004-01-29,6181016724.267024,6266942246.854835,85925522.58781052
2004-01-30,6224715252.723651,6306144161.553037,81428908.82938576
2004-01-31,6226011097.623251,6235181717.394835,9170619.77158451
2004-02-01,6212428737.852217,6232791296.727385,20362558.875167847
2004-02-02,6179737915.820549,6319932902.611994,140194986.79144478
2004-02-03,6192007806.475299,6299658393.261297,107650586.78599834
2004-02-04,6295297740.890493,6317486529.606509,22188788.716015816
2004-02-05,6351886959.782066,6358433940.182806,6546980.40073967
2004-02-06,6342968966.127212,6392111501.634872,49142535.507660866
2004-02-07,6251707807.639154,6293110870.884235,41403063.24508095
2004-02-08,6192931075.52553,6238057688.483757,45126612.95822716
2004-02-09,6176300470.969833,6298378234.292125,122077763.32229137
2004-02-10,6171824439.37201,6317025517.899879,145201078.52786922
2004-02-11,6332909039.614058,6295067819.645016,37841219.969041824
2004-02-12,6376450262.902951,6407077438.04748,30627175.14452839
2004-02-13,6231851553.917412,6412695431.241716,180843877.32430458
2004-02-14,6165707018.996024,6223847387.805552,58140368.8095274
2004-02-15,6087770482.707513,6195920611.894775,108150129.18726254
2004-02-16,6005534558.248277,6239976629.871471,234442071.6231947
2004-02-17,5975719013.700056,6189060930.774399,213341917.07434273
2004-02-18,6139203253.662503,6179846969.486063,40643715.82355976
2004-02-19,6149812259.941755,6263439070.610295,113626810.66854
2004-02-20,6164397894.986798,6259058691.7255,94660796.73870182
2004-02-21,6127229569.879347,6180541778.792788,53312208.913440704
2004-02-22,6049856824.427459,6172371119.320907,122514294.89344788
2004-02-23,6048548995.297069,6197832935.572208,149283940.2751398
2004-02-24,6062474098.463258,6203898258.913656,141424160.45039845
2004-02-25,6110944529.413261,6232086433.180807,121141903.7675457
2004-02-26,6140073286.889982,6245903006.046856,105829719.1568737
2004-02-27,6114616209.832123,6234086301.510454,119470091.67833138
2004-02-28,6142985804.262413,6136824393.144356,6161411.118057251
2004-03-01,6118006751.61039,6236861029.395175,118854277.78478527
2004-03-02,6083762069.704111,6229133530.302101,145371460.59799004
2004-03-03,6051622082.132672,6213230624.890173,161608542.75750065
2004-03-04,6318700423.746484,6202692482.490717,116007941.25576687
2004-03-05,6216359204.18019,6335391037.730734,119031833.55054379
2004-03-06,6112114009.16647,6179771833.225388,67657824.058918
2004-03-07,6075524610.3412285,6113767277.513782,38242667.17255306
2004-03-08,6009062633.382134,6192048555.681536,182985922.29940128
2004-03-09,6015332439.342977,6143598818.237179,128266378.89420223
2004-03-10,6039394100.5161295,6171570639.11503,132176538.5989008
2004-03-11,6191126035.986131,6205268901.311937,14142865.325806618
2004-03-12,6248399764.578035,6275697775.738119,27298011.16008377
2004-03-13,6566459775.879663,6198962230.647169,367497545.23249435
2004-03-14,6645334024.900165,6394123940.920633,251210083.9795313
2004-03-15,6267046117.823627,6532171785.424577,265125667.6009493
2004-03-16,6005006133.258927,6285804117.107902,280797983.8489742
2004-03-17,6031352529.035318,6137322483.647305,105969954.61198616
2004-03-18,6215400009.119784,6166007977.708932,49392031.41085243
2004-03-19,6261857375.067138,6281030305.81373,19172930.74659252
2004-03-20,6163860697.067641,6215066153.880613,51205456.81297207
2004-03-21,6125116392.506098,6151974961.288603,26858568.782505035
2004-03-22,6033453146.9489975,6191639266.264428,158186119.31543064
2004-03-23,5990627722.277635,6161672450.593559,171044728.31592464
2004-03-24,6106985281.550695,6181983442.878414,74998161.32771873
2004-03-25,6119435961.209353,6276250300.740224,156814339.53087044
2004-03-26,6064913031.040537,6223552065.54296,158639034.5024233
2004-03-27,6174389540.606424,6098613418.784654,75776121.82177067
2004-03-28,6164143208.132985,6176619353.2576685,12476145.12468338
2004-03-29,6075872485.057958,6263152956.1715555,187280471.11359787
2004-03-30,5984097948.351603,6209345232.002909,225247283.65130615
2004-03-31,6115517211.506519,6167452273.978426,51935062.47190666
2004-04-01,6158079741.787861,6253027698.792234,94947957.00437355
2004-04-02,6235933461.206382,6260250865.964023,24317404.75764084
2004-04-03,6204538833.797393,6235477633.433351,30938799.635957718
2004-04-04,6086014086.761702,6195681418.623533,109667331.86183167
2004-04-05,5990665263.244081,6152347108.6683035,161681845.42422295
2004-04-06,6023387666.902213,6146125099.75059,122737432.84837723
2004-04-07,6266579720.272358,6211476400.999976,55103319.27238178
2004-04-08,6074730440.121133,6376488408.562226,301757968.44109344
2004-04-09,6076550000.189099,6234620468.460115,158070468.27101612
2004-04-10,6063027444.501492,6134207384.258137,71179939.7566452
2004-04-11,6047417497.90594,6144425654.060508,97008156.15456772
2004-04-12,6145372962.653903,6218884851.070961,73511888.41705799
2004-04-13,5987054077.449224,6310147448.24921,323093370.7999859
2004-04-14,6051059633.957104,6225569650.62546,174510016.66835594
2004-04-15,6154070567.045765,6240586882.049215,86516315.0034504
2004-04-16,6185515354.377655,6292012807.803617,106497453.4259615
2004-04-17,6111724688.965019,6273952775.415442,162228086.45042324
2004-04-18,6132610261.217348,6207928333.328666,75318072.11131763
2004-04-19,6327889337.331057,6293603406.073397,34285931.25765991
2004-04-20,6324213198.732645,6417398213.861209,93185015.12856388
2004-04-21,5995611471.97489,6443801122.650661,448189650.6757717
2004-04-22,6123884495.679019,6249260758.2515545,125376262.57253551
2004-04-23,6141563796.521712,6314429628.316309,172865831.79459667
2004-04-24,6078470007.01812,6250755373.39238,172285366.37425995
2004-04-25,6055134577.722668,6214073903.716213,158939325.99354553
2004-04-26,5953105291.282972,6317674510.994553,364569219.7115803
2004-04-27,6123404462.7116585,6255960385.312356,132555922.60069752
2004-04-28,5992082346.253347,6370388203.084856,378305856.83150864
2004-04-29,6042844891.786306,6280895866.135967,238050974.34966087
2004-04-30,6061464578.30184,6356946142.285294,295481563.98345375
2004-05-01,6537981365.073288,6268058210.424678,269923154.6486101
2004-05-02,6526787883.158875,6545477609.338185,18689726.179309845
2004-05-03,6484200218.753088,6670445889.371316,186245670.61822796
2004-05-04,7136573140.618746,6596389661.147358,540183479.4713879
2004-05-05,7088807850.056691,6993531230.652516,95276619.4041748
2004-05-06,7428226863.950326,6959155952.66592,469070911.2844057
2004-05-07,7034975217.007062,7115275499.68364,80300282.67657757
2004-05-08,6553751966.659165,6868778177.130139,315026210.47097397
2004-05-09,6918865745.662054,6576077696.263682,342788049.3983717
2004-05-10,7242238349.138418,6871957789.584945,370280559.5534735
2004-05-11,6490647691.88779,7083319106.393745,592671414.5059557
2004-05-12,6778379566.911927,6661139690.340661,117239876.57126617
2004-05-13,7194672982.330644,6819826019.543327,374846962.7873163
2004-05-14,6776908986.024627,7161236884.107692,384327898.08306503
2004-05-15,7164240202.321119,6792656909.823666,371583292.4974537
2004-05-16,7541844995.361284,7082987087.111449,458857908.249835
2004-05-17,7533833052.382986,7406168968.9927845,127664083.39020157
2004-05-18,7033191292.144311,7363200463.018699,330009170.87438774
2004-05-19,6677076894.641926,7082575338.377102,405498443.7351761
2004-05-20,7151202165.842814,6964209028.025904,186993137.81691074
2004-05-21,7139944479.744639,7191465200.677924,51520720.93328476
2004-05-22,6563361946.703555,7128660351.4047575,565298404.7012024
2004-05-23,6825326890.884985,6813948434.450109,11378456.434876442
2004-05-24,6962217688.141863,6987267411.729415,25049723.58755207
2004-05-25,6563715919.934348,7157005186.984141,593289267.0497932
2004-05-26,6473480968.916131,6896214511.250595,422733542.3344641
2004-05-27,6670444320.637287,6929900660.618737,259456339.98145008
2004-05-28,6895828339.753514,6980298928.577987,84470588.82447243
2004-05-29,6617018693.982048,6992197750.672212,375179056.6901636
2004-05-30,7081151996.883978,6950412552.125999,130739444.75797844
2004-05-31,7594099372.176272,7320630948.078845,273468424.09742737
2004-06-01,7248048210.802994,7473099523.719745,225051312.9167509
2004-06-02,6792406616.598986,7355875223.976635,563468607.3776493
2004-06-03,7453837526.885305,7147654579.542373,306182947.3429327
2004-06-04,7595766226.150578,7435899916.198313,159866309.9522648
2004-06-05,7641289941.207324,7524286150.66954,117003790.53778362
2004-06-06,8005070815.922657,7506866896.464078,498203919.45857906
2004-06-07,7632770634.7716675,7775498727.288258,142728092.51659012
2004-06-08,7182626372.98351,7454076055.422837,271449682.43932724
2004-06-09,6718617965.544386,7220462423.559037,501844458.0146513
2004-06-10,6932028383.78977,7125230125.286344,193201741.49657345
2004-06-11,7367205810.486072,7268205925.953734,98999884.53233719
2004-06-12,7957943029.824053,7356595804.747358,601347225.0766945
2004-06-13,8403646961.805017,7836786450.21431,566860511.5907078
2004-06-14,8543041745.163214,8143853949.417477,399187795.7457371
2004-06-15,7582683255.901107,8143111476.074035,560428220.1729279
2004-06-16,7427478023.742779,7660532854.114463,233054830.37168407
2004-06-17,7604468493.106719,7609291217.846682,4822724.739962578
2004-06-18,7685622391.872385,7849207292.112543,163584900.24015808
2004-06-19,7787439825.191037,7718660019.9139805,68779805.2770567
2004-06-20,7463663895.089267,7844504529.297057,380840634.2077904
2004-06-21,7471545277.457204,7676157082.964547,204611805.5073433
2004-06-22,7231123833.990039,7608431193.542524,377307359.55248547
2004-06-23,7333925520.310214,7501918461.818336,167992941.5081215
2004-06-24,7986025606.217306,7778314996.910844,207710609.3064623
2004-06-25,8280886466.840345,8075279769.143027,205606697.69731808
2004-06-26,9172839932.376305,8123260862.013192,1049579070.3631124
2004-06-27,8174237725.586072,8640261066.983017,466023341.396945
2004-06-28,7722644647.152391,8043157750.777578,320513103.6251869
2004-06-29,7908827062.259201,7748079909.312874,160747152.9463272
2004-06-30,8468543359.643361,7916052396.256485,552490963.3868761
2004-07-01,7784098724.464864,8388477803.521692,604379079.0568285
2004-07-02,7465088726.680554,8026600413.395336,561511686.7147818
2004-07-03,6858214034.603836,7630961634.440088,772747599.8362522
2004-07-04,6994989030.546563,7243981977.545255,248992946.99869156
2004-07-05,7044328665.980287,7337017868.779771,292689202.79948425
2004-07-06,7540824378.942903,7527661424.337408,13162954.6054945
2004-07-07,7761668186.154317,7863918551.208692,102250365.0543747
2004-07-08,7762850126.661577,8023227540.189125,260377413.52754784
2004-07-09,7908813669.769744,7926709990.651003,17896320.881258965
2004-07-10,8074189045.651224,8025843616.308232,48345429.34299183
2004-07-11,7490154537.802256,8035792901.794068,545638363.9918127
2004-07-12,7881615218.705442,7814109990.646833,67505228.05860901
2004-07-13,7434093612.558395,8012442154.092235,578348541.5338392
2004-07-14,7889144931.70262,7821349813.767002,67795117.93561745
2004-07-15,8605382961.300589,8032726236.003506,572656725.2970829
2004-07-16,8704817457.461927,8444059414.004004,260758043.4579239
2004-07-17,8754479592.684849,8441683003.364417,312796589.3204317
2004-07-18,8371024477.829691,8296317914.491347,74706563.33834362
2004-07-19,7429634694.708558,8182129270.236037,752494575.5274792
2004-07-20,7358830583.887605,7810808422.812756,451977838.9251509
2004-07-21,7979010268.573563,7730006477.851517,249003790.7220459
2004-07-22,8303296130.1039295,8089889478.827882,213406651.2760477
2004-07-23,8243410856.527213,8264045129.320125,20634272.79291153
2004-07-24,8356977277.850309,8071528785.819168,285448492.0311413
2004-07-25,7974667830.735638,8261143298.317806,286475467.5821686
2004-07-26,7861245107.666903,8106046083.611548,244800975.94464588
2004-07-27,7481753086.318105,8063835066.02007,582081979.7019653
2004-07-28,7134703057.824266,7910518903.063659,775815845.2393923
2004-07-29,7732213914.973088,7596656672.145545,135557242.82754326
2004-07-30,7770291709.192912,7905819549.096297,135527839.90338516
2004-07-31,7676157766.040566,7842980669.634321,166822903.59375477
2004-08-01,7354149376.789645,7729059352.40536,374909975.615715
2004-08-02,8009873486.2542095,7721712535.6233,288160950.6309099
2004-08-03,8097212798.991492,8042722988.777523,54489810.21396923
2004-08-04,8253819780.756149,8198968524.244885,54851256.51126385
2004-08-05,8220421893.367966,8272688286.667543,52266393.29957771
2004-08-06,8203177953.097567,8190581024.388545,12596928.709021568
2004-08-07,8116063707.632038,7967232601.962908,148831105.66913033
2004-08-08,8008568651.180399,7910840783.373524,97727867.80687523
2004-08-09,7604141709.469838,7986918952.3664465,382777242.89660835
2004-08-10,8243037859.495629,7831089024.527848,411948834.96778107
2004-08-11,8551920337.235842,8174375171.713412,377545165.52242947
2004-08-12,7266295854.7645855,8353644846.031344,1087348991.266759
2004-08-13,7276039075.950111,7496664307.8339815,220625231.88387012
2004-08-14,8421871185.086669,7481011992.389592,940859192.6970768
2004-08-15,7739952224.938783,8166453724.106102,426501499.1673193
2004-08-16,8768383646.813404,7892998370.821535,875385275.991869
2004-08-17,7566024982.115889,8417379517.2378025,851354535.1219139
2004-08-18,8346474224.721916,7815371096.037143,531103128.68477345
2004-08-19,8114879530.747619,8144419714.684201,29540183.936582565
2004-08-20,8166275095.643909,8037923078.20588,128352017.43802929
2004-08-21,7833893228.496514,8010077414.668057,176184186.17154312
2004-08-22,7471222894.319904,7797610548.90002,326387654.5801153
2004-08-23,7711954676.664268,7572936704.156594,139017972.50767326
2004-08-24,7670784626.122964,7851882262.181266,181097636.05830193
2004-08-25,8249905156.669191,7668050282.637091,581854874.0321007
2004-08-26,8315683737.07998,8153314197.141622,162369539.9383583
2004-08-27,7675037392.018796,8049479452.464957,374442060.44616127
2004-08-28,7715990759.808301,7625583113.53651,90407646.2717905
2004-08-29,7640639344.100499,7628205633.87346,12433710.227039337
2004-08-30,7741679394.108878,7731188144.680369,10491249.428508759
2004-08-31,8055520951.348517,7873908123.005259,181612828.34325886
2004-09-01,7359762128.504724,7961375548.708636,601613420.2039127
2004-09-02,7885776179.369663,7357702727.442391,528073451.92727184
2004-09-03,7853838026.809852,7729370553.913348,124467472.89650345
2004-09-04,7956539034.712183,7775046439.707155,181492595.00502777
2004-09-05,7450273949.586948,7658492509.517364,208218559.93041515
2004-09-06,7865406620.975893,7595349480.324449,270057140.65144444
2004-09-07,7588396662.413937,7585939790.254322,2456872.159614563
2004-09-08,8011234766.713759,7660566518.0668,350668248.6469593
2004-09-09,8208370721.226541,7710123276.25282,498247444.97372055
2004-09-10,8316164224.114576,7960182293.241784,355981930.87279224
2004-09-11,7950241101.151725,7754343203.388944,195897897.76278114
2004-09-12,8124068779.249853,7602345121.537032,521723657.712821
2004-09-13,7735533977.184876,7797917538.727466,62383561.54258919
2004-09-14,7350330650.552108,7627824771.7616205,277494121.2095127
2004-09-15,7160290877.960591,7310878658.581395,150587780.62080383
2004-09-16,7306228121.614146,7230114738.839791,76113382.77435493
2004-09-17,7520877048.477283,7210101475.417197,310775573.0600853
2004-09-18,7748971090.915041,7352377853.273099,396593237.641942
2004-09-19,7245562620.627698,7445994197.111261,200431576.48356342
2004-09-20,7098387560.213686,7299532153.719363,201144593.50567722
2004-09-21,6586152265.7659445,7136776707.21106,550624441.4451151
2004-09-22,6603509770.929971,6746748158.898521,143238387.96855068
2004-09-23,7092166284.89068,6904676444.411832,187489840.47884846
2004-09-24,7131373928.428153,7140710293.397805,9336364.969652176
2004-09-25,7184831575.224206,7019771532.378681,165060042.8455248
2004-09-26,7622093698.319035,6981501072.951095,640592625.36794
2004-09-27,7375939971.6454115,7351711248.689408,24228722.95600319
2004-09-28,7802289771.15806,7183308441.3152895,618981329.8427706
2004-09-29,7877849821.651637,7406908585.484399,470941236.16723824
