,actual,predicted,residual
2004-01-01,5993965688.671612,6260300660.726406,266334972.0547943
2004-01-02,6259854194.927212,6340513953.3623085,80659758.43509674
2004-01-03,6234348351.75412,6324293087.382175,89944735.62805557
2004-01-04,6286336314.428033,6363684929.559588,77348615.13155556
2004-01-05,6390902562.325302,6431436763.326317,40534201.00101471
2004-01-06,6221367578.839319,6438909712.888956,217542134.04963684
2004-01-07,6330253784.422298,6433142494.220123,102888709.79782486
2004-01-08,6175416146.272665,6427445039.289206,252028893.01654053
2004-01-09,6138597699.174996,6422746695.906326,284148996.7313299
2004-01-10,6178997404.534876,6384984847.880738,205987443.3458624
2004-01-11,6131483590.641596,6398078097.737345,266594507.0957489
2004-01-12,6176190623.728474,6494337047.628924,318146423.9004507
2004-01-13,6168804279.271225,6511063646.225282,342259366.95405674
2004-01-14,6296663346.676799,6496904171.479069,200240824.80226994
2004-01-15,6269667168.30983,6496305638.606413,226638470.29658318
2004-01-16,6299151820.074097,6539314845.96255,240163025.88845348
2004-01-17,6184515615.297072,6447768765.947216,263253150.65014362
2004-01-18,6061268204.891695,6470463047.846661,409194842.9549656
2004-01-19,5984767315.530044,6581760307.501126,596992991.9710827
2004-01-20,6150330936.1958885,6652957338.258395,502626402.0625067
2004-01-21,6068415875.404315,6672032672.770243,603616797.3659277
2004-01-22,6189131991.206904,6700525277.190361,511393285.9834566
2004-01-23,6244292130.364824,6753109214.79406,508817084.42923546
2004-01-24,6145548763.221241,6650688392.754652,505139629.533411
2004-01-25,6062808341.905727,6652508202.706847,589699860.8011198
2004-01-26,6063826597.814371,6745902078.145976,682075480.331605
2004-01-27,6107313746.764681,6735751668.249486,628437921.4848051
2004-01-28,6166499559.446898,6791894643.344193,625395083.897295
2004-01-29,6181016724.267024,6742596801.030615,561580076.7635908
2004-01-30,6224715252.723651,6764321452.27587,539606199.5522194
2004-01-31,6226011097.623251,6684490667.558643,458479569.9353924
2004-02-01,6212428737.852217,6646174130.457678,433745392.6054611
2004-02-02,6179737915.820549,6715342259.201389,535604343.3808403
2004-02-03,6192007806.475299,6704812998.037112,512805191.56181335
2004-02-04,6295297740.890493,6708023386.515555,412725645.625062
2004-02-05,6351886959.782066,6683017767.00151,331130807.2194433
2004-02-06,6342968966.127212,6663959011.822472,320990045.69526005
2004-02-07,6251707807.639154,6555005459.053343,303297651.4141884
2004-02-08,6192931075.52553,6536528766.479797,343597690.9542675
2004-02-09,6176300470.969833,6605619006.598414,429318535.62858105
2004-02-10,6171824439.37201,6627493524.013333,455669084.6413231
2004-02-11,6332909039.614058,6603626155.363846,270717115.7497883
2004-02-12,6376450262.902951,6606564414.9840975,230114152.08114624
2004-02-13,6231851553.917412,6567118551.481588,335266997.56417656
2004-02-14,6165707018.996024,6466913680.899894,301206661.9038696
2004-02-15,6087770482.707513,6471264344.89943,383493862.1919174
2004-02-16,6005534558.248277,6580272082.575257,574737524.3269806
2004-02-17,5975719013.700056,6622716041.052618,646997027.352562
2004-02-18,6139203253.662503,6655955862.789781,516752609.1272774
2004-02-19,6149812259.941755,6654912127.372482,505099867.430727
2004-02-20,6164397894.986798,6626865750.352945,462467855.36614704
2004-02-21,6127229569.879347,6513688585.000206,386459015.12085915
2004-02-22,6049856824.427459,6518726472.447736,468869648.020277
2004-02-23,6048548995.297069,6598647606.486437,550098611.1893682
2004-02-24,6062474098.463258,6604230106.974627,541756008.5113688
2004-02-25,6110944529.413261,6604568127.819606,493623598.4063444
2004-02-26,6140073286.889982,6594559145.891998,454485859.00201607
2004-02-27,6114616209.832123,6556853661.841605,442237452.0094824
2004-02-28,6142985804.262413,6457819281.152754,314833476.8903408
2004-03-01,6118006751.61039,6502735394.293159,384728642.6827688
2004-03-02,6083762069.704111,6493485257.854823,409723188.150712
2004-03-03,6051622082.132672,6489546806.954001,437924724.8213291
2004-03-04,6318700423.746484,6499913230.710093,181212806.96360874
2004-03-05,6216359204.18019,6470595251.357616,254236047.17742634
2004-03-06,6112114009.16647,6358222260.907209,246108251.74073982
2004-03-07,6075524610.3412285,6346916590.703281,271391980.3620529
2004-03-08,6009062633.382134,6427012660.071023,417950026.68888855
2004-03-09,6015332439.342977,6441279659.530762,425947220.18778515
2004-03-10,6039394100.5161295,6463847789.470897,424453688.9547672
2004-03-11,6191126035.986131,6485350540.601331,294224504.61520004
2004-03-12,6248399764.578035,6447078056.495649,198678291.91761398
2004-03-13,6566459775.879663,6329463672.831453,236996103.04821014
2004-03-14,6645334024.900165,6305663237.514338,339670787.38582706
2004-03-15,6267046117.823627,6322763033.475433,55716915.65180588
2004-03-16,6005006133.258927,6278484668.24708,273478534.9881525
2004-03-17,6031352529.035318,6277814576.0665,246462047.03118134
2004-03-18,6215400009.119784,6284845590.3960285,69445581.27624416
2004-03-19,6261857375.067138,6279321764.445585,17464389.378447533
2004-03-20,6163860697.067641,6174716634.430766,10855937.363124847
2004-03-21,6125116392.506098,6184983038.845007,59866646.33890915
2004-03-22,6033453146.9489975,6172846954.923993,139393807.9749956
2004-03-23,5990627722.277635,6172809185.576931,182181463.29929638
2004-03-24,6106985281.550695,6223475362.648737,116490081.09804153
2004-03-25,6119435961.209353,6283932724.669052,164496763.45969868
2004-03-26,6064913031.040537,6255148449.59885,190235418.55831337
2004-03-27,6174389540.606424,6162143926.803362,12245613.803062439
2004-03-28,6164143208.132985,6156216188.36688,7927019.766104698
2004-03-29,6075872485.057958,6238334164.610646,162461679.5526886
2004-03-30,5984097948.351603,6251091822.570107,266993874.2185049
2004-03-31,6115517211.506519,6273375140.71936,157857929.21284103
2004-04-01,6158079741.787861,6290962790.615535,132883048.82767391
2004-04-02,6235933461.206382,6270003797.893364,34070336.686982155
2004-04-03,6204538833.797393,6198587069.919083,5951763.878310204
2004-04-04,6086014086.761702,6175491288.156194,89477201.39449215
2004-04-05,5990665263.244081,6207714955.226664,217049691.98258305
2004-04-06,6023387666.902213,6256804469.92374,233416803.0215273
2004-04-07,6266579720.272358,6312567224.6651,45987504.39274216
2004-04-08,6074730440.121133,6335422152.354781,260691712.2336483
2004-04-09,6076550000.189099,6329580428.4674835,253030428.2783842
2004-04-10,6063027444.501492,6246774169.355351,183746724.8538599
2004-04-11,6047417497.90594,6281616336.070131,234198838.16419125
2004-04-12,6145372962.653903,6379481036.515543,234108073.86163998
2004-04-13,5987054077.449224,6425146095.355753,438092017.9065285
2004-04-14,6051059633.957104,6506087282.937857,455027648.98075294
2004-04-15,6154070567.045765,6512284962.648482,358214395.6027174
2004-04-16,6185515354.377655,6493095180.810563,307579826.43290806
2004-04-17,6111724688.965019,6463647553.010076,351922864.04505634
2004-04-18,6132610261.217348,6480096721.716249,347486460.49890137
2004-04-19,6327889337.331057,6561038494.913964,233149157.58290768
2004-04-20,6324213198.732645,6591903211.637373,267690012.90472794
2004-04-21,5995611471.97489,6588996865.468684,593385393.4937944
2004-04-22,6123884495.679019,6630969867.815211,507085372.1361923
2004-04-23,6141563796.521712,6652322435.534776,510758639.01306343
2004-04-24,6078470007.01812,6603986624.383261,525516617.3651409
2004-04-25,6055134577.722668,6634897292.793635,579762715.0709677
2004-04-26,5953105291.282972,6772074051.249615,818968759.9666424
2004-04-27,6123404462.7116585,6869646648.337424,746242185.6257658
2004-04-28,5992082346.253347,6887059054.452408,894976708.1990604
2004-04-29,6042844891.786306,6890740878.119425,847895986.3331184
2004-04-30,6061464578.30184,6996526307.944691,935061729.6428509
