,actual,predicted,residual
2004-01-01,5993965688.671612,6407435376.049126,413469687.3775139
2004-01-02,6259854194.927212,6374045858.5105505,114191663.58333874
2004-01-03,6234348351.75412,6318734532.608097,84386180.8539772
2004-01-04,6286336314.428033,6346306629.708692,59970315.28065872
2004-01-05,6390902562.325302,6477599997.241164,86697434.91586208
2004-01-06,6221367578.839319,6492848159.725828,271480580.88650894
2004-01-07,6330253784.422298,6450473875.982121,120220091.55982304
2004-01-08,6175416146.272665,6485509419.138676,310093272.86601067
2004-01-09,6138597699.174996,6451502795.315152,312905096.1401558
2004-01-10,6178997404.534876,6344585653.39653,165588248.86165428
2004-01-11,6131483590.641596,6349568574.595077,218084983.95348072
2004-01-12,6176190623.728474,6446344083.045861,270153459.3173876
2004-01-13,6168804279.271225,6469670706.945853,300866427.67462826
2004-01-14,6296663346.676799,6449861919.368153,153198572.6913538
2004-01-15,6269667168.30983,6493164211.501303,223497043.191473
2004-01-16,6299151820.074097,6517781738.629082,218629918.55498505
2004-01-17,6184515615.297072,6408255417.307843,223739802.0107708
2004-01-18,6061268204.891695,6396294816.984855,335026612.0931597
2004-01-19,5984767315.530044,6478809637.706005,494042322.1759615
2004-01-20,6150330936.1958885,6473856771.038396,323525834.84250736
2004-01-21,6068415875.404315,6499549180.505055,431133305.10074043
2004-01-22,6189131991.206904,6503902239.1163,314770247.9093952
2004-01-23,6244292130.364824,6526606729.281193,282314598.9163685
2004-01-24,6145548763.221241,6408587273.280094,263038510.05885315
2004-01-25,6062808341.905727,6398810686.3464575,336002344.4407301
2004-01-26,6063826597.814371,6494841551.714272,431014953.89990044
2004-01-27,6107313746.764681,6480818344.31232,373504597.5476389
2004-01-28,6166499559.446898,6526489386.187647,359989826.7407484
2004-01-29,6181016724.267024,6527795027.947908,346778303.68088436
2004-01-30,6224715252.723651,6536478802.146525,311763549.42287445
2004-01-31,6226011097.623251,6431624680.410618,205613582.78736687
2004-02-01,6212428737.852217,6426475632.464599,214046894.61238194
2004-02-02,6179737915.820549,6537085072.376694,357347156.5561447
2004-02-03,6192007806.475299,6531371702.979521,339363896.5042219
2004-02-04,6295297740.890493,6533395513.54112,238097772.65062618
2004-02-05,6351886959.782066,6544610556.94901,192723597.16694355
2004-02-06,6342968966.127212,6556702359.073229,213733392.94601727
2004-02-07,6251707807.639154,6440301350.700648,188593543.06149387
2004-02-08,6192931075.52553,6417057992.907301,224126917.3817711
2004-02-09,6176300470.969833,6512301610.6105995,336001139.64076614
2004-02-10,6171824439.37201,6520968570.327893,349144130.955883
2004-02-11,6332909039.614058,6513441319.612778,180532279.99872017
2004-02-12,6376450262.902951,6545370457.846209,168920194.94325733
2004-02-13,6231851553.917412,6541110988.456432,309259434.53902054
2004-02-14,6165707018.996024,6396956760.809555,231249741.81353092
2004-02-15,6087770482.707513,6373295777.492645,285525294.7851324
2004-02-16,6005534558.248277,6470820961.711745,465286403.46346855
2004-02-17,5975719013.700056,6474052544.29424,498333530.5941839
2004-02-18,6139203253.662503,6463583017.809752,324379764.1472492
2004-02-19,6149812259.941755,6481993902.597529,332181642.6557741
2004-02-20,6164397894.986798,6487117035.74231,322719140.7555113
2004-02-21,6127229569.879347,6369129729.076019,241900159.19667244
2004-02-22,6049856824.427459,6355480211.687423,305623387.259964
2004-02-23,6048548995.297069,6449070711.437745,400521716.1406765
2004-02-24,6062474098.463258,6461076696.210893,398602597.7476349
2004-02-25,6110944529.413261,6465186281.014199,354241751.60093784
2004-02-26,6140073286.889982,6472956911.723859,332883624.8338766
2004-02-27,6114616209.832123,6463622679.126173,349006469.2940502
2004-02-28,6142985804.262413,6343817582.565191,200831778.30277824
2004-03-01,6118006751.61039,6450998844.444071,332992092.8336811
2004-03-02,6083762069.704111,6450032639.186945,366270569.48283386
2004-03-03,6051622082.132672,6447502654.997678,395880572.8650055
2004-03-04,6318700423.746484,6437802828.070974,119102404.32449055
2004-03-05,6216359204.18019,6470514555.0051565,254155350.82496643
2004-03-06,6112114009.16647,6355341074.686895,243227065.5204258
2004-03-07,6075524610.3412285,6326753064.997018,251228454.65578938
2004-03-08,6009062633.382134,6410601888.469553,401539255.08741856
2004-03-09,6015332439.342977,6406341257.841108,391008818.49813175
2004-03-10,6039394100.5161295,6433533697.631995,394139597.1158657
2004-03-11,6191126035.986131,6427431852.649071,236305816.66294003
2004-03-12,6248399764.578035,6443639087.500599,195239322.92256355
2004-03-13,6566459775.879663,6341407808.625007,225051967.2546568
2004-03-14,6645334024.900165,6392176383.271034,253157641.62913036
2004-03-15,6267046117.823627,6523176263.551558,256130145.72793007
2004-03-16,6005006133.258927,6452824064.292676,447817931.0337486
2004-03-17,6031352529.035318,6383368247.007821,352015717.9725027
2004-03-18,6215400009.119784,6376909771.29622,161509762.17643547
2004-03-19,6261857375.067138,6455744423.98625,193887048.9191122
2004-03-20,6163860697.067641,6363993194.030737,200132496.96309566
2004-03-21,6125116392.506098,6311033166.255763,185916773.74966526
2004-03-22,6033453146.9489975,6370129638.818555,336676491.8695574
2004-03-23,5990627722.277635,6361724502.098552,371096779.8209171
2004-03-24,6106985281.550695,6388141591.673651,281156310.1229553
2004-03-25,6119435961.209353,6427231798.813744,307795837.60439014
2004-03-26,6064913031.040537,6418942345.304976,354029314.2644396
2004-03-27,6174389540.606424,6303514209.878763,129124669.27233887
2004-03-28,6164143208.132985,6316647278.655364,152504070.52237892
2004-03-29,6075872485.057958,6439867581.35784,363995096.29988194
2004-03-30,5984097948.351603,6444188589.0745735,460090640.72297096
2004-03-31,6115517211.506519,6422015107.280447,306497895.7739277
2004-04-01,6158079741.787861,6446582916.715548,288503174.9276867
