,actual,predicted,residual
2004-01-01,5993965688.671612,6201835835.244733,207870146.57312107
2004-01-02,6259854194.927212,6351747355.537845,91893160.6106329
2004-01-03,6234348351.75412,6299810277.1119175,65461925.35779762
2004-01-04,6286336314.428033,6423192547.0070305,136856232.5789976
2004-01-05,6390902562.325302,6573698472.301297,182795909.97599506
2004-01-06,6221367578.839319,6389738042.656446,168370463.81712723
2004-01-07,6330253784.422298,6478277044.183217,148023259.76091862
2004-01-08,6175416146.272665,6355339298.03337,179923151.760705
2004-01-09,6138597699.174996,6357604572.283382,219006873.10838604
2004-01-10,6178997404.534876,6232617527.30738,53620122.77250385
2004-01-11,6131483590.641596,6313381933.416318,181898342.7747221
2004-01-12,6176190623.728474,6401365975.172977,225175351.44450378
2004-01-13,6168804279.271225,6359868923.950622,191064644.67939663
2004-01-14,6296663346.676799,6459089116.725134,162425770.04833508
2004-01-15,6269667168.30983,6434873213.512352,165206045.20252228
2004-01-16,6299151820.074097,6470264895.020733,171113074.9466362
2004-01-17,6184515615.297072,6306476057.721995,121960442.42492294
2004-01-18,6061268204.891695,6255176917.121993,193908712.23029804
2004-01-19,5984767315.530044,6277125725.646663,292358410.1166191
2004-01-20,6150330936.1958885,6345475042.716255,195144106.52036667
2004-01-21,6068415875.404315,6308736057.003093,240320181.59877777
2004-01-22,6189131991.206904,6356084121.290064,166952130.08315945
2004-01-23,6244292130.364824,6405379319.505524,161087189.1406994
2004-01-24,6145548763.221241,6248388119.142823,102839355.92158222
2004-01-25,6062808341.905727,6266264735.852366,203456393.94663906
2004-01-26,6063826597.814371,6347776660.626661,283950062.8122902
2004-01-27,6107313746.764681,6317793883.157291,210480136.39261055
2004-01-28,6166499559.446898,6348050763.36473,181551203.91783142
2004-01-29,6181016724.267024,6383443137.523927,202426413.2569027
2004-01-30,6224715252.723651,6423338024.567051,198622771.8434
2004-01-31,6226011097.623251,6419904778.777346,193893681.1540947
2004-02-01,6212428737.852217,6441750892.667685,229322154.81546783
2004-02-02,6179737915.820549,6580776061.470005,401038145.649456
2004-02-03,6192007806.475299,6542887253.820213,350879447.34491444
2004-02-04,6295297740.890493,6575042717.6451235,279744976.7546301
2004-02-05,6351886959.782066,6634858076.679989,282971116.8979225
2004-02-06,6342968966.127212,6618925480.203553,275956514.0763416
2004-02-07,6251707807.639154,6432835696.210122,181127888.57096767
