,actual,predicted,residual
2004-01-01,5993965688.671612,6230065725.707798,236100037.03618622
2004-01-02,6259854194.927212,6078394162.13821,181460032.78900146
2004-01-03,6234348351.75412,6290421479.640667,56073127.88654709
2004-01-04,6286336314.428033,6229154901.665879,57181412.762153625
2004-01-05,6390902562.325302,6280276814.040389,110625748.28491306
2004-01-06,6221367578.839319,6365476286.587446,144108707.74812698
2004-01-07,6330253784.422298,6201068732.749975,129185051.67232323
2004-01-08,6175416146.272665,6268944502.785741,93528356.51307583
2004-01-09,6138597699.174996,6210641460.781075,72043761.60607815
2004-01-10,6178997404.534876,6158557097.541923,20440306.9929533
2004-01-11,6131483590.641596,6154621457.82799,23137867.186393738
2004-01-12,6176190623.728474,6181443806.624293,5253182.895819664
2004-01-13,6168804279.271225,6203388209.949135,34583930.67790985
2004-01-14,6296663346.676799,6184124124.985229,112539221.69157028
2004-01-15,6269667168.30983,6297196736.266181,27529567.95635128
2004-01-16,6299151820.074097,6297852179.44244,1299640.6316566467
2004-01-17,6184515615.297072,6297870381.92232,113354766.62524796
2004-01-18,6061268204.891695,6210496723.580937,149228518.68924236
2004-01-19,5984767315.530044,6137283343.278659,152516027.74861526
2004-01-20,6150330936.1958885,6101372658.26592,48958277.929968834
2004-01-21,6068415875.404315,6211265969.535691,142850094.13137627
2004-01-22,6189131991.206904,6124842614.023628,64289377.18327618
2004-01-23,6244292130.364824,6230628835.406038,13663294.95878601
2004-01-24,6145548763.221241,6226712315.136961,81163551.91571999
2004-01-25,6062808341.905727,6127083830.125847,64275488.22011948
2004-01-26,6063826597.814371,6125934084.481163,62107486.666791916
2004-01-27,6107313746.764681,6142789638.197414,35475891.432733536
2004-01-28,6166499559.446898,6198318460.204629,31818900.757730484
2004-01-29,6181016724.267024,6177493752.600382,3522971.666642189
2004-01-30,6224715252.723651,6234802883.751258,10087631.027606964
2004-01-31,6226011097.623251,6205900758.277649,20110339.345602036
2004-02-01,6212428737.852217,6197315259.206751,15113478.64546585
2004-02-02,6179737915.820549,6239428516.535349,59690600.71479988
2004-02-03,6192007806.475299,6220828216.711625,28820410.236326218
2004-02-04,6295297740.890493,6242214775.722571,53082965.16792202
2004-02-05,6351886959.782066,6288563246.812391,63323712.969675064
2004-02-06,6342968966.127212,6320544419.873216,22424546.253995895
2004-02-07,6251707807.639154,6269380746.00573,17672938.36657524
2004-02-08,6192931075.52553,6206898007.457427,13966931.931897163
2004-02-09,6176300470.969833,6218647743.35205,42347272.38221645
2004-02-10,6171824439.37201,6236415870.0032835,64591430.63127327
2004-02-11,6332909039.614058,6215865189.684166,117043849.92989159
2004-02-12,6376450262.902951,6351533409.285209,24916853.61774254
2004-02-13,6231851553.917412,6344780144.866473,112928590.9490614
2004-02-14,6165707018.996024,6177988507.881582,12281488.885558128
2004-02-15,6087770482.707513,6157479338.512319,69708855.80480576
2004-02-16,6005534558.248277,6148695120.028025,143160561.77974796
2004-02-17,5975719013.700056,6079887849.230985,104168835.53092861
2004-02-18,6139203253.662503,6076667290.654463,62535963.00804043
2004-02-19,6149812259.941755,6185843363.128281,36031103.186525345
2004-02-20,6164397894.986798,6157293299.535579,7104595.451219559
2004-02-21,6127229569.879347,6130256332.785194,3026762.9058475494
2004-02-22,6049856824.427459,6130801150.2861805,80944325.85872173
2004-02-23,6048548995.297069,6093582995.8665085,45034000.56943989
2004-02-24,6062474098.463258,6101921809.675237,39447711.21197891
2004-02-25,6110944529.413261,6143556952.914552,32612423.50129032
2004-02-26,6140073286.889982,6157191501.4572735,17118214.56729126
2004-02-27,6114616209.832123,6134572697.061546,19956487.229423523
2004-02-28,6142985804.262413,6087639813.293693,55345990.968720436
2004-03-01,6118006751.61039,6142242785.058123,24236033.447732925
2004-03-02,6083762069.704111,6133453183.69317,49691113.989058495
2004-03-03,6051622082.132672,6117766428.811924,66144346.67925167
2004-03-04,6318700423.746484,6103956141.349369,214744282.39711475
2004-03-05,6216359204.18019,6265340485.197012,48981281.01682186
2004-03-06,6112114009.16647,6125118440.351638,13004431.185168266
2004-03-07,6075524610.3412285,6054377995.840242,21146614.5009861
2004-03-08,6009062633.382134,6098766078.270924,89703444.88878918
2004-03-09,6015332439.342977,6034385753.449157,19053314.10618019
2004-03-10,6039394100.5161295,6061852330.600408,22458230.084278107
2004-03-11,6191126035.986131,6116032158.424477,75093877.56165409
2004-03-12,6248399764.578035,6202536714.653086,45863049.924949646
2004-03-13,6566459775.879663,6149393708.109936,417066067.7697277
2004-03-14,6645334024.900165,6389798456.6576805,255535568.2424841
2004-03-15,6267046117.823627,6477421948.257088,210375830.43346024
2004-03-16,6005006133.258927,6173313630.981589,168307497.72266197
2004-03-17,6031352529.035318,6021777350.322956,9575178.71236229
2004-03-18,6215400009.119784,6073317483.342683,142082525.77710152
2004-03-19,6261857375.067138,6190747413.545872,71109961.52126598
2004-03-20,6163860697.067641,6170842580.3806095,6981883.312968254
2004-03-21,6125116392.506098,6108391200.761223,16725191.744874954
2004-03-22,6033453146.9489975,6084047503.428852,50594356.479854584
2004-03-23,5990627722.277635,6033567419.820314,42939697.54267979
2004-03-24,6106985281.550695,6075958081.11635,31027200.434345245
2004-03-25,6119435961.209353,6202299909.752182,82863948.54282856
2004-03-26,6064913031.040537,6132749607.811024,67836576.77048683
2004-03-27,6174389540.606424,6038576687.631592,135812852.97483253
2004-03-28,6164143208.132985,6141834668.601181,22308539.531804085
2004-03-29,6075872485.057958,6174169874.669033,98297389.6110754
2004-03-30,5984097948.351603,6101237931.766543,117139983.41494083
2004-03-31,6115517211.506519,6066997827.562294,48519383.94422531
2004-04-01,6158079741.787861,6174563653.694923,16483911.90706253
2004-04-02,6235933461.206382,6157900895.306409,78032565.89997292
2004-04-03,6204538833.797393,6188382367.463119,16156466.334274292
2004-04-04,6086014086.761702,6143302968.434862,57288881.67316055
2004-04-05,5990665263.244081,6026681373.658792,36016110.414711
2004-04-06,6023387666.902213,6024298135.823641,910468.9214277267
2004-04-07,6266579720.272358,6114827376.329053,151752343.94330502
2004-04-08,6074730440.121133,6308502545.351065,233772105.22993183
2004-04-09,6076550000.189099,6112818621.988691,36268621.79959202
2004-04-10,6063027444.501492,6076772471.001726,13745026.500234604
2004-04-11,6047417497.90594,6086657208.139743,39239710.233802795
