,actual,predicted,residual
2004-01-01,5993965688.671612,6004074500.0,10108807.328388214
2004-01-02,6259854194.927212,6240424400.0,19429746.92721176
2004-01-03,6234348351.75412,6224169000.0,10179391.754119873
2004-01-04,6286336314.428033,6284465700.0,1870650.428032875
2004-01-05,6390902562.325302,6396803600.0,5901021.674697876
2004-01-06,6221367578.839319,6223092700.0,1725157.1606807709
2004-01-07,6330253784.422298,6292817000.0,37436888.42229843
2004-01-08,6175416146.272665,6178349000.0,2932909.727334976
2004-01-09,6138597699.174996,6141268000.0,2670268.825003624
2004-01-10,6178997404.534876,6150421000.0,28576412.53487587
2004-01-11,6131483590.641596,6138800600.0,7317049.35840416
2004-01-12,6176190623.728474,6196711400.0,20520800.271526337
2004-01-13,6168804279.271225,6170749000.0,1944648.7287750244
2004-01-14,6296663346.676799,6297565700.0,902349.3232011795
2004-01-15,6269667168.30983,6272512500.0,2845343.690170288
2004-01-16,6299151820.074097,6289688600.0,9463244.07409668
2004-01-17,6184515615.297072,6161309700.0,23205919.29707241
2004-01-18,6061268204.891695,6061698600.0,430355.1083049774
2004-01-19,5984767315.530044,6024933400.0,40166060.4699564
2004-01-20,6150330936.1958885,6128455700.0,21875256.19588852
2004-01-21,6068415875.404315,6095708000.0,27292284.595685005
2004-01-22,6189131991.206904,6187222500.0,1909463.2069044113
2004-01-23,6244292130.364824,6248100400.0,3808221.635175705
2004-01-24,6145548763.221241,6130418000.0,15130587.221240997
2004-01-25,6062808341.905727,6070011000.0,7202538.0942726135
2004-01-26,6063826597.814371,6076078600.0,12251994.185628891
2004-01-27,6107313746.764681,6100231000.0,7082578.764680862
2004-01-28,6166499559.446898,6179338000.0,12838680.55310154
2004-01-29,6181016724.267024,6185294300.0,4277611.73297596
2004-01-30,6224715252.723651,6235041000.0,10325515.276349068
2004-01-31,6226011097.623251,6196285000.0,29726169.62325096
2004-02-01,6212428737.852217,6209275000.0,3153857.8522167206
2004-02-02,6179737915.820549,6197302000.0,17563844.17945099
2004-02-03,6192007806.475299,6190342000.0,1665662.4752988815
2004-02-04,6295297740.890493,6280527400.0,14770380.890493393
2004-02-05,6351886959.782066,6347151000.0,4736111.782066345
2004-02-06,6342968966.127212,6349217300.0,6248313.872788429
2004-02-07,6251707807.639154,6248720000.0,2987935.639154434
2004-02-08,6192931075.52553,6206222000.0,13290748.474470139
2004-02-09,6176300470.969833,6206503000.0,30202441.030166626
2004-02-10,6171824439.37201,6187485000.0,15660744.627989769
2004-02-11,6332909039.614058,6335291000.0,2381840.385942459
2004-02-12,6376450262.902951,6346930000.0,29520086.90295124
2004-02-13,6231851553.917412,6301929500.0,70077918.0825882
2004-02-14,6165707018.996024,6219490000.0,53782773.00397587
2004-02-15,6087770482.707513,6139903500.0,52133005.292487144
2004-02-16,6005534558.248277,6078738400.0,73203873.75172329
2004-02-17,5975719013.700056,6038434300.0,62715290.299943924
2004-02-18,6139203253.662503,6187506700.0,48303434.33749676
2004-02-19,6149812259.941755,6210886000.0,61073884.058244705
2004-02-20,6164397894.986798,6181691400.0,17293497.013201714
2004-02-21,6127229569.879347,6123712500.0,3517057.8793468475
2004-02-22,6049856824.427459,6079572000.0,29715143.572541237
2004-02-23,6048548995.297069,6077216000.0,28666748.702931404
2004-02-24,6062474098.463258,6085637600.0,23163533.53674221
2004-02-25,6110944529.413261,6131956700.0,21012206.586738586
2004-02-26,6140073286.889982,6171591700.0,31518393.110017776
2004-02-27,6114616209.832123,6156012500.0,41396334.1678772
2004-02-28,6142985804.262413,6120784400.0,22201420.262413025
2004-03-01,6118006751.61039,6148502500.0,30495776.38961029
2004-03-02,6083762069.704111,6112489000.0,28726890.2958889
2004-03-03,6051622082.132672,6127152000.0,75530045.86732769
2004-03-04,6318700423.746484,6335715000.0,17014392.253516197
2004-03-05,6216359204.18019,6246082600.0,29723355.819809914
2004-03-06,6112114009.16647,6104471600.0,7642457.166469574
2004-03-07,6075524610.3412285,6065265000.0,10259458.341228485
2004-03-08,6009062633.382134,6041611300.0,32548630.617865562
2004-03-09,6015332439.342977,6067832300.0,52499880.65702343
2004-03-10,6039394100.5161295,6074766300.0,35372235.48387051
2004-03-11,6191126035.986131,6205391400.0,14265324.013869286
2004-03-12,6248399764.578035,6276506600.0,28106859.421964645
2004-03-13,6566459775.879663,6432591400.0,133868415.87966347
2004-03-14,6645334024.900165,6636811300.0,8522760.900164604
2004-03-15,6267046117.823627,6329183000.0,62137114.17637253
2004-03-16,6005006133.258927,6113936400.0,108930250.74107265
2004-03-17,6031352529.035318,6055837000.0,24484654.964681625
2004-03-18,6215400009.119784,6228831700.0,13431734.880215645
2004-03-19,6261857375.067138,6239764500.0,22092895.06713772
2004-03-20,6163860697.067641,6120486400.0,43374297.06764126
2004-03-21,6125116392.506098,6116773000.0,8343528.506097794
2004-03-22,6033453146.9489975,6062179300.0,28726181.051002502
2004-03-23,5990627722.277635,6058533400.0,67905653.72236538
2004-03-24,6106985281.550695,6099535000.0,7450433.550695419
2004-03-25,6119435961.209353,6136907000.0,17470790.790646553
2004-03-26,6064913031.040537,6104765400.0,39852408.95946312
2004-03-27,6174389540.606424,6140163000.0,34226468.60642433
2004-03-28,6164143208.132985,6185805000.0,21661591.867014885
2004-03-29,6075872485.057958,6120684500.0,44812058.94204235
2004-03-30,5984097948.351603,6033076700.0,48978787.648397446
2004-03-31,6115517211.506519,6129286700.0,13769444.493480682
2004-04-01,6158079741.787861,6369296400.0,211216642.21213913
2004-04-02,6235933461.206382,6252432000.0,16498410.793618202
2004-04-03,6204538833.797393,6149458000.0,55080913.797392845
2004-04-04,6086014086.761702,6071755300.0,14258822.761701584
2004-04-05,5990665263.244081,6102857700.0,112192464.75591946
2004-04-06,6023387666.902213,6084476000.0,61088237.0977869
2004-04-07,6266579720.272358,6295123500.0,28543735.72764206
2004-04-08,6074730440.121133,6138174500.0,63444023.87886715
2004-04-09,6076550000.189099,6128302000.0,51752079.81090069
2004-04-10,6063027444.501492,6075191000.0,12163339.498508453
2004-04-11,6047417497.90594,6077014000.0,29596518.094059944
2004-04-12,6145372962.653903,6121159700.0,24213282.653903008
2004-04-13,5987054077.449224,6056389000.0,69335042.55077553
2004-04-14,6051059633.957104,6111966700.0,60907086.04289627
2004-04-15,6154070567.045765,6177920000.0,23849432.954235077
2004-04-16,6185515354.377655,6214204400.0,28689061.62234497
2004-04-17,6111724688.965019,6125412000.0,13687151.034980774
2004-04-18,6132610261.217348,6133507000.0,896810.7826519012
