,actual,predicted,residual
2024-01-01,4807.82560119,4292.158408567798,515.6671926222025
2024-01-02,3289.35022244,3180.2413035118016,109.10891892819836
2024-01-03,125.032102675,3185.2309111919467,3060.198808516947
2024-01-04,124.972102675,2961.9627069355165,2836.9906042605166
2024-01-05,979.152102745,4704.269672861109,3725.117570116109
2024-01-06,9688.29522143,1827.9296355362821,7860.365585893718
2024-01-07,14486.3900185,5974.204101451323,8512.185917048677
2024-01-08,17580.8980184,11619.054010193588,5961.844008206412
2024-01-09,19236.5250184,10265.640222742582,8970.884795657417
2024-01-10,16679.7355184,10057.048350598769,6622.687167801232
2024-01-11,15734.2035184,10077.20444914608,5656.9990692539195
2024-01-12,11764.3705184,9091.267004973153,2673.103513426846
2024-01-13,13714.47601935,9269.919763032958,4444.556256317042
2024-01-14,14015.3430184,10029.641336042307,3985.701682357694
2024-01-15,13923.0410184,9060.50869569333,4862.532322706669
2024-01-16,15752.9568184,9309.843168761072,6443.113649638928
2024-01-17,13498.3417184,9044.252160763492,4454.089557636509
2024-01-18,13308.6602984,10179.434741902161,3129.2255564978386
2024-01-19,12332.4690984,10522.211573836605,1810.2575245633961
2024-01-20,16545.982598399998,10728.411975125138,5817.57062327486
2024-01-21,11898.017219965,9801.415014999464,2096.6022049655367
2024-01-22,3990.75482129,8111.051637388559,4120.296816098559
2024-01-23,4398.110601245,4194.568009321233,203.54259192376685
2024-01-24,126.009102675,4809.393135699423,4683.384033024423
2024-01-25,1095.072102755,5153.623003588477,4058.5509008334775
2024-01-26,2193.740102705,4420.2744469797735,2226.5343442747735
2024-01-27,11466.38860017,6299.670411694486,5166.718188475514
2024-01-28,6337.875601495,11463.088043787022,5125.2124422920215
2024-01-29,3878.55960139,9613.389359711557,5734.829758321557
2024-01-30,4080.97760119,4572.113867185487,491.13626599548707
2024-01-31,1780.575102815,5268.844660187345,3488.269557372345
2024-02-01,2445.581102815,5687.279080581063,3241.6979777660626
2024-02-02,2998.18810287,6362.619728874696,3364.431626004696
2024-02-03,3943.37960119,5952.104016233559,2008.7244150435595
2024-02-04,4003.46760119,6034.504517287965,2031.0369160979653
2024-02-05,4634.34360119,6634.373989664969,2000.0303884749683
2024-02-06,4169.48260119,3836.631250467094,332.8513507229063
2024-02-07,4176.76910298,4610.057794951853,433.28869197185304
2024-02-08,2403.93810284,4532.124134425577,2128.186031585577
2024-02-09,109.696102675,6438.488717158359,6328.792614483359
2024-02-10,3812.41360119,5864.399722371065,2051.986121181065
2024-02-11,4586.49760119,6348.927983691297,1762.4303825012976
2024-02-12,5697.235601225,6757.208689898504,1059.9730886735042
2024-02-13,6959.083601305,7017.727754261571,58.644152956570906
2024-02-14,94.873102725,8509.966660910013,8415.093558185014
2024-02-15,88.20010272500001,6143.770592736347,6055.570490011347
2024-02-16,114.271102675,6732.007935807135,6617.736833132135
2024-02-17,4041.07760119,6799.679512772582,2758.6019115825816
2024-02-18,4073.21260119,6663.71556653369,2590.5029653436904
2024-02-19,4549.679601205,7312.924576160728,2763.244974955728
2024-02-20,6008.417601345,7703.205384592607,1694.787783247607
2024-02-21,122.716102675,8299.812921320357,8177.096818645357
2024-02-22,693.5471027149999,7014.6991276832605,6321.152024968261
2024-02-23,4827.605103005,6065.857947119785,1238.2528441147851
2024-02-24,8634.590601415,7279.947498030295,1354.6431033847057
2024-02-25,13599.3495984,10367.390615793778,3231.958982606222
2024-02-26,14378.9505984,10134.959807602358,4243.990790797643
2024-02-27,15643.0355984,10688.957214633345,4954.078383766655
2024-02-28,15529.17059915,12344.984302017834,3184.186297132166
2024-02-29,12740.4915984,10753.161690386874,1987.3299080131255
2024-03-01,11760.7945989,10804.176660770798,956.6179381292022
2024-03-02,9699.404099895,10999.180473946311,1299.776374051311
2024-03-03,8664.01259998,8331.61761118376,332.3949887962408
2024-03-04,12536.51359905,10083.656645829582,2452.8569532204183
2024-03-05,13430.3585984,11285.23528726555,2145.12331113445
2024-03-06,13949.81759965,11129.499687576546,2820.317912073453
2024-03-07,4943.465102295,11556.059307276446,6612.594204981446
2024-03-08,3252.54410285,7313.296810344117,4060.752707494117
2024-03-09,3830.73360169,7497.434573023722,3666.700971333722
2024-03-10,4158.94460119,7122.431551525002,2963.486950335002
2024-03-11,4519.09360119,8385.119414836288,3866.025813646288
2024-03-12,4535.26760119,8409.424438048947,3874.156836858947
2024-03-13,107.454102675,7927.369568424548,7819.915465749547
2024-03-14,84.921102725,7923.914175764297,7838.993073039297
2024-03-15,109.588102675,8186.85160918827,8077.26350651327
2024-03-16,4394.04660119,8756.921406008876,4362.874804818876
2024-03-17,4832.36710228,9652.312406379448,4819.945304099448
2024-03-18,3393.4566017800003,9032.682659910908,5639.226058130907
2024-03-19,2917.05660242,9662.096025417111,6745.039422997112
2024-03-20,113.880102675,9043.634985273107,8929.754882598107
2024-03-21,112.807102675,9168.424767732751,9055.61766505775
2024-03-22,118.172102675,9280.498417746014,9162.326315071014
2024-03-23,6488.415601275,9435.045053195767,2946.6294519207668
2024-03-24,7661.343601345,12806.737564507263,5145.3939631622625
2024-03-25,7077.180601045,13134.092319238494,6056.911718193494
2024-03-26,3213.84410223,12013.726669418276,8799.882567188277
2024-03-27,146.185102675,9997.386530308791,9851.201427633792
2024-03-28,120.306102675,9648.620931495185,9528.314828820185
2024-03-29,112.922102675,10370.07519591823,10257.15309324323
2024-03-30,3324.26560163,10529.481871892343,7205.216270262343
2024-03-31,2984.412602175,10732.357909033404,7747.945306858404
2024-04-01,3880.61060144,10801.449621333042,6920.839019893042
2024-04-02,3258.910101925,10811.549863991328,7552.639762066327
2024-04-03,116.153102675,11073.223289791604,10957.070187116604
2024-04-04,96.827102725,9743.212459943541,9646.385357218542
2024-04-05,64.510102725,10946.680417341828,10882.170314616827
2024-04-06,445.919102755,11178.349766167239,10732.430663412239
2024-04-07,632.633102775,11495.963992711886,10863.330889936886
2024-04-08,582.17260276,11649.276564500906,11067.103961740906
2024-04-09,3939.71660139,11433.602810189019,7493.886208799018
2024-04-10,1289.991102775,11311.933847810513,10021.942745035512
2024-04-11,78.586102725,12225.599653629979,12147.01355090498
2024-04-12,67.717102725,11116.741131403265,11049.024028678265
2024-04-13,547.19060276,11833.791030815186,11286.600428055186
2024-04-14,2426.977102555,12027.481326959578,9600.504224404578
2024-04-15,5131.831601225,12106.349493228066,6974.517892003067
2024-04-16,6812.03460133,12447.230768932473,5635.196167602473
2024-04-17,4967.162102995,15122.127882079905,10154.965779084905
2024-04-18,3095.72310284,11798.461566343649,8702.738463503649
2024-04-19,989.412102745,11790.291291365356,10800.879188620356
2024-04-20,7063.53160133,11946.394138803867,4882.862537473868
2024-04-21,8607.98160112,14318.651522940732,5710.669921820732
2024-04-22,9205.86159994,17248.461690680793,8042.600090740792
2024-04-23,8387.174600285,14219.212721138712,5832.038120853713
2024-04-24,5277.132103035,14678.88092807102,9401.748825036018
2024-04-25,2985.20410284,12666.833348282613,9681.629245442613
2024-04-26,139.73510267499998,12778.262911320984,12638.527808645984
2024-04-27,2204.439102405,13438.901692050904,11234.462589645904
2024-04-28,2387.50060235,13733.693230014886,11346.192627664885
2024-04-29,1772.12960258,13647.511197036249,11875.381594456248
2024-04-30,175.072102735,13645.369999039583,13470.297896304584
2024-05-01,2.78860272,12981.615929032094,12978.827326312094
2024-05-02,101.131102725,13572.825251823546,13471.694149098546
2024-05-03,114.905102675,13137.827477968574,13022.922375293574
2024-05-04,2633.24160231,14200.88521485212,11567.64361254212
2024-05-05,2408.736102505,14394.13238570808,11985.396283203081
2024-05-06,2087.067102865,15173.986027715495,13086.918924850495
