,actual,predicted,residual
2024-01-01,4807.82560119,1836.033902091,2971.791699099
2024-01-02,3289.35022244,1836.033902091,1453.3163203489999
2024-01-03,125.032102675,1836.033902091,1711.001799416
2024-01-04,124.972102675,1836.033902091,1711.061799416
2024-01-05,979.152102745,1836.033902091,856.8817993460001
2024-01-06,9688.29522143,1836.033902091,7852.261319339001
2024-01-07,14486.3900185,1836.033902091,12650.356116409
2024-01-08,17580.8980184,1836.033902091,15744.864116309
2024-01-09,19236.5250184,1836.033902091,17400.491116309
2024-01-10,16679.7355184,1836.033902091,14843.701616309001
2024-01-11,15734.2035184,1836.033902091,13898.169616309
2024-01-12,11764.3705184,1836.033902091,9928.336616309
2024-01-13,13714.47601935,1836.033902091,11878.442117259001
2024-01-14,14015.3430184,1836.033902091,12179.309116309001
2024-01-15,13923.0410184,1836.033902091,12087.007116309
2024-01-16,15752.9568184,1836.033902091,13916.922916309
2024-01-17,13498.3417184,1836.033902091,11662.307816309001
2024-01-18,13308.6602984,1836.033902091,11472.626396309
2024-01-19,12332.4690984,1836.033902091,10496.435196309001
2024-01-20,16545.982598399998,1836.033902091,14709.948696308998
2024-01-21,11898.017219965,1836.033902091,10061.983317874001
2024-01-22,3990.75482129,1836.033902091,2154.720919199
2024-01-23,4398.110601245,1836.033902091,2562.076699154
2024-01-24,126.009102675,1836.033902091,1710.0247994160002
2024-01-25,1095.072102755,1836.033902091,740.961799336
2024-01-26,2193.740102705,1836.033902091,357.70620061399995
2024-01-27,11466.38860017,1836.033902091,9630.354698079
2024-01-28,6337.875601495,1836.033902091,4501.841699404
2024-01-29,3878.55960139,1836.033902091,2042.5256992989998
2024-01-30,4080.97760119,1836.033902091,2244.943699099
2024-01-31,1780.575102815,1836.033902091,55.458799276000036
2024-02-01,2445.581102815,1836.033902091,609.547200724
2024-02-02,2998.18810287,1836.033902091,1162.154200779
2024-02-03,3943.37960119,1836.033902091,2107.345699099
2024-02-04,4003.46760119,1836.033902091,2167.433699099
2024-02-05,4634.34360119,1836.033902091,2798.309699099
2024-02-06,4169.48260119,1836.033902091,2333.4486990990004
2024-02-07,4176.76910298,1836.033902091,2340.7352008889998
2024-02-08,2403.93810284,1836.033902091,567.9042007489998
2024-02-09,109.696102675,1836.033902091,1726.337799416
2024-02-10,3812.41360119,1836.033902091,1976.379699099
2024-02-11,4586.49760119,1836.033902091,2750.4636990989998
2024-02-12,5697.235601225,1836.033902091,3861.201699134
2024-02-13,6959.083601305,1836.033902091,5123.049699214
2024-02-14,94.873102725,1836.033902091,1741.160799366
2024-02-15,88.20010272500001,1836.033902091,1747.833799366
2024-02-16,114.271102675,1836.033902091,1721.762799416
2024-02-17,4041.07760119,1836.033902091,2205.043699099
2024-02-18,4073.21260119,1836.033902091,2237.178699099
2024-02-19,4549.679601205,1836.033902091,2713.645699114
2024-02-20,6008.417601345,1836.033902091,4172.383699254
2024-02-21,122.716102675,1836.033902091,1713.317799416
2024-02-22,693.5471027149999,1836.033902091,1142.4867993760001
2024-02-23,4827.605103005,1836.033902091,2991.571200914
2024-02-24,8634.590601415,1836.033902091,6798.556699324001
2024-02-25,13599.3495984,1836.033902091,11763.315696309
2024-02-26,14378.9505984,1836.033902091,12542.916696309001
2024-02-27,15643.0355984,1836.033902091,13807.001696309
2024-02-28,15529.17059915,1836.033902091,13693.136697059
2024-02-29,12740.4915984,1836.033902091,10904.457696309
2024-03-01,11760.7945989,1836.033902091,9924.760696809
2024-03-02,9699.404099895,1836.033902091,7863.370197804001
2024-03-03,8664.01259998,1836.033902091,6827.978697889001
2024-03-04,12536.51359905,1836.033902091,10700.479696959
2024-03-05,13430.3585984,1836.033902091,11594.324696309
2024-03-06,13949.81759965,1836.033902091,12113.783697559
2024-03-07,4943.465102295,1836.033902091,3107.431200204
2024-03-08,3252.54410285,1836.033902091,1416.5102007589999
2024-03-09,3830.73360169,1836.033902091,1994.6996995989998
2024-03-10,4158.94460119,1836.033902091,2322.910699099
2024-03-11,4519.09360119,1836.033902091,2683.059699099
2024-03-12,4535.26760119,1836.033902091,2699.233699099
2024-03-13,107.454102675,1836.033902091,1728.579799416
2024-03-14,84.921102725,1836.033902091,1751.112799366
2024-03-15,109.588102675,1836.033902091,1726.445799416
2024-03-16,4394.04660119,1836.033902091,2558.0126990989997
2024-03-17,4832.36710228,1836.033902091,2996.333200189
2024-03-18,3393.4566017800003,1836.033902091,1557.4226996890002
2024-03-19,2917.05660242,1836.033902091,1081.0227003290001
