,actual,predicted,residual
2024-01-01,4807.82560119,4819.889608617615,12.064007427614342
2024-01-02,3289.35022244,4985.895923515108,1696.545701075108
2024-01-03,125.032102675,4327.259316403018,4202.227213728018
2024-01-04,124.972102675,1252.8852056302806,1127.9131029552805
2024-01-05,979.152102745,-728.649114404485,1707.801217149485
2024-01-06,9688.29522143,-707.6438338276996,10395.9390552577
2024-01-07,14486.3900185,6298.929778584548,8187.460239915452
2024-01-08,17580.8980184,11874.475438108388,5706.422580291612
2024-01-09,19236.5250184,14018.62994205208,5217.895076347919
2024-01-10,16679.7355184,14522.146467892038,2157.5890505079624
2024-01-11,15734.2035184,12256.340448891235,3477.863069508765
2024-01-12,11764.3705184,10033.24055189694,1731.1299665030583
2024-01-13,13714.47601935,2760.760515916695,10953.715503433305
2024-01-14,14015.3430184,3083.3987782976797,10931.94424010232
2024-01-15,13923.0410184,4420.984013908042,9502.057004491959
2024-01-16,15752.9568184,4214.352085292781,11538.604733107219
2024-01-17,13498.3417184,2789.162126284024,10709.179592115977
2024-01-18,13308.6602984,544.9658693424418,12763.694429057557
2024-01-19,12332.4690984,-165.18385921653808,12497.65295761654
2024-01-20,16545.982598399998,-201.71597739185646,16747.698575791856
2024-01-21,11898.017219965,4006.6563483121577,7891.360871652843
2024-01-22,3990.75482129,4547.223331291745,556.468510001745
2024-01-23,4398.110601245,6726.207832392399,2328.097231147399
2024-01-24,126.009102675,6178.157265865071,6052.1481631900715
2024-01-25,1095.072102755,5366.131198330993,4271.0590955759935
2024-01-26,2193.740102705,3974.9524749062266,1781.2123722012266
2024-01-27,11466.38860017,3643.7224159922744,7822.666184177725
2024-01-28,6337.875601495,6223.8390416122265,114.03655988277387
2024-01-29,3878.55960139,4146.60185427972,268.0422528897202
2024-01-30,4080.97760119,3166.102594587636,914.875006602364
2024-01-31,1780.575102815,4441.630844766343,2661.0557419513434
2024-02-01,2445.581102815,3102.8952482098216,657.3141453948215
2024-02-02,2998.18810287,2537.3494821372283,460.8386207327717
2024-02-03,3943.37960119,2723.8799666864143,1219.4996345035856
2024-02-04,4003.46760119,1859.4557073905157,2144.0118937994844
2024-02-05,4634.34360119,1188.2973271953374,3446.046273994663
2024-02-06,4169.48260119,-95.75190423878101,4265.234505428782
2024-02-07,4176.76910298,-1635.2598983752575,5812.029001355258
2024-02-08,2403.93810284,-2330.45223722717,4734.39034006717
2024-02-09,109.696102675,-1167.5158037966276,1277.2119064716276
2024-02-10,3812.41360119,1023.4098823917863,2789.003718798214
2024-02-11,4586.49760119,4470.140619927011,116.35698126298848
2024-02-12,5697.235601225,5978.2119734897005,280.97637226470033
2024-02-13,6959.083601305,5181.436432183872,1777.6471691211282
2024-02-14,94.873102725,3796.6050632910296,3701.7319605660296
2024-02-15,88.20010272500001,339.72395603994437,251.52385331494435
2024-02-16,114.271102675,1219.0702042126431,1104.799101537643
2024-02-17,4041.07760119,2440.6308872342556,1600.4467139557446
2024-02-18,4073.21260119,4759.506237793606,686.2936366036056
2024-02-19,4549.679601205,5032.891697410673,483.21209620567333
2024-02-20,6008.417601345,4870.49563418469,1137.9219671603096
2024-02-21,122.716102675,4613.565936683127,4490.849834008127
2024-02-22,693.5471027149999,1870.1828456382111,1176.6357429232112
2024-02-23,4827.605103005,1717.8243783245703,3109.78072468043
2024-02-24,8634.590601415,3613.3257028817266,5021.264898533274
2024-02-25,13599.3495984,6264.6114256813835,7334.738172718617
2024-02-26,14378.9505984,9970.412234508169,4408.538363891832
2024-02-27,15643.0355984,11749.232214677553,3893.8033837224466
2024-02-28,15529.17059915,12363.14208721466,3166.028511935341
2024-02-29,12740.4915984,10052.606094641762,2687.885503758238
2024-03-01,11760.7945989,4912.319186429931,6848.475412470069
