,actual,predicted,residual
2024-01-01,4807.82560119,3619.6269645251427,1188.1986366648575
2024-01-02,3289.35022244,5693.974649935196,2404.624427495196
2024-01-03,125.032102675,3994.267407109678,3869.2353044346783
2024-01-04,124.972102675,1610.5581370461587,1485.5860343711586
2024-01-05,979.152102745,-3379.2699726270944,4358.422075372095
2024-01-06,9688.29522143,-2096.3045720236883,11784.599793453688
2024-01-07,14486.3900185,5472.413388018384,9013.976630481617
2024-01-08,17580.8980184,12213.868005159191,5367.030013240808
2024-01-09,19236.5250184,13243.27179631584,5993.25322208416
2024-01-10,16679.7355184,11513.826912013512,5165.908606386489
2024-01-11,15734.2035184,8036.108239288294,7698.095279111706
2024-01-12,11764.3705184,2257.542506202425,9506.828012197573
2024-01-13,13714.47601935,-368.13210969393833,14082.60812904394
2024-01-14,14015.3430184,1522.895396559285,12492.447621840716
2024-01-15,13923.0410184,3905.136268234384,10017.904750165615
2024-01-16,15752.9568184,3794.65186308046,11958.30495531954
2024-01-17,13498.3417184,-213.2912053319442,13711.632923731946
2024-01-18,13308.6602984,-647.8895820526773,13956.549880452678
2024-01-19,12332.4690984,-2983.0423760270705,15315.511474427072
2024-01-20,16545.982598399998,-1010.5373761506404,17556.51997455064
2024-01-21,11898.017219965,4514.418513619698,7383.598706345302
2024-01-22,3990.75482129,7505.583624087936,3514.828802797936
2024-01-23,4398.110601245,8340.770394851274,3942.6597936062735
2024-01-24,126.009102675,8097.527977230268,7971.518874555269
2024-01-25,1095.072102755,9098.310022372483,8003.237919617483
2024-01-26,2193.740102705,5280.503400517089,3086.763297812089
2024-01-27,11466.38860017,6419.651788971961,5046.736811198039
2024-01-28,6337.875601495,7127.707564659873,789.8319631648728
2024-01-29,3878.55960139,5201.769412872284,1323.2098114822843
2024-01-30,4080.97760119,3683.0620408873715,397.91556030262836
2024-01-31,1780.575102815,5542.986362376735,3762.4112595617353
2024-02-01,2445.581102815,6577.674922025232,4132.093819210232
2024-02-02,2998.18810287,2364.990244474046,633.197858395954
2024-02-03,3943.37960119,4300.299934512311,356.92033332231085
2024-02-04,4003.46760119,2108.449790119989,1895.0178110700112
2024-02-05,4634.34360119,-1176.6582709943275,5811.001872184328
2024-02-06,4169.48260119,-3343.1637251822026,7512.6463263722035
2024-02-07,4176.76910298,-5884.043378865548,10060.812481845547
2024-02-08,2403.93810284,-6442.704557549056,8846.642660389056
2024-02-09,109.696102675,-2968.8228354416656,3078.5189381166656
2024-02-10,3812.41360119,-1748.026157013328,5560.439758203328
2024-02-11,4586.49760119,2948.5441489341924,1637.9534522558074
