,actual,predicted,residual
2024-01-01,4807.82560119,3803.0572912239154,1004.7683099660849
2024-01-02,3289.35022244,3746.842864617803,457.4926421778032
2024-01-03,125.032102675,4215.3557821228715,4090.3236794478717
2024-01-04,124.972102675,4021.4421986804105,3896.4700960054106
2024-01-05,979.152102745,3326.630715301335,2347.478612556335
2024-01-06,9688.29522143,4460.959364298503,5227.3358571314975
2024-01-07,14486.3900185,6290.034653789114,8196.355364710886
2024-01-08,17580.8980184,8692.535698249289,8888.36232015071
2024-01-09,19236.5250184,8455.965207807336,10780.559810592664
2024-01-10,16679.7355184,8885.421014502019,7794.314503897982
2024-01-11,15734.2035184,8230.7212691438,7503.4822492562
2024-01-12,11764.3705184,5143.297851072237,6621.072667327762
2024-01-13,13714.47601935,4669.462580696742,9045.013438653259
2024-01-14,14015.3430184,4660.033996800251,9355.30902159975
2024-01-15,13923.0410184,4447.4396906297625,9475.601327770237
2024-01-16,15752.9568184,3705.6782437468146,12047.278574653184
2024-01-17,13498.3417184,3923.2531734353743,9575.088544964627
2024-01-18,13308.6602984,3584.401507766942,9724.25879063306
2024-01-19,12332.4690984,3680.284725801605,8652.184372598396
2024-01-20,16545.982598399998,3702.6814361413,12843.301162258698
2024-01-21,11898.017219965,4176.138780334335,7721.8784396306655
2024-01-22,3990.75482129,4504.704084358974,513.9492630689738
2024-01-23,4398.110601245,5523.7447114449105,1125.6341101999105
2024-01-24,126.009102675,5432.67774977424,5306.66864709924
2024-01-25,1095.072102755,4656.432658311246,3561.3605555562463
2024-01-26,2193.740102705,4266.659502947038,2072.919400242038
2024-01-27,11466.38860017,4594.7854975084965,6871.603102661503
2024-01-28,6337.875601495,5361.79796337094,976.0776381240603
2024-01-29,3878.55960139,5387.420179719275,1508.8605783292755
2024-01-30,4080.97760119,5533.5805844333945,1452.6029832433946
2024-01-31,1780.575102815,5651.433009235059,3870.8579064200594
2024-02-01,2445.581102815,5487.59094537859,3042.0098425635897
2024-02-02,2998.18810287,4343.91634732229,1345.7282444522898
2024-02-03,3943.37960119,4992.0205306604985,1048.6409294704986
2024-02-04,4003.46760119,5240.787566087137,1237.3199648971367
