,actual,predicted,residual
2024-01-01,4807.82560119,3315.8801,1491.9454742368753
2024-01-02,3289.35022244,3365.5017,76.15148654437508
2024-01-03,125.032102675,1559.8362,1434.804078965625
2024-01-04,124.972102675,1135.9073,1010.9352459578125
2024-01-05,979.152102745,2987.0098,2007.8576628800001
2024-01-06,9688.29522143,6692.632,2995.6633854925003
2024-01-07,14486.3900185,9582.488,4903.90173725
2024-01-08,17580.8980184,14508.587,3072.3111043374993
2024-01-09,19236.5250184,14508.587,4727.9381043375
2024-01-10,16679.7355184,14508.587,2171.1486043375007
2024-01-11,15734.2035184,14508.587,1225.6166043374997
2024-01-12,11764.3705184,14508.587,2744.216395662501
2024-01-13,13714.47601935,14508.587,794.1108947124994
2024-01-14,14015.3430184,14508.587,493.2438956624992
2024-01-15,13923.0410184,14508.587,585.5458956625007
2024-01-16,15752.9568184,14508.587,1244.3699043375
2024-01-17,13498.3417184,14508.587,1010.2451956624991
2024-01-18,13308.6602984,14508.587,1199.9266156625
2024-01-19,12332.4690984,14508.587,2176.117815662499
2024-01-20,16545.982598399998,14508.587,2037.395684337498
2024-01-21,11898.017219965,14508.587,2610.5696940974995
2024-01-22,3990.75482129,7883.759,3893.0039677725
2024-01-23,4398.110601245,1788.804,2609.306646166875
2024-01-24,126.009102675,702.51404,576.5049354109375
2024-01-25,1095.072102755,1029.356,65.71614572375006
2024-01-26,2193.740102705,5199.9644,3006.22425276375
2024-01-27,11466.38860017,10779.244,687.1444595449993
2024-01-28,6337.875601495,11214.299,4876.42322663
2024-01-29,3878.55960139,3580.988,297.5715642806249
2024-01-30,4080.97760119,678.9771,3402.0004893735936
2024-01-31,1780.575102815,3064.7422,1284.167084685
2024-02-01,2445.581102815,6062.904,3617.32270577875
2024-02-02,2998.18810287,7506.6816,4508.493537755
2024-02-03,3943.37960119,3691.8323,251.5473257993749
2024-02-04,4003.46760119,3624.7583,378.7093004087501
2024-02-05,4634.34360119,3489.549,1144.7945289243753
2024-02-06,4169.48260119,1068.6396,3100.8429527525004
2024-02-07,4176.76910298,1000.10474,3176.664366651875
2024-02-08,2403.93810284,6255.525,3851.58679950375
2024-02-09,109.696102675,2723.8118,2614.115664903125
2024-02-10,3812.41360119,2810.458,1001.9555933775
2024-02-11,4586.49760119,4242.8223,343.67533556499984
2024-02-12,5697.235601225,4147.118,1550.1174371625002
2024-02-13,6959.083601305,8282.546,1323.4622971324998
2024-02-14,94.873102725,1411.1786,1316.3054861421874
2024-02-15,88.20010272500001,758.41113,670.2110300875
2024-02-16,114.271102675,2755.774,2641.50282310625
2024-02-17,4041.07760119,3043.406,997.6715953306252
2024-02-18,4073.21260119,4873.123,799.910445685
2024-02-19,4549.679601205,4629.9126,80.23299645125007
2024-02-20,6008.417601345,4767.015,1241.4024646262496
2024-02-21,122.716102675,1393.1729,1270.4567488875
2024-02-22,693.5471027149999,962.5687,269.02162287093756
2024-02-23,4827.605103005,2096.8955,2730.7095951925003
2024-02-24,8634.590601415,3223.4287,5411.1618904775005
2024-02-25,13599.3495984,4399.401,9199.94871949375
2024-02-26,14378.9505984,9651.862,4727.088293712501
2024-02-27,15643.0355984,12751.464,2891.5717312125
2024-02-28,15529.17059915,14508.587,1020.5836850875003
2024-02-29,12740.4915984,6850.665,5889.8265593375
2024-03-01,11760.7945989,6850.665,4910.1295598375
2024-03-02,9699.404099895,6850.665,2848.7390608325004
2024-03-03,8664.01259998,2322.6182,6341.3944359175
2024-03-04,12536.51359905,3895.2573,8641.25627483125
2024-03-05,13430.3585984,7883.759,5546.5998093375
2024-03-06,13949.81759965,11718.372,2231.4455293374995
2024-03-07,4943.465102295,11718.372,6774.9069680175
2024-03-08,3252.54410285,7709.4775,4456.9334362125
2024-03-09,3830.73360169,502.97025,3327.7633563286718
2024-03-10,4158.94460119,777.00635,3381.93825353375
2024-03-11,4519.09360119,2028.2563,2490.8372535337503
2024-03-12,4535.26760119,1068.7776,3466.4900132993753
2024-03-13,107.454102675,1008.2997,900.8455799421874
2024-03-14,84.921102725,2966.1519,2881.23075274375
2024-03-15,109.588102675,2083.1545,1973.566438340625
2024-03-16,4394.04660119,3100.7407,1293.3058785337498
2024-03-17,4832.36710228,5790.8228,958.4556516262501
2024-03-18,3393.4566017800003,4076.922,683.4655173606247
2024-03-19,2917.05660242,3733.8892,816.8325577362498
2024-03-20,113.880102675,2583.2935,2469.41335435625
2024-03-21,112.807102675,2667.5896,2554.782496934375
2024-03-22,118.172102675,3428.6895,3310.51735045
2024-03-23,6488.415601275,3593.0027,2895.412915728125
2024-03-24,7661.343601345,4310.8706,3350.47299587625
2024-03-25,7077.180601045,8900.504,1823.323305205
2024-03-26,3213.84410223,4759.759,1545.9146868325001
2024-03-27,146.185102675,1592.6986,1446.5135057234374
2024-03-28,120.306102675,1274.5731,1154.2670174421876
2024-03-29,112.922102675,2806.2842,2693.3620770125
2024-03-30,3324.26560163,3616.3054,292.0398182918748
2024-03-31,2984.412602175,2491.9397,492.47290490937485
2024-04-01,3880.61060144,3406.9165,473.6940975337502
2024-04-02,3258.910101925,2815.1113,443.79877380000016
2024-04-03,116.153102675,1193.2021,1077.0490457625
2024-04-04,96.827102725,442.9833,346.1562041597656
2024-04-05,64.510102725,2910.09,2845.579985165625
2024-04-06,445.919102755,4478.2954,4032.37630740125
2024-04-07,632.633102775,3396.561,2763.92793238125
2024-04-08,582.17260276,3401.231,2819.05835427125
2024-04-09,3939.71660139,3176.698,763.018603343125
2024-04-10,1289.991102775,3549.2678,2259.276719490625
2024-04-11,78.586102725,3340.3933,3261.807207821875
2024-04-12,67.717102725,993.24274,925.5256340914062
2024-04-13,547.19060276,2763.7468,2216.556223411875
2024-04-14,2426.977102555,926.20844,1500.7686674964061
2024-04-15,5131.831601225,4858.9316,272.89996059999976
2024-04-16,6812.03460133,3593.0425,3218.9921208612504
2024-04-17,4967.162102995,7482.559,2515.39697903625
2024-04-18,3095.72310284,7509.1763,4413.45316669125
2024-04-19,989.412102745,1194.8823,205.47022147375003
2024-04-20,7063.53160133,2666.0881,4397.443466564375
2024-04-21,8607.98160112,7419.317,1188.66470658875
2024-04-22,9205.86159994,9106.467,99.39480306500081
2024-04-23,8387.174600285,9151.871,764.6964934650005
2024-04-24,5277.132103035,4385.818,891.31423194125
2024-04-25,2985.20410284,7352.33,4367.125975285
2024-04-26,139.73510267499998,3631.4663,3491.73120591875
2024-04-27,2204.439102405,2752.5737,548.1346280637499
2024-04-28,2387.50060235,2907.8682,520.3675617125
2024-04-29,1772.12960258,2621.2432,849.1135614825
2024-04-30,175.072102735,2270.7117,2095.639567186875
2024-05-01,2.78860272,4361.057,4358.26852618625
2024-05-02,101.131102725,470.9053,369.7742012300781
2024-05-03,114.905102675,1158.6385,1043.7334471296874
2024-05-04,2633.24160231,1482.8396,1150.402002700625
2024-05-05,2408.736102505,4019.083,1610.3469053075
2024-05-06,2087.067102865,1621.2799,465.7871956384374
2024-05-07,2239.93360265,1943.9247,296.0089200328125
2024-05-08,128.854102675,1851.1196,1722.26552623125
2024-05-09,101.083102725,3322.4565,3221.37344024375
2024-05-10,82.842102725,3323.7432,3240.9010613375
2024-05-11,600.268102765,3386.1584,2785.890344500625
2024-05-12,59.915102725,3384.9253,3325.01019024375
2024-05-13,2.71660272,1621.6411,1618.92451056125
2024-05-14,111.10160273,1788.8352,1677.733602348125
2024-05-15,63.552102725,841.4467,777.8946135835938
2024-05-16,85.922102725,1621.2814,1535.3592693453124
2024-05-17,83.975102725,1621.2649,1537.289789853125
2024-05-18,1855.28060285,1625.1129,230.16768781093742
2024-05-19,1732.94660283,1624.8732,108.07343388468757
2024-05-20,454.974102755,1621.1129,1166.1388122840626
2024-05-21,911.186102795,1943.9692,1032.78313548625
2024-05-22,83.891102725,1163.3,1079.408946103125
2024-05-23,80.55710272500001,2699.8113,2619.254176571875
2024-05-24,78.610102725,1164.0243,1085.4141892671876
2024-05-25,738.13660277,883.98486,145.84826051125003
2024-05-26,702.203102775,1625.0918,922.8886941
2024-05-27,1144.55160279,1621.0923,476.54068236624994
2024-05-28,1532.441102775,1944.1176,411.6764509359375
2024-05-29,71.039102725,1157.5453,1086.5061853609375
2024-05-30,95.706102725,1143.2012,1047.49506915
2024-05-31,78.399102725,1265.3342,1186.935125790625
2024-06-01,1799.38160285,884.0066,915.375011053125
2024-06-02,780.6591027750001,1624.948,844.2888952718749
2024-06-03,1957.289102585,3327.5374,1370.248250930625
2024-06-04,372.365102745,1944.1202,1571.7551365128124
2024-06-05,111.94510267500002,1142.0786,1030.13351060625
2024-06-06,98.774102725,2699.8171,2601.043035946875
2024-06-07,98.762102725,2699.8137,2601.051617978125
2024-06-08,1015.495102785,2762.0984,1746.603285886875
2024-06-09,1684.389102515,3331.3772,1646.988094750625
2024-06-10,2787.16360197,1612.1327,1175.0309115403124
2024-06-11,2424.044102095,1943.9962,480.0478862746877
2024-06-12,119.288102675,1163.3579,1044.0698074812499
2024-06-13,59.085102725,937.80206,878.7169602632813
2024-06-14,3.92860272,1093.476,1089.5473494284374
2024-06-15,1850.299602775,874.99176,975.3078425210938
2024-06-16,1178.603102815,3405.0664,2226.463303435
2024-06-17,237.80660274,1621.232,1383.4254529240625
2024-06-18,2.74060272,1944.0901,1941.349485170625
2024-06-19,61.207102725,986.2055,924.9984026460937
2024-06-20,3.98860272,985.9414,981.95280353
2024-06-21,65.698102725,841.1837,775.4856130953125
2024-06-22,576.638102765,1625.2347,1048.5966384459375
2024-06-23,4.18060272,3331.5093,3327.32867462375
2024-06-24,3.88060272,3327.7197,3323.8391238425
2024-06-25,3.88060272,3329.4429,3325.56226837375
2024-06-26,2.72860272,2698.5195,2695.79092853
2024-06-27,2.72860272,1465.631,1462.9023787253125
2024-06-28,2.72860272,1465.6354,1462.9067732565625
2024-06-29,4.19260272,1469.4379,1465.2452634909375
2024-06-30,0.026797945,1469.4231,1469.396297758125
2024-07-01,0.0,1465.698,1465.697998046875
2024-07-02,0.0,1465.697,1465.697021484375
2024-07-03,0.0,1465.6382,1465.63818359375
2024-07-04,0.0,1465.5885,1465.5885009765625
2024-07-05,0.0,1465.5618,1465.561767578125
2024-07-06,0.0,1469.5042,1469.504150390625
2024-07-07,0.0,3331.3577,3331.357666015625
2024-07-08,0.0,1465.5795,1465.5794677734375
2024-07-09,0.0,1465.5846,1465.5845947265625
2024-07-10,0.0,1465.6616,1465.66162109375
2024-07-11,0.0,1465.6473,1465.6473388671875
2024-07-12,0.0,1465.6396,1465.6396484375
2024-07-13,0.0,1469.5195,1469.51953125
2024-07-14,0.0,1469.495,1469.4949951171875
2024-07-15,3.95260272,3327.6199,3323.667270326875
2024-07-16,3.91660272,1465.6664,1461.7497791159376
2024-07-17,3.98860272,1465.6737,1461.6851033346875
2024-07-18,3.94060272,3327.6917,3323.751047670625
2024-07-19,2.74060272,3327.7146,3324.973996889375
2024-07-20,4.19260272,1469.4229,1465.2302488425
2024-07-21,4.20460272,1469.5156,1465.31102228
2024-07-22,2.70460272,1465.7015,1462.9969353659376
2024-07-23,2.71660272,1465.8445,1463.127879701875
2024-07-24,3.95260272,1465.7784,1461.8258396628125
2024-07-25,4.07260272,3327.7932,3323.720610170625
2024-07-26,2.86060272,1465.7701,1462.9095388815624
2024-07-27,5.47660272,1469.5776,1464.10103399875
2024-07-28,4.20460272,3331.5825,3327.37791681125
2024-07-29,2.70460272,3327.8232,3325.1186394675
2024-07-30,3.90460272,3327.7847,3323.88006524875
2024-07-31,4.00060272,1613.7714,1609.7707595846875
2024-08-01,4.09660272,1613.7103,1609.6137244284375
2024-08-02,2.76460272,3327.828,3325.063278139375
2024-08-03,5.47660272,1617.6055,1612.12886603
2024-08-04,5.71660272,1617.5739,1611.8572498190624
2024-08-05,3.90460272,3327.8123,3323.907653139375
2024-08-06,2.71660272,3327.7874,3325.070750795625
2024-08-07,2.76460272,1613.7754,1611.010787905
2024-08-08,2.76460272,3327.7693,3325.004684389375
2024-08-09,2.76460272,3327.7712,3325.006637514375
2024-08-10,60.676102725,3331.6252,3270.949141415625
2024-08-11,5.41660272,3331.6816,3326.265037905
2024-08-12,2.71660272,3327.7559,3325.039256655
2024-08-13,2.77660272,1613.7452,1610.9686365378125
2024-08-14,2.90860272,1613.7577,1610.8490877096874
2024-08-15,3.97660272,3327.7966,3323.820028139375
2024-08-16,4.13260272,1614.0486,1609.915981264375
2024-08-17,4.27660272,1617.6079,1613.33130743625
2024-08-18,5.42860272,1617.6051,1612.1764998190624
2024-08-19,2.72860272,3327.798,3325.069492983125
2024-08-20,3.97660272,1613.7432,1609.7665613425
2024-08-21,62.455102725,3327.7766,3265.321508603125
2024-08-22,2.80060272,3327.7268,3324.926203920625
2024-08-23,4.060602719999999,1613.736,1609.6753591940626
2024-08-24,5.47660272,1617.5513,1612.07466681125
2024-08-25,374.85260275,1617.5897,1242.7371189296875
2024-08-26,562.437102755,1613.2855,1050.8484197059374
2024-08-27,420.26460275,3327.662,2907.397506625
2024-08-28,2.80060272,3328.7803,3325.9796707175
2024-08-29,4.02460272,1186.5721,1182.5475408346874
2024-08-30,2.83660272,1136.1244,1133.2877869284375
2024-08-31,4.26460272,817.4347,813.1700896628125
2024-09-01,4.25260272,1617.8308,1613.578207826875
2024-09-02,2.77660272,1613.7019,1610.925301576875
2024-09-03,3.97660272,1613.753,1609.7764490378124
2024-09-04,4.07260272,1613.7802,1609.7075486471874
2024-09-05,2.84860272,1613.7676,1610.918975405
2024-09-06,2.81260272,1613.6549,1610.8423045065624
2024-09-07,60.597102725,1617.4589,1556.8617595796875
2024-09-08,4.26460272,1617.4567,1613.1920623190624
2024-09-09,165.372102735,1613.7148,1448.342741015
2024-09-10,1718.63060286,1613.3068,105.32384016468745
2024-09-11,113.995102675,1613.4535,1499.4583885359375
2024-09-12,132.24810267499998,1936.5511,1804.3030447859376
2024-09-13,380.12310275,1687.8845,1307.761418734375
2024-09-14,3095.71660212,3263.493,167.77631780187494
2024-09-15,1704.4451023,3834.0083,2129.56319848125
2024-09-16,804.30760277,1287.4866,483.178969495625
2024-09-17,885.458102795,2757.0327,1871.5746120487502
2024-09-18,2.82460272,2749.9368,2747.112164858125
2024-09-19,4.036602719999999,2758.3264,2754.289813295625
2024-09-20,2.83660272,1153.0114,1150.1747498190625
2024-09-21,549.48760276,2760.8171,2211.329535911875
2024-09-22,6.97660272,3331.5496,3324.572957826875
2024-09-23,651.96560277,1466.0228,814.0572243784375
2024-09-24,942.188102785,1936.1942,994.0061110821875
2024-09-25,61.399102725,693.4456,632.0465149507812
2024-09-26,59.241102725,1936.5343,1877.2931990328125
2024-09-27,98.942102725,1186.465,1087.5228630953125
2024-09-28,3856.34660139,867.52875,2988.8178538314064
2024-09-29,5272.59710158,4758.0747,514.5223945487496
2024-09-30,2333.881102425,1798.5359,535.3452137531249
2024-10-01,2633.387102885,1936.493,696.8940608928124
2024-10-02,98.942102725,1016.5645,917.6224114351562
2024-10-03,128.016102675,2636.1958,2508.17969810625
2024-10-04,189.02610268,4402.965,4213.93874107
2024-10-05,5427.75510164,4967.368,460.38693757750025
2024-10-06,3788.87460222,4019.1458,230.27114973312518
2024-10-07,221.66860274,1315.1947,1093.5260994084374
2024-10-08,717.53360278,2731.544,2014.0103425325
2024-10-09,77.56610272500001,950.4342,872.8681013765624
2024-10-10,111.933102675,1186.5336,1074.6004666609374
2024-10-11,141.850102675,2954.5625,2812.712397325
2024-10-12,4337.20160178,3722.4192,614.7824123268747
2024-10-13,4304.98760119,1802.2161,2502.7715367368746
2024-10-14,4088.89960119,3431.3098,657.5897867368749
2024-10-15,2613.45760289,2776.147,162.6893697662499
2024-10-16,2.88460272,2577.7637,2574.879069155
2024-10-17,4.10860272,1016.01086,1011.9022615378125
2024-10-18,4.14460272,2957.187,2953.04240899875
2024-10-19,2224.38560289,2545.966,321.580461563125
2024-10-20,1014.54760279,5103.0195,4088.47192846
2024-10-21,2016.381102875,1629.7007,386.6804192812499
2024-10-22,3043.80960289,1947.8784,1095.93118492125
2024-10-23,117.171102675,3277.3032,3160.13211998125
2024-10-24,941.3621028,3299.5571,2358.19502610625
2024-10-25,71.15910272500001,1016.5283,945.3692175875
2024-10-26,1480.212102825,2698.4246,1218.212457721875
2024-10-27,2128.93660288,1945.4948,183.4418519034375
2024-10-28,2142.39860288,4455.3477,2312.94905337
2024-10-29,2384.99960289,1936.5485,448.4511409759375
2024-10-30,89.285102725,1540.8046,1451.5194627046876
2024-10-31,121.475102675,3323.952,3202.476801621875
2024-11-01,104.470102675,3451.6694,3347.19933091875
2024-11-02,3373.56860199,2698.5208,675.0478500368749
2024-11-03,5212.654601225,4019.1128,1193.54180825625
2024-11-04,6667.215601315,9444.505,2777.2892814975003
2024-11-05,6522.360601295,9445.83,2923.4694768299996
2024-11-06,129.058102675,2505.9954,2376.937258653125
2024-11-07,1738.486102785,2114.2908,375.80466869937504
2024-11-08,5892.19610303,8734.875,2842.67889697
2024-11-09,4726.621601235,5757.33,1030.7084768900004
2024-11-10,3729.80460119,2796.0598,933.7447867368751
2024-11-11,4211.20260119,3004.6294,1206.5732066587498
2024-11-12,4389.296601195,1239.4661,3149.830536741875
2024-11-13,2350.295102845,4141.671,1791.3757955924998
2024-11-14,127.039102675,2103.8328,1976.793660996875
2024-11-15,1511.197102785,5602.572,4091.37467455875
2024-11-16,6613.05860129,7266.7173,653.6586838662497
2024-11-17,5207.500601215,3873.377,1334.1236480899997
2024-11-18,5154.49660122,5014.531,139.96583950125023
2024-11-19,5918.47260196,7222.689,1304.2163628837498
2024-11-20,8511.42510245,9300.143,788.7174756749992
2024-11-21,10603.76309875,9169.009,1434.7543096874997
2024-11-22,9721.757101,9164.318,557.4387416249992
2024-11-23,10030.184601165,9158.051,872.1338199149995
2024-11-24,1975.99160285,2267.875,291.88339715000006
2024-11-25,3045.21860189,1095.2035,1950.0151106790627
2024-11-26,4332.40360119,453.45483,3878.948767205625
2024-11-27,143.05510267499997,3481.8738,3338.818676621875
2024-11-28,2320.076102835,7138.309,4818.23297919625
2024-11-29,7349.227101465,10779.999,3430.7719219725004
2024-11-30,10128.103601105,10836.184,708.079992645
2024-12-01,8452.20460064,8668.907,216.70262592250037
2024-12-02,4243.51960119,3585.1064,658.4131558774998
2024-12-03,6135.170601245,6554.3315,419.1609417237496
2024-12-04,7012.3291029600005,10820.85,3808.5205064149995
2024-12-05,5293.623103055,3007.8782,2285.744929226875
2024-12-06,1016.405102745,3061.5374,2045.132250770625
2024-12-07,5239.690601225,2844.9148,2394.775806303125
2024-12-08,5705.34860123,3019.0078,2686.34078873
2024-12-09,9913.1246015,5937.0757,3976.0489179062497
2024-12-10,9629.9796015,2505.1792,7124.800402281249
2024-12-11,8617.53710245,10502.818,1885.281256925
2024-12-12,10226.0670998,10734.49,508.4231345749995
2024-12-13,11114.5110994,10783.346,331.1653962750006
2024-12-14,12700.25960025,8508.702,4191.5574518124995
2024-12-15,8470.3306014,12751.464,4281.133265787499
2024-12-16,3859.38560119,1190.3307,2669.0549127134377
2024-12-17,4661.85060119,1203.7407,3458.10987853375
2024-12-18,93.625102725,1548.7654,1455.140278134375
