,trend,trend_squared,trend_cubed,trend**4,trend**5,"cos(1,freq=YE-DEC)","sin(2,freq=YE-DEC)","cos(2,freq=YE-DEC)","sin(3,freq=YE-DEC)","cos(3,freq=YE-DEC)","sin(4,freq=YE-DEC)","cos(4,freq=YE-DEC)","sin(5,freq=YE-DEC)","cos(5,freq=YE-DEC)","sin(6,freq=YE-DEC)","cos(6,freq=YE-DEC)","sin(7,freq=YE-DEC)","cos(7,freq=YE-DEC)","sin(8,freq=YE-DEC)","cos(8,freq=YE-DEC)",lag_1,lag_3,lag_4,lag_6,lag_9,lag_10,lag_15,lag_16,lag_17,lag_18,lag_19,rolling_mean_7,rolling_mean_14,rolling_mean_30,rolling_std_7,rolling_min_7,rolling_max_7,weather_weather_code (wmo code),weather_temperature_2m_max (°C),weather_apparent_temperature_max (°C),weather_apparent_temperature_min (°C),weather_wind_speed_10m_max (km/h),weather_wind_gusts_10m_max (km/h),weather_wind_direction_10m_dominant (°),weather_shortwave_radiation_sum (MJ/m²),weather_et0_fao_evapotranspiration (mm),weather_sunrise (iso8601),weather_sunset (iso8601),weather_daylight_duration (s),weather_sunshine_duration (s),weather_uv_index_max (),weather_uv_index_clear_sky_max (),weather_rain_sum (mm),weather_showers_sum (mm),weather_snowfall_sum (cm),weather_precipitation_sum (mm),weather_precipitation_hours (h),weather_temperature_2m_min (°C),is_weekend,is_holiday
2024-01-01,731.0,534361.0,390617891.0,285541678321.0,208730966852651.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4086.76960119,120.764102675,132.519102675,5278.976821225,3973.84588349,119.883102675,6013.84160128,5458.673601245,1438.32410279,4115.82572301,138.981102675,2536.4319563685713,3453.327225086429,5039.301906108667,2129.1579560311657,120.764102675,5278.976821225,51,7.7,2.0,-1.0,32.8,61.6,219,2.87,1.0,0.0,0.0,29057.6,11914.18,1.0,1.2,0.6,1.2,0.0,0.6,5.0,5.5,0,0
2024-01-02,732.0,535824.0,392223168.0,287107358976.0,210162586770432.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4807.82560119,4010.13560119,120.764102675,829.981102725,3318.32122219,3973.84588349,11099.86160125,6013.84160128,5458.673601245,1438.32410279,4115.82572301,2752.4245618385717,3003.896082225,4655.200598868334,2289.679152752423,120.764102675,5278.976821225,63,10.5,5.2,0.1,41.9,80.6,211,0.41,0.57,0.0,0.0,29124.9,0.0,0.25,1.2,29.4,0.2,0.0,29.4,24.0,6.6,0,0
2024-01-03,733.0,537289.0,393832837.0,288679469521.0,211602051158893.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3289.35022244,4086.76960119,4010.13560119,132.519102675,3295.8773629,3318.32122219,9279.482221465,11099.86160125,6013.84160128,5458.673601245,1438.32410279,2468.192190583571,2576.029510866071,4281.225932328,2032.8588364997725,120.764102675,4807.82560119,61,9.9,4.7,1.6,38.4,66.6,233,2.05,0.6,0.0,0.0,29197.79,10642.9,0.65,1.25,10.3,2.3,0.0,10.3,20.0,7.1,0,0
2024-01-04,734.0,538756.0,395446904.0,290258027536.0,213049392211424.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,125.032102675,4807.82560119,4086.76960119,120.764102675,5278.976821225,3295.8773629,2672.853322885,9279.482221465,11099.86160125,6013.84160128,5458.673601245,2367.4851905764285,2394.042280851071,3899.0840017288333,2142.0691175062148,120.764102675,4807.82560119,55,8.1,3.5,1.5,31.7,57.2,238,3.64,0.56,0.0,0.0,29276.11,21600.0,0.75,1.2,7.1,1.6,0.0,7.1,18.0,6.4,0,0
2024-01-05,735.0,540225.0,397065375.0,291843050625.0,214504642209375.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,124.972102675,3289.35022244,4807.82560119,4010.13560119,829.981102725,5278.976821225,127.310102675,2672.853322885,9279.482221465,11099.86160125,6013.84160128,2366.407047719286,2393.8752808510712,3636.385942816,2143.38299671488,120.764102675,4807.82560119,53,8.3,3.5,-0.5,36.8,68.4,217,2.25,0.82,0.0,0.0,29359.71,13533.0,0.55,1.2,1.7,0.0,0.0,1.7,8.0,5.3,0,0
2024-01-06,736.0,541696.0,398688256.0,293434556416.0,215967833522176.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,979.152102745,125.032102675,3289.35022244,4086.76960119,132.519102675,829.981102725,119.883102675,127.310102675,2672.853322885,9279.482221465,11099.86160125,2489.033904872143,2455.251637998929,3412.936262144167,2014.1518747229932,124.972102675,4807.82560119,53,5.6,2.1,-2.1,16.4,34.2,319,0.95,0.19,0.0,0.0,29448.46,0.0,0.3,1.15,3.3,0.0,0.0,3.3,19.0,1.5,1,0
2024-01-07,737.0,543169.0,400315553.0,295032562561.0,217438998607457.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9688.29522143,124.972102675,125.032102675,4807.82560119,120.764102675,132.519102675,3973.84588349,119.883102675,127.310102675,2672.853322885,9279.482221465,3300.199564906429,2863.4265907089284,3441.6885594751666,3397.3158935674055,124.972102675,9688.29522143,71,1.5,-2.2,-9.1,24.1,46.1,27,1.0,0.32,0.0,0.0,29542.21,0.0,0.5,1.2,0.5,0.0,0.28,0.9,7.0,-3.2,1,0
2024-01-08,738.0,544644.0,401947272.0,296637086736.0,218918170011168.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14486.3900185,979.152102745,124.972102675,3289.35022244,4010.13560119,120.764102675,3318.32122219,3973.84588349,119.883102675,127.310102675,2672.853322885,4785.859624522142,3661.1457904453573,3819.1446566625004,5451.489023454073,124.972102675,14486.3900185,3,-2.2,-8.5,-10.7,23.6,45.4,41,2.16,0.68,0.0,0.0,29640.79,3793.56,1.1,1.25,0.0,0.0,0.0,0.0,0.0,-5.2,0,0
2024-01-09,739.0,546121.0,403583419.0,298248146641.0,220405380367699.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17580.8980184,9688.29522143,979.152102745,125.032102675,4086.76960119,4010.13560119,3295.8773629,3318.32122219,3973.84588349,119.883102675,127.310102675,6610.584255552143,4681.504408695357,4269.084703902833,7288.319200155203,124.972102675,17580.8980184,0,-1.2,-7.6,-11.8,20.3,40.0,41,5.16,0.98,0.0,0.0,29744.07,24797.09,1.35,1.35,0.0,0.0,0.0,0.0,0.0,-6.1,0,0
2024-01-10,740.0,547600.0,405224000.0,299865760000.0,221900662400000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19236.5250184,14486.3900185,9688.29522143,124.972102675,4807.82560119,4086.76960119,5278.976821225,3295.8773629,3318.32122219,3973.84588349,119.883102675,8888.752083546427,5678.4721370649995,4784.8735631015,8473.203100134657,124.972102675,19236.5250184,3,-0.2,-4.5,-11.9,9.7,21.6,46,3.94,0.62,0.0,0.0,29851.89,21213.57,1.15,1.35,0.0,0.0,0.0,0.0,0.0,-6.9,0,0
2024-01-11,741.0,549081.0,406869021.0,301489944561.0,223404048919701.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16679.7355184,17580.8980184,14486.3900185,979.152102745,3289.35022244,4807.82560119,829.981102725,5278.976821225,3295.8773629,3318.32122219,3973.84588349,11253.709714364286,6810.597452470357,5214.511893675167,7911.136533045065,124.972102675,19236.5250184,3,-0.3,-4.8,-11.0,14.9,31.3,21,5.12,0.46,0.0,0.0,29964.1,25075.26,1.35,1.35,0.0,0.0,0.0,0.0,0.0,-6.8,0,0
2024-01-12,742.0,550564.0,408518488.0,303120718096.0,224915572827232.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15734.2035184,19236.5250184,17580.8980184,9688.29522143,125.032102675,3289.35022244,132.519102675,829.981102725,5278.976821225,3295.8773629,3318.32122219,13483.599916610716,7925.003482165,5608.153557582166,6284.049108212185,979.152102745,19236.5250184,3,0.6,-2.3,-5.0,8.1,18.4,6,1.68,0.21,0.0,0.0,30080.57,0.0,1.4,1.4,0.0,0.0,0.0,0.0,0.0,-1.5,0,0
2024-01-13,743.0,552049.0,410172407.0,304758098401.0,226435267111943.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11764.3705184,16679.7355184,19236.5250184,14486.3900185,124.972102675,125.032102675,120.764102675,132.519102675,829.981102725,5278.976821225,3295.8773629,15024.34540456143,8756.689654716785,5995.666538106334,3339.483421879092,9688.29522143,19236.5250184,3,2.0,-2.6,-4.9,18.2,33.1,231,1.26,0.25,0.0,0.0,30201.36,0.0,0.75,1.35,0.0,0.0,0.0,0.0,0.0,-0.4,1,0
2024-01-14,744.0,553536.0,411830784.0,306402103296.0,227963164852224.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13714.47601935,15734.2035184,16679.7355184,17580.8980184,979.152102745,124.972102675,4010.13560119,120.764102675,132.519102675,829.981102725,5278.976821225,15599.514089978573,9449.8568274425,6315.621547984334,2511.290846114059,11764.3705184,19236.5250184,71,-0.2,-4.9,-7.4,21.6,39.6,226,1.23,0.27,0.0,0.0,30327.79,0.0,0.45,1.35,0.0,0.0,0.14,0.2,2.0,-2.0,1,0
2024-01-15,745.0,555025.0,413493625.0,308052750625.0,229499299215625.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14015.3430184,11764.3705184,15734.2035184,19236.5250184,9688.29522143,979.152102745,4086.76960119,4010.13560119,120.764102675,132.519102675,829.981102725,15532.221661392858,10159.0406429575,6734.855511838,2552.0692640667176,11764.3705184,19236.5250184,73,1.8,-4.4,-7.2,26.6,52.9,264,3.09,0.43,0.0,0.0,30459.89,10989.0,1.25,1.4,0.0,0.0,2.38,3.4,12.0,-2.0,0,0
