,actual,predicted,residual
2024-01-01,4807.82560119,2908.9613900664913,1898.864211123509
2024-01-02,3289.35022244,4877.018559068478,1587.6683366284778
2024-01-03,125.032102675,3399.1649033386934,3274.1328006636936
2024-01-04,124.972102675,1603.067998248855,1478.095895573855
2024-01-05,979.152102745,-3030.3718462008765,4009.5239489458763
2024-01-06,9688.29522143,-2514.896062784034,12203.191284214034
2024-01-07,14486.3900185,4885.228026381897,9601.161992118105
2024-01-08,17580.8980184,11561.010963577346,6019.887054822653
2024-01-09,19236.5250184,12994.09459371933,6242.43042468067
2024-01-10,16679.7355184,11146.11788655302,5533.617631846981
2024-01-11,15734.2035184,8040.989777166038,7693.213741233962
2024-01-12,11764.3705184,2935.512207331079,8828.85831106892
2024-01-13,13714.47601935,-1479.7579705156877,15194.233989865688
2024-01-14,14015.3430184,-3.421980467021797,14018.764998867022
2024-01-15,13923.0410184,2291.8321599185,11631.2088584815
2024-01-16,15752.9568184,2644.8125648160753,13108.144253583925
2024-01-17,13498.3417184,-1252.0151767589293,14750.35689515893
2024-01-18,13308.6602984,-2092.3032967564395,15400.96359515644
2024-01-19,12332.4690984,-4225.5520975906775,16558.021195990677
2024-01-20,16545.982598399998,-2994.9906909077863,19540.973289307785
2024-01-21,11898.017219965,2001.6050342713365,9896.412185693664
2024-01-22,3990.75482129,5076.88122048567,1086.1263991956703
2024-01-23,4398.110601245,8166.37809090727,3768.2674896622702
2024-01-24,126.009102675,7639.609804383561,7513.600701708561
2024-01-25,1095.072102755,9288.866709474101,8193.7946067191
2024-01-26,2193.740102705,6232.541106631362,4038.801003926362
2024-01-27,11466.38860017,6517.265278750238,4949.123321419761
2024-01-28,6337.875601495,5986.258962928651,351.61663856634914
2024-01-29,3878.55960139,4169.412695600126,290.8530942101265
2024-01-30,4080.97760119,3264.2217654591745,816.7558357308253
2024-01-31,1780.575102815,4498.0455982462445,2717.4704954312447
2024-02-01,2445.581102815,5223.202065501006,2777.6209626860054
2024-02-02,2998.18810287,2074.7385628322977,923.4495400377023
2024-02-03,3943.37960119,2965.68851446763,977.6910867223701
2024-02-04,4003.46760119,437.9793877361962,3565.488213453804
2024-02-05,4634.34360119,-2497.6541410530563,7131.997742243057
2024-02-06,4169.48260119,-4052.692978309764,8222.175579499764
2024-02-07,4176.76910298,-7171.730471827157,11348.499574807156
2024-02-08,2403.93810284,-7952.702413200649,10356.640516040648
2024-02-09,109.696102675,-4305.94909646635,4415.64519914135
2024-02-10,3812.41360119,-2724.2756892402267,6536.689290430227
2024-02-11,4586.49760119,1733.457205338798,2853.0403958512015
2024-02-12,5697.235601225,3517.061930412623,2180.173670812377
2024-02-13,6959.083601305,2668.3020410559475,4290.781560249053
2024-02-14,94.873102725,-1482.6273588821152,1577.5004616071153
