,actual,predicted,residual
2024-01-01,4807.82560119,3821.2832390330605,986.5423621569398
2024-01-02,3289.35022244,3644.5759250552674,355.22570261526744
2024-01-03,125.032102675,2102.269428086862,1977.2373254118618
2024-01-04,124.972102675,2102.587865059979,1977.6157623849788
2024-01-05,979.152102745,2264.156942042451,1285.0048392974513
2024-01-06,9688.29522143,4150.246202849294,5538.049018580707
2024-01-07,14486.3900185,5275.319764641235,9211.070253858765
2024-01-08,17580.8980184,9229.654222624888,8351.243795775112
2024-01-09,19236.5250184,9122.627987296977,10113.897031103023
2024-01-10,16679.7355184,8989.214540194504,7690.520978205497
2024-01-11,15734.2035184,9090.245999004883,6643.957519395117
2024-01-12,11764.3705184,8962.355546250665,2802.0149721493344
2024-01-13,13714.47601935,8954.65736100634,4759.81865834366
2024-01-14,14015.3430184,9029.447790898359,4985.895227501642
2024-01-15,13923.0410184,8923.645293548458,4999.395724851542
2024-01-16,15752.9568184,9241.295807753444,6511.661010646556
2024-01-17,13498.3417184,9193.855956744972,4304.485761655029
2024-01-18,13308.6602984,9393.602227923942,3915.0580704760578
2024-01-19,12332.4690984,9720.896842096803,2611.5722563031977
2024-01-20,16545.982598399998,9825.224862926674,6720.757735473324
2024-01-21,11898.017219965,9799.863874793145,2098.153345171855
2024-01-22,3990.75482129,9517.964549235056,5527.209727945055
2024-01-23,4398.110601245,7256.268204851325,2858.157603606325
2024-01-24,126.009102675,4532.759975160256,4406.750872485256
2024-01-25,1095.072102755,4884.458908744085,3789.3868059890856
2024-01-26,2193.740102705,4948.286560653172,2754.5464579481722
2024-01-27,11466.38860017,7780.905585011793,3685.4830151582064
2024-01-28,6337.875601495,11007.119057652575,4669.243456157575
2024-01-29,3878.55960139,11936.170402911654,8057.610801521654
2024-01-30,4080.97760119,5231.520615394331,1150.543014204331
2024-01-31,1780.575102815,5209.387627785518,3428.812524970518
2024-02-01,2445.581102815,5632.217441267816,3186.636338452816
2024-02-02,2998.18810287,5633.912885382875,2635.724782512875
2024-02-03,3943.37960119,8545.325134220771,4601.945533030772
2024-02-04,4003.46760119,8641.862959474855,4638.395358284854
2024-02-05,4634.34360119,8325.459012369729,3691.1154111797287
2024-02-06,4169.48260119,4350.909007554366,181.4264063643659
2024-02-07,4176.76910298,5130.8800621654245,954.1109591854247
2024-02-08,2403.93810284,5402.597974621503,2998.6598717815036
2024-02-09,109.696102675,6149.031295306153,6039.335192631153
2024-02-10,3812.41360119,6268.443538405472,2456.0299372154723
2024-02-11,4586.49760119,9052.750355952745,4466.252754762745
2024-02-12,5697.235601225,8895.857447564269,3198.621846339269
2024-02-13,6959.083601305,11311.90283194832,4352.81923064332
2024-02-14,94.873102725,11169.648486749838,11074.775384024839
2024-02-15,88.20010272500001,7063.752424250024,6975.552321525024
2024-02-16,114.271102675,7220.168109339445,7105.897006664445
2024-02-17,4041.07760119,9935.705105651292,5894.627504461292
2024-02-18,4073.21260119,9978.91880041798,5905.70619922798
2024-02-19,4549.679601205,10297.224204557004,5747.544603352004
2024-02-20,6008.417601345,11360.478830869559,5352.061229524559
2024-02-21,122.716102675,11241.298223045234,11118.582120370234
2024-02-22,693.5471027149999,7259.0037096149335,6565.456606899934
2024-02-23,4827.605103005,8007.78648180557,3180.1813788005693
2024-02-24,8634.590601415,10240.612065967149,1606.0214645521482
2024-02-25,13599.3495984,13409.812364713556,189.53723368644387
2024-02-26,14378.9505984,14300.323327858105,78.627270541896
2024-02-27,15643.0355984,14804.332657577545,838.7029408224553
2024-02-28,15529.17059915,14813.955467726615,715.2151314233852
2024-02-29,12740.4915984,14667.439728220825,1926.9481298208248
2024-03-01,11760.7945989,14729.862554194742,2969.067955294742
2024-03-02,9699.404099895,14903.71223732815,5204.3081374331505
2024-03-03,8664.01259998,11710.542146117577,3046.529546137577
2024-03-04,12536.51359905,14939.234184165356,2402.720585115356
2024-03-05,13430.3585984,15617.047557355358,2186.6889589553575
2024-03-06,13949.81759965,16051.729430726193,2101.9118310761933
2024-03-07,4943.465102295,16000.108403859851,11056.64330156485
2024-03-08,3252.54410285,8676.355405752825,5423.811302902825
2024-03-09,3830.73360169,9212.194144111045,5381.460542421045
2024-03-10,4158.94460119,12491.379560064704,8332.434958874705
2024-03-11,4519.09360119,13784.286756428237,9265.193155238238
2024-03-12,4535.26760119,11892.12498704369,7356.857385853689
2024-03-13,107.454102675,12076.027256525313,11968.573153850313
2024-03-14,84.921102725,12475.302578607008,12390.381475882008
2024-03-15,109.588102675,12717.87512418737,12608.287021512371
2024-03-16,4394.04660119,15358.38462423787,10964.338023047869
2024-03-17,4832.36710228,14051.194853814499,9218.8277515345
2024-03-18,3393.4566017800003,14308.911271255363,10915.454669475363
2024-03-19,2917.05660242,13240.621924027933,10323.565321607934
2024-03-20,113.880102675,13474.425097789865,13360.544995114864
2024-03-21,112.807102675,13645.278620635234,13532.471517960234
2024-03-22,118.172102675,15411.503143829601,15293.3310411546
2024-03-23,6488.415601275,15545.32939835618,9056.913797081179
2024-03-24,7661.343601345,18398.439973605222,10737.096372260221
2024-03-25,7077.180601045,18979.500964139632,11902.320363094632
2024-03-26,3213.84410223,19155.511930108147,15941.667827878147
2024-03-27,146.185102675,14671.67517533417,14525.490072659171
2024-03-28,120.306102675,14874.976618944685,14754.670516269685
2024-03-29,112.922102675,15086.657719294151,14973.735616619151
2024-03-30,3324.26560163,17258.20954218659,13933.943940556588
2024-03-31,2984.412602175,17435.212796064363,14450.800193889363
2024-04-01,3880.61060144,17610.32129243673,13729.71069099673
2024-04-02,3258.910101925,18111.462749792776,14852.552647867775
2024-04-03,116.153102675,17600.662423045247,17484.509320370245
2024-04-04,96.827102725,16344.95053902957,16248.123436304571
2024-04-05,64.510102725,18854.198092376715,18789.687989651717
2024-04-06,445.919102755,18696.639886360797,18250.720783605797
2024-04-07,632.633102775,18968.13213523903,18335.49903246403
2024-04-08,582.17260276,19213.62115754512,18631.448554785118
