,actual,predicted,residual
2024-01-01,4807.82560119,76484.14092470029,71676.3153235103
2024-01-02,3289.35022244,88235.0698727484,84945.7196503084
2024-01-03,125.032102675,98231.6980690418,98106.6659663668
2024-01-04,124.972102675,109688.29020437511,109563.3181017001
2024-01-05,979.152102745,113828.42987984132,112849.27777709631
2024-01-06,9688.29522143,119507.7581514709,109819.4629300409
2024-01-07,14486.3900185,125981.79134397423,111495.40132547423
2024-01-08,17580.8980184,127949.16892527147,110368.27090687148
2024-01-09,19236.5250184,126394.11409749404,107157.58907909403
2024-01-10,16679.7355184,120529.51181285163,103849.77629445163
2024-01-11,15734.2035184,118562.27859174463,102828.07507334463
2024-01-12,11764.3705184,117789.78069029575,106025.41017189575
2024-01-13,13714.47601935,110637.46288153104,96922.98686218105
2024-01-14,14015.3430184,109627.43797002672,95612.09495162671
2024-01-15,13923.0410184,108945.58055264928,95022.53953424928
2024-01-16,15752.9568184,110172.90763952823,94419.95082112824
2024-01-17,13498.3417184,106814.1391987604,93315.7974803604
2024-01-18,13308.6602984,110260.07027715044,96951.40997875044
2024-01-19,12332.4690984,110841.86457022808,98509.39547182807
2024-01-20,16545.982598399998,108385.0264546393,91839.0438562393
2024-01-21,11898.017219965,103673.49733830032,91775.48011833533
2024-01-22,3990.75482129,103117.66930971693,99126.91448842693
2024-01-23,4398.110601245,113446.80720502631,109048.69660378131
2024-01-24,126.009102675,114444.84477262544,114318.83566995044
2024-01-25,1095.072102755,121670.92732378498,120575.85522102998
2024-01-26,2193.740102705,124425.73359604985,122231.99349334484
2024-01-27,11466.38860017,124461.87544681161,112995.48684664161
2024-01-28,6337.875601495,117648.27909104335,111310.40348954835
2024-01-29,3878.55960139,116663.42461624075,112784.86501485074
2024-01-30,4080.97760119,119888.56724681093,115807.58964562093
2024-01-31,1780.575102815,122128.28317314287,120347.70807032788
2024-02-01,2445.581102815,128850.4702126231,126404.8891098081
2024-02-02,2998.18810287,131896.48512954084,128898.29702667084
2024-02-03,3943.37960119,133352.9665479892,129409.5869467992
2024-02-04,4003.46760119,132308.2168871283,128304.7492859383
2024-02-05,4634.34360119,134219.58674773146,129585.24314654146
2024-02-06,4169.48260119,141597.59560547952,137428.1130042895
2024-02-07,4176.76910298,148563.60097690378,144386.83187392377
2024-02-08,2403.93810284,160306.63248697395,157902.69438413394
2024-02-09,109.696102675,177221.5665391838,177111.87043650882
