,actual,predicted,residual
2024-01-01,4807.82560119,2237.482282546529,2570.3433186434713
2024-01-02,3289.35022244,1583.7956401764313,1705.5545822635686
2024-01-03,125.032102675,1751.024972041555,1625.992869366555
2024-01-04,124.972102675,1817.6474290927,1692.6753264176998
2024-01-05,979.152102745,1951.929641888608,972.7775391436081
2024-01-06,9688.29522143,2206.822267669276,7481.4729537607245
2024-01-07,14486.3900185,2402.048487881838,12084.341530618163
2024-01-08,17580.8980184,2825.5206493904125,14755.377369009588
2024-01-09,19236.5250184,2457.70461982047,16778.82039857953
2024-01-10,16679.7355184,2167.8950271133026,14511.840491286697
2024-01-11,15734.2035184,2089.8196667749544,13644.383851625045
2024-01-12,11764.3705184,1611.3338575828393,10153.03666081716
2024-01-13,13714.47601935,1738.1876679072143,11976.288351442787
2024-01-14,14015.3430184,1816.9965500488627,12198.346468351137
2024-01-15,13923.0410184,1386.874921358954,12536.166097041045
2024-01-16,15752.9568184,1185.406913297741,14567.54990510226
2024-01-17,13498.3417184,1427.3594307582025,12070.982287641798
2024-01-18,13308.6602984,1392.4127119507511,11916.247586449248
2024-01-19,12332.4690984,1363.7365052898285,10968.732593110173
2024-01-20,16545.982598399998,1222.6541048208974,15323.328493579102
2024-01-21,11898.017219965,1498.3591990752361,10399.658020889765
2024-01-22,3990.75482129,1615.3534668490906,2375.4013544409095
2024-01-23,4398.110601245,1921.590204557329,2476.520396687671
2024-01-24,126.009102675,1685.5297552924699,1559.52065261747
2024-01-25,1095.072102755,1067.0853236716866,27.986779083313422
2024-01-26,2193.740102705,1297.9043436720049,895.8357590329952
2024-01-27,11466.38860017,1656.9206119076898,9809.46798826231
2024-01-28,6337.875601495,2006.521574540251,4331.354026954749
2024-01-29,3878.55960139,1998.5378591893818,1880.021742200618
2024-01-30,4080.97760119,1373.6838355920172,2707.2937655979827
2024-01-31,1780.575102815,1782.0596642913088,1.484561476308727
2024-02-01,2445.581102815,1698.646830272889,746.9342725421111
2024-02-02,2998.18810287,1070.603715384926,1927.5843874850739
2024-02-03,3943.37960119,1264.4016846385812,2678.9779165514187
2024-02-04,4003.46760119,1221.1854198532396,2782.2821813367605
2024-02-05,4634.34360119,1975.9873522075718,2658.3562489824285
2024-02-06,4169.48260119,1265.0189875359629,2904.4636136540375
2024-02-07,4176.76910298,1815.0437937302236,2361.7253092497763
2024-02-08,2403.93810284,1930.3817851991666,473.5563176408332
2024-02-09,109.696102675,1869.2869499492417,1759.5908472742417
2024-02-10,3812.41360119,2158.6716661255227,1653.7419350644773
2024-02-11,4586.49760119,2169.5223827961822,2416.9752183938176
2024-02-12,5697.235601225,1762.5755279531268,3934.6600732718734
2024-02-13,6959.083601305,1910.0102169654897,5049.07338433951
2024-02-14,94.873102725,2152.3808484653055,2057.5077457403054
2024-02-15,88.20010272500001,1867.8918891879996,1779.6917864629995
2024-02-16,114.271102675,1641.6350728384937,1527.3639701634936
2024-02-17,4041.07760119,2186.5388319562653,1854.538769233735
2024-02-18,4073.21260119,2349.897501085127,1723.3151001048732
2024-02-19,4549.679601205,2440.5167994288895,2109.1628017761104
2024-02-20,6008.417601345,2048.968614815961,3959.448986529039
2024-02-21,122.716102675,1951.966229292437,1829.250126617437
2024-02-22,693.5471027149999,1914.7050957506883,1221.1579930356884
2024-02-23,4827.605103005,1918.5949543837407,2909.0101486212598
2024-02-24,8634.590601415,2434.761029910535,6199.829571504466
2024-02-25,13599.3495984,2982.265781549616,10617.083816850383
2024-02-26,14378.9505984,2368.741214679161,12010.20938372084
2024-02-27,15643.0355984,2034.1803798307337,13608.855218569266
2024-02-28,15529.17059915,2106.780734833109,13422.38986431689
2024-02-29,12740.4915984,1573.5769790220852,11166.914619377914
2024-03-01,11760.7945989,1690.1196345738413,10070.67496432616
2024-03-02,9699.404099895,2010.7556277721392,7688.648472122861
2024-03-03,8664.01259998,1310.6692880448777,7353.343311935123
2024-03-04,12536.51359905,1430.6329949833344,11105.880604066666
2024-03-05,13430.3585984,1143.5317314441695,12286.826866955831
2024-03-06,13949.81759965,1453.5782509714631,12496.239348678537
2024-03-07,4943.465102295,1443.9048959145512,3499.560206380449
2024-03-08,3252.54410285,1271.7314398430667,1980.8126630069332
2024-03-09,3830.73360169,1427.430495034187,2403.303106655813
2024-03-10,4158.94460119,1041.8306448519215,3117.1139563380784
2024-03-11,4519.09360119,1373.7587428151242,3145.334858374876
2024-03-12,4535.26760119,1197.8164312880995,3337.451169901901
2024-03-13,107.454102675,1045.2747542600741,937.8206515850741
2024-03-14,84.921102725,2572.7728366544065,2487.8517339294067
2024-03-15,109.588102675,2365.7848447932206,2256.1967421182208
2024-03-16,4394.04660119,1979.514293000178,2414.532308189822
2024-03-17,4832.36710228,1835.9991781305373,2996.367924149463
2024-03-18,3393.4566017800003,2241.5816334867027,1151.8749682932976
2024-03-19,2917.05660242,2252.696494129567,664.3601082904333
2024-03-20,113.880102675,2214.9027673673163,2101.022664692316
2024-03-21,112.807102675,2416.2102199912842,2303.4031173162844
2024-03-22,118.172102675,1992.5628610034187,1874.3907583284188
2024-03-23,6488.415601275,2312.081385101699,4176.334216173301
2024-03-24,7661.343601345,2984.18380925795,4677.15979208705
2024-03-25,7077.180601045,2742.939797901381,4334.240803143619
2024-03-26,3213.84410223,2256.4355197478367,957.4085824821632
2024-03-27,146.185102675,1849.0693001587551,1702.884197483755
2024-03-28,120.306102675,2106.7583302463536,1986.4522275713537
2024-03-29,112.922102675,2175.762895662161,2062.840792987161
2024-03-30,3324.26560163,2475.1566345405067,849.1089670894935
2024-03-31,2984.412602175,2702.008334283522,282.40426789147796
2024-04-01,3880.61060144,2120.6200683047646,1759.9905331352356
