,actual,predicted,residual
2024-01-01,4807.82560119,5763.902269711373,956.076668521373
2024-01-02,3289.35022244,1334.5948819503067,1954.7553404896933
2024-01-03,125.032102675,3902.01971718258,3776.98761450758
2024-01-04,124.972102675,1707.3439942050593,1582.3718915300592
2024-01-05,979.152102745,134.62579032157294,844.526312423427
2024-01-06,9688.29522143,2265.016204068956,7423.279017361045
2024-01-07,14486.3900185,7597.404773971285,6888.985244528715
2024-01-08,17580.8980184,11577.825804399965,6003.072214000034
2024-01-09,19236.5250184,13066.336551947414,6170.188466452586
2024-01-10,16679.7355184,12908.495054772498,3771.2404636275023
2024-01-11,15734.2035184,12927.321453626597,2806.882064773403
2024-01-12,11764.3705184,10012.786407526095,1751.5841108739041
2024-01-13,13714.47601935,4049.4458816805695,9665.030137669431
2024-01-14,14015.3430184,3285.953495751944,10729.389522648056
2024-01-15,13923.0410184,3079.287659292758,10843.753359107242
2024-01-16,15752.9568184,2411.9278394997673,13341.028978900233
2024-01-17,13498.3417184,1483.4593629099709,12014.88235549003
2024-01-18,13308.6602984,1387.4097919256228,11921.250506474378
2024-01-19,12332.4690984,1309.1602640725325,11023.308834327469
2024-01-20,16545.982598399998,1247.5615706320136,15298.421027767985
2024-01-21,11898.017219965,1419.319976574738,10478.697243390263
2024-01-22,3990.75482129,1510.678782327888,2480.076038962112
2024-01-23,4398.110601245,6467.590655191248,2069.4800539462476
2024-01-24,126.009102675,6482.506061828369,6356.496959153369
2024-01-25,1095.072102755,9672.312888795454,8577.240786040453
2024-01-26,2193.740102705,6812.0088958390525,4618.268793134052
2024-01-27,11466.38860017,8345.320798328883,3121.0678018411163
2024-01-28,6337.875601495,9467.193103661504,3129.317502166504
2024-01-29,3878.55960139,7073.196311797731,3194.6367104077312
2024-01-30,4080.97760119,5791.435042068155,1710.457440878155
2024-01-31,1780.575102815,7757.045083180943,5976.469980365943
2024-02-01,2445.581102815,5443.022321090695,2997.441218275695
2024-02-02,2998.18810287,7883.728142503419,4885.540039633419
2024-02-03,3943.37960119,6187.522492694075,2244.1428915040747
2024-02-04,4003.46760119,6027.59542132657,2024.1278201365703
2024-02-05,4634.34360119,6890.4802234401,2256.1366222501
2024-02-06,4169.48260119,1671.69432250286,2497.7882786871405
2024-02-07,4176.76910298,261.8370266523784,3914.9320763276214
2024-02-08,2403.93810284,973.9400754425275,1429.9980273974725
2024-02-09,109.696102675,1254.1166308020163,1144.4205281270163
2024-02-10,3812.41360119,5060.482579525313,1248.0689783353127
2024-02-11,4586.49760119,6284.244772714371,1697.747171524371
2024-02-12,5697.235601225,7600.419386750518,1903.183785525518
2024-02-13,6959.083601305,7682.42588119691,723.34227989191
2024-02-14,94.873102725,4568.902972181355,4474.029869456355
2024-02-15,88.20010272500001,3706.4395828877573,3618.2394801627574
2024-02-16,114.271102675,3524.199675156903,3409.9285724819033
2024-02-17,4041.07760119,5410.715850249889,1369.6382490598885
2024-02-18,4073.21260119,6383.154271588556,2309.941670398556
2024-02-19,4549.679601205,6253.900524832757,1704.2209236277567
2024-02-20,6008.417601345,7597.655730807972,1589.2381294629722
2024-02-21,122.716102675,5572.02023594653,5449.30413327153
2024-02-22,693.5471027149999,891.6574108072446,198.11030809224462
2024-02-23,4827.605103005,2887.440857470723,1940.1642455342771
2024-02-24,8634.590601415,6024.809054990831,2609.7815464241694
2024-02-25,13599.3495984,7360.081171853295,6239.268426546705
2024-02-26,14378.9505984,9704.685218594093,4674.265379805907
2024-02-27,15643.0355984,12009.925938493261,3633.1096599067387
2024-02-28,15529.17059915,11239.619015342816,4289.551583807184
2024-02-29,12740.4915984,9275.796296061466,3464.695302338534
2024-03-01,11760.7945989,4040.3276342589634,7720.466964641037
2024-03-02,9699.404099895,3867.4821833906517,5831.921916504349
2024-03-03,8664.01259998,2939.5828905495346,5724.429709430466
2024-03-04,12536.51359905,2520.7875871239517,10015.726011926048
2024-03-05,13430.3585984,2192.7629004628516,11237.595697937148
2024-03-06,13949.81759965,2286.939573661626,11662.878025988373
2024-03-07,4943.465102295,2521.737215428261,2421.727886866739
2024-03-08,3252.54410285,2220.694068660788,1031.8500341892118
2024-03-09,3830.73360169,2062.3504617101794,1768.3831399798205
2024-03-10,4158.94460119,4268.4528230355245,109.50822184552453
2024-03-11,4519.09360119,2706.7008054604867,1812.3927957295136
2024-03-12,4535.26760119,5392.486625429167,857.2190242391671
2024-03-13,107.454102675,7633.390302639281,7525.936199964281
2024-03-14,84.921102725,5671.045198222035,5586.124095497034
2024-03-15,109.588102675,1578.0385281084305,1468.4504254334304
2024-03-16,4394.04660119,2354.2715076286718,2039.775093561328
2024-03-17,4832.36710228,7767.267573129326,2934.9004708493258
2024-03-18,3393.4566017800003,6224.582600900766,2831.1259991207658
2024-03-19,2917.05660242,8082.492111722588,5165.435509302588
2024-03-20,113.880102675,9376.345315199484,9262.465212524483
2024-03-21,112.807102675,8153.94073337016,8041.13363069516
2024-03-22,118.172102675,3408.9267633400527,3290.7546606650526
2024-03-23,6488.415601275,1696.9272775796705,4791.488323695329
2024-03-24,7661.343601345,5727.508320663045,1933.8352806819548
2024-03-25,7077.180601045,9650.019420627901,2572.838819582901
2024-03-26,3213.84410223,8496.240340889544,5282.396238659545
2024-03-27,146.185102675,6485.153819793526,6338.968717118526
2024-03-28,120.306102675,5004.500689120468,4884.194586445468
2024-03-29,112.922102675,3221.1147258273395,3108.1926231523394
2024-03-30,3324.26560163,5382.95333568873,2058.6877340587293
2024-03-31,2984.412602175,6665.675182050722,3681.2625798757217
2024-04-01,3880.61060144,6669.417601883913,2788.8070004439132
2024-04-02,3258.910101925,5030.874099988097,1771.9639980630973
2024-04-03,116.153102675,2047.4546635724223,1931.3015608974224
2024-04-04,96.827102725,103.70336616507376,6.876263440073757
2024-04-05,64.510102725,395.5773125549912,331.06720982999116
2024-04-06,445.919102755,3245.3988178273703,2799.4797150723703
2024-04-07,632.633102775,4976.46722461338,4343.834121838379
2024-04-08,582.17260276,5934.022012975693,5351.849410215693
2024-04-09,3939.71660139,6011.8168175528,2072.1002161628
2024-04-10,1289.991102775,6267.504857570357,4977.513754795356
2024-04-11,78.586102725,4313.436619613021,4234.850516888021
2024-04-12,67.717102725,849.1945587491766,781.4774560241766
2024-04-13,547.19060276,3669.8211056026385,3122.6305028426386
2024-04-14,2426.977102555,4814.943799154564,2387.966696599564
2024-04-15,5131.831601225,4701.439828113697,430.3917731113024
2024-04-16,6812.03460133,5696.413411932819,1115.6211893971813
2024-04-17,4967.162102995,7177.34682949725,2210.1847265022498
2024-04-18,3095.72310284,7205.206041669234,4109.482938829234
2024-04-19,989.412102745,1739.2880113480244,749.8759086030244
2024-04-20,7063.53160133,3309.081069788262,3754.4505315417377
2024-04-21,8607.98160112,6308.067858302153,2299.9137428178474
2024-04-22,9205.86159994,7099.7867579756985,2106.0748419643023
2024-04-23,8387.174600285,7108.667139211585,1278.5074610734146
2024-04-24,5277.132103035,5680.813176187089,403.6810731520891
2024-04-25,2985.20410284,5966.539594877619,2981.3354920376187
2024-04-26,139.73510267499998,2861.5062311795737,2721.771128504574
2024-04-27,2204.439102405,2958.114283122827,753.6751807178271
2024-04-28,2387.50060235,4696.684003052786,2309.1834007027855
2024-04-29,1772.12960258,6355.674572705835,4583.544970125835
2024-04-30,175.072102735,4967.433041888091,4792.360939153091
2024-05-01,2.78860272,5679.41330418334,5676.62470146334
2024-05-02,101.131102725,1725.2059294776927,1624.0748267526928
2024-05-03,114.905102675,296.94834453873165,182.04324186373165
2024-05-04,2633.24160231,1800.5413363987316,832.7002659112684
2024-05-05,2408.736102505,6733.050535209415,4324.314432704416
2024-05-06,2087.067102865,5627.592867407782,3540.5257645427823
2024-05-07,2239.93360265,9229.772893463198,6989.839290813197
2024-05-08,128.854102675,5707.781330293155,5578.9272276181555
2024-05-09,101.083102725,6464.757650489072,6363.6745477640725
2024-05-10,82.842102725,4838.516080537077,4755.673977812077
2024-05-11,600.268102765,5165.231942842991,4564.963840077991
2024-05-12,59.915102725,5126.224190391323,5066.309087666323
2024-05-13,2.71660272,4751.63174657792,4748.91514385792
2024-05-14,111.10160273,3524.266855496165,3413.165252766165
2024-05-15,63.552102725,45.23112569093621,18.320977034063787
2024-05-16,85.922102725,0.9406398313246029,84.9814628936754
2024-05-17,83.975102725,-5.591538154531889,89.56664087953189
2024-05-18,1855.28060285,637.8554603785092,1217.4251424714907
2024-05-19,1732.94660283,3696.9116670706057,1963.9650642406057
2024-05-20,454.974102755,3102.295261515257,2647.3211587602573
2024-05-21,911.186102795,510.621765744707,400.56433705029303
2024-05-22,83.891102725,3282.012305957453,3198.121203232453
2024-05-23,80.55710272500001,4203.802592189608,4123.245489464608
2024-05-24,78.610102725,198.04146283900792,119.43136011400792
2024-05-25,738.13660277,511.62398672785184,226.51261604214812
2024-05-26,702.203102775,2379.141699628481,1676.9385968534812
2024-05-27,1144.55160279,750.8016061557885,393.7499966342116
