,actual,predicted,residual
2024-01-01,4807.82560119,71288.99026592473,66481.16466473474
2024-01-02,3289.35022244,79616.04860608083,76326.69838364083
2024-01-03,125.032102675,85165.03757375396,85040.00547107896
2024-01-04,124.972102675,91478.65374748732,91353.68164481231
2024-01-05,979.152102745,91609.7552936821,90630.6031909371
2024-01-06,9688.29522143,94866.93410534531,85178.63888391531
2024-01-07,14486.3900185,101478.79697400943,86992.40695550943
2024-01-08,17580.8980184,105097.13720378083,87516.23918538084
2024-01-09,19236.5250184,104182.32402774754,84945.79900934754
2024-01-10,16679.7355184,100130.72164344249,83450.98612504249
2024-01-11,15734.2035184,98895.82297049828,83161.61945209828
2024-01-12,11764.3705184,96401.32495695479,84636.95443855479
2024-01-13,13714.47601935,88595.52898156621,74881.05296221621
2024-01-14,14015.3430184,88003.83757166089,73988.49455326088
2024-01-15,13923.0410184,88604.5110596097,74681.47004120969
2024-01-16,15752.9568184,89522.33220541263,73769.37538701264
2024-01-17,13498.3417184,85937.68007854953,72439.33836014953
2024-01-18,13308.6602984,86534.18766994965,73225.52737154964
2024-01-19,12332.4690984,84982.81267309395,72650.34357469395
2024-01-20,16545.982598399998,83122.63753177723,66576.65493337723
2024-01-21,11898.017219965,81138.9695537217,69240.95233375671
2024-01-22,3990.75482129,81721.89484151936,77731.14002022936
2024-01-23,4398.110601245,90209.40198970406,85811.29138845905
2024-01-24,126.009102675,89578.26914436287,89452.26004168787
2024-01-25,1095.072102755,94880.60763335037,93785.53553059537
2024-01-26,2193.740102705,94744.36757740958,92550.62747470458
2024-01-27,11466.38860017,94128.32620946011,82661.93760929011
2024-01-28,6337.875601495,88914.56591406981,82576.6903125748
2024-01-29,3878.55960139,88020.40625978255,84141.84665839255
2024-01-30,4080.97760119,89328.33686124106,85247.35926005106
2024-01-31,1780.575102815,89683.62879873111,87903.05369591611
2024-02-01,2445.581102815,93510.10846773554,91064.52736492053
2024-02-02,2998.18810287,93759.88262165086,90761.69451878086
2024-02-03,3943.37960119,94592.20889695229,90648.82929576229
2024-02-04,4003.46760119,92766.08268158154,88762.61508039154
2024-02-05,4634.34360119,93765.62129171281,89131.27769052281
2024-02-06,4169.48260119,97157.5478798024,92988.0652786124
2024-02-07,4176.76910298,99009.74425551777,94832.97515253777
2024-02-08,2403.93810284,105611.781928009,103207.84382516901
2024-02-09,109.696102675,116034.64936107186,115924.95325839685
2024-02-10,3812.41360119,125812.2613998489,121999.8477986589
2024-02-11,4586.49760119,136092.99148543272,131506.49388424272
2024-02-12,5697.235601225,144663.31877764262,138966.08317641763
2024-02-13,6959.083601305,151828.09304293714,144869.00944163214
2024-02-14,94.873102725,153899.02523407363,153804.15213134864
2024-02-15,88.20010272500001,161808.3180642308,161720.1179615058
2024-02-16,114.271102675,170005.50793796207,169891.23683528707
2024-02-17,4041.07760119,178815.77954578333,174774.70194459334
2024-02-18,4073.21260119,186930.731534411,182857.518933221
2024-02-19,4549.679601205,194118.78590063532,189569.10629943034
2024-02-20,6008.417601345,202676.39246716961,196667.97486582462
2024-02-21,122.716102675,207189.80806206126,207067.09195938625
2024-02-22,693.5471027149999,212089.387616923,211395.840514208
2024-02-23,4827.605103005,214547.3438564134,209719.73875340843
2024-02-24,8634.590601415,217319.08597593338,208684.4953745184
2024-02-25,13599.3495984,219590.98355153872,205991.63395313872
2024-02-26,14378.9505984,222747.53545919474,208368.58486079474
