,actual,predicted,residual
2024-01-01,8.29660272,8.146014435072216,0.15058828492778353
2024-01-02,5.29660272,6.705925178993751,1.409322458993751
2024-01-03,5.39260272,4.0148604855733705,1.3777422344266297
2024-01-04,5.33260272,3.7128102498942557,1.619792470105744
2024-01-05,5.40460272,3.709445446356609,1.6951572736433906
2024-01-06,5.29660272,4.80244531228733,0.49415740771267025
2024-01-07,8.29660272,7.11858514341842,1.1780175765815795
2024-01-08,8.27260272,6.062679135719245,2.209923584280755
2024-01-09,6.76060272,4.000349380239415,2.7602533397605846
2024-01-10,5.32060272,1.9427355798672217,3.3778671401327784
2024-01-11,5.32060272,1.7074617080180872,3.613141011981913
2024-01-12,5.36860272,1.9846893202487124,3.383913399751288
2024-01-13,6.79660272,2.8582934813294605,3.9383092386705396
2024-01-14,8.29660272,4.874841559442503,3.4217611605574962
2024-01-15,6.77260272,3.730936396303174,3.041666323696826
2024-01-16,5.27260272,2.4076714209619396,2.8649312990380604
2024-01-17,5.65660272,-0.3660104992950144,6.022613219295015
2024-01-18,5.30860272,0.16643685127520946,5.14216586872479
2024-01-19,5.30860272,0.122868967810696,5.185733752189304
2024-01-20,6.76060272,1.2319999334979705,5.528602786502029
2024-01-21,8.28460272,2.6464835863769753,5.638119133623025
2024-01-22,8.296602720000001,2.834663136296851,5.46193958370315
2024-01-23,5.24860272,1.931312942985623,3.317289777014377
2024-01-24,5.29660272,0.6106840210951656,4.6859186989048345
2024-01-25,5.44060272,1.0668003791457439,4.373802340854256
2024-01-26,5.35660272,1.380218021153655,3.9763846988463447
2024-01-27,6.74860272,2.571656662066312,4.176946057933688
2024-01-28,8.248602720000001,4.640429166925811,3.60817355307419
2024-01-29,6.74860272,4.3548538482274495,2.3937488717725506
2024-01-30,5.29660272,2.929960027983844,2.366642692016156
2024-01-31,5.29660272,1.0574895632150705,4.23911315678493
2024-02-01,5.29660272,1.1944415938900388,4.102161126109961
2024-02-02,5.30860272,0.9510756078170965,4.357527112182903
2024-02-03,6.79660272,2.3488940256416866,4.4477086943583135
2024-02-04,6.79660272,4.184317655251082,2.612285064748918
2024-02-05,4638.24360119,5.4888171931297975,4632.75478399687
2024-02-06,4172.18260119,-2643.193073814862,6815.375675004862
2024-02-07,4108.224102975,-2052.9376043960783,6161.161707371079
2024-02-08,2476.083102845,-1447.0434563217093,3923.1265591667097
2024-02-09,112.096102675,-846.4436611962508,958.5397638712508
2024-02-10,3814.81360119,377.18645752236296,3437.627143667637
2024-02-11,4588.89760119,-1107.7009611460812,5696.598562336081
2024-02-12,5622.80660122,-1642.5064796211373,7265.313080841137
2024-02-13,7039.81260131,-3446.3966243713553,10486.209225681356
2024-02-14,96.073102725,-4739.526638199358,4835.599740924358
2024-02-15,90.600102725,-1889.6221160077291,1980.222218732729
2024-02-16,115.471102675,-1001.441203495423,1116.912306170423
2024-02-17,4042.27760119,-547.3919487214982,4589.6695499114985
2024-02-18,4077.11260119,-3113.4759641791015,7190.588565369102
2024-02-19,4495.5106012,-3525.40402274032,8020.91462394032
2024-02-20,6069.18660135,-4174.42899262896,10243.61559397896
2024-02-21,125.116102675,-5612.195032528323,5737.311135203323
2024-02-22,620.71010271,-2657.5053292197795,3278.2154319297797
2024-02-23,4831.078103005,-2580.829980271346,7411.908083276347
2024-02-24,8636.863601415,-3830.0232828229177,12466.886884237918
2024-02-25,6375.39460135,-7847.51181128,14222.90641263
2024-02-26,6420.117601285,-7015.407652234881,13435.525253519882
2024-02-27,9065.672601385,-5510.103270053166,14575.775871438167
2024-02-28,6214.175101395,-7296.423269620746,13510.598371015745
2024-02-29,2172.23210282,-6216.062775367825,8388.294878187826
2024-03-01,906.04410274,-3178.208249205881,4084.252351945881
2024-03-02,4367.384601255,-2628.4989873553077,6995.883588610308
2024-03-03,4319.56260134,-6066.524554495857,10386.087155835856
2024-03-04,6060.993601295,-7214.0924247408875,13275.086026035888
2024-03-05,5703.29360122,-6379.832258938181,12083.125860158181
2024-03-06,4737.7031024,-6585.904466035527,11323.607568435527
2024-03-07,4938.354102295,-7679.69246085462,12618.046563149619
2024-03-08,3344.949102855,-8383.613553857143,11728.562656712144
2024-03-09,3831.93360169,-4066.8583375224334,7898.791939212433
2024-03-10,4162.84460119,-4416.533740544293,8579.378341734293
2024-03-11,4524.49360119,-4716.956433532301,9241.4500347223
2024-03-12,4537.96760119,-3637.934103777215,8175.901704967215
2024-03-13,109.854102675,-3158.165834373164,3268.019937048164
